// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
21849	9.836959	0.167425	0.544246	0.012416	0.012805	0.018924	17.203944	-86.689016	129.318367
21850	9.830922	0.199748	0.549328	-0.007993	0.018523	0.011755	20.068492	-86.601205	126.933069
21851	9.765813	0.074364	0.453836	-0.026965	0.014218	0.000861	18.690656	-86.640340	128.075169
21852	9.743856	-0.012875	0.410177	-0.023908	0.017050	-0.003197	18.653277	-86.630499	128.098891
21853	9.685402	-0.033999	0.349578	-0.000960	0.018132	-0.003250	18.601299	-86.619694	128.150993
21854	9.636877	0.099767	0.341198	0.018252	0.015075	-0.002054	18.584053	-86.611132	128.178745
21855	9.677236	0.223093	0.415555	0.020583	0.014117	-0.006126	18.604244	-86.603023	128.170316
21856	9.703160	0.373160	0.379550	0.015289	0.017210	-0.003587	18.592866	-86.593022	128.190489
21857	9.688906	0.536758	0.481940	0.017862	0.021827	-0.002801	18.570351	-86.581799	128.223329
21858	9.752706	0.641344	0.436029	0.008830	0.020782	0.000985	18.503195	-86.570689	128.295673
21859	9.810974	0.662086	0.500409	0.006306	0.021694	0.014095	18.368561	-86.562289	128.434385
21860	9.829050	0.685773	0.458017	0.000865	0.027226	0.022877	18.081042	-86.551572	128.722921
21861	9.769830	0.651207	0.498374	0.003345	0.026872	0.029250	17.863368	-86.542309	128.943401
21862	9.747060	0.550075	0.555712	0.002424	0.023033	0.038274	17.453016	-86.536385	129.355893
21863	9.757610	0.457626	0.578347	0.009372	0.020712	0.045550	17.178743	-86.532166	129.636811
21864	9.710251	0.353313	0.610803	0.005707	0.016875	0.052014	16.665125	-86.531590	130.154647
21865	9.739263	0.295690	0.660532	0.014575	0.012633	0.048598	16.425998	-86.530963	130.403491
21866	9.749235	0.192219	0.609679	0.020627	0.011133	0.054090	15.917319	-86.533467	130.924943
21867	9.736146	0.107546	0.506916	0.034479	0.010838	0.052615	15.663288	-86.533158	131.200171
21868	9.705157	0.007861	0.521450	0.046828	0.010366	0.051769	15.191922	-86.535323	131.699280
21869	9.738524	0.012553	0.488010	0.053079	0.008903	0.048221	14.964982	-86.536453	131.957928
21870	9.813110	0.024048	0.461469	0.053229	0.006455	0.041975	14.595548	-86.539013	132.358591
21871	9.837575	0.022320	0.486331	0.043150	0.005652	0.033527	14.470806	-86.541721	132.508831
21872	9.822794	0.045840	0.549004	0.034093	0.006811	0.029288	14.205300	-86.542099	132.794391
21873	9.704271	0.097072	0.518078	0.021316	0.008506	0.015493	14.192300	-86.541656	132.820625
21874	9.905136	0.055155	0.564565	0.016323	0.004560	0.013559	14.066417	-86.541012	132.956107
21875	9.798211	0.039654	0.526917	0.005384	0.012310	0.009194	14.072824	-86.538630	132.953266
21876	9.733524	-0.064801	0.575736	0.024553	0.001471	0.004557	14.041675	-86.538438	132.998566
21877	9.886382	0.017776	0.538247	0.040896	-0.004437	0.000802	14.139701	-86.545822	132.923382
