// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
21849	9.475922	1.237081	2.087029	-0.004890	-0.013049	0.012456	30.663167	-75.634016	170.272926
21850	9.476387	1.236137	2.085477	-0.002812	-0.020726	0.005759	30.651277	-75.644086	170.289367
21851	9.482380	1.226120	2.024679	-0.003753	-0.022139	0.006175	30.674405	-75.646731	170.263525
21852	9.530526	1.260693	2.031728	-0.003544	-0.019663	0.000310	30.694251	-75.656510	170.240943
21853	9.536394	1.237453	2.024191	-0.006442	-0.014911	0.002006	30.698933	-75.664001	170.233000
21854	9.531447	1.217481	1.995498	-0.003651	-0.007171	-0.003758	30.712295	-75.666435	170.217050
21855	9.515344	1.230388	2.032286	-0.006344	0.000055	-0.007927	30.724242	-75.664318	170.200990
21856	9.520335	1.264458	2.007347	-0.002779	0.003239	-0.003722	30.726112	-75.661633	170.197417
21857	9.504262	1.263290	2.097375	-0.012032	-0.002936	-0.000467	30.724619	-75.663436	170.191916
21858	9.530949	1.261250	2.029398	-0.004454	0.004886	0.000732	30.715060	-75.661244	170.199148
21859	9.504153	1.276523	2.045012	-0.009778	-0.000636	0.001428	30.709393	-75.662548	170.199342
21860	9.530606	1.303405	2.063561	-0.008955	0.002289	0.006432	30.689245	-75.663302	170.214842
21861	9.541732	1.256112	2.051841	-0.013087	-0.000839	0.014856	30.658069	-75.668681	170.239540
21862	9.461969	1.258130	2.064232	-0.011900	-0.000443	0.013096	30.626486	-75.672724	170.265100
21863	9.494422	1.218072	2.042941	-0.006992	-0.001875	0.014641	30.601605	-75.678690	170.286985
21864	9.510476	1.247044	2.039186	-0.012072	-0.008415	0.013990	30.577265	-75.686920	170.304966
21865	9.468233	1.230656	2.057402	-0.010554	-0.005054	0.010436	30.562975	-75.693680	170.313872
21866	9.468532	1.229671	2.056613	-0.002264	-0.013279	0.007587	30.562169	-75.702442	170.313365
21867	9.522120	1.240693	2.058343	-0.005946	-0.014948	0.008801	30.565508	-75.713796	170.306833
21868	9.511813	1.242797	2.035539	-0.003604	-0.008664	0.010251	30.553490	-75.721057	170.317104
21869	9.533364	1.249167	2.025527	-0.007198	-0.006347	0.011019	30.543440	-75.729181	170.323741
21870	9.522942	1.237544	2.056439	-0.004040	0.000861	0.007981	30.524654	-75.731080	170.340735
