idx,YOLO_pred,LSTM_pred,YOLO_true,LSTM_true
5,6,2,6,2
10,6,2,6,2
15,6,2,6,2
20,6,2,6,2
25,6,2,6,2
30,6,2,6,2
35,6,2,6,2
40,6,2,6,2
45,6,2,6,2
50,6,2,6,2
55,6,2,6,2
60,6,2,6,2
65,6,2,6,2
70,6,2,6,2
75,6,2,6,2
80,6,2,6,2
85,6,2,6,2
90,6,2,6,2
95,6,2,6,2
100,6,2,6,2
105,6,2,6,2
110,6,2,6,2
115,6,2,6,2
120,6,2,6,2
125,6,2,6,2
130,6,2,6,2
135,6,2,6,2
140,6,2,6,2
145,5,2,5,1
150,5,1,5,1
155,5,1,5,1
160,5,1,5,1
165,5,1,5,1
170,3,1,5,1
175,3,1,5,1
180,3,1,5,1
185,3,1,3,1
190,3,1,3,1
195,3,1,3,1
200,3,1,3,1
205,3,1,3,1
210,3,1,3,1
215,3,1,3,1
220,3,1,3,1
225,3,1,3,1
230,3,1,3,1
235,3,1,3,1
240,3,1,3,1
245,3,1,3,1
250,3,1,3,1
255,3,1,3,1
260,3,1,3,1
265,3,1,3,1
270,3,1,3,1
275,3,1,3,1
280,3,1,3,1
285,3,1,3,1
290,3,1,3,1
295,3,1,3,1
300,3,1,3,1
305,3,1,3,1
310,3,1,3,1
315,3,1,3,1
320,3,1,3,1
325,3,1,3,1
330,3,1,3,1
335,3,1,4,1
340,4,1,4,1
345,4,1,4,1
350,4,1,4,1
355,4,1,4,1
360,4,1,4,1
365,4,1,4,1
370,4,1,4,1
375,4,1,4,1
380,4,1,4,1
385,4,1,4,1
390,4,1,4,1
395,6,1,6,2
400,6,2,6,2
405,6,2,6,2
410,6,2,6,2
415,6,2,6,2
420,6,2,6,2
425,6,2,6,2
430,6,2,6,2
435,6,2,6,2
440,6,2,6,2
445,6,2,6,2
450,6,2,6,2
455,6,2,6,2
460,6,2,6,2
465,6,2,6,2
470,6,2,6,2
475,6,2,6,2
480,6,2,6,2
485,6,2,6,2
490,6,2,6,2
495,6,2,6,2
500,6,2,6,2
505,6,2,6,2
510,6,2,6,2
515,6,2,6,2
520,6,2,6,2
525,6,2,6,2
530,6,2,6,2
535,6,2,6,2
540,6,2,6,2
545,6,2,6,2
550,6,2,6,2
555,6,2,6,2
560,6,2,6,2
565,6,2,6,2
570,6,2,6,2
575,6,2,6,2
580,6,2,6,2
585,6,2,6,2
590,6,2,6,2
595,6,2,6,2
600,6,2,6,2
605,6,2,6,2
610,6,2,6,2
615,6,2,2,0
620,2,2,2,0
625,2,1,2,0
630,2,0,2,0
635,2,0,2,0
640,2,0,2,0
645,2,0,2,0
650,2,0,2,0
655,2,0,0,0
660,2,0,0,0
665,0,0,0,0
670,0,0,0,0
675,0,0,0,0
680,0,0,0,0
685,0,0,0,0
690,0,0,0,0
695,0,0,0,0
700,0,0,0,0
705,0,0,0,0
710,0,0,0,0
715,0,0,0,0
720,0,0,0,0
725,0,0,0,0
730,0,0,0,0
735,0,0,0,0
740,0,0,0,0
745,0,0,0,0
750,0,0,0,0
755,0,0,0,0
760,0,0,0,0
765,0,0,0,0
770,0,0,0,0
775,0,0,0,0
780,0,0,0,0
785,0,0,0,0
790,0,0,0,0
795,0,0,0,0
800,0,0,0,0
805,0,0,0,0
810,0,0,0,0
815,0,0,0,0
820,0,0,0,0
825,0,0,1,0
830,1,0,1,0
835,1,0,1,0
840,1,0,1,0
845,1,0,1,0
850,1,0,1,0
855,1,0,1,0
860,1,0,1,0
865,1,0,1,0
870,6,0,1,0
875,6,2,6,2
880,6,2,6,2
885,6,2,6,2
890,6,2,6,2
895,6,2,6,2
900,6,2,6,2
905,6,2,6,2
910,6,2,6,2
915,6,2,6,2
920,6,2,6,2
925,6,2,6,2
930,6,2,6,2
935,6,2,6,2
940,6,2,6,2
945,6,2,6,2
950,6,2,6,2
955,6,2,6,2
960,6,2,6,2
965,6,2,6,2
970,6,2,6,2
975,6,2,6,2
980,6,2,6,2
