idx,YOLO_pred,LSTM_pred,YOLO_true,LSTM_true
10,6,2,6,2
15,6,2,6,2
20,6,2,6,2
25,6,2,6,2
30,6,2,6,2
35,6,2,6,2
40,6,2,6,2
45,6,2,6,2
50,6,2,6,2
55,6,2,6,2
60,6,2,6,2
65,6,2,6,2
70,6,2,6,2
75,6,2,6,2
80,6,2,6,2
85,6,2,6,2
90,6,2,6,2
95,6,2,6,2
100,6,2,6,2
105,6,2,6,2
110,6,2,6,2
115,6,2,6,2
120,6,2,6,2
125,6,2,6,2
130,6,2,6,2
135,6,2,6,2
140,6,2,6,2
145,6,2,6,2
150,6,2,6,2
155,1,2,6,2
160,6,2,6,2
165,6,2,6,2
170,6,2,6,2
175,6,2,6,2
180,6,2,6,2
185,6,2,6,2
190,6,2,6,2
195,6,1,5,1
200,3,1,5,1
205,3,1,5,1
210,3,1,5,1
215,3,1,5,1
220,3,1,5,1
225,3,1,5,1
230,6,1,5,1
235,3,2,3,1
240,3,1,3,1
245,5,1,3,1
250,5,1,3,1
255,5,1,3,1
260,6,1,3,1
265,3,1,3,1
270,3,1,3,1
275,3,1,3,1
280,3,1,3,1
285,3,1,3,1
290,3,1,3,1
295,3,1,3,1
300,3,1,3,1
305,3,1,3,1
310,3,1,3,1
315,6,1,3,1
320,6,1,3,1
325,6,1,3,1
330,3,2,3,1
335,3,1,3,1
340,3,1,3,1
345,3,1,3,1
350,3,1,3,1
355,3,1,3,1
360,3,1,3,1
365,3,1,3,1
370,3,1,3,1
375,6,1,3,1
380,3,1,3,1
385,6,2,3,1
390,4,1,3,1
395,4,1,4,1
400,4,1,4,1
405,4,1,4,1
410,4,1,4,1
415,4,1,4,1
420,4,1,4,1
425,4,1,6,2
430,4,1,6,2
435,4,1,6,2
440,6,1,6,2
445,6,2,6,2
450,6,2,6,2
455,6,2,6,2
460,6,2,6,2
465,6,2,6,2
470,6,2,6,2
475,6,2,6,2
480,6,2,6,2
485,6,2,6,2
490,6,2,6,2
495,6,2,6,2
500,6,2,6,2
505,6,2,6,2
510,6,2,6,2
515,6,2,6,2
520,6,2,6,2
525,6,2,6,2
530,6,2,6,2
535,6,2,6,2
540,6,2,6,2
545,5,2,5,1
550,5,1,5,1
555,5,1,5,1
560,3,1,5,1
565,3,1,5,1
570,3,1,5,1
575,3,1,3,1
580,3,1,3,1
585,3,1,3,1
590,3,1,3,1
595,3,1,3,1
600,3,1,3,1
605,3,1,3,1
610,3,1,3,1
615,3,1,3,1
620,3,1,3,1
625,3,1,3,1
630,3,1,3,1
635,3,1,3,1
640,3,1,3,1
645,3,1,3,1
650,3,1,3,1
655,3,1,3,1
660,3,1,3,1
665,3,1,3,1
670,5,1,3,1
675,4,1,3,1
680,3,1,3,1
685,3,1,3,1
690,3,1,3,1
695,3,1,3,1
700,3,1,3,1
705,3,1,3,1
710,3,1,3,1
715,3,1,3,1
720,4,1,3,1
725,4,1,4,1
730,4,1,4,1
735,4,1,4,1
740,4,1,4,1
745,4,1,4,1
750,4,1,4,1
755,4,1,4,1
760,4,1,4,1
765,6,1,6,2
770,6,2,6,2
775,6,2,6,2
780,6,2,6,2
785,6,2,6,2
790,6,2,6,2
795,6,2,6,2
800,6,2,6,2
805,6,2,6,2
810,6,2,6,2
815,6,2,6,2
820,6,2,6,2
825,6,2,6,2
830,6,2,6,2
835,6,2,6,2
840,6,2,6,2
845,6,2,6,2
850,6,2,6,2
855,6,2,6,2
860,6,2,6,2
865,6,2,6,2
870,6,2,6,2
875,6,2,6,2
880,6,2,6,2
885,6,2,6,2
890,6,2,6,2
895,6,2,6,2
900,6,2,6,2
905,5,2,5,1
910,5,1,5,1
915,5,1,5,1
920,5,1,5,1
925,5,1,5,1
930,3,1,5,1
935,3,1,5,1
940,3,1,3,1
945,3,1,3,1
950,3,1,3,1
955,3,1,3,1
960,3,1,3,1
965,3,1,3,1
970,5,1,3,1
975,3,1,3,1
980,5,1,3,1
985,6,1,3,1
990,6,2,3,1
995,3,1,3,1
1000,3,1,3,1
1005,3,1,3,1
1010,3,1,3,1
1015,3,1,3,1
1020,3,1,3,1
1025,3,2,3,1
1030,4,1,3,1
1035,6,1,3,1
1040,6,1,3,1
1045,4,2,3,1
1050,3,1,3,1
1055,4,1,3,1
1060,4,1,3,1
1065,3,1,3,1
1070,3,1,3,1
1075,3,1,3,1
1080,3,1,3,1
1085,3,1,3,1
1090,3,1,3,1
1095,5,1,3,1
1100,3,1,3,1
1105,3,1,3,1
1110,3,1,3,1
1115,3,1,3,1
1120,3,1,3,1
1125,3,1,3,1
1130,3,1,3,1
1135,3,1,3,1
1140,3,1,3,1
1145,3,1,3,1
1150,3,1,3,1
1155,3,1,3,1
1160,4,1,3,1
1165,4,1,4,1
1170,4,1,4,1
1175,4,1,4,1
1180,4,1,4,1
1185,4,1,4,1
1190,4,1,4,1
1195,4,1,4,1
1200,4,1,4,1
1205,4,1,4,1
1210,4,1,4,1
1215,4,1,6,2
1220,6,1,6,2
1225,6,2,6,2
1230,6,2,6,2
1235,6,2,6,2
1240,6,2,6,2
1245,6,2,6,2
1250,6,2,6,2
1255,6,2,6,2
1260,6,2,6,2
1265,6,2,6,2
1270,6,2,6,2
1275,6,2,6,2
1280,6,2,6,2
1285,6,2,6,2
1290,6,2,6,2
1295,6,2,6,2
1300,6,2,6,2
1305,6,2,6,2
1310,6,2,6,2
1315,6,2,6,2
1320,6,2,6,2
1325,6,2,6,2
1330,6,2,6,2
1335,6,2,6,2
1340,6,2,6,2
1345,6,2,6,2
1350,1,2,6,2
1355,0,2,6,2
1360,1,0,6,2
1365,6,0,6,2
1370,6,1,2,0
1375,6,2,2,0
1380,0,2,2,0
1385,2,0,2,0
1390,2,0,2,0
1395,0,0,2,0
1400,0,0,2,0
1405,0,0,0,0
1410,0,0,0,0
1415,2,0,0,0
1420,0,0,0,0
1425,0,0,0,0
1430,0,0,0,0
1435,0,0,0,0
1440,0,0,0,0
1445,0,0,0,0
1450,0,0,0,0
1455,0,0,0,0
1460,0,0,0,0
1465,0,0,0,0
1470,0,0,0,0
1475,0,0,0,0
1480,0,0,0,0
1485,0,0,0,0
1490,0,0,0,0
1495,0,0,0,0
1500,0,0,0,0
1505,0,0,0,0
1510,0,0,0,0
1515,0,0,0,0
1520,0,0,0,0
1525,0,0,0,0
1530,0,0,0,0
1535,0,0,0,0
1540,0,0,0,0
1545,0,0,0,0
1550,0,0,0,0
1555,0,0,0,0
1560,0,0,0,0
1565,0,0,0,0
1570,0,0,0,0
1575,0,0,0,0
1580,0,0,0,0
1585,0,0,0,0
1590,0,0,0,0
1595,0,0,0,0
1600,0,0,0,0
1605,0,0,0,0
1610,0,0,0,0
1615,0,0,0,0
1620,0,0,0,0
1625,0,0,0,0
1630,0,0,0,0
1635,0,0,0,0
1640,0,0,0,0
1645,0,0,0,0
1650,0,0,0,0
1655,0,0,0,0
1660,0,0,0,0
1665,0,0,0,0
1670,0,0,0,0
1675,0,0,1,0
1680,0,0,1,0
1685,1,0,1,0
1690,1,0,1,0
1695,1,0,1,0
1700,1,0,1,0
1705,1,2,1,0
1710,6,2,1,0
1715,6,2,6,2
1720,6,2,6,2
1725,6,2,6,2
1730,6,2,6,2
1735,6,2,6,2
1740,6,2,6,2
1745,6,2,6,2
1750,6,2,6,2
1755,6,2,6,2
1760,6,2,6,2
1765,6,2,6,2
1770,6,2,6,2
1775,6,2,6,2
1780,6,2,6,2
1785,6,2,6,2
1790,6,2,6,2
1795,6,2,6,2
1800,6,2,6,2
1805,6,2,6,2
1810,6,2,6,2
1815,6,2,6,2
1820,6,2,6,2
1825,6,2,6,2
1830,6,2,6,2
1835,1,2,6,2
1840,6,2,6,2
1845,0,2,6,2
1850,0,0,6,2
1855,6,0,6,2
1860,0,0,6,2
1865,0,0,6,2
1870,0,0,6,2
1875,0,0,2,0
1880,0,0,2,0
1885,0,0,2,0
1890,3,0,2,0
1895,0,0,2,0
1900,3,0,2,0
1905,2,0,2,0
1910,2,0,2,0
1915,2,0,2,0
1920,2,0,2,0
1925,0,0,2,0
1930,3,0,0,0
1935,2,0,0,0
1940,3,0,0,0
1945,2,0,0,0
1950,3,1,0,0
1955,0,0,0,0
1960,3,0,0,0
1965,0,1,0,0
1970,3,1,0,0
1975,3,1,0,0
1980,3,1,0,0
1985,3,1,0,0
1990,3,1,0,0
1995,3,0,0,0
2000,3,1,0,0
2005,3,1,0,0
2010,0,1,0,0
2015,0,0,0,0
2020,0,0,0,0
2025,0,0,0,0
2030,0,0,0,0
2035,0,0,0,0
2040,0,0,0,0
2045,0,0,0,0
2050,0,0,0,0
2055,0,0,0,0
2060,6,0,0,0
2065,6,2,1,0
2070,6,2,1,0
2075,6,2,1,0
2080,6,2,1,0
2085,6,2,1,0
2090,6,2,6,2
2095,6,2,6,2
2100,6,2,6,2
2105,6,2,6,2
2110,6,2,6,2
2115,6,2,6,2
2120,6,2,6,2
2125,6,2,6,2
2130,6,2,6,2
2135,6,2,6,2
2140,6,2,6,2
2145,6,2,6,2
2150,6,2,6,2
2155,6,2,6,2
2160,6,2,6,2
2165,6,2,6,2
2170,6,2,6,2
2175,6,2,6,2
2180,6,2,6,2
2185,6,2,6,2
2190,0,2,6,2
2195,0,0,6,2
2200,0,0,6,2
2205,0,0,2,0
2210,0,0,2,0
2215,0,0,2,0
2220,0,0,2,0
2225,0,0,2,0
2230,0,0,2,0
2235,0,0,2,0
2240,0,0,2,0
2245,0,0,2,0
2250,0,0,2,0
2255,0,0,2,0
2260,0,0,2,0
2265,0,0,0,0
2270,0,0,0,0
2275,0,0,0,0
2280,0,0,0,0
2285,0,0,0,0
2290,0,0,0,0
2295,0,0,0,0
2300,2,0,0,0
2305,0,0,0,0
2310,0,0,0,0
2315,0,0,0,0
2320,0,0,0,0
2325,3,0,0,0
2330,2,0,0,0
2335,3,1,0,0
2340,2,1,0,0
2345,3,0,0,0
2350,0,0,0,0
2355,3,0,0,0
2360,3,1,0,0
2365,3,1,0,0
2370,3,1,0,0
2375,3,1,0,0
2380,3,1,0,0
2385,4,1,0,0
2390,4,1,0,0
2395,1,1,1,0
2400,1,1,1,0
2405,6,0,1,0
2410,6,0,1,0
2415,6,2,1,0
2420,6,2,1,0
2425,6,2,6,2
2430,6,2,6,2
2435,6,2,6,2
2440,6,2,6,2
2445,6,2,6,2
2450,6,2,6,2
2455,6,2,6,2
2460,6,2,6,2
2465,6,2,6,2
2470,6,2,6,2
2475,6,2,6,2
2480,6,2,6,2
2485,6,2,6,2
2490,6,2,6,2
2495,6,2,6,2
2500,6,2,6,2
2505,6,2,6,2
2510,6,2,6,2
2515,6,2,6,2
2520,6,2,6,2
2525,6,2,6,2
2530,6,2,6,2
2535,6,2,6,2
2540,6,2,6,2
2545,6,2,6,2
2550,6,2,6,2
2555,6,2,6,2
2560,6,2,6,2
2565,6,2,6,2
2570,6,2,6,2
2575,6,2,6,2
2580,6,2,6,2
