idx,YOLO_pred,LSTM_pred,YOLO_true,LSTM_true,YOLO_pred
1710,6,2,6,2,6
1715,6,2,6,2,6
1720,6,2,6,2,6
1725,6,2,6,2,6
1730,6,2,6,2,6
1735,6,2,6,2,6
1740,6,2,6,2,6
1745,6,2,6,2,6
1750,6,2,6,2,6
1755,6,2,6,2,6
1760,6,2,6,2,6
1765,6,2,6,2,6
1770,4,2,6,2,3
1775,6,2,6,2,6
1780,6,2,6,2,6
1785,6,2,6,2,6
1790,3,2,6,2,3
1795,5,1,3,2,3
1800,6,1,3,1,6
1805,3,1,3,1,3
1810,3,1,3,1,3
1815,3,1,3,1,3
1820,3,1,3,1,3
1825,3,1,3,1,3
1830,3,1,3,1,3
1835,3,1,3,1,3
1840,3,1,3,1,3
1845,3,1,3,1,3
1850,3,1,3,1,3
1855,3,1,3,1,3
1860,3,1,3,1,3
1865,3,1,3,1,3
1870,3,1,3,1,3
1875,3,1,3,1,3
1880,3,1,3,1,3
1885,3,1,3,1,3
1890,3,1,3,1,3
1895,3,1,3,1,3
1900,3,1,3,1,3
1905,3,1,3,1,3
1910,3,1,3,1,3
1915,3,1,3,1,3
1920,3,1,3,1,3
1925,3,1,3,1,3
1930,4,1,3,1,3
1935,4,1,3,1,3
1940,4,1,3,1,3
1945,4,1,3,1,3
1950,4,1,3,1,3
1955,4,1,3,1,3
1960,4,1,3,1,3
1965,4,1,3,1,3
1970,6,1,3,1,6
1975,6,2,6,1,6
1980,6,2,6,2,6
1985,6,2,6,2,6
1990,6,2,6,2,6
1995,6,2,6,2,6
2000,6,2,6,2,6
2005,6,2,6,2,6
2010,6,2,6,2,6
2015,6,2,6,2,6
2020,6,2,6,2,6
2025,6,2,6,2,6
2030,6,2,6,2,6
2035,6,2,6,2,6
2040,6,2,6,2,6
2045,6,2,6,2,6
2050,6,2,6,2,6
2055,6,2,6,2,6
2060,6,2,6,2,6
2065,6,2,6,2,6
2070,6,2,6,2,6
2075,6,2,6,2,6
2080,6,2,6,2,6
2085,6,2,6,2,6
2090,6,2,6,2,6
2095,6,2,6,2,6
2100,6,2,6,2,6
2105,6,2,6,2,6
2110,6,2,6,2,6
2115,1,2,6,2,0
2120,1,2,6,2,0
2125,1,2,6,0,0
2130,6,0,0,0,6
2135,6,0,0,0,6
2140,2,0,0,0,0
2145,2,0,0,0,0
2150,0,0,0,0,0
2155,0,0,0,0,0
2160,0,0,0,0,0
2165,0,0,0,0,0
2170,0,0,0,0,0
2175,0,0,0,0,0
2180,0,0,0,0,0
2185,0,0,0,0,0
2190,0,0,0,0,0
2195,0,0,0,0,0
2200,0,0,0,0,0
2205,0,0,0,0,0
2210,0,0,0,0,0
2215,0,0,0,0,0
2220,0,0,0,0,0
2225,0,0,0,0,0
2230,0,0,0,0,0
2235,0,0,0,0,0
2240,0,0,0,0,0
2245,0,0,0,0,0
2250,0,0,0,0,0
2255,0,0,0,0,0
2260,0,0,0,0,0
2265,0,0,0,0,0
2270,0,0,0,0,0
2275,0,0,0,0,0
2280,1,0,0,0,0
2285,1,0,0,0,0
2290,1,0,0,0,0
2295,1,0,0,0,0
2300,1,0,0,0,0
2305,1,0,0,0,0
2310,1,0,0,0,0
2315,6,0,0,0,6
2320,6,2,6,0,6
2325,6,2,6,2,6
2330,6,2,6,2,6
2335,6,2,6,2,6
2340,6,2,6,2,6
2345,6,2,6,2,6
2350,6,2,6,2,6
2355,6,2,6,2,6
2360,6,2,6,2,6
2365,6,2,6,2,6
2370,6,2,6,2,6
2375,6,2,6,2,6
2380,6,2,6,2,6
2385,6,2,6,2,6
2390,6,2,6,2,6
2395,6,2,6,2,6
2400,6,2,6,2,6
