idx,YOLO_pred,LSTM_pred,YOLO_true,LSTM_true
10,6,2,6,2
15,6,2,6,2
20,6,2,6,2
25,6,2,6,2
30,6,2,6,2
35,6,2,6,2
40,6,2,6,2
45,6,2,6,2
50,6,2,6,2
55,6,2,6,2
60,6,2,6,2
65,6,2,6,2
70,6,2,6,2
75,6,2,6,2
80,6,2,6,2
85,6,2,6,2
90,6,2,6,2
95,6,2,6,2
100,6,2,6,2
105,6,2,6,2
110,6,2,6,2
115,6,2,6,2
120,6,2,6,2
125,6,2,6,2
130,6,2,6,2
135,6,2,6,2
140,6,2,6,2
145,6,2,6,2
150,6,2,6,2
155,6,2,6,2
160,6,2,6,2
165,6,2,6,2
170,6,2,6,2
175,6,2,6,2
180,6,2,6,2
185,6,2,6,2
190,6,2,6,2
195,6,2,6,2
200,6,2,6,2
205,6,2,6,2
210,6,2,6,2
215,6,2,6,2
220,6,2,6,2
225,6,2,6,2
230,6,2,6,2
235,6,2,6,2
240,6,2,6,2
245,6,2,6,2
250,6,2,6,2
255,6,2,6,2
260,6,2,6,2
265,6,2,6,2
270,6,2,6,2
275,6,2,6,2
280,6,2,6,2
285,6,2,6,2
290,6,2,6,2
295,6,2,6,2
300,6,2,6,2
305,6,2,6,2
310,6,2,6,2
315,6,2,6,2
320,6,2,6,2
325,5,2,5,1
330,5,1,5,1
335,6,1,5,1
340,3,1,3,1
345,3,1,3,1
350,3,1,3,1
355,3,1,3,1
360,3,1,3,1
365,3,1,3,1
370,3,1,3,1
375,3,1,3,1
380,3,1,3,1
385,3,1,3,1
390,3,1,3,1
395,3,1,3,1
400,3,1,3,1
405,3,1,3,1
410,3,1,3,1
415,3,1,3,1
420,3,1,3,1
425,3,1,3,1
430,3,1,3,1
435,3,1,3,1
440,3,1,3,1
445,3,1,3,1
450,3,1,3,1
455,3,1,3,1
460,3,1,3,1
465,3,1,3,1
470,3,1,3,1
475,3,1,4,1
480,4,1,4,1
485,4,1,4,1
490,4,1,4,1
495,4,1,4,1
500,4,1,4,1
505,4,1,4,1
510,4,1,4,1
515,6,1,6,2
520,6,2,6,2
525,6,2,6,2
530,6,2,6,2
535,6,2,6,2
540,6,2,6,2
545,6,2,6,2
550,6,2,6,2
555,6,2,6,2
560,6,2,6,2
565,6,2,6,2
570,6,2,6,2
575,6,2,6,2
580,6,2,6,2
585,6,2,6,2
590,6,2,6,2
595,6,2,6,2
600,6,2,6,2
605,6,2,6,2
610,6,2,6,2
615,6,2,6,2
620,6,2,6,2
625,6,2,6,2
630,6,2,6,2
635,6,2,6,2
640,6,2,6,2
645,6,2,6,2
650,6,2,6,2
655,6,2,6,2
660,6,2,6,2
665,6,2,6,2
670,6,2,6,2
675,6,2,6,2
680,6,2,6,2
685,6,2,2,0
690,2,2,2,0
695,2,2,2,0
700,2,0,2,0
705,0,0,2,0
710,0,0,2,0
715,0,0,0,0
720,0,0,0,0
725,0,0,0,0
730,0,0,0,0
735,0,0,0,0
740,0,0,0,0
745,0,0,0,0
750,0,0,0,0
755,0,0,0,0
760,0,0,0,0
765,0,0,0,0
770,0,0,0,0
775,0,0,0,0
780,0,0,0,0
785,0,0,0,0
790,0,0,0,0
795,0,0,0,0
800,0,0,0,0
805,0,0,0,0
810,1,0,0,0
815,0,0,0,0
820,0,0,0,0
825,0,0,0,0
830,0,0,0,0
835,0,0,0,0
840,0,0,0,0
845,1,0,0,0
850,1,0,0,0
855,1,0,1,0
860,1,0,1,0
865,1,0,1,0
870,1,0,1,0
875,1,0,1,0
880,1,0,1,0
885,6,0,6,2
890,6,2,6,2
895,6,2,6,2
900,6,2,6,2
905,6,2,6,2
910,6,2,6,2
915,6,2,6,2
920,6,2,6,2
925,6,2,6,2
930,6,2,6,2
935,6,2,6,2
940,6,2,6,2
945,6,2,6,2
950,6,2,6,2
955,6,2,6,2
960,6,2,6,2
965,6,2,6,2
970,6,2,6,2
975,6,2,6,2
980,6,2,6,2
985,6,2,6,2
990,6,2,6,2
995,6,2,6,2
1000,6,2,6,2
1005,6,2,6,2
1010,6,2,6,2
1015,6,2,6,2
1020,6,2,6,2
