idx,YOLO_pred,LSTM_pred,LSTM_pred
10,6,2,2
15,6,2,2
20,6,2,2
25,6,2,2
30,6,2,2
35,6,2,2
40,6,2,2
45,6,2,2
50,6,2,2
55,6,2,2
60,6,2,2
65,6,2,2
70,6,2,2
75,6,2,2
80,6,2,2
85,6,2,2
90,6,2,2
95,6,2,2
100,6,2,2
105,6,2,2
110,6,2,2
115,6,2,2
120,6,2,2
125,6,2,1
130,4,2,1
135,4,2,1
140,4,1,1
145,6,1,1
150,4,2,1
155,3,1,1
160,6,1,1
165,6,1,1
170,6,2,2
175,6,2,2
180,3,2,2
185,3,1,2
190,6,1,2
195,6,2,2
200,4,1,2
205,6,1,2
210,6,1,2
215,6,2,2
220,6,2,2
225,6,2,2
230,6,2,2
235,6,2,2
240,6,2,2
245,6,2,2
250,6,2,2
255,6,2,2
260,6,2,2
265,6,2,2
270,6,2,2
275,6,2,2
280,6,2,2
285,6,2,2
290,6,2,2
295,6,2,2
300,6,2,2
305,6,2,2
310,6,2,2
315,6,2,2
320,6,2,2
325,6,2,2
330,6,2,2
335,6,2,2
340,6,2,2
345,6,2,2
350,6,2,2
355,6,2,2
360,6,2,2
365,3,2,2
370,3,2,2
375,6,2,2
380,3,2,2
385,4,2,2
390,3,2,2
395,6,2,2
400,6,2,2
405,6,2,2
410,4,2,2
415,4,2,0
420,4,1,0
425,4,1,0
430,4,1,0
435,4,1,0
440,4,1,0
445,4,1,0
450,4,1,0
455,6,1,0
460,6,2,0
465,6,2,0
470,6,2,2
475,6,2,2
480,6,2,2
485,6,2,2
490,6,2,2
495,6,2,2
500,6,2,2
505,6,2,2
510,6,2,2
515,6,2,2
520,6,2,2
525,6,2,2
530,6,2,2
535,6,2,2
540,6,2,2
545,6,2,2
550,6,2,2
555,6,2,2
560,6,2,2
565,6,2,2
570,6,2,2
575,6,2,2
580,6,2,2
585,6,2,2
590,6,2,2
595,6,2,2
600,6,2,2
