                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.22173,                  0.908,                      1,                 1.2585,                0.06703,             0.00033303,             0.00033303
                      2,                0.10826,                 0.9765,                      1,                 1.1903,               0.034026,             0.00066196,             0.00066196
                      3,                0.08654,                  0.971,                      1,                 1.1951,              0.0010169,              0.0009865,              0.0009865
                      4,                0.07558,                 0.9655,                      1,                 1.2031,              0.0009802,              0.0009802,              0.0009802
                      5,                0.07216,                 0.9835,                      1,                 1.1873,              0.0009802,              0.0009802,              0.0009802
                      6,                0.05358,                  0.983,                      1,                 1.1848,              0.0009736,              0.0009736,              0.0009736
                      7,                0.05806,                 0.9795,                      1,                  1.186,               0.000967,               0.000967,               0.000967
                      8,                0.05363,                  0.982,                      1,                 1.1847,              0.0009604,              0.0009604,              0.0009604
                      9,                0.04439,                 0.9765,                      1,                 1.1884,              0.0009538,              0.0009538,              0.0009538
                     10,                0.04985,                 0.9865,                      1,                 1.1798,              0.0009472,              0.0009472,              0.0009472
                     11,                0.04852,                  0.981,                      1,                 1.1865,              0.0009406,              0.0009406,              0.0009406
                     12,                 0.0391,                 0.9845,                      1,                 1.1817,               0.000934,               0.000934,               0.000934
                     13,                0.04802,                  0.987,                      1,                 1.1805,              0.0009274,              0.0009274,              0.0009274
                     14,                0.04048,                  0.986,                      1,                 1.1803,              0.0009208,              0.0009208,              0.0009208
                     15,                0.03418,                 0.9835,                      1,                  1.183,              0.0009142,              0.0009142,              0.0009142
                     16,                0.03406,                  0.986,                      1,                 1.1798,              0.0009076,              0.0009076,              0.0009076
                     17,                0.03919,                 0.9845,                      1,                 1.1816,               0.000901,               0.000901,               0.000901
                     18,                0.04168,                  0.986,                      1,                 1.1808,              0.0008944,              0.0008944,              0.0008944
                     19,                0.03636,                 0.9845,                      1,                 1.1816,              0.0008878,              0.0008878,              0.0008878
                     20,                0.02674,                 0.9875,                      1,                 1.1789,              0.0008812,              0.0008812,              0.0008812
                     21,                0.03014,                 0.9885,                      1,                 1.1769,              0.0008746,              0.0008746,              0.0008746
                     22,                0.02865,                 0.9875,                      1,                 1.1784,               0.000868,               0.000868,               0.000868
                     23,                0.03068,                 0.9865,                      1,                  1.178,              0.0008614,              0.0008614,              0.0008614
                     24,                 0.0274,                 0.9915,                      1,                 1.1759,              0.0008548,              0.0008548,              0.0008548
                     25,                0.02593,                 0.9875,                      1,                 1.1775,              0.0008482,              0.0008482,              0.0008482
                     26,                0.02634,                 0.9875,                      1,                 1.1776,              0.0008416,              0.0008416,              0.0008416
                     27,                0.03461,                 0.9855,                      1,                 1.1792,               0.000835,               0.000835,               0.000835
                     28,                 0.0222,                 0.9845,                      1,                 1.1801,              0.0008284,              0.0008284,              0.0008284
                     29,                0.01662,                  0.988,                      1,                 1.1772,              0.0008218,              0.0008218,              0.0008218
                     30,                0.02514,                  0.986,                      1,                 1.1793,              0.0008152,              0.0008152,              0.0008152
                     31,                0.02847,                 0.9865,                      1,                 1.1796,              0.0008086,              0.0008086,              0.0008086
                     32,                 0.0178,                 0.9835,                      1,                 1.1814,               0.000802,               0.000802,               0.000802
                     33,                  0.016,                 0.9865,                      1,                 1.1784,              0.0007954,              0.0007954,              0.0007954
                     34,                 0.0331,                  0.987,                      1,                 1.1778,              0.0007888,              0.0007888,              0.0007888
                     35,                 0.0176,                 0.9895,                      1,                 1.1768,              0.0007822,              0.0007822,              0.0007822
                     36,                0.02062,                 0.9885,                      1,                 1.1774,              0.0007756,              0.0007756,              0.0007756
                     37,                0.02116,                  0.988,                      1,                  1.177,               0.000769,               0.000769,               0.000769
                     38,                0.01847,                  0.987,                      1,                 1.1785,              0.0007624,              0.0007624,              0.0007624
