                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.26554,                 0.9075,                      1,                 1.2761,                0.06673,             3.3303e-05,             3.3303e-05
                      2,                 0.0949,                 0.9815,                      1,                  1.191,                0.03343,             6.6196e-05,             6.6196e-05
                      3,                0.05767,                 0.9865,                      1,                 1.1846,             0.00012909,              9.865e-05,              9.865e-05
                      4,                0.04135,                 0.9825,                      1,                 1.1851,              9.802e-05,              9.802e-05,              9.802e-05
                      5,                0.02663,                  0.987,                      1,                 1.1798,              9.802e-05,              9.802e-05,              9.802e-05
                      6,                0.01908,                 0.9845,                      1,                 1.1812,              9.736e-05,              9.736e-05,              9.736e-05
                      7,                0.01215,                 0.9835,                      1,                  1.181,               9.67e-05,               9.67e-05,               9.67e-05
                      8,                0.00736,                  0.985,                      1,                 1.1809,              9.604e-05,              9.604e-05,              9.604e-05
                      9,                0.00739,                 0.9785,                      1,                 1.1848,              9.538e-05,              9.538e-05,              9.538e-05
                     10,                0.00456,                 0.9825,                      1,                 1.1815,              9.472e-05,              9.472e-05,              9.472e-05
                     11,                0.00547,                  0.984,                      1,                 1.1801,              9.406e-05,              9.406e-05,              9.406e-05
                     12,                0.00799,                 0.9775,                      1,                 1.1858,               9.34e-05,               9.34e-05,               9.34e-05
                     13,                0.00861,                 0.9845,                      1,                 1.1827,              9.274e-05,              9.274e-05,              9.274e-05
                     14,                0.00277,                  0.988,                      1,                 1.1778,              9.208e-05,              9.208e-05,              9.208e-05
                     15,                0.00722,                 0.9845,                      1,                 1.1814,              9.142e-05,              9.142e-05,              9.142e-05
                     16,                0.00466,                  0.988,                      1,                 1.1773,              9.076e-05,              9.076e-05,              9.076e-05
                     17,                0.00401,                  0.988,                 0.9995,                 1.1779,               9.01e-05,               9.01e-05,               9.01e-05
                     18,                0.00435,                 0.9885,                      1,                  1.177,              8.944e-05,              8.944e-05,              8.944e-05
                     19,                0.00543,                 0.9845,                      1,                 1.1811,              8.878e-05,              8.878e-05,              8.878e-05
                     20,                0.00329,                 0.9855,                      1,                 1.1789,              8.812e-05,              8.812e-05,              8.812e-05
                     21,                0.00411,                 0.9855,                      1,                 1.1795,              8.746e-05,              8.746e-05,              8.746e-05
                     22,                0.00817,                  0.992,                      1,                 1.1741,               8.68e-05,               8.68e-05,               8.68e-05
                     23,                0.00252,                  0.986,                      1,                 1.1784,              8.614e-05,              8.614e-05,              8.614e-05
                     24,                0.00202,                 0.9875,                      1,                 1.1789,              8.548e-05,              8.548e-05,              8.548e-05
                     25,                0.00147,                  0.987,                      1,                 1.1781,              8.482e-05,              8.482e-05,              8.482e-05
                     26,                0.00226,                 0.9895,                      1,                 1.1762,              8.416e-05,              8.416e-05,              8.416e-05
                     27,                0.00438,                 0.9915,                      1,                 1.1747,               8.35e-05,               8.35e-05,               8.35e-05
                     28,                0.00685,                 0.9885,                      1,                 1.1784,              8.284e-05,              8.284e-05,              8.284e-05
                     29,                0.00449,                  0.988,                 0.9995,                 1.1784,              8.218e-05,              8.218e-05,              8.218e-05
                     30,                0.00685,                  0.986,                      1,                 1.1781,              8.152e-05,              8.152e-05,              8.152e-05
                     31,                0.00139,                 0.9885,                      1,                 1.1772,              8.086e-05,              8.086e-05,              8.086e-05
                     32,                0.00278,                  0.987,                 0.9995,                  1.179,               8.02e-05,               8.02e-05,               8.02e-05
                     33,                0.00022,                  0.986,                 0.9995,                 1.1788,              7.954e-05,              7.954e-05,              7.954e-05
                     34,                0.00199,                  0.988,                 0.9995,                 1.1769,              7.888e-05,              7.888e-05,              7.888e-05
                     35,                  0.003,                  0.987,                 0.9995,                 1.1773,              7.822e-05,              7.822e-05,              7.822e-05
                     36,                0.00516,                 0.9865,                      1,                 1.1789,              7.756e-05,              7.756e-05,              7.756e-05
                     37,                0.00271,                  0.985,                      1,                 1.1788,               7.69e-05,               7.69e-05,               7.69e-05
                     38,                0.00096,                 0.9855,                      1,                 1.1786,              7.624e-05,              7.624e-05,              7.624e-05
                     39,                0.00453,                 0.9875,                      1,                  1.178,              7.558e-05,              7.558e-05,              7.558e-05
                     40,                0.00509,                 0.9885,                      1,                 1.1768,              7.492e-05,              7.492e-05,              7.492e-05
                     41,                0.00114,                  0.988,                      1,                 1.1764,              7.426e-05,              7.426e-05,              7.426e-05
                     42,                0.00019,                 0.9875,                      1,                 1.1775,               7.36e-05,               7.36e-05,               7.36e-05
                     43,                  9e-05,                  0.986,                 0.9995,                 1.1781,              7.294e-05,              7.294e-05,              7.294e-05
                     44,                0.00011,                 0.9875,                 0.9995,                 1.1775,              7.228e-05,              7.228e-05,              7.228e-05
                     45,                0.00259,                 0.9865,                 0.9995,                 1.1776,              7.162e-05,              7.162e-05,              7.162e-05
                     46,                0.00986,                  0.989,                 0.9995,                 1.1763,              7.096e-05,              7.096e-05,              7.096e-05
                     47,                0.00115,                   0.99,                 0.9995,                 1.1763,               7.03e-05,               7.03e-05,               7.03e-05
                     48,                  0.001,                  0.989,                 0.9995,                 1.1757,              6.964e-05,              6.964e-05,              6.964e-05
                     49,                0.00452,                 0.9885,                 0.9995,                 1.1765,              6.898e-05,              6.898e-05,              6.898e-05
                     50,                0.00235,                 0.9885,                 0.9995,                 1.1769,              6.832e-05,              6.832e-05,              6.832e-05
                     51,                0.00232,                 0.9885,                 0.9995,                 1.1761,              6.766e-05,              6.766e-05,              6.766e-05
                     52,                 0.0026,                  0.988,                 0.9995,                 1.1764,                6.7e-05,                6.7e-05,                6.7e-05
                     53,                0.00054,                  0.988,                 0.9995,                 1.1764,              6.634e-05,              6.634e-05,              6.634e-05
                     54,                0.00012,                  0.988,                 0.9995,                 1.1764,              6.568e-05,              6.568e-05,              6.568e-05
                     55,                  6e-05,                  0.988,                 0.9995,                 1.1763,              6.502e-05,              6.502e-05,              6.502e-05
                     56,                  7e-05,                  0.988,                 0.9995,                 1.1764,              6.436e-05,              6.436e-05,              6.436e-05
                     57,                0.00064,                  0.988,                 0.9995,                 1.1764,               6.37e-05,               6.37e-05,               6.37e-05
                     58,                0.00954,                 0.9885,                 0.9995,                 1.1764,              6.304e-05,              6.304e-05,              6.304e-05
                     59,                0.00295,                 0.9885,                 0.9995,                 1.1764,              6.238e-05,              6.238e-05,              6.238e-05
                     60,                0.00108,                 0.9885,                 0.9995,                 1.1763,              6.172e-05,              6.172e-05,              6.172e-05
                     61,                0.00015,                  0.988,                 0.9995,                 1.1761,              6.106e-05,              6.106e-05,              6.106e-05
                     62,                0.00096,                  0.988,                 0.9995,                  1.176,               6.04e-05,               6.04e-05,               6.04e-05
                     63,                 0.0055,                 0.9885,                 0.9995,                 1.1763,              5.974e-05,              5.974e-05,              5.974e-05
                     64,                0.00046,                 0.9885,                 0.9995,                 1.1759,              5.908e-05,              5.908e-05,              5.908e-05
                     65,                0.00066,                 0.9885,                 0.9995,                 1.1759,              5.842e-05,              5.842e-05,              5.842e-05
                     66,                0.00068,                 0.9885,                 0.9995,                  1.176,              5.776e-05,              5.776e-05,              5.776e-05
                     67,                0.00454,                  0.988,                 0.9995,                  1.176,               5.71e-05,               5.71e-05,               5.71e-05
                     68,                0.00291,                  0.988,                 0.9995,                 1.1761,              5.644e-05,              5.644e-05,              5.644e-05
                     69,                0.00162,                  0.988,                 0.9995,                 1.1762,              5.578e-05,              5.578e-05,              5.578e-05
                     70,                0.00044,                 0.9875,                 0.9995,                 1.1762,              5.512e-05,              5.512e-05,              5.512e-05
                     71,                0.00023,                 0.9875,                 0.9995,                 1.1761,              5.446e-05,              5.446e-05,              5.446e-05
                     72,                 0.0005,                 0.9875,                 0.9995,                 1.1762,               5.38e-05,               5.38e-05,               5.38e-05
