                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.26552,                 0.7955,                      1,                 1.3843,               0.066761,             3.3273e-05,             3.3273e-05
                      2,                0.08458,                 0.9805,                      1,                 1.1918,                0.03346,             6.6166e-05,             6.6166e-05
                      3,                0.04987,                 0.9855,                      1,                 1.1852,             0.00015945,              9.862e-05,              9.862e-05
                      4,                0.03402,                  0.984,                      1,                 1.1852,              9.802e-05,              9.802e-05,              9.802e-05
                      5,                0.02433,                 0.9825,                      1,                 1.1841,              9.802e-05,              9.802e-05,              9.802e-05
                      6,                0.01266,                  0.983,                      1,                 1.1846,              9.736e-05,              9.736e-05,              9.736e-05
                      7,                0.00828,                  0.982,                      1,                 1.1832,               9.67e-05,               9.67e-05,               9.67e-05
                      8,                0.01077,                  0.979,                      1,                 1.1875,              9.604e-05,              9.604e-05,              9.604e-05
                      9,                 0.0108,                 0.9845,                      1,                 1.1825,              9.538e-05,              9.538e-05,              9.538e-05
                     10,                0.00393,                 0.9855,                      1,                 1.1807,              9.472e-05,              9.472e-05,              9.472e-05
                     11,                0.00523,                  0.984,                      1,                  1.181,              9.406e-05,              9.406e-05,              9.406e-05
                     12,                0.00341,                 0.9875,                      1,                 1.1789,               9.34e-05,               9.34e-05,               9.34e-05
                     13,                0.00536,                  0.977,                 0.9995,                 1.1903,              9.274e-05,              9.274e-05,              9.274e-05
                     14,                0.01101,                 0.9875,                      1,                 1.1781,              9.208e-05,              9.208e-05,              9.208e-05
                     15,                0.00519,                  0.983,                      1,                 1.1833,              9.142e-05,              9.142e-05,              9.142e-05
                     16,                0.00663,                  0.986,                      1,                 1.1801,              9.076e-05,              9.076e-05,              9.076e-05
                     17,                0.00213,                 0.9845,                      1,                 1.1804,               9.01e-05,               9.01e-05,               9.01e-05
                     18,                0.00619,                  0.986,                      1,                 1.1798,              8.944e-05,              8.944e-05,              8.944e-05
                     19,                0.00977,                  0.982,                      1,                 1.1825,              8.878e-05,              8.878e-05,              8.878e-05
                     20,                0.00431,                 0.9895,                      1,                 1.1761,              8.812e-05,              8.812e-05,              8.812e-05
                     21,                0.00727,                 0.9795,                      1,                 1.1859,              8.746e-05,              8.746e-05,              8.746e-05
                     22,                0.00135,                 0.9835,                      1,                 1.1793,               8.68e-05,               8.68e-05,               8.68e-05
                     23,                0.00163,                  0.982,                      1,                 1.1818,              8.614e-05,              8.614e-05,              8.614e-05
                     24,                0.00099,                 0.9835,                      1,                 1.1825,              8.548e-05,              8.548e-05,              8.548e-05
                     25,                0.01369,                 0.9855,                      1,                 1.1795,              8.482e-05,              8.482e-05,              8.482e-05
                     26,                 0.0045,                  0.983,                      1,                 1.1812,              8.416e-05,              8.416e-05,              8.416e-05
                     27,                0.00203,                 0.9845,                      1,                 1.1804,               8.35e-05,               8.35e-05,               8.35e-05
                     28,                0.00351,                  0.986,                      1,                 1.1794,              8.284e-05,              8.284e-05,              8.284e-05
                     29,                 0.0029,                 0.9855,                      1,                  1.181,              8.218e-05,              8.218e-05,              8.218e-05
                     30,                0.00081,                 0.9825,                      1,                 1.1813,              8.152e-05,              8.152e-05,              8.152e-05
                     31,                0.00022,                  0.984,                      1,                 1.1806,              8.086e-05,              8.086e-05,              8.086e-05
                     32,                0.00331,                 0.9845,                      1,                 1.1817,               8.02e-05,               8.02e-05,               8.02e-05
                     33,                0.01134,                  0.984,                      1,                 1.1805,              7.954e-05,              7.954e-05,              7.954e-05
                     34,                0.00748,                 0.9865,                      1,                 1.1792,              7.888e-05,              7.888e-05,              7.888e-05
                     35,                0.00196,                 0.9815,                      1,                  1.182,              7.822e-05,              7.822e-05,              7.822e-05
                     36,                0.00224,                  0.985,                      1,                 1.1795,              7.756e-05,              7.756e-05,              7.756e-05
                     37,                0.00098,                  0.987,                      1,                 1.1786,               7.69e-05,               7.69e-05,               7.69e-05
                     38,                0.00634,                  0.986,                      1,                 1.1785,              7.624e-05,              7.624e-05,              7.624e-05
                     39,                0.00221,                  0.987,                      1,                 1.1776,              7.558e-05,              7.558e-05,              7.558e-05
                     40,                0.00069,                 0.9865,                      1,                 1.1812,              7.492e-05,              7.492e-05,              7.492e-05
                     41,                0.00029,                  0.987,                      1,                 1.1785,              7.426e-05,              7.426e-05,              7.426e-05
                     42,                0.00898,                  0.986,                      1,                 1.1787,               7.36e-05,               7.36e-05,               7.36e-05
                     43,                0.00655,                 0.9865,                      1,                 1.1789,              7.294e-05,              7.294e-05,              7.294e-05
                     44,                0.00304,                  0.986,                      1,                 1.1786,              7.228e-05,              7.228e-05,              7.228e-05
                     45,                0.00175,                 0.9865,                      1,                  1.178,              7.162e-05,              7.162e-05,              7.162e-05
                     46,                0.00021,                  0.987,                      1,                  1.178,              7.096e-05,              7.096e-05,              7.096e-05
                     47,                0.00026,                 0.9875,                      1,                 1.1803,               7.03e-05,               7.03e-05,               7.03e-05
                     48,                0.00011,                  0.987,                      1,                 1.1781,              6.964e-05,              6.964e-05,              6.964e-05
                     49,                0.00012,                 0.9865,                      1,                   1.18,              6.898e-05,              6.898e-05,              6.898e-05
                     50,                  6e-05,                 0.9865,                      1,                 1.1803,              6.832e-05,              6.832e-05,              6.832e-05
                     51,                  4e-05,                 0.9865,                      1,                 1.1787,              6.766e-05,              6.766e-05,              6.766e-05
                     52,                  5e-05,                 0.9865,                      1,                 1.1788,                6.7e-05,                6.7e-05,                6.7e-05
                     53,                  3e-05,                 0.9865,                      1,                  1.179,              6.634e-05,              6.634e-05,              6.634e-05
                     54,                0.00013,                  0.986,                      1,                  1.179,              6.568e-05,              6.568e-05,              6.568e-05
                     55,                0.02242,                 0.9875,                      1,                 1.1791,              6.502e-05,              6.502e-05,              6.502e-05
                     56,                 0.0064,                  0.987,                      1,                 1.1787,              6.436e-05,              6.436e-05,              6.436e-05
                     57,                0.00293,                  0.988,                      1,                 1.1782,               6.37e-05,               6.37e-05,               6.37e-05
                     58,                0.00207,                 0.9875,                      1,                 1.1778,              6.304e-05,              6.304e-05,              6.304e-05
                     59,                0.00053,                  0.988,                      1,                 1.1774,              6.238e-05,              6.238e-05,              6.238e-05
                     60,                0.00085,                  0.988,                      1,                  1.178,              6.172e-05,              6.172e-05,              6.172e-05
                     61,                0.00349,                  0.988,                      1,                 1.1768,              6.106e-05,              6.106e-05,              6.106e-05
                     62,                0.00429,                 0.9875,                      1,                 1.1771,               6.04e-05,               6.04e-05,               6.04e-05
                     63,                0.00068,                 0.9875,                      1,                 1.1774,              5.974e-05,              5.974e-05,              5.974e-05
                     64,                0.00247,                  0.988,                      1,                 1.1771,              5.908e-05,              5.908e-05,              5.908e-05
                     65,                0.00332,                  0.988,                      1,                 1.1771,              5.842e-05,              5.842e-05,              5.842e-05
                     66,                0.00369,                  0.988,                      1,                 1.1769,              5.776e-05,              5.776e-05,              5.776e-05
                     67,                0.00062,                 0.9885,                      1,                 1.1767,               5.71e-05,               5.71e-05,               5.71e-05
                     68,                 0.0002,                 0.9885,                      1,                 1.1766,              5.644e-05,              5.644e-05,              5.644e-05
                     69,                 0.0001,                 0.9885,                      1,                 1.1767,              5.578e-05,              5.578e-05,              5.578e-05
                     70,                  7e-05,                 0.9885,                      1,                 1.1765,              5.512e-05,              5.512e-05,              5.512e-05
