// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
20101	9.459804	-1.076581	-2.137548	0.153680	-0.003398	-0.007379	-153.302625	-75.801887	112.300687
20102	9.459748	-1.079480	-2.136336	0.156889	-0.006368	-0.001480	-153.232959	-75.802050	112.341987
20103	9.446128	-1.094184	-2.064452	0.156666	-0.011989	-0.003495	-153.232140	-75.796652	112.405301
20104	9.525220	-1.054136	-2.050687	0.162245	-0.021121	-0.002102	-153.164977	-75.786394	112.431911
20105	9.489529	-1.025040	-2.077698	0.165779	-0.021475	-0.008993	-153.108659	-75.778380	112.472145
20106	9.447476	-0.953485	-2.023723	0.175770	-0.017900	-0.016267	-153.059050	-75.773454	112.524862
20107	9.460046	-0.923328	-2.024636	0.186930	-0.017605	-0.020923	-153.012587	-75.770250	112.587390
20108	9.522362	-0.839603	-2.050243	0.196096	-0.027481	-0.016750	-152.962127	-75.760581	112.651245
20109	9.553500	-0.798802	-2.062791	0.205580	-0.004506	-0.025831	-152.904099	-75.766249	112.712695
20110	9.533059	-0.774206	-2.069637	0.194465	0.000515	-0.021535	-152.835448	-75.772138	112.756818
20111	9.483463	-0.829632	-2.043437	0.192368	0.002845	-0.024914	-152.782198	-75.782786	112.814964
20112	9.459984	-0.842422	-2.089490	0.193564	0.002236	-0.022467	-152.714158	-75.789819	112.859182
20113	9.486601	-0.892558	-2.089631	0.176088	0.002985	-0.008182	-152.643363	-75.797611	112.889167
20114	9.478134	-1.002141	-2.045971	0.154231	0.006550	0.004837	-152.538446	-75.799667	112.872096
20115	9.405708	-0.994459	-2.048490	0.081731	-0.004398	-0.007594	-152.532445	-75.804749	112.912883
20116	9.513119	-1.132373	-2.106672	0.010015	-0.011332	-0.016721	-152.572149	-75.803403	112.959757
20117	9.395155	-1.248880	-2.045185	0.066962	-0.000671	-0.025251	-152.606444	-75.815567	113.033366
20118	9.449354	-1.268353	-2.029127	0.101302	-0.011009	-0.035694	-152.631742	-75.819372	113.119325
20119	9.505287	-1.234454	-2.063879	0.122665	-0.007678	-0.050492	-152.682094	-75.834335	113.243051
20120	9.478156	-1.259772	-2.080726	0.117595	-0.015599	-0.040512	-152.712687	-75.837040	113.344093
20121	9.502551	-1.269343	-2.103309	0.111823	-0.027567	-0.033911	-152.746917	-75.837031	113.445375
20122	9.529040	-1.316321	-2.105496	0.146412	-0.020843	-0.038049	-152.761498	-75.836395	113.546931
20123	9.445114	-1.262527	-2.088352	0.184046	-0.010041	-0.060439	-152.778018	-75.851238	113.673397
20124	9.352454	-1.224656	-2.099631	0.175381	-0.011254	-0.060701	-152.811985	-75.861405	113.812053
20125	9.411777	-1.175718	-2.165940	0.159485	-0.032374	-0.048709	-152.832240	-75.860407	113.928438
20126	9.438161	-1.222664	-2.168649	0.158368	-0.038811	-0.039103	-152.860858	-75.850849	114.051528
20127	9.520044	-1.238226	-2.206433	0.169935	-0.021926	-0.040336	-152.841745	-75.851498	114.133863
20128	9.469113	-1.179906	-2.182830	0.184797	-0.010965	-0.038075	-152.824208	-75.855877	114.224974
20129	9.402600	-1.192999	-2.195596	0.196696	-0.016266	-0.027059	-152.751481	-75.853831	114.268171
20130	9.423943	-1.145600	-2.168532	0.213450	-0.025503	-0.032703	-152.721732	-75.849432	114.363618
20131	9.524177	-1.054027	-2.131038	0.214759	-0.035507	-0.027693	-152.655896	-75.834931	114.424968
20132	9.491673	-1.010536	-2.190703	0.198472	-0.028253	-0.023117	-152.618157	-75.826620	114.503315
20133	9.524160	-0.982387	-2.114936	0.191547	-0.019002	-0.029589	-152.571331	-75.822311	114.569394
20134	9.455539	-0.884034	-2.133180	0.166904	-0.028187	-0.025044	-152.555605	-75.814574	114.651800
20135	9.539556	-0.937600	-2.150132	0.146708	-0.031193	-0.024537	-152.542375	-75.802621	114.725616
20136	9.530436	-0.955212	-2.179299	0.155283	-0.012445	-0.037329	-152.541599	-75.806103	114.816559
20137	9.418766	-0.930441	-2.179641	0.150608	-0.006084	-0.033403	-152.540746	-75.813318	114.904544
20138	9.476051	-1.010455	-2.210799	0.150181	-0.014215	-0.044490	-152.559323	-75.817820	115.012448
20139	9.436379	-0.970042	-2.138590	0.165114	-0.012610	-0.039692	-152.567125	-75.821686	115.116889
