// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
20101	9.693564	-1.219361	-0.214345	0.096896	0.028684	-0.011875	-100.056320	-82.716840	60.649372
20102	9.665711	-1.178480	-0.122556	0.124638	0.020725	-0.012730	-96.017888	-83.007229	55.997298
20103	9.668107	-1.135632	-0.076527	0.138668	0.017677	-0.010424	-98.016888	-82.868868	58.445631
20104	9.669040	-1.027775	-0.094667	0.149617	0.018295	-0.008724	-97.853661	-82.875266	58.367525
20105	9.684546	-0.910736	-0.011117	0.150453	0.014289	-0.006547	-97.710992	-82.880414	58.310499
20106	9.654658	-0.858457	0.025754	0.135839	0.008949	-0.003066	-97.594343	-82.882838	58.271379
20107	9.656885	-0.815992	0.070100	0.111042	0.009656	-0.003244	-97.485785	-82.886342	58.226134
20108	9.717567	-0.812771	-0.018744	0.079624	0.012870	0.002636	-97.380009	-82.885798	58.165513
20109	9.691619	-0.819168	0.004901	0.062239	0.012371	-0.003611	-97.282114	-82.891586	58.102900
20110	9.665692	-0.914851	-0.079753	0.049847	0.011163	0.001761	-97.201654	-82.891391	58.050600
20111	9.671045	-1.038110	-0.026230	0.052931	0.007510	0.002416	-97.123797	-82.895622	58.002853
20112	9.675021	-1.096682	-0.037164	0.058070	0.009737	0.001312	-97.045360	-82.895564	57.957339
20113	9.685983	-1.064556	-0.040406	0.060495	0.008367	0.003568	-96.951741	-82.900293	57.898173
20114	9.705750	-1.042440	-0.090770	0.055023	0.008061	0.002744	-96.881888	-82.899288	57.859550
20115	9.626065	-1.050773	-0.077218	0.059203	0.009150	0.003351	-96.780647	-82.905608	57.792024
20116	9.605828	-1.126785	-0.012931	0.071331	0.001602	0.000199	-96.732346	-82.905603	57.784535
20117	9.601414	-1.121823	0.011450	0.073919	0.000051	0.000694	-96.658165	-82.913922	57.752880
20118	9.668772	-1.081660	-0.059933	0.061209	-0.001483	-0.004810	-96.632451	-82.916561	57.762308
20119	9.703133	-1.048393	-0.009198	0.041544	0.001424	-0.006211	-96.563823	-82.929955	57.717719
20120	9.724776	-1.036281	-0.007022	0.019952	0.003596	-0.009690	-96.540989	-82.935706	57.706229
20121	9.688465	-1.110260	-0.098560	0.010591	0.007153	-0.016743	-96.457130	-82.957535	57.628580
20122	9.685703	-1.257999	-0.117248	0.011918	0.001044	-0.014428	-96.453004	-82.965817	57.631303
20123	9.660072	-1.352782	-0.202535	0.035757	0.000776	-0.017899	-96.382968	-82.987888	57.581886
20124	9.617603	-1.320385	-0.216508	0.075881	-0.002152	-0.020480	-96.360102	-82.999417	57.602651
20125	9.655168	-1.226540	-0.253746	0.092929	0.001845	-0.021591	-96.261602	-83.020647	57.558318
20126	9.687422	-1.143762	-0.137064	0.100849	-0.001457	-0.027367	-96.224574	-83.036146	57.579226
20127	9.707518	-1.119144	-0.187650	0.101448	0.005392	-0.027587	-96.124483	-83.059385	57.536972
20128	9.720541	-1.094874	-0.137527	0.111929	0.004339	-0.029450	-96.054770	-83.076427	57.531346
20129	9.696987	-1.055601	-0.072187	0.115480	0.003933	-0.030630	-95.970387	-83.102577	57.512263
20130	9.699387	-1.009796	-0.028684	0.119492	0.006756	-0.033704	-95.886813	-83.122158	57.497013
20131	9.689110	-0.985530	-0.033720	0.085030	0.005971	-0.035495	-95.791157	-83.152953	57.450449
20132	9.741362	-0.969977	-0.075513	0.071228	0.020001	-0.031201	-95.670302	-83.171859	57.369806
20133	9.733531	-0.993732	-0.144810	0.065781	0.017383	-0.040928	-95.524529	-83.210345	57.262733
20134	9.680070	-1.045019	-0.140262	0.069331	0.016973	-0.042122	-95.422789	-83.235269	57.200259
20135	9.691177	-1.062046	-0.131085	0.081576	0.016871	-0.040134	-95.288419	-83.275628	57.112120
20136	9.700538	-1.068943	-0.175442	0.097871	0.014264	-0.039151	-95.180876	-83.298669	57.060254
20137	9.692207	-1.001487	-0.138147	0.116550	0.015640	-0.037986	-95.031704	-83.335112	56.978047
20138	9.665903	-0.912806	-0.007369	0.121406	0.012964	-0.033403	-94.913050	-83.354776	56.928587
20139	9.715677	-0.795418	0.003602	0.110793	0.011900	-0.038619	-94.791555	-83.404815	56.872801
20140	9.685619	-0.739472	0.038561	0.084524	0.011951	-0.032029	-94.697978	-83.423636	56.827286
20141	9.760906	-0.775796	0.063939	0.045499	0.015668	-0.033149	-94.584389	-83.471447	56.742548
20142	9.720883	-0.844228	-0.001833	0.027451	0.015805	-0.032478	-94.503489	-83.490634	56.676853
20143	9.734566	-0.910718	-0.057892	0.016006	0.015716	-0.028923	-94.389805	-83.531193	56.569583
20144	9.726803	-0.989078	-0.115374	0.024699	0.016054	-0.025721	-94.305419	-83.546463	56.498779
20145	9.716310	-1.019057	-0.108120	0.036151	0.014656	-0.023769	-94.227190	-83.589881	56.424321
20146	9.725623	-0.974465	-0.165515	0.049232	0.012091	-0.025084	-94.149191	-83.604557	56.373987
20147	9.742827	-0.955188	-0.139098	0.058596	0.010140	-0.023432	-94.072376	-83.652405	56.321574
20148	9.740254	-0.957218	-0.059925	0.066058	0.021682	-0.026463	-93.936323	-83.668257	56.222473
20149	9.645622	-0.936910	-0.028749	0.070575	0.020914	-0.023859	-93.752888	-83.708786	56.087199
20150	9.693290	-0.917005	-0.046984	0.067123	0.012188	-0.023904	-93.662419	-83.722790	56.034628
20151	9.670846	-0.887027	0.071488	0.054881	0.012249	-0.025907	-93.569922	-83.775925	55.967313
20152	9.687920	-0.814461	0.085317	0.024875	0.014351	-0.021958	-93.492115	-83.788940	55.903098
20153	9.740023	-0.747041	0.030456	-0.014953	0.016655	-0.023252	-93.405759	-83.846496	55.815109
20154	9.753909	-0.814350	-0.025400	-0.049645	0.021204	-0.025628	-93.334867	-83.861815	55.714879
20155	9.729529	-0.910291	-0.107566	-0.056244	0.019928	-0.023028	-93.264660	-83.916836	55.612762
20156	9.700697	-1.054247	-0.154024	-0.039655	0.019315	-0.016648	-93.194606	-83.926870	55.519077
20157	9.700908	-1.052553	-0.152295	-0.010995	0.021825	-0.017469	-93.082267	-83.970010	55.394344
20158	9.702652	-1.007451	-0.109281	0.021156	0.014992	-0.018978	-93.001026	-83.981196	55.324407
20159	9.693584	-0.941731	-0.073371	0.036615	0.014944	-0.014621	-92.886478	-84.015883	55.226118
20160	9.716647	-0.885482	-0.029181	0.038758	0.010194	-0.012188	-92.819177	-84.023061	55.180336
20161	9.735099	-0.823676	0.038412	0.036108	0.017040	-0.014815	-92.673688	-84.043108	55.044022
20162	9.692253	-0.792306	0.024844	0.012076	0.018864	-0.015293	-92.574356	-84.052309	54.950690
20163	9.693818	-0.747541	0.068064	-0.015397	0.024716	-0.012976	-92.432835	-84.084466	54.798232
20164	9.697048	-0.795309	0.005521	-0.035481	0.018928	-0.010566	-92.358397	-84.090918	54.702532
20165	9.701892	-0.852593	-0.003361	-0.050710	0.027707	-0.017185	-92.178836	-84.131151	54.503294
20166	9.706637	-0.856600	-0.024629	-0.060357	0.024736	-0.013201	-92.085630	-84.139281	54.374463
20167	9.673302	-0.942682	-0.059942	-0.054884	0.025100	-0.012303	-91.980980	-84.168212	54.210281
20168	9.687450	-1.011035	-0.115652	-0.038581	0.022562	-0.011252	-91.887717	-84.175230	54.093906
20169	9.719774	-1.019075	-0.105233	-0.013760	0.022075	-0.010711	-91.854602	-84.213202	54.031098
20170	9.678430	-0.998094	-0.065135	0.007224	0.018568	-0.008838	-91.758401	-84.218700	53.938020
20171	9.710547	-0.953446	-0.067131	0.023974	0.017760	-0.004214	-91.564937	-84.232836	53.767158
20172	9.722580	-0.877185	-0.029365	0.025106	0.018687	-0.007675	-91.455664	-84.237657	53.671334
20173	9.711878	-0.855653	-0.034544	0.019354	0.014902	-0.008417	-91.427443	-84.266596	53.642953
20174	9.728830	-0.891163	0.004621	0.012181	0.019534	-0.002666	-91.320482	-84.268448	53.541910
20175	9.690712	-0.919558	-0.019945	0.010774	0.016675	-0.004539	-91.202539	-84.296732	53.442562
20176	9.722939	-0.928227	-0.009423	0.011845	0.021428	-0.004625	-91.084454	-84.299754	53.330190
20177	9.701596	-0.939259	-0.008902	0.012697	0.018931	-0.007942	-90.961695	-84.327912	53.228851
20178	9.701810	-0.991767	0.005816	0.020363	0.023485	-0.005115	-90.825709	-84.331148	53.103404
20179	9.697037	-0.932540	0.018788	0.015293	0.017402	-0.007419	-90.712128	-84.354093	53.009765
20180	9.689598	-0.906884	-0.063325	0.017996	0.019498	-0.005283	-90.599352	-84.357244	52.906255
20181	9.712443	-0.904597	-0.006107	0.018332	0.017607	-0.003319	-90.570237	-84.383055	52.881979
20182	9.695774	-0.921370	-0.029219	0.022397	0.015111	-0.004296	-90.481422	-84.385481	52.804942
20183	9.691115	-0.915512	-0.004050	0.029445	0.018136	-0.003282	-90.394196	-84.392861	52.712491
20184	9.675812	-0.942160	0.026816	0.039597	0.017539	-0.001542	-90.281694	-84.393582	52.621462
20185	9.707847	-0.897909	0.024694	0.042085	0.012385	-0.002628	-90.312458	-84.424822	52.672702
20186	9.735175	-0.848099	0.045646	0.033847	0.013752	-0.002285	-90.227964	-84.426059	52.606416
20187	9.761273	-0.842006	0.025680	0.014255	0.018624	0.003147	-90.136703	-84.431454	52.506254
20188	9.701644	-0.829485	-0.013313	0.008063	0.013095	-0.001183	-90.071485	-84.432032	52.444449
20189	9.707708	-0.844538	0.018496	0.005468	0.014624	-0.001706	-89.882137	-84.433020	52.252269
20190	9.697079	-0.876921	0.025450	0.004331	0.013702	0.001756	-89.814449	-84.432071	52.185987
20191	9.675672	-0.888667	0.025145	0.015339	0.010604	0.000188	-89.715039	-84.444479	52.100697
20192	9.723176	-0.871027	0.006160	0.018548	0.010611	0.002531	-89.656973	-84.443130	52.052314
20193	9.730344	-0.843099	0.078902	0.012221	0.012747	0.004944	-89.672966	-84.450863	52.055555
20194	9.707605	-0.845554	0.024912	0.006752	0.012379	0.004041	-89.612995	-84.448585	51.998348
20195	9.722807	-0.766065	-0.015247	-0.007639	0.015677	0.005023	-89.575395	-84.474862	51.986228
20196	9.719310	-0.770655	0.062970	-0.007412	0.010158	0.005374	-89.537344	-84.471910	51.942899
20197	9.734770	-0.797339	0.047875	-0.030989	0.015179	0.002904	-89.468152	-84.484106	51.860222
20198	9.632579	-0.914927	0.030439	-0.024414	0.013504	0.011317	-89.420465	-84.477744	51.797432
20199	9.664616	-0.925184	0.039971	-0.017421	0.007587	0.012835	-89.370928	-84.479407	51.736821
20200	9.679803	-0.846382	-0.000967	-0.018035	0.006054	0.011017	-89.363652	-84.473227	51.718295
20201	9.707008	-0.798010	0.018908	-0.026448	0.007627	0.013110	-89.341184	-84.485332	51.698082
20202	9.691403	-0.773089	0.035644	-0.040330	0.008836	0.014302	-89.330597	-84.477349	51.663440
20203	9.691365	-0.827595	0.048886	-0.052458	0.012504	0.013856	-89.315710	-84.482415	51.610841
20204	9.694828	-0.877915	-0.015097	-0.054494	0.006626	0.015649	-89.327105	-84.473805	51.590168
20205	9.706590	-0.856832	0.033628	-0.042307	0.011903	0.015622	-89.338593	-84.488527	51.598245
20206	9.712362	-0.820677	0.052326	-0.042657	0.012310	0.019150	-89.310628	-84.477963	51.544844
20207	9.749088	-0.837210	0.038330	-0.040347	0.007355	0.019817	-89.381206	-84.473005	51.562615
20208	9.771500	-0.784407	0.081510	-0.043574	0.005868	0.022964	-89.393779	-84.460310	51.549331
20209	9.733233	-0.815431	0.055112	-0.054072	0.006885	0.024752	-89.467342	-84.451800	51.564626
20210	9.733032	-0.817807	0.055433	-0.061341	0.009393	0.023405	-89.470673	-84.438817	51.531742
20211	9.688805	-0.780498	-0.013665	-0.065710	0.006980	0.030021	-89.545213	-84.444365	51.585963
20212	9.705186	-0.819740	0.023981	-0.067860	0.010247	0.033106	-89.548783	-84.425964	51.549580
20213	9.715610	-0.843623	0.031356	-0.076533	0.009907	0.029885	-89.513985	-84.421394	51.475824
20214	9.730771	-0.873011	0.015239	-0.076554	0.008413	0.035388	-89.533321	-84.401761	51.450328
20215	9.724435	-0.914421	-0.002792	-0.083339	0.007336	0.039738	-89.587332	-84.395972	51.456834
20216	9.702626	-0.929869	-0.004667	-0.079452	0.005035	0.040533	-89.628776	-84.373568	51.451931
20217	9.755663	-0.984693	0.017734	-0.070752	0.006880	0.038309	-89.686108	-84.368455	51.479773
20218	9.709957	-1.044389	-0.080854	-0.066753	0.008196	0.040731	-89.702375	-84.345970	51.456865
20219	9.726047	-1.084735	-0.043618	-0.055137	0.006594	0.040964	-89.774120	-84.347014	51.525921
20220	9.699614	-1.041482	-0.033908	-0.044967	0.007465	0.037217	-89.782715	-84.326690	51.507876
20221	9.694472	-1.039782	-0.010253	-0.035942	0.007397	0.036930	-89.849980	-84.321771	51.560669
20222	9.692986	-1.033094	-0.063533	-0.038204	0.007039	0.038384	-89.858081	-84.300870	51.546010
20223	9.715162	-1.035576	-0.007646	-0.036941	0.011598	0.036571	-89.822543	-84.290219	51.507042
20224	9.698077	-1.055756	-0.032155	-0.029327	0.008676	0.034383	-89.816251	-84.271582	51.483020
20225	9.708311	-1.079903	-0.024703	-0.028357	0.009810	0.032690	-89.855778	-84.255644	51.474291
20226	9.687882	-1.051483	0.015809	-0.017687	0.008571	0.029118	-89.844340	-84.240072	51.451769
20227	9.693376	-1.070058	0.046746	-0.017069	0.010091	0.030954	-89.863959	-84.225948	51.441418
20228	9.666132	-1.015335	0.003527	-0.024272	0.008820	0.026213	-89.855673	-84.212075	51.418248
20229	9.682591	-1.001234	0.029343	-0.029121	0.010010	0.027157	-89.855768	-84.202248	51.392805
20230	9.702777	-0.982034	-0.021630	-0.033175	0.012526	0.028170	-89.832190	-84.187314	51.349153
20231	9.717833	-1.010721	-0.037296	-0.036202	0.012363	0.024070	-89.730442	-84.182160	51.240223
20232	9.706644	-1.045310	-0.031363	-0.026207	0.013408	0.022075	-89.697238	-84.170798	51.191012
20233	9.652453	-1.102569	-0.028843	-0.012036	0.015553	0.020719	-89.684647	-84.169982	51.176605
20234	9.705786	-1.102512	-0.016967	-0.001367	0.014303	0.017138	-89.632782	-84.161542	51.122964
20235	9.721315	-1.077396	-0.043691	0.010630	0.018185	0.024366	-89.481770	-84.156516	51.008520
20236	9.696239	-1.042916	0.021063	0.011855	0.009983	0.019552	-89.446127	-84.146712	50.978860
20237	9.679301	-1.061426	-0.002722	0.012453	0.016832	0.019322	-89.319622	-84.137390	50.851378
20238	9.679102	-1.063238	-0.001266	0.014119	0.010340	0.018110	-89.280332	-84.128441	50.819412
20239	9.700412	-1.053700	0.001781	0.016030	0.011084	0.020201	-89.270507	-84.125342	50.812489
20240	9.657194	-1.078189	-0.000495	0.018949	0.014477	0.015106	-89.205739	-84.118194	50.757731
20241	9.704845	-1.062181	-0.018535	0.025709	0.014027	0.016261	-89.139684	-84.122154	50.716006
20242	9.688872	-1.090724	0.011384	0.021710	0.012734	0.013851	-89.082976	-84.115899	50.671040
20243	9.694044	-1.044146	-0.022340	0.023621	0.013479	0.015944	-89.015290	-84.117797	50.638824
20244	9.725891	-1.055214	-0.012298	0.026080	0.008310	0.014805	-88.980762	-84.111117	50.618728
20245	9.720399	-1.104458	0.024415	0.036063	0.014672	0.010749	-88.941796	-84.109993	50.593881
20246	9.699304	-1.063789	0.012273	0.036698	0.010864	0.014663	-88.887524	-84.103419	50.560057
20247	9.688675	-1.044248	0.006848	0.035407	0.011641	0.014412	-88.846666	-84.088804	50.512043
20248	9.689132	-0.992215	-0.003578	0.036560	0.012575	0.010950	-88.783149	-84.084267	50.468787
20249	9.689026	-0.993246	-0.002071	0.032384	0.011478	0.010306	-88.753710	-84.093144	50.487555
20250	9.679329	-0.983459	0.046119	0.025309	0.013834	0.007192	-88.689380	-84.090861	50.437062
20251	9.695955	-0.967657	0.072674	0.027232	0.009253	0.011363	-88.704147	-84.087938	50.453629
20252	9.721353	-0.952274	-0.001254	0.019361	0.010284	0.008177	-88.663642	-84.085181	50.423649
20253	9.706828	-0.937187	0.070236	0.003827	0.018081	0.010587	-88.577617	-84.078644	50.323757
20254	9.663061	-1.013826	0.079969	0.001845	0.009893	0.003432	-88.548665	-84.078613	50.295311
20255	9.667810	-1.019732	0.057601	-0.000778	0.009937	0.008411	-88.553635	-84.077684	50.299385
20256	9.753225	-1.028242	0.078163	0.006641	0.012514	0.005921	-88.508203	-84.076206	50.257121
20257	9.715534	-1.003782	0.040485	0.005790	0.015009	0.009269	-88.447339	-84.076590	50.196162
20258	9.700162	-0.978463	0.058054	0.011941	0.007707	0.010677	-88.426128	-84.072525	50.181339
20259	9.679970	-0.947794	0.098573	0.003094	0.007612	0.009184	-88.419936	-84.074648	50.183277
20260	9.695137	-0.974988	0.082997	-0.005133	0.009039	0.009527	-88.401102	-84.071281	50.161035
20261	9.690861	-0.917542	0.094718	-0.003519	0.001034	0.013819	-88.430909	-84.067349	50.177623
20262	9.717865	-0.923239	0.127169	-0.012911	0.006861	0.015554	-88.429565	-84.060613	50.168503
20263	9.716929	-0.914653	0.073780	-0.027573	0.001516	0.018764	-88.427326	-84.058257	50.171696
20264	9.710477	-0.953968	0.055502	-0.034645	0.003877	0.015644	-88.454495	-84.051560	50.178770
20265	9.683234	-1.014898	0.089053	-0.039671	0.005278	0.018346	-88.492949	-84.045620	50.172116
20266	9.660023	-1.070932	0.045490	-0.043355	0.002084	0.017887	-88.535394	-84.037729	50.189551
20267	9.696612	-1.087690	0.030707	-0.036597	0.001626	0.019058	-88.503343	-84.029888	50.132214
20268	9.716487	-1.120912	-0.009140	-0.028997	0.004002	0.014803	-88.525965	-84.023761	50.138041
20269	9.689917	-1.128589	0.012267	-0.024194	0.001287	0.019369	-88.579009	-84.011694	50.149747
20270	9.647376	-1.099531	-0.003534	-0.015922	0.001365	0.013528	-88.608567	-84.006332	50.170059
20271	9.647235	-1.100762	-0.003616	-0.014453	0.000392	0.012015	-88.626635	-84.003658	50.187792
20272	9.699873	-1.089830	-0.046559	-0.010097	0.001288	0.010898	-88.652779	-83.999810	50.208039
20273	9.700496	-1.101325	0.007144	-0.007210	0.003158	0.011295	-88.660648	-83.995126	50.196268
20274	9.690729	-1.091798	0.053986	-0.004451	0.001407	0.010037	-88.682778	-83.991793	50.215741
20275	9.680245	-1.071649	0.047293	-0.009431	0.004322	0.007245	-88.704583	-83.996036	50.244199
20276	9.648975	-1.072911	0.092172	-0.011471	-0.000039	0.003495	-88.737927	-83.996529	50.270929
20277	9.656063	-0.982556	0.098492	-0.027610	0.000933	0.006154	-88.798220	-83.996928	50.314036
20278	9.672035	-0.955841	0.070142	-0.055439	0.006805	-0.000627	-88.819276	-83.999720	50.303076
20279	9.680860	-1.083218	0.100498	-0.080194	0.003694	-0.004635	-88.879384	-84.010014	50.321519
20280	9.699444	-1.156953	0.018344	-0.073078	0.002843	-0.006998	-88.931660	-84.016563	50.331814
20281	9.718833	-1.177221	-0.075425	-0.082462	0.008685	-0.005214	-88.915482	-84.020070	50.265118
20282	9.754189	-1.234119	-0.132053	-0.069210	0.005851	-0.008266	-88.948720	-84.027305	50.258514
20283	9.727160	-1.228914	-0.164102	-0.050592	0.010945	-0.003560	-88.891013	-84.029817	50.178090
20284	9.736152	-1.291891	-0.198654	-0.021694	0.009241	-0.009490	-88.877836	-84.037697	50.152209
20285	9.713215	-1.345183	-0.241541	0.031731	0.009307	-0.004157	-88.867821	-84.038465	50.147003
20286	9.716261	-1.259548	-0.156017	0.065376	0.014018	-0.004152	-88.779354	-84.043211	50.095551
20287	9.772095	-1.161546	-0.112793	0.084403	0.014922	-0.006407	-88.733509	-84.052974	50.106611
20288	9.779247	-1.070458	-0.103187	0.087368	0.024226	-0.000892	-88.576902	-84.055750	49.999320
20289	9.743270	-1.002134	-0.097067	0.087059	0.026141	-0.002819	-88.431047	-84.058087	49.901193
20290	9.706517	-0.987051	-0.078907	0.084609	0.031324	-0.001645	-88.236726	-84.061120	49.754392
20291	9.787229	-0.926243	-0.097467	0.069088	0.033816	0.002863	-88.050877	-84.058936	49.597633
20292	9.771345	-0.890054	-0.130188	0.076588	0.043830	0.005486	-87.793651	-84.057522	49.382965
20293	9.743521	-0.939556	-0.145376	0.083036	0.045280	0.004731	-87.573894	-84.052250	49.191434
20294	9.754685	-0.908314	-0.144660	0.096749	0.055432	0.013852	-87.244315	-84.045539	48.915602
20295	9.781109	-0.903785	-0.159776	0.098223	0.054467	0.012381	-86.900263	-84.043472	48.649099
20296	9.770373	-0.947897	-0.094338	0.103273	0.064346	0.018236	-86.520464	-84.033643	48.326568
20297	9.744230	-0.965847	-0.011880	0.109052	0.068103	0.019096	-86.206747	-84.029131	48.081761
20298	9.731075	-1.033312	-0.093868	0.124597	0.071577	0.025298	-85.780598	-84.014621	47.724898
20299	9.769018	-1.007849	-0.058098	0.128600	0.078219	0.025728	-85.341052	-83.995421	47.347125
20300	9.758489	-0.989442	-0.056087	0.133278	0.082559	0.024588	-84.854377	-83.980179	46.934366
20301	9.763269	-0.997717	-0.069593	0.126412	0.090709	0.030286	-84.387765	-83.956971	46.527845
20302	9.746777	-1.026969	-0.030843	0.127661	0.093129	0.021399	-83.851158	-83.942164	46.061572
20303	9.718975	-1.087915	0.013719	0.131669	0.099778	0.021845	-83.341054	-83.928024	45.625062
20304	9.684836	-1.186673	0.040880	0.141806	0.099122	0.023779	-82.771191	-83.910562	45.133458
20305	9.711173	-1.183189	0.031088	0.150545	0.100929	0.021723	-82.253567	-83.898440	44.707714
20306	9.724374	-1.056221	0.065499	0.154012	0.102202	0.016944	-81.661065	-83.883660	44.200352
20307	9.719997	-1.008741	0.141253	0.142456	0.106073	0.023810	-81.101554	-83.862146	43.719899
20308	9.698073	-1.021800	0.150995	0.135000	0.106686	0.017068	-80.502586	-83.845786	43.195025
20309	9.702907	-1.029077	0.139951	0.130785	0.114785	0.017759	-79.880895	-83.822651	42.638820
20310	9.654017	-1.056391	0.225093	0.133437	0.109402	0.015008	-79.273448	-83.805935	42.104459
20311	9.680099	-1.061410	0.269849	0.131771	0.110640	0.018353	-78.791315	-83.792256	41.696452
20312	9.686936	-0.971862	0.286267	0.130493	0.111443	0.018162	-78.184864	-83.772500	41.161333
20313	9.664872	-0.984533	0.296249	0.121468	0.111582	0.018367	-77.641756	-83.749462	40.677513
20314	9.681861	-0.915802	0.320127	0.099068	0.116258	0.017594	-77.035895	-83.728243	40.124794
20315	9.686126	-0.932015	0.363013	0.084580	0.116060	0.016748	-76.561109	-83.710108	39.689375
20316	9.647798	-0.961810	0.347565	0.066398	0.112651	0.015359	-75.997245	-83.689548	39.159989
20317	9.672200	-1.054804	0.310823	0.056730	0.105918	0.015760	-75.566480	-83.672011	38.753489
20318	9.681066	-1.085904	0.383303	0.055530	0.105052	0.019259	-75.058894	-83.649448	38.274388
20319	9.649588	-1.069178	0.330133	0.066537	0.101851	0.017969	-74.668486	-83.633858	37.926168
20320	9.638722	-1.014447	0.426932	0.067023	0.099762	0.018227	-74.185703	-83.611916	37.478586
20321	9.617090	-0.983054	0.475198	0.063130	0.096791	0.019503	-73.805078	-83.590286	37.119703
20322	9.659559	-0.962137	0.489273	0.050406	0.093707	0.019060	-73.369089	-83.568158	36.709549
20323	9.685963	-0.958856	0.477938	0.039956	0.093184	0.024360	-73.044947	-83.540847	36.376573
20324	9.679746	-0.954971	0.510187	0.021086	0.092096	0.024396	-72.647970	-83.515479	35.988666
20325	9.664546	-0.921882	0.480405	0.004900	0.093120	0.026647	-72.312346	-83.495112	35.670611
