// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
20101	9.594828	1.163443	-1.298953	0.070195	0.018328	-0.094471	138.260165	-79.713339	26.526428
20102	9.633559	1.201441	-1.331084	0.061561	0.023348	-0.090072	138.039963	-79.468399	26.696471
20103	9.615139	1.193394	-1.364294	0.059805	0.030274	-0.084334	138.032606	-79.585433	26.712738
20104	9.633684	1.215830	-1.361108	0.059341	0.039154	-0.082343	137.794498	-79.570460	26.989410
20105	9.574663	1.177677	-1.325211	0.061372	0.040096	-0.082913	137.551515	-79.555561	27.271813
20106	9.594349	1.158361	-1.286554	0.059235	0.035648	-0.082947	137.320840	-79.538458	27.540893
20107	9.555705	1.134617	-1.285837	0.064193	0.017331	-0.075790	137.148994	-79.516288	27.753064
20108	9.598500	1.128289	-1.352213	0.085227	0.016609	-0.076777	136.988975	-79.493293	27.965467
20109	9.637109	1.123274	-1.315112	0.108120	0.021805	-0.075480	136.836897	-79.473070	28.183218
20110	9.642569	1.158680	-1.262818	0.119979	0.019686	-0.074989	136.695825	-79.451857	28.396632
20111	9.666904	1.209358	-1.210605	0.128387	0.013649	-0.073929	136.579213	-79.429126	28.590206
20112	9.660176	1.185315	-1.262366	0.126910	0.013103	-0.077039	136.452869	-79.404198	28.792709
20113	9.679819	1.205701	-1.296800	0.138763	0.010981	-0.076520	136.342459	-79.379869	28.986015
20114	9.661519	1.195347	-1.332289	0.150514	0.013738	-0.082242	136.218334	-79.352991	29.200053
20115	9.621554	1.211600	-1.368982	0.158494	0.020066	-0.078575	136.099085	-79.331765	29.413957
20116	9.651444	1.218577	-1.384797	0.169719	0.025817	-0.079878	135.967183	-79.310639	29.647139
20117	9.611517	1.194042	-1.350738	0.172354	0.024723	-0.081009	135.847009	-79.289927	29.870264
20118	9.606497	1.242523	-1.317376	0.174405	0.023186	-0.078382	135.727990	-79.268133	30.093099
20119	9.598646	1.218202	-1.333875	0.173852	0.026144	-0.073911	135.625908	-79.250801	30.298835
20120	9.587867	1.235718	-1.352040	0.188291	0.019512	-0.075144	135.530811	-79.228651	30.505448
20121	9.623409	1.272485	-1.317594	0.196375	0.017392	-0.074900	135.463324	-79.207235	30.689272
20122	9.638467	1.334689	-1.320142	0.201030	0.011355	-0.074073	135.396168	-79.182086	30.874901
20123	9.672172	1.412551	-1.323335	0.188951	0.002935	-0.076366	135.352074	-79.153751	31.030644
20124	9.662485	1.428925	-1.377880	0.174004	0.012298	-0.079723	135.256686	-79.126630	31.229286
20125	9.646727	1.450841	-1.294370	0.176757	0.006384	-0.074545	135.196717	-79.098731	31.393759
20126	9.568811	1.434042	-1.333868	0.172242	-0.004475	-0.072929	135.151100	-79.067458	31.540720
20127	9.583491	1.457127	-1.267733	0.161545	-0.006262	-0.065543	135.119813	-79.036187	31.666878
20128	9.606015	1.433152	-1.302771	0.139953	-0.006031	-0.060917	135.085103	-79.009103	31.783916
20129	9.591871	1.452731	-1.254230	0.124930	0.003565	-0.055306	135.026424	-78.984615	31.916469
20130	9.650761	1.460956	-1.252948	0.123101	0.010595	-0.049725	134.971599	-78.968752	32.044192
20131	9.618094	1.464633	-1.202952	0.131815	0.018248	-0.055192	134.868262	-78.949929	32.225457
20132	9.600296	1.450774	-1.237787	0.146055	0.016652	-0.053559	134.806606	-78.934888	32.373544
20133	9.596359	1.496398	-1.240721	0.157065	0.017840	-0.059208	134.694797	-78.914684	32.578017
20134	9.541490	1.527191	-1.193094	0.161334	0.024002	-0.065052	134.603607	-78.897848	32.765127
20135	9.564479	1.503136	-1.224995	0.174515	0.030689	-0.066932	134.449751	-78.878083	33.022153
20136	9.545134	1.491894	-1.224431	0.195357	0.038150	-0.073312	134.332769	-78.863372	33.255439
20137	9.520701	1.524957	-1.192425	0.213796	0.029923	-0.076077	134.167554	-78.837947	33.545901
20138	9.546893	1.573288	-1.212223	0.232499	0.020125	-0.080963	134.095050	-78.812687	33.755552
20139	9.564563	1.593652	-1.214246	0.229540	0.016781	-0.074909	133.930704	-78.780359	34.050669
20140	9.611210	1.617217	-1.198273	0.214774	0.009671	-0.066930	133.899247	-78.756612	34.208148
20141	9.610333	1.620765	-1.200509	0.190646	0.012098	-0.057518	133.751441	-78.729979	34.467401
20142	9.628252	1.639567	-1.202445	0.175904	0.014344	-0.051629	133.719181	-78.714371	34.602998
20143	9.758963	1.601431	-1.142401	0.147686	0.017275	-0.044285	133.600712	-78.693693	34.809692
20144	9.482887	1.587678	-1.224258	0.137823	0.018239	-0.033284	133.575211	-78.687114	34.916121
20145	9.613254	1.662653	-1.155230	0.133096	0.005538	-0.029992	133.463786	-78.664818	35.095712
20146	9.607902	1.631100	-1.205962	0.112620	0.016211	-0.026091	133.442857	-78.660279	35.182768
20147	9.602326	1.677339	-1.174927	0.094196	0.020512	-0.032949	133.234879	-78.637033	35.433653
20148	9.615641	1.662486	-1.224347	0.068465	0.020173	-0.034316	133.164265	-78.630418	35.545491
20149	9.547484	1.632374	-1.206625	0.060855	0.024862	-0.041508	132.899781	-78.605916	35.846591
20150	9.579691	1.597498	-1.183800	0.064972	0.015117	-0.037401	132.831159	-78.595862	35.954205
20151	9.589583	1.588749	-1.164423	0.056480	0.017568	-0.039266	132.538307	-78.563570	36.264541
20152	9.584303	1.558655	-1.213246	0.050154	0.016302	-0.035362	132.462559	-78.554624	36.370646
20153	9.569100	1.503543	-1.208735	0.054229	0.012375	-0.033885	132.211238	-78.531309	36.660082
20154	9.587349	1.521705	-1.208806	0.061102	0.012016	-0.029280	132.161996	-78.523222	36.745461
20155	9.617686	1.524812	-1.224639	0.060595	0.009356	-0.022354	131.988570	-78.508192	36.958938
20156	9.607516	1.501578	-1.170893	0.062632	0.013771	-0.022385	131.949591	-78.503661	37.034716
20157	9.632467	1.548744	-1.156102	0.057114	0.005855	-0.012681	131.776663	-78.486589	37.236266
20158	9.613788	1.533324	-1.156069	0.052125	0.004067	-0.009355	131.776038	-78.483846	37.266674
20159	9.650804	1.565502	-1.157181	0.046306	0.005455	-0.012380	131.613269	-78.462854	37.441701
20160	9.592911	1.557725	-1.194157	0.031776	0.005076	-0.012524	131.592217	-78.458994	37.480899
20161	9.592743	1.558808	-1.194095	0.024902	0.005416	-0.017123	131.429457	-78.438064	37.646287
20162	9.594255	1.557385	-1.228240	0.017070	0.005862	-0.019572	131.384588	-78.431301	37.701028
20163	9.599579	1.514422	-1.258192	0.012913	0.012097	-0.024234	131.206607	-78.418819	37.894984
20164	9.597608	1.519624	-1.222881	0.013869	0.011987	-0.026383	131.134161	-78.411339	37.975916
20165	9.592644	1.488412	-1.271471	0.012988	0.009773	-0.021047	130.936104	-78.393784	38.182008
20166	9.601021	1.481310	-1.217987	0.021906	0.001100	-0.014914	130.911415	-78.387049	38.218724
20167	9.578458	1.508162	-1.221740	0.025129	-0.001546	-0.007560	130.792732	-78.368138	38.327585
20168	9.578345	1.508417	-1.222309	0.016797	-0.003737	-0.003096	130.796459	-78.364525	38.332168
20169	9.600704	1.482401	-1.219160	0.000678	0.001474	-0.000016	130.644653	-78.361201	38.475715
20170	9.598979	1.485296	-1.184729	-0.006697	-0.000824	0.002297	130.638732	-78.361037	38.476434
20171	9.612795	1.467996	-1.234357	-0.014604	0.001937	-0.003339	130.516481	-78.353468	38.594962
20172	9.619185	1.499147	-1.218993	-0.015759	-0.000275	-0.008625	130.483504	-78.348674	38.617841
20173	9.582841	1.543589	-1.172370	-0.017395	-0.001642	-0.006459	130.361526	-78.349125	38.746869
20174	9.612436	1.470857	-1.233748	-0.017572	-0.000482	-0.013359	130.319461	-78.342260	38.777994
