// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
20101	9.538080	1.079024	1.598881	0.077113	-0.024602	-0.011897	33.958380	-78.563160	152.275274
20102	9.549132	1.111194	1.662279	0.065620	-0.014525	-0.014860	33.715033	-78.172671	152.472860
20103	9.558166	1.041704	1.537743	0.050184	-0.015537	-0.018366	33.874499	-78.365273	152.357423
20104	9.547430	1.092132	1.569891	0.061768	-0.019522	-0.020629	33.987850	-78.367956	152.277829
20105	9.567349	1.078513	1.544781	0.040912	-0.014031	-0.021457	34.084248	-78.367241	152.203027
20106	9.567285	1.081175	1.543321	0.040689	-0.007299	-0.021024	34.167388	-78.363945	152.141945
20107	9.565368	1.111147	1.521007	0.037322	-0.009062	-0.023035	34.256365	-78.361072	152.072951
20108	9.577916	1.064876	1.539880	0.035877	-0.010416	-0.024589	34.349742	-78.358062	151.998601
20109	9.557937	1.084406	1.561213	0.055168	-0.012751	-0.025030	34.460124	-78.356672	151.918227
20110	9.575915	1.124563	1.548768	0.060761	-0.011229	-0.028230	34.577293	-78.352807	151.834141
20111	9.606549	1.141856	1.590045	0.061174	-0.009925	-0.029187	34.697087	-78.349076	151.747711
20112	9.606413	1.119727	1.554662	0.063833	-0.017178	-0.030254	34.829929	-78.347277	151.649417
20113	9.595371	1.171607	1.586975	0.059012	-0.007800	-0.034069	34.957519	-78.341219	151.553821
20114	9.575227	1.166334	1.574830	0.049564	-0.014343	-0.036618	35.092017	-78.335907	151.445485
20115	9.567859	1.085995	1.549880	0.058968	-0.005537	-0.033933	35.217997	-78.328833	151.351615
20116	9.569474	1.037109	1.536608	0.060328	-0.006131	-0.037086	35.346319	-78.319428	151.255877
20117	9.598116	1.056480	1.523541	0.060516	-0.010604	-0.037361	35.487289	-78.314665	151.147534
20118	9.567041	1.021366	1.445977	0.085127	-0.002393	-0.040465	35.631061	-78.302298	151.050523
20119	9.571738	1.164315	1.479592	0.100928	-0.008001	-0.037385	35.789511	-78.298327	150.947913
20120	9.582358	1.147482	1.476970	0.094239	-0.007334	-0.036553	35.937300	-78.289462	150.852127
20121	9.590871	1.210279	1.519687	0.108383	-0.001525	-0.039875	36.099884	-78.282891	150.749867
20122	9.617282	1.283884	1.518093	0.100413	-0.006713	-0.040855	36.259415	-78.272177	150.645695
20123	9.627776	1.267549	1.515758	0.090551	-0.002070	-0.042721	36.428022	-78.265199	150.527316
20124	9.640234	1.197902	1.502597	0.078092	0.007577	-0.043685	36.557158	-78.246825	150.441118
20125	9.579867	1.200824	1.504351	0.076965	0.005529	-0.050891	36.728250	-78.233652	150.312393
20126	9.581268	1.153410	1.492664	0.065725	0.010762	-0.049611	36.857368	-78.211684	150.218964
20127	9.540759	1.139798	1.472551	0.068777	0.017317	-0.051927	37.009936	-78.194190	150.104572
20128	9.550657	1.176685	1.538779	0.076240	0.015504	-0.049284	37.135738	-78.170086	150.020672
20129	9.527630	1.252536	1.573430	0.074432	0.012853	-0.049862	37.293533	-78.157663	149.903978
20130	9.533557	1.316747	1.563104	0.075045	0.013909	-0.046262	37.413960	-78.135288	149.824869
20131	9.538694	1.486695	1.684304	0.075833	0.006249	-0.047728	37.582402	-78.122605	149.698878
20132	9.515958	1.509182	1.652288	0.064652	0.013449	-0.041773	37.687245	-78.101918	149.629594
20133	9.493197	1.531321	1.620593	0.073389	0.013281	-0.042150	37.836710	-78.083347	149.521362
20134	9.505145	1.540425	1.707503	0.066793	0.007636	-0.031465	37.929621	-78.068832	149.465519
20135	9.452963	1.440738	1.500981	0.081643	0.012301	-0.031336	38.082900	-78.051215	149.359309
20136	9.478012	1.592871	1.598693	0.104803	0.009493	-0.025318	38.180978	-78.038003	149.320444
20137	9.471549	1.484730	1.542878	0.086195	-0.000030	-0.016362	38.340326	-78.026269	149.212391
20138	9.528313	1.405312	1.627234	0.103004	0.009334	-0.010982	38.407008	-78.018179	149.204554
20139	9.486360	1.414774	1.584099	0.101961	0.003246	-0.008188	38.580689	-78.007789	149.088930
20140	9.539245	1.361927	1.592375	0.098336	0.008172	-0.009829	38.643846	-78.000602	149.081972
20141	9.521657	1.300869	1.570364	0.092920	0.002164	-0.006841	38.796305	-77.989483	148.983645
20142	9.512499	1.298276	1.591622	0.088805	0.003782	-0.012196	38.866080	-77.983405	148.964353
20143	9.523335	1.443716	1.546579	0.084635	0.007906	-0.002647	38.951935	-77.973385	148.933128
20144	9.435829	1.480648	1.680882	0.030262	0.018681	-0.001384	38.940322	-77.964597	148.962769
20145	9.644411	1.425515	1.564977	0.041233	-0.006542	-0.010698	39.081842	-77.962326	148.843029
20146	9.530914	1.532855	1.621933	0.047944	-0.000629	-0.006619	39.124314	-77.960387	148.827743
20147	9.561971	1.495722	1.598770	0.018428	0.001760	-0.012917	39.283990	-77.948324	148.675635
20148	9.542310	1.460083	1.555863	0.029779	0.005129	-0.004567	39.302509	-77.944604	148.674166
20149	9.492991	1.489761	1.622841	0.032880	0.003435	-0.001719	39.399497	-77.927619	148.605625
20150	9.501885	1.495372	1.600550	0.029392	0.003845	-0.003593	39.417935	-77.924757	148.603988
20151	9.533050	1.457270	1.577762	0.018965	0.001093	0.000790	39.561833	-77.913036	148.467051
20152	9.506755	1.389021	1.578677	0.015835	-0.003208	0.003266	39.570757	-77.915804	148.467169
20153	9.489167	1.352425	1.589939	0.016232	-0.001920	0.002291	39.677584	-77.901193	148.372047
20154	9.540274	1.323808	1.576919	0.012042	-0.006330	0.002259	39.691602	-77.904958	148.364743
20155	9.525169	1.233837	1.577151	0.029069	-0.005675	0.002599	39.796337	-77.892653	148.276762
20156	9.520747	1.314023	1.564921	0.036458	-0.005197	0.005370	39.815685	-77.897087	148.278358
20157	9.549084	1.382690	1.617133	0.033634	-0.005965	0.006981	39.904270	-77.893678	148.209398
20158	9.538202	1.404323	1.616086	0.031881	-0.010889	0.006317	39.928947	-77.901017	148.202874
20159	9.564829	1.472399	1.613328	0.026526	-0.008898	0.008672	40.027931	-77.900749	148.120785
20160	9.523657	1.451490	1.537294	0.018162	-0.007461	0.008069	40.035899	-77.907222	148.123261
20161	9.517300	1.392714	1.548027	0.014177	-0.006100	0.007279	40.117215	-77.903018	148.056291
20162	9.577500	1.368134	1.512638	0.014356	-0.006315	0.011848	40.113749	-77.910353	148.068183
20163	9.546576	1.405859	1.534474	0.015816	-0.004916	0.013380	40.175551	-77.908209	148.019782
20164	9.551298	1.324979	1.545359	0.005322	-0.003705	0.007761	40.170985	-77.912899	148.027492
20165	9.551508	1.324122	1.544799	0.001701	-0.007045	0.011328	40.259978	-77.907237	147.938612
20166	9.543301	1.264425	1.501197	0.002585	-0.006717	0.009267	40.256301	-77.913736	147.943760
20167	9.545355	1.264036	1.555189	0.002493	-0.004474	0.009374	40.348289	-77.916414	147.842291
20168	9.545814	1.236179	1.522096	0.008428	-0.005393	0.010610	40.343711	-77.922903	147.851745
20169	9.514858	1.274099	1.544107	0.019050	-0.002861	0.010788	40.385765	-77.930068	147.807225
20170	9.552346	1.346870	1.574264	0.014855	-0.007270	0.010764	40.387802	-77.937672	147.813770
20171	9.570542	1.355727	1.528949	0.007948	-0.008706	0.006914	40.410850	-77.940131	147.812051
20172	9.579472	1.386876	1.538620	0.009223	-0.002821	0.008655	40.406306	-77.944993	147.822015
20173	9.568624	1.407770	1.538139	-0.000149	-0.009722	0.010777	40.436026	-77.951960	147.793151
20174	9.559921	1.401926	1.559663	-0.004717	-0.005160	0.011177	40.422337	-77.958881	147.804341
20175	9.551410	1.369031	1.548890	-0.006664	-0.005600	0.010730	40.448567	-77.958464	147.781841
20176	9.543094	1.309290	1.505540	-0.001397	-0.005351	0.008480	40.442662	-77.964433	147.787004
20177	9.534528	1.276676	1.494742	0.006395	-0.003589	0.010268	40.447142	-77.962024	147.794653
20178	9.508014	1.234585	1.528341	0.006883	-0.004547	0.009185	40.442589	-77.967898	147.803329
20179	9.530358	1.190175	1.527363	0.011939	-0.005794	0.012481	40.434654	-77.976374	147.827816
20180	9.517218	1.264476	1.537456	0.020130	-0.002748	0.013290	40.425675	-77.983103	147.848859
20181	9.517431	1.263644	1.536826	0.017209	-0.005545	0.010230	40.434303	-77.994947	147.847127
20182	9.535387	1.299313	1.524293	0.018186	-0.003186	0.012843	40.425359	-78.001927	147.867122
20183	9.542314	1.356716	1.511829	0.009021	-0.008588	0.009422	40.439989	-78.021598	147.860338
20184	9.573628	1.317250	1.488343	0.009904	-0.008262	0.007361	40.446388	-78.029023	147.859901
20185	9.562601	1.365485	1.520221	0.011763	-0.005579	0.007912	40.515408	-78.034119	147.777053
20186	9.554022	1.333012	1.509237	0.002597	-0.006705	0.009271	40.511054	-78.041677	147.783361
20187	9.545268	1.327501	1.530825	0.001043	-0.005862	0.007846	40.525631	-78.052995	147.771963
20188	9.565471	1.309570	1.507991	-0.006265	-0.004304	0.009757	40.510929	-78.059815	147.783709
20189	9.545786	1.298630	1.497684	0.002324	0.000022	0.009584	40.567832	-78.061566	147.734920
20190	9.534742	1.346531	1.530157	-0.001878	-0.004383	0.009566	40.557265	-78.068288	147.744893
20191	9.546133	1.296784	1.497070	-0.003827	-0.004822	0.009120	40.588388	-78.074466	147.709511
20192	9.568231	1.279384	1.528894	-0.001483	-0.003099	0.008588	40.578024	-78.080294	147.719500
20193	9.586341	1.287926	1.484029	0.000164	-0.006185	0.009907	40.606191	-78.097245	147.677757
20194	9.559793	1.245840	1.517723	-0.001482	-0.003099	0.008588	40.595783	-78.103296	147.687875
20195	9.577882	1.254486	1.472867	0.001046	-0.005861	0.007846	40.628326	-78.108987	147.636080
20196	9.587007	1.258265	1.450366	0.007297	0.001017	0.012983	40.606319	-78.114936	147.663230
20197	9.613826	1.298742	1.416358	0.004878	0.003236	0.003504	40.622737	-78.119065	147.640635
20198	9.613889	1.298209	1.416417	-0.009371	-0.002612	0.006909	40.610073	-78.124397	147.648510
20199	9.611891	1.323894	1.394673	-0.011684	0.005919	0.006881	40.580994	-78.130865	147.669502
20200	9.591884	1.340162	1.417965	-0.021613	0.008210	0.004860	40.546008	-78.130800	147.693077
20201	9.589881	1.338792	1.364761	-0.032509	0.012421	0.005006	40.501737	-78.125966	147.711644
20202	9.598872	1.315477	1.311842	-0.047693	0.014476	0.005237	40.439453	-78.123253	147.747871
20203	9.622671	1.271251	1.368215	-0.051759	0.018091	0.004555	40.417768	-78.122240	147.727632
20204	9.573689	1.272321	1.404957	-0.062760	0.014301	0.005358	40.347072	-78.119688	147.763641
20205	9.584367	1.276144	1.439832	-0.082574	0.018909	0.001315	40.263389	-78.118279	147.794190
20206	9.552089	1.229337	1.608023	-0.103460	0.017435	0.000091	40.174293	-78.112421	147.825236
20207	9.500728	1.283357	1.656420	-0.119726	0.021659	-0.002081	40.122972	-78.119782	147.783662
20208	9.462481	1.262094	1.694245	-0.124703	0.022957	-0.005378	40.023563	-78.109710	147.812890
20209	9.532921	1.214810	1.662933	-0.116375	0.023771	-0.004669	39.959338	-78.112222	147.787344
20210	9.541296	1.245052	1.677064	-0.097776	0.023548	-0.002911	39.869265	-78.102971	147.822874
20211	9.513943	1.233437	1.451028	-0.077248	0.005242	0.005014	39.830459	-78.104222	147.789253
20212	9.552540	1.411965	1.669003	-0.042241	-0.003714	0.008715	39.795182	-78.111219	147.801325
20213	9.493286	1.380698	1.638163	-0.059340	-0.012319	0.009000	39.767011	-78.121227	147.785017
20214	9.524813	1.313650	1.582102	-0.068630	-0.013183	0.005777	39.738918	-78.131290	147.774312
20215	9.553344	1.161283	1.613526	-0.078781	-0.010122	0.009415	39.722600	-78.140865	147.720336
20216	9.462903	1.194903	1.638364	-0.058309	-0.009953	0.011623	39.682425	-78.151659	147.728029
20217	9.436382	1.151435	1.671508	-0.062662	-0.014100	0.007006	39.646013	-78.165288	147.711811
20218	9.527409	1.114102	1.645772	-0.053926	-0.014280	0.006630	39.625889	-78.176195	147.701633
20219	9.516503	1.160908	1.678726	-0.046426	-0.005828	0.008790	39.603444	-78.179263	147.661767
20220	9.554925	1.099475	1.546324	-0.042324	0.000809	0.008963	39.558331	-78.184306	147.683920
20221	9.552912	1.124875	1.525707	-0.011768	0.014643	0.011966	39.511287	-78.189483	147.679704
20222	9.570390	1.213113	1.581745	-0.013122	0.015263	0.015114	39.444320	-78.190458	147.741335
20223	9.493685	1.311143	1.520486	-0.028937	0.004061	0.007545	39.368679	-78.201397	147.772269
20224	9.530591	1.217592	1.595651	-0.041836	-0.004374	0.003055	39.344154	-78.206743	147.773828
20225	9.588355	1.246339	1.572380	-0.043546	0.000976	0.001880	39.348975	-78.217336	147.697136
20226	9.539738	1.194407	1.541917	-0.049214	0.007715	-0.000075	39.306007	-78.216344	147.713253
20227	9.601654	1.116514	1.496729	-0.042160	0.004608	0.003543	39.278095	-78.225810	147.664336
20228	9.583781	1.079233	1.508557	-0.019345	-0.000032	0.000299	39.264689	-78.228511	147.667799
20229	9.550669	1.170872	1.543136	-0.016359	-0.003753	-0.001554	39.240473	-78.237680	147.655050
20230	9.539764	1.192598	1.543156	-0.021902	-0.011760	-0.003280	39.253180	-78.244333	147.630398
20231	9.517774	1.262652	1.576316	-0.033509	-0.014319	-0.005989	39.220209	-78.251467	147.653569
20232	9.581618	1.211922	1.616423	-0.037953	-0.016210	-0.010492	39.246444	-78.257436	147.605730
20233	9.561875	1.202407	1.605251	-0.029322	-0.009928	-0.005928	39.265233	-78.262067	147.510752
20234	9.509256	1.231777	1.562853	-0.020532	-0.012368	-0.006431	39.285793	-78.267805	147.478932
20235	9.549246	1.225145	1.549386	-0.012617	-0.015146	-0.004877	39.229534	-78.279032	147.527224
20236	9.558382	1.230422	1.526202	0.002287	-0.008542	-0.000051	39.241791	-78.285348	147.517318
20237	9.565470	1.262671	1.481556	0.015815	-0.009792	-0.001712	39.221538	-78.294404	147.560839
20238	9.565574	1.262781	1.480787	0.029280	-0.000331	0.006387	39.220806	-78.299405	147.580016
