// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
20101	-0.476994	9.569866	1.790170	0.000200	-0.018548	-0.011372	79.404753	2.802651	109.787076
20102	-0.560316	9.659357	1.780972	0.003078	0.030718	-0.003016	79.551883	3.262515	110.340673
20103	-0.493129	9.598047	1.874980	0.009391	-0.020396	-0.001794	79.483681	3.030276	110.057967
20104	-0.490826	9.575382	1.756960	0.003834	0.019780	-0.004319	79.486444	3.034777	110.068673
20105	-0.576378	9.622753	1.816516	0.005007	-0.003284	0.001773	79.488230	3.034039	110.066624
20106	-0.450860	9.601776	1.782380	0.003134	-0.003341	0.001355	79.489934	3.032927	110.064882
20107	-0.540704	9.607544	1.799460	-0.000805	0.010870	-0.006530	79.489708	3.037721	110.070327
20108	-0.483333	9.593662	1.793120	0.003852	-0.003974	-0.001920	79.491786	3.038388	110.067884
20109	-0.573195	9.599403	1.810299	-0.003619	0.009247	-0.004017	79.489843	3.041567	110.072674
20110	-0.466110	9.618488	1.808875	0.005832	-0.008005	-0.004259	79.492921	3.043130	110.067712
20111	-0.573919	9.599344	1.810383	-0.009956	0.009710	-0.001996	79.487195	3.045221	110.072964
20112	-0.484837	9.593392	1.794157	-0.010742	-0.003174	-0.006128	79.480911	3.048341	110.070532
20113	-0.534930	9.625243	1.838186	-0.001358	0.010560	-0.004460	79.479949	3.051997	110.075996
20114	-0.527365	9.578220	1.827855	-0.013341	-0.012971	-0.009128	79.471865	3.055781	110.067722
20115	-0.529323	9.643651	1.765226	-0.005967	0.025472	-0.001236	79.468237	3.059284	110.081909
20116	-0.558789	9.623481	1.829102	0.011888	-0.013808	-0.008175	79.474587	3.062443	110.073262
20117	-0.546880	9.553141	1.812759	-0.017049	0.021110	0.001328	79.464443	3.064283	110.085256
20118	-0.469693	9.617435	1.813542	-0.012089	-0.019445	-0.001915	79.456920	3.063323	110.074086
20119	-0.530708	9.643204	1.767248	-0.002987	0.026152	-0.004952	79.454583	3.069035	110.088244
20120	-0.525650	9.554039	1.825606	-0.005637	-0.013620	-0.000835	79.450938	3.068077	110.080473
20121	-0.502504	9.608820	1.826704	-0.016277	0.013249	-0.006252	79.440487	3.073241	110.087198
20122	-0.557000	9.598888	1.829016	-0.018893	-0.009997	-0.008837	79.429309	3.077169	110.080629
20123	-0.517585	9.679153	1.734689	-0.013474	0.011796	-0.002483	79.419908	3.080112	110.086961
20124	-0.548246	9.605092	1.810238	-0.009360	-0.000284	-0.002091	79.414523	3.081260	110.086581
20125	-0.490630	9.591035	1.805151	-0.013103	-0.000398	-0.002928	79.405623	3.083249	110.085898
20126	-0.558308	9.597816	1.834237	-0.018991	0.004461	-0.000216	79.394876	3.083842	110.088391
20127	-0.494947	9.613817	1.814013	-0.018174	-0.003335	0.000027	79.382558	3.083795	110.086473
20128	-0.493867	9.547691	1.879468	-0.023940	0.000520	-0.006298	79.368816	3.087398	110.086101
20129	-0.568595	9.644288	1.739723	-0.026802	0.006122	0.000527	79.351352	3.087355	110.089592
20130	-0.540922	9.621063	1.858207	-0.010686	-0.003108	0.001699	79.345148	3.086064	110.088025
20131	-0.515056	9.533850	1.816282	-0.025583	0.002665	-0.006369	79.329676	3.089821	110.088710
20132	-0.555665	9.572006	1.840727	-0.023099	0.006178	-0.006465	79.316637	3.094096	110.091513
20133	-0.458845	9.519020	1.814954	-0.030046	-0.017549	-0.015672	79.294659	3.101778	110.080158
20134	-0.623925	9.631626	1.862625	-0.012431	0.043412	-0.004648	79.288845	3.109003	110.104152
20135	-0.479401	9.569667	1.908855	-0.001809	-0.034126	0.003898	79.284258	3.103806	110.084865
20136	-0.538515	9.584476	1.803221	0.000867	0.032555	-0.000969	79.285789	3.107801	110.103120
20137	-0.593497	9.585992	1.863020	-0.011807	-0.017188	0.006235	79.272394	3.103748	110.093019
20138	-0.461919	9.595218	1.814572	-0.010066	0.010711	0.007059	79.266981	3.100937	110.099791
20139	-0.630693	9.613171	1.828164	-0.004029	0.001827	0.009410	79.263372	3.095458	110.100664
20140	-0.456201	9.571686	1.810054	-0.004862	-0.003827	0.009575	79.260562	3.089674	110.099492
20141	-0.575083	9.622676	1.828615	-0.007711	0.004856	0.010129	79.255063	3.084264	110.102849
20142	-0.499697	9.579937	1.849332	-0.007508	-0.006396	0.010877	79.250707	3.077460	110.100369
20143	-0.529131	9.625243	1.851005	-0.010507	0.006316	0.006365	79.242496	3.074817	110.104315
20144	-0.498169	9.579674	1.851104	-0.008600	-0.003938	0.008738	79.237598	3.069471	110.102993
20145	-0.529230	9.571416	1.862629	-0.002754	0.001514	0.004066	79.229495	3.069031	110.103243
20146	-0.523318	9.601509	1.847599	-0.012656	0.000923	0.004043	79.222360	3.066873	110.104138
20147	-0.524544	9.547762	1.858465	-0.002258	-0.001312	0.000442	79.219122	3.065074	110.106338
20148	-0.572736	9.568389	1.843454	-0.001423	0.004342	0.000278	79.218497	3.065362	110.108815
20149	-0.531087	9.583390	1.811180	-0.000014	-0.003088	0.006274	79.212271	3.063949	110.104737
20150	-0.548417	9.623443	1.843628	0.003021	0.000738	0.004113	79.214048	3.061748	110.105546
20151	-0.512010	9.608225	1.827194	-0.006118	-0.000427	0.008644	79.205280	3.059555	110.102705
20152	-0.548297	9.569839	1.854158	0.001197	0.000735	0.011526	79.206016	3.053236	110.104253
20153	-0.515577	9.578078	1.843151	-0.000507	-0.000262	0.009899	79.204083	3.050457	110.097282
20154	-0.536784	9.576791	1.832595	0.003950	-0.000779	0.007460	79.206402	3.046322	110.097425
20155	-0.539990	9.600309	1.837879	0.003009	-0.002350	0.010388	79.201760	3.044777	110.091299
20156	-0.525342	9.583747	1.810964	-0.004082	-0.001312	0.007855	79.199394	3.040461	110.091084
20157	-0.512333	9.578302	1.842888	0.000764	-0.000574	0.004555	79.193199	3.041923	110.088231
20158	-0.494007	9.603125	1.858687	0.003411	0.001993	0.003253	79.195120	3.040618	110.089331
20159	-0.555714	9.575709	1.821677	0.000988	0.001624	0.004903	79.197122	3.036420	110.091764
20160	-0.511231	9.578496	1.842188	0.004833	-0.002349	0.002975	79.199787	3.034772	110.090404
20161	-0.505426	9.608778	1.826117	0.001706	0.000997	0.001627	79.191807	3.038342	110.090206
20162	-0.527351	9.607499	1.815353	0.005835	0.002362	0.001603	79.195066	3.038023	110.091337
20163	-0.536657	9.600796	1.836315	0.002470	0.000423	0.006182	79.192003	3.036369	110.092705
20164	-0.540204	9.624285	1.841658	0.002859	0.001679	0.005322	79.193520	3.033890	110.093861
20165	-0.499650	9.585692	1.819280	0.001305	-0.003346	0.008762	79.192754	3.031771	110.083999
20166	-0.520946	9.584378	1.808897	-0.001434	0.001257	0.006553	79.191906	3.028579	110.084965
20167	-0.534132	9.601033	1.835810	0.002635	-0.000519	0.004973	79.193578	3.027052	110.081459
20168	-0.511790	9.602422	1.846084	-0.000164	0.000942	0.001208	79.193444	3.026860	110.081626
20169	-0.555708	9.599709	1.825424	-0.002587	0.000574	0.002858	79.190540	3.030416	110.070752
20170	-0.511239	9.602371	1.846501	-0.003364	-0.001938	0.004578	79.188510	3.028123	110.069511
20171	-0.528929	9.577595	1.830675	-0.000164	0.000942	0.001208	79.187067	3.027009	110.072156
20172	-0.497176	9.585743	1.819690	0.000225	0.002199	0.000348	79.187230	3.027472	110.072870
20173	-0.532956	9.601011	1.836268	-0.000225	-0.002199	-0.000348	79.174818	3.029362	110.085209
20174	-0.506853	9.578929	1.841147	-0.001645	0.002144	-0.000070	79.173674	3.030028	110.085994
20175	-0.529042	9.577604	1.830598	0.004682	0.001679	-0.002092	79.179772	3.034456	110.073445
20176	-0.519513	9.584474	1.808800	0.004129	0.001365	-0.000023	79.182041	3.035068	110.073658
20177	-0.519313	9.584564	1.808378	0.004669	-0.001407	0.004184	79.188476	3.031743	110.070040
20178	-0.510619	9.602638	1.845281	0.005058	-0.000151	0.003324	79.191364	3.030272	110.069756
20179	-0.528388	9.577936	1.829048	-0.000164	0.000942	0.001208	79.193175	3.030666	110.063636
20180	-0.505944	9.579322	1.839351	0.002083	-0.000833	0.007042	79.194466	3.027005	110.063349
20181	-0.515125	9.572612	1.860437	0.003638	0.004192	0.003601	79.187958	3.032960	110.059489
20182	-0.559172	9.569982	1.839344	0.002423	0.000368	-0.001650	79.189303	3.034416	110.058873
20183	-0.521812	9.608372	1.812331	0.003188	-0.000205	0.002905	79.197170	3.027784	110.063615
20184	-0.531141	9.601659	1.833400	0.003024	0.000737	0.004114	79.199019	3.025940	110.063903
20185	-0.518295	9.596309	1.864820	0.004281	-0.002663	0.005044	79.202734	3.021711	110.063000
20186	-0.539857	9.595040	1.854174	0.000991	0.001626	0.004903	79.203505	3.019464	110.063920
20187	-0.529782	9.601883	1.832622	0.002800	-0.001461	0.003766	79.207368	3.014650	110.067892
20188	-0.506165	9.592111	1.783960	0.003966	0.002307	0.001185	79.209886	3.014512	110.068853
20189	-0.529473	9.602031	1.831935	0.003516	-0.002090	0.000489	79.212610	3.013452	110.071057
20190	-0.551342	9.600761	1.821208	0.003414	0.001993	0.003253	79.214814	3.012104	110.072082
20191	-0.503026	9.580093	1.836130	0.002096	0.002253	0.000766	79.220873	3.015702	110.062540
20192	-0.506928	9.603563	1.841480	0.002963	-0.002404	0.002558	79.222791	3.014318	110.060901
20193	-0.514990	9.585640	1.803907	0.001544	0.001940	0.002835	79.219177	3.020395	110.053044
20194	-0.528543	9.602296	1.830812	-0.000389	-0.001256	0.000860	79.219138	3.020186	110.051765
20195	-0.524318	9.578933	1.824995	0.005223	-0.001094	0.002116	79.222214	3.023233	110.044071
20196	-0.518736	9.609170	1.808980	-0.000641	0.006855	-0.001444	79.222268	3.025246	110.047036
20197	-0.554738	9.624449	1.825564	0.000102	-0.004084	-0.002764	79.221297	3.028582	110.039211
20198	-0.537056	9.584338	1.793293	-0.005776	0.000781	-0.000048	79.218244	3.029161	110.038896
20199	-0.510746	9.627016	1.846946	-0.000451	-0.004397	-0.000695	79.225766	3.022276	110.039604
20200	-0.554835	9.624234	1.826668	-0.009906	-0.000583	-0.000024	79.220450	3.022566	110.038631
20201	-0.528586	9.601992	1.832395	-0.009038	-0.005240	0.001768	79.210429	3.032388	110.027236
20202	-0.548775	9.654080	1.812896	-0.012880	-0.001264	0.003695	79.203313	3.030685	110.026088
20203	-0.548276	9.653827	1.814394	-0.017787	-0.005139	0.005439	79.187764	3.021404	110.042999
20204	-0.517438	9.608040	1.815341	-0.018174	-0.006394	0.006299	79.177383	3.017572	110.039438
20205	-0.530305	9.624288	1.844515	-0.026757	-0.007236	0.008764	79.154395	3.009791	110.047003
20206	-0.525272	9.600489	1.841201	-0.020530	-0.003620	0.009508	79.142652	3.004381	110.045503
20207	-0.525869	9.546520	1.853401	-0.022398	-0.003673	0.009090	79.132137	3.003536	110.035998
20208	-0.548352	9.555979	1.903743	-0.018556	-0.007648	0.007160	79.121427	2.999065	110.031888
20209	-0.482944	9.560866	1.824517	-0.011617	-0.004662	0.004626	79.120031	2.994253	110.030604
20210	-0.532082	9.592561	1.869189	-0.010288	-0.001835	0.000839	79.114278	2.993921	110.029108
20211	-0.522253	9.599241	1.848553	-0.004679	-0.001676	0.002092	79.107051	3.000444	110.019388
20212	-0.518002	9.575684	1.843754	-0.012545	-0.003143	0.001280	79.099902	2.999815	110.017106
20213	-0.553416	9.590797	1.861348	-0.007487	-0.003300	0.004602	79.096583	2.994784	110.020662
20214	-0.525278	9.622233	1.856637	-0.005229	-0.001991	0.004161	79.093693	2.992609	110.019402
20215	-0.538653	9.574007	1.835695	-0.009844	-0.000528	0.007812	79.100398	2.987577	110.013449
20216	-0.543392	9.543691	1.852143	-0.005075	-0.006022	0.009225	79.097689	2.982094	110.010411
20217	-0.520583	9.544968	1.862862	-0.001490	-0.001886	0.004996	79.097913	2.978392	110.011384
20218	-0.498027	9.546304	1.873196	0.002637	-0.000525	0.004972	79.099780	2.975865	110.011017
20219	-0.523524	9.568541	1.867963	0.007857	-0.001625	0.007085	79.110248	2.976940	109.997757
20220	-0.517263	9.598927	1.851585	0.006151	-0.002618	0.005458	79.114167	2.973960	109.996153
20221	-0.507181	9.605848	1.829780	0.003188	-0.000210	0.002904	79.116078	2.975515	109.990872
20222	-0.538611	9.597813	1.840457	0.003189	-0.000210	0.002904	79.118364	2.974252	109.990319
20223	-0.524538	9.581287	1.813190	0.002412	-0.002723	0.004623	79.121897	2.968413	109.998026
20224	-0.506091	9.606045	1.829047	0.001157	0.000679	0.003695	79.123074	2.966753	109.998113
20225	-0.537338	9.597997	1.839870	0.002250	-0.001781	0.005832	79.126174	2.960746	110.000959
20226	-0.514752	9.599402	1.849821	0.006766	0.000836	0.004948	79.130604	2.958346	110.001328
20227	-0.546149	9.591416	1.860304	0.003577	0.001046	0.002044	79.134941	2.962811	109.995641
20228	-0.508263	9.629805	1.833363	0.001311	-0.003351	0.008761	79.136168	2.957869	109.993977
20229	-0.521678	9.581673	1.811975	-0.006710	-0.000784	0.002885	79.128202	2.953508	110.000440
20230	-0.506088	9.563820	1.897037	0.002477	0.000417	0.006182	79.130141	2.950368	110.000721
20231	-0.517981	9.569398	1.865119	0.000996	0.001622	0.004905	79.123264	2.944008	110.014239
20232	-0.507963	9.576261	1.843550	0.003189	-0.000210	0.002904	79.125478	2.942578	110.013949
20233	-0.533794	9.598478	1.838391	0.005448	0.001097	0.002462	79.135413	2.942643	110.012120
20234	-0.521227	9.593016	1.869912	-0.000615	-0.003454	0.000510	79.135421	2.942212	110.009701
20235	-0.511574	9.599910	1.848069	0.010515	0.004027	-0.000491	79.143974	2.942550	110.012790
20236	-0.539290	9.568538	1.852743	0.003513	-0.002094	0.000486	79.146418	2.942258	110.011151
20237	-0.507456	9.576736	1.841218	0.007707	0.002405	0.002020	79.152336	2.942578	110.012394
20238	-0.501858	9.607060	1.824878	0.004679	0.001673	-0.002093	79.155560	2.944142	110.012595
20239	-0.515543	9.623771	1.851383	0.005448	0.001098	0.002462	79.154426	2.947767	110.009737
20240	-0.537352	9.622575	1.840584	0.003190	-0.000210	0.002904	79.156716	2.946357	110.009386
20241	-0.523382	9.605994	1.813467	-0.000712	0.000629	0.003278	79.156215	2.944042	110.011428
20242	-0.532560	9.599219	1.834876	-0.000008	-0.003087	0.006275	79.156609	2.940400	110.009853
20243	-0.531917	9.599205	1.835134	-0.005325	0.002096	0.006929	79.151745	2.940013	110.009513
20244	-0.492981	9.571569	1.871765	0.002736	-0.004606	0.002206	79.153620	2.938518	110.006626
20245	-0.505155	9.577092	1.839997	-0.002193	0.001833	0.002000	79.149512	2.938812	110.009712
20246	-0.530978	9.599227	1.835290	0.001158	0.000680	0.003695	79.150608	2.937048	110.009984
20247	-0.512690	9.623967	1.851158	0.001709	0.000994	0.001627	79.149008	2.934546	110.012683
20248	-0.511332	9.612893	1.792220	0.002097	0.002250	0.000767	79.150648	2.934558	110.013591
20249	-0.508406	9.600635	1.845174	0.001159	0.000680	0.003695	79.154690	2.937502	110.007310
20250	-0.534104	9.622791	1.840401	-0.000873	0.001571	0.004487	79.154663	2.935389	110.008164
20251	-0.520115	9.606133	1.813672	-0.004679	-0.001672	0.002093	79.147323	2.934437	110.011356
20252	-0.529331	9.599321	1.835277	-0.000008	-0.003087	0.006275	79.147611	2.930806	110.009819
20253	-0.519096	9.606078	1.814252	-0.007033	0.001103	0.005302	79.141942	2.929349	110.013464
20254	-0.518636	9.605995	1.814827	-0.005001	0.000212	0.004511	79.139430	2.927070	110.013604
20255	-0.509791	9.623841	1.852614	-0.003359	-0.001934	0.004580	79.137867	2.924030	110.017960
20256	-0.491700	9.583707	1.820598	-0.009196	-0.004286	0.002977	79.132810	2.922114	110.015421
20257	-0.505104	9.600236	1.848152	-0.002192	0.001833	0.002001	79.136110	2.928784	110.003043
20258	-0.536661	9.592132	1.859373	-0.002647	-0.002563	0.001302	79.134883	2.928066	110.001180
20259	-0.509138	9.558841	1.805695	-0.004223	0.002724	0.002792	79.135135	2.927951	110.000723
20260	-0.504443	9.600090	1.849089	-0.003425	-0.005074	0.003021	79.133424	2.925993	109.997623
20261	-0.516466	9.605575	1.817665	-0.002969	-0.000678	0.003720	79.134596	2.929513	109.986859
20262	-0.543836	9.574039	1.823407	-0.005067	-0.002927	0.002953	79.132031	2.927870	109.984887
20263	-0.503273	9.599912	1.850333	-0.005616	-0.003241	0.005022	79.127629	2.925641	109.984105
20264	-0.515133	9.605366	1.819145	-0.005616	-0.003241	0.005022	79.124737	2.922796	109.982195
20265	-0.502189	9.599755	1.851444	-0.005616	-0.003241	0.005022	79.119442	2.925005	109.973390
20266	-0.514020	9.605197	1.820352	-0.007646	-0.002349	0.005814	79.115392	2.921849	109.972026
20267	-0.465506	9.584197	1.836133	-0.006319	0.000476	0.002026	79.106742	2.922856	109.974701
20268	-0.518949	9.574766	1.837414	-0.007485	-0.003291	0.004604	79.102695	2.920286	109.972693
