// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
20101	-0.255662	-9.480724	2.527157	0.002401	-0.005905	0.011870	-75.075182	1.489751	110.848263
20102	-0.266898	-9.500502	2.537198	0.002401	-0.005905	0.011870	-75.048335	1.551880	111.027371
20103	-0.267766	-9.485220	2.568250	-0.001294	-0.006501	0.011570	-75.063100	1.523443	110.936874
20104	-0.268655	-9.485245	2.568067	-0.002878	-0.004503	0.010158	-75.064643	1.528401	110.940868
20105	-0.243524	-9.479566	2.545720	-0.002031	-0.005034	0.008228	-75.065031	1.532896	110.944324
20106	-0.275314	-9.466575	2.539069	-0.005068	-0.004655	0.004155	-75.067849	1.534509	110.947515
20107	-0.285820	-9.471325	2.579382	-0.005235	-0.007703	0.006339	-75.070656	1.536875	110.952719
20108	-0.260605	-9.465766	2.556607	-0.008646	-0.001027	0.010035	-75.075555	1.542279	110.954769
20109	-0.251352	-9.461266	2.515219	-0.004272	-0.004012	0.010588	-75.077648	1.547591	110.958561
20110	-0.262403	-9.481251	2.524487	-0.007120	-0.005137	0.008358	-75.081617	1.551461	110.962640
20111	-0.247307	-9.465039	2.573734	-0.001483	-0.004999	0.009729	-75.082133	1.556098	110.966850
20112	-0.274048	-9.470823	2.595509	-0.006382	-0.006605	0.011701	-75.085643	1.561602	110.972235
20113	-0.243748	-9.499281	2.570196	-0.007250	-0.001521	0.009607	-75.089001	1.566634	110.974515
20114	-0.276035	-9.486364	2.563145	-0.008455	-0.002534	0.011879	-75.093758	1.572838	110.977670
20115	-0.292548	-9.487601	2.543756	-0.007309	-0.003632	0.006517	-75.096759	1.575755	110.980674
20116	-0.292894	-9.472523	2.574186	-0.004878	-0.006161	0.005998	-75.099436	1.578169	110.984971
20117	-0.277475	-9.486859	2.561158	-0.009859	-0.005322	0.000856	-75.103512	1.577976	110.988090
20118	-0.267145	-9.467241	2.550464	-0.009500	-0.003779	0.000515	-75.108895	1.577705	110.990259
20119	-0.246345	-9.500412	2.565763	-0.007309	-0.003633	0.006518	-75.111111	1.580918	110.993288
20120	-0.278120	-9.487484	2.558771	-0.007498	-0.002126	0.004676	-75.115356	1.583194	110.995155
20121	-0.252438	-9.466824	2.566661	-0.013135	-0.002263	0.003307	-75.120468	1.584701	110.996964
20122	-0.278773	-9.488050	2.556600	-0.012229	-0.000684	0.004467	-75.127445	1.587075	110.998000
20123	-0.253054	-9.467481	2.564174	-0.015077	-0.001807	0.002238	-75.133101	1.587907	110.999419
20124	-0.304983	-9.509694	2.544972	-0.016043	-0.005496	-0.002013	-75.142216	1.585983	111.002169
20125	-0.274086	-9.465600	2.483424	-0.009858	-0.005324	0.000856	-75.144303	1.585846	111.005325
20126	-0.268356	-9.469554	2.541733	-0.014101	-0.005953	-0.000942	-75.152292	1.584453	111.008482
20127	-0.272793	-9.508585	2.578775	-0.010467	-0.007469	-0.003736	-75.154683	1.581173	111.012120
20128	-0.262068	-9.504187	2.536938	-0.012051	-0.005468	-0.005145	-75.161521	1.577521	111.014393
20129	-0.266628	-9.470465	2.538520	-0.009810	-0.006490	-0.007508	-75.163256	1.572452	111.016975
20130	-0.265515	-9.455555	2.568680	-0.008606	-0.005476	-0.009780	-75.168143	1.566236	111.018572
20131	-0.249129	-9.470014	2.555192	-0.015196	-0.006028	-0.003941	-75.173308	1.563022	111.021557
20132	-0.233065	-9.484510	2.541510	-0.012538	-0.003398	-0.003552	-75.180490	1.560557	111.022927
20133	-0.279513	-9.457622	2.546378	-0.014122	-0.001398	-0.004961	-75.183906	1.555879	111.023310
20134	-0.273666	-9.507133	2.511509	-0.011919	-0.009086	-0.006395	-75.190629	1.550973	111.027429
20135	-0.257100	-9.491250	2.560162	-0.009749	-0.004384	-0.004415	-75.192295	1.547892	111.029423
20136	-0.266754	-9.511416	2.568947	-0.011013	-0.007508	-0.005235	-75.198536	1.543869	111.032837
20137	-0.255778	-9.491802	2.558247	-0.009261	-0.006456	-0.006006	-75.197476	1.539961	111.035622
20138	-0.244895	-9.472133	2.547735	-0.007128	-0.008422	-0.003097	-75.201418	1.537002	111.039836
20139	-0.244176	-9.472344	2.547018	-0.008416	-0.006984	-0.007938	-75.199317	1.531125	111.042562
20140	-0.285027	-9.479394	2.549660	-0.010464	-0.007474	-0.003733	-75.205188	1.527961	111.046152
20141	-0.258646	-9.473882	2.526566	-0.009749	-0.004386	-0.004412	-75.204811	1.523943	111.048144
20142	-0.242626	-9.473172	2.544086	-0.013870	-0.000804	-0.000023	-75.212742	1.523803	111.048591
20143	-0.258148	-9.474524	2.524209	-0.012537	-0.003403	-0.003548	-75.213799	1.520304	111.050188
20144	-0.267868	-9.479604	2.563906	-0.010594	-0.003859	-0.002480	-75.219832	1.518350	111.051976
20145	-0.267557	-9.479904	2.562831	-0.012345	-0.004912	-0.001708	-75.221734	1.516101	111.055114
20146	-0.236138	-9.508409	2.536939	-0.010402	-0.005369	-0.000640	-75.227580	1.514934	111.058005
20147	-0.241406	-9.474689	2.538547	-0.012284	-0.002807	0.001386	-75.221943	1.511434	111.059432
20148	-0.235924	-9.508927	2.535017	-0.005863	-0.005299	-0.002277	-75.225141	1.509319	111.062064
20149	-0.272438	-9.461927	2.531105	-0.002466	-0.004142	0.001451	-75.216042	1.511591	111.064656
20150	-0.251510	-9.495016	2.546720	-0.004705	-0.003124	0.003816	-75.218501	1.513229	111.066920
20151	-0.241215	-9.460182	2.567383	-0.009139	-0.002246	0.000182	-75.212788	1.511498	111.068069
20152	-0.241171	-9.460420	2.566509	-0.009496	-0.003790	0.000522	-75.217900	1.511203	111.070205
20153	-0.241392	-9.475762	2.534542	-0.009984	-0.001720	0.002116	-75.219797	1.515868	111.072459
20154	-0.267672	-9.496871	2.524838	-0.007135	-0.000598	0.004343	-75.223621	1.518236	111.073344
20155	-0.236458	-9.495152	2.561070	-0.014357	0.001263	0.001576	-75.221028	1.521553	111.072482
20156	-0.252239	-9.496462	2.541251	-0.010724	-0.000245	-0.001223	-75.226875	1.520956	111.072305
20157	-0.252486	-9.496658	2.540493	-0.005357	-0.004110	0.007588	-75.215832	1.524305	111.074783
20158	-0.268472	-9.482701	2.552364	-0.006647	-0.002669	0.002750	-75.219159	1.525582	111.076484
20159	-0.221822	-9.510063	2.545525	-0.006098	-0.002635	0.004250	-75.206598	1.525548	111.076633
20160	-0.253469	-9.497073	2.538842	-0.004347	-0.001581	0.003477	-75.208539	1.527388	111.077820
20161	-0.243496	-9.462193	2.559744	-0.005000	-0.002567	0.007249	-75.196617	1.528188	111.079074
20162	-0.244075	-9.462325	2.559200	-0.006585	-0.000565	0.005844	-75.199671	1.531468	111.080019
20163	-0.255085	-9.497374	2.537553	0.000088	-0.002462	0.007110	-75.190946	1.529913	111.081784
20164	-0.239971	-9.496488	2.555785	-0.008300	0.005052	0.005695	-75.194998	1.533870	111.079619
20165	-0.271861	-9.483565	2.548793	-0.008528	-0.000108	0.004778	-75.203955	1.537182	111.083058
20166	-0.261949	-9.463856	2.538295	-0.008041	-0.002178	0.003183	-75.207842	1.538704	111.084539
20167	-0.241090	-9.497108	2.553375	-0.009268	0.001369	0.001440	-75.196593	1.539482	111.082439
20168	-0.246864	-9.478369	2.524243	-0.007492	-0.002144	0.004683	-75.200014	1.541866	111.084074
20169	-0.288701	-9.485344	2.527015	-0.008590	-0.002212	0.001684	-75.192874	1.549681	111.085225
