// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
60827		9.514582	-1.639449	-0.348786	0.116681	0.056025	0.004883	-104.060640	-80.272079	139.580849
60828		9.609919	-1.687305	-0.367055	0.117956	0.050215	0.002749	-103.843454	-80.276476	139.428647
60829		9.643789	-1.741802	-0.416074	0.132071	0.047176	0.001079	-103.632730	-80.281266	139.291118
60830		9.581306	-1.776812	-0.392218	0.156189	0.052808	0.004131	-103.383788	-80.285040	139.128927
60831		9.513776	-1.766822	-0.329275	0.170110	0.047559	0.007861	-103.144479	-80.285874	138.984512
60832		9.519506	-1.731682	-0.225341	0.172832	0.039436	0.009059	-102.925667	-80.284943	138.862566
60833		9.496282	-1.687650	-0.105540	0.154630	0.031754	0.012537	-102.743185	-80.280942	138.766811
60834		9.555040	-1.582303	-0.125809	0.131954	0.028777	0.011495	-102.580909	-80.277177	138.678459
60835		9.457827	-1.450946	-0.073072	0.111198	0.036849	0.004830	-102.412169	-80.278023	138.571405
60836		9.452186	-1.391097	-0.109967	0.066544	0.028383	0.002278	-102.295376	-80.279288	138.491175
60837		9.496124	-1.342297	-0.127555	0.033804	0.035161	-0.002122	-102.181117	-80.283781	138.394410
60838		9.594627	-1.350323	-0.163954	-0.007745	0.028308	-0.000318	-102.108881	-80.286441	138.316203
60839		9.614041	-1.477028	-0.132436	-0.036053	0.030400	-0.000218	-102.048602	-80.289309	138.233601
60840		9.653045	-1.577067	-0.223810	-0.061710	0.028876	0.001960	-102.003765	-80.290734	138.151823
60841		9.624750	-1.680296	-0.181113	-0.077068	0.028759	0.003908	-101.969273	-80.291095	138.071545
60842		9.580271	-1.715013	-0.238484	-0.059250	0.018107	0.010756	-101.952197	-80.286295	138.019362
60843		9.632758	-1.688129	-0.232917	-0.039437	0.013527	0.013336	-101.939367	-80.279542	137.982938
60844		9.567851	-1.639001	-0.192439	-0.015946	0.010795	0.023966	-101.912369	-80.266466	137.945859
60845		9.546768	-1.541923	-0.173181	-0.005806	0.004567	0.032688	-101.896176	-80.247796	137.925575
60846		9.520182	-1.385087	-0.195254	0.002026	0.003653	0.036234	-101.873931	-80.226995	137.903764
60847		9.526163	-1.309801	-0.225387	0.001998	-0.000833	0.035314	-101.869034	-80.206248	137.899480
60848		9.609061	-1.282105	-0.204777	-0.002576	0.005680	0.039349	-101.840883	-80.183936	137.868996
60849		9.635623	-1.306837	-0.252889	-0.009086	0.014242	0.036431	-101.792829	-80.164402	137.814465
60850		9.597880	-1.392756	-0.236784	-0.015264	0.015897	0.043874	-101.736223	-80.140737	137.747718
60851		9.575378	-1.533676	-0.201366	-0.012441	0.006336	0.051797	-101.705712	-80.111708	137.709032
60852		9.600079	-1.587057	-0.202629	-0.019564	0.006533	0.056433	-101.673871	-80.079894	137.664913
60853		9.543016	-1.659849	-0.192267	-0.006896	0.002116	0.063647	-101.646155	-80.043742	137.632286
60854		9.540401	-1.693162	-0.145171	-0.009375	-0.004689	0.066508	-101.638126	-80.004970	137.618263
60855		9.565888	-1.705894	-0.274881	-0.020415	-0.013477	0.069786	-101.663751	-79.963569	137.631933
60856		9.646272	-1.694011	-0.288415	-0.028001	-0.014004	0.073025	-101.691579	-79.920062	137.643484
60857		9.602620	-1.737313	-0.236698	-0.027606	-0.007823	0.070854	-101.702436	-79.878711	137.637976
