// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
60827		9.359658	-1.580346	-2.111377	0.510660	0.016561	-0.027560	-146.966589	-75.447951	-109.832368
60828		9.382849	-1.425446	-2.031664	0.538373	0.014155	-0.021223	-146.669185	-75.464170	-109.823317
60829		9.426886	-1.276905	-1.997605	0.525079	0.005298	-0.013575	-146.384353	-75.472538	-109.809354
60830		9.440071	-1.152389	-1.950059	0.490615	-0.003601	-0.010647	-146.116074	-75.476954	-109.798485
60831		9.482139	-1.023568	-2.028091	0.449899	-0.003649	-0.012073	-145.882375	-75.480619	-109.776205
60832		9.515597	-0.914824	-2.081071	0.411612	-0.000195	-0.015472	-145.663814	-75.488226	-109.760736
60833		9.511363	-0.884568	-2.139466	0.377966	0.024834	-0.020892	-145.451902	-75.508265	-109.758540
60834		9.440544	-0.934694	-2.078383	0.344317	0.037674	-0.023001	-145.237678	-75.536201	-109.778415
60835		9.373720	-1.031051	-2.006971	0.300780	0.032631	-0.025662	-145.068542	-75.561485	-109.777730
60836		9.323984	-1.086809	-1.989533	0.251184	0.027115	-0.006257	-144.889878	-75.578928	-109.815983
60837		9.343472	-1.178836	-1.932981	0.199479	0.012331	0.010251	-144.739056	-75.582863	-109.856327
60838		9.418436	-1.141031	-1.873395	0.149512	0.008535	0.040565	-144.557093	-75.576046	-109.958134
60839		9.516322	-1.136169	-1.852281	0.098298	0.018303	0.062588	-144.361735	-75.565295	-110.104339
60840		9.555989	-1.088682	-1.839359	0.049559	0.034283	0.076754	-144.138517	-75.558161	-110.307890
60841		9.575842	-1.068689	-1.830772	0.006387	0.038835	0.074377	-143.948380	-75.552749	-110.503108
60842		9.547045	-0.972492	-1.804756	-0.028563	0.041178	0.070725	-143.772044	-75.550497	-110.704478
60843		9.503732	-1.033343	-1.923476	-0.050264	0.024427	0.063053	-143.654054	-75.542057	-110.858735
60844		9.445927	-1.041406	-2.032514	-0.057251	0.014128	0.052484	-143.562664	-75.533310	-110.989368
60845		9.394247	-1.108029	-2.073348	-0.043583	0.008777	0.042737	-143.498330	-75.524498	-111.084286
60846		9.346108	-1.221709	-2.104335	-0.026033	0.000137	0.036419	-143.436417	-75.514708	-111.166010
60847		9.354718	-1.343567	-2.078749	-0.001450	-0.004773	0.032430	-143.384640	-75.503140	-111.223049
60848		9.360206	-1.406625	-2.010344	0.019058	-0.008526	0.036313	-143.308748	-75.489362	-111.292536
60849		9.437575	-1.427041	-1.997243	0.039147	-0.013792	0.042477	-143.228159	-75.470166	-111.355324
60850		9.439175	-1.443874	-1.939442	0.043875	-0.014100	0.041345	-143.136850	-75.452053	-111.426060
60851		9.487449	-1.373471	-1.957174	0.046352	-0.010819	0.039347	-143.054133	-75.435247	-111.486800
60852		9.517425	-1.354106	-1.974733	0.035628	-0.016622	0.034175	-142.983883	-75.418401	-111.540669
60853		9.500153	-1.293900	-2.022975	0.031446	-0.010893	0.021526	-142.941487	-75.407686	-111.568587
60854		9.476766	-1.264273	-1.985617	0.020126	-0.009944	0.012205	-142.910018	-75.401459	-111.591566
60855		9.440321	-1.217653	-1.985737	0.007896	-0.019608	0.004863	-142.922120	-75.392529	-111.577124
60856		9.486489	-1.269754	-2.010427	-0.015510	-0.020616	0.005270	-142.937392	-75.383819	-111.572901
60857		9.467633	-1.321227	-2.012038	-0.037479	-0.015958	0.007658	-142.965896	-75.375613	-111.568386
60858		9.426829	-1.376279	-2.023901	-0.060000	-0.018627	0.009547	-142.996501	-75.366336	-111.574662
60859		9.472873	-1.427595	-2.049600	-0.083005	-0.021020	0.013525	-143.047559	-75.353800	-111.573805
60860		9.455602	-1.502291	-2.047170	-0.107570	-0.016105	0.017537	-143.088055	-75.342930	-111.598028
60861		9.369046	-1.540728	-2.085023	-0.119810	-0.009875	0.020847	-143.132718	-75.332980	-111.625586
60862		9.383377	-1.580133	-2.045892	-0.129248	-0.009335	0.023124	-143.166941	-75.323304	-111.669136
60863		9.408218	-1.623694	-2.028587	-0.133628	-0.008674	0.027635	-143.206059	-75.311565	-111.710614
60864		9.472577	-1.624093	-2.054734	-0.131715	-0.006236	0.033384	-143.219716	-75.299802	-111.776892
60865		9.485078	-1.640958	-2.020365	-0.117399	-0.001351	0.032778	-143.230965	-75.289650	-111.837577
60866		9.449439	-1.629348	-2.069021	-0.093117	-0.001992	0.033828	-143.216274	-75.279686	-111.910305
60867		9.481285	-1.630831	-2.082581	-0.069734	-0.010353	0.030968	-143.215167	-75.266002	-111.955535
60868		9.511206	-1.608909	-2.101777	-0.047133	-0.023535	0.032839	-143.204096	-75.246488	-111.997286
60869		9.517398	-1.567155	-2.136070	-0.032342	-0.018876	0.030145	-143.194194	-75.229147	-112.029464
60870		9.461281	-1.537772	-2.088218	-0.020297	-0.019732	0.026249	-143.174387	-75.213635	-112.064354
60871		9.435081	-1.495735	-2.110585	-0.016204	-0.025547	0.024380	-143.174051	-75.195191	-112.077086
60872		9.423692	-1.493907	-2.091365	-0.016329	-0.021959	0.024011	-143.158842	-75.179424	-112.104874
60873		9.344765	-1.479312	-2.106853	-0.015238	-0.019621	0.028481	-143.143267	-75.162271	-112.132805
60874		9.365165	-1.443213	-2.050311	-0.016265	-0.017278	0.032477	-143.107418	-75.145733	-112.181913
60875		9.408105	-1.439100	-2.032711	-0.019876	-0.028761	0.041654	-143.083808	-75.119843	-112.220918
60876		9.542991	-1.410951	-2.167515	-0.017565	-0.027686	0.050962	-143.030587	-75.092159	-112.288783
60877		9.585448	-1.454377	-2.251638	-0.013817	-0.013330	0.050438	-142.968843	-75.070283	-112.363679
60878		9.611487	-1.526767	-2.227594	-0.002266	0.000187	0.045061	-142.881310	-75.057338	-112.457997
60879		9.567803	-1.527115	-2.194280	0.009412	-0.004000	0.043611	-142.806347	-75.042009	-112.532820
60880		9.556072	-1.492416	-2.124046	0.015394	0.000278	0.035643	-142.724959	-75.032303	-112.610316
60881		9.445989	-1.468009	-2.071869	0.021330	-0.001279	0.039336	-142.647272	-75.019631	-112.680906
60882		9.409798	-1.424071	-2.069578	0.026352	0.003543	0.035548	-142.555738	-75.011387	-112.762412
60883		9.385131	-1.372768	-2.035682	0.021391	-0.003088	0.039521	-142.480371	-74.997774	-112.830580
60884		9.402276	-1.336939	-2.089215	0.012893	-0.005969	0.043462	-142.395762	-74.982385	-112.912911
60885		9.425622	-1.315590	-1.972789	0.000378	-0.004826	0.049461	-142.318326	-74.964467	-112.995709
60886		9.464554	-1.276861	-2.017242	-0.017267	-0.016104	0.056617	-142.242403	-74.939816	-113.086954
60887		9.550377	-1.279003	-2.032831	-0.043619	-0.020144	0.061146	-142.191070	-74.910844	-113.168857
60888		9.612732	-1.260309	-2.063376	-0.074582	-0.008654	0.057614	-142.137114	-74.889165	-113.271385
60889		9.603344	-1.319234	-2.086877	-0.099150	-0.001936	0.061518	-142.093912	-74.868302	-113.377860
60890		9.603099	-1.357068	-2.136555	-0.128238	0.010252	0.049453	-142.060097	-74.858002	-113.491388
60891		9.532248	-1.460579	-2.125825	-0.138139	0.018714	0.042007	-142.045359	-74.853344	-113.591543
60892		9.458455	-1.515553	-2.125072	-0.135170	0.010516	0.035647	-142.038327	-74.848010	-113.681445
60893		9.474417	-1.615084	-2.129167	-0.132149	0.000530	0.029460	-142.064919	-74.839563	-113.735240
60894		9.499632	-1.729001	-2.209022	-0.113472	0.001773	0.030161	-142.066045	-74.832220	-113.803816
60895		9.483479	-1.863347	-2.249626	-0.074396	0.016915	0.030796	-142.036071	-74.830678	-113.881937
60896		9.453789	-1.912173	-2.227799	-0.035146	0.018458	0.023831	-141.981202	-74.833084	-113.962033
60897		9.404598	-1.977967	-2.157384	-0.006836	0.011984	0.022943	-141.931910	-74.831987	-114.020060
60898		9.331586	-1.988743	-2.052665	0.012394	0.014176	0.015913	-141.868531	-74.835222	-114.080751
60899		9.309070	-1.959271	-2.012842	0.045877	-0.004023	0.009471	-141.832099	-74.831582	-114.094150
60900		9.339467	-1.903173	-1.979923	0.075433	-0.008854	0.007603	-141.776492	-74.827365	-114.109366
60901		9.336319	-1.857689	-1.988577	0.099299	-0.008144	0.005070	-141.721913	-74.823375	-114.109843
60902		9.389118	-1.833627	-1.993707	0.122211	-0.006934	0.006720	-141.638494	-74.820326	-114.126107
60903		9.459516	-1.735000	-2.003600	0.132843	-0.020042	0.006964	-141.576987	-74.810278	-114.113840
60904		9.525402	-1.762960	-2.021717	0.134578	-0.018707	0.003886	-141.506656	-74.802946	-114.109201
60905		9.492558	-1.765433	-2.009192	0.128073	-0.013316	0.001928	-141.447296	-74.797695	-114.097537
60906		9.427555	-1.766408	-1.984357	0.120040	-0.004096	-0.014071	-141.395739	-74.803326	-114.082074
60907		9.351219	-1.773506	-1.991082	0.116874	-0.008242	-0.018828	-141.370214	-74.807750	-114.041993
60908		9.354298	-1.821479	-1.979975	0.116253	-0.010881	-0.025386	-141.348410	-74.814397	-113.997950
60909		9.365320	-1.860502	-2.048887	0.120447	-0.009166	-0.024624	-141.331458	-74.820457	-113.946860
60910		9.345458	-1.923041	-2.100390	0.135692	-0.003107	-0.029615	-141.295248	-74.832105	-113.906206
60911		9.282144	-1.910997	-2.021015	0.147070	-0.001339	-0.026157	-141.255069	-74.842168	-113.863371
60912		9.301600	-1.860503	-2.018935	0.152896	-0.010591	-0.025072	-141.211412	-74.848857	-113.820223
60913		9.312984	-1.818374	-1.937660	0.149765	-0.019488	-0.023778	-141.189597	-74.849919	-113.756755
60914		9.361587	-1.720904	-1.959225	0.149301	-0.019281	-0.021684	-141.153934	-74.851525	-113.707461
60915		9.359828	-1.662326	-1.915345	0.128572	-0.011120	-0.020432	-141.127469	-74.855110	-113.661383
60916		9.369596	-1.595637	-1.840532	0.108105	-0.023132	-0.020417	-141.118448	-74.854553	-113.608942
60917		9.409264	-1.552857	-1.885515	0.074527	-0.029991	-0.012698	-141.135143	-74.846951	-113.550227
60918		9.475032	-1.542061	-1.857386	0.044054	-0.023323	-0.012338	-141.149730	-74.843400	-113.511346
60919		9.444160	-1.600707	-1.889786	0.021163	-0.017948	-0.005717	-141.169412	-74.838685	-113.481213
60920		9.501739	-1.680529	-1.930563	0.013156	-0.018155	-0.009690	-141.190463	-74.836483	-113.453975
60921		9.448955	-1.742418	-1.972529	0.012454	-0.010674	-0.008388	-141.209775	-74.835983	-113.429391
60922		9.410118	-1.891380	-2.072963	0.023636	-0.007098	-0.019630	-141.226558	-74.842282	-113.400355
60923		9.364999	-1.909559	-2.146184	0.047563	-0.011217	-0.016147	-141.239116	-74.844287	-113.361920
60924		9.303270	-1.955589	-2.111872	0.070634	-0.010798	-0.019995	-141.234497	-74.849062	-113.327160
60925		9.314970	-1.947934	-2.079830	0.102234	-0.015159	-0.015909	-141.220382	-74.849147	-113.283898
60926		9.341216	-1.854506	-2.112320	0.128239	-0.017546	-0.012151	-141.178763	-74.848098	-113.253275
60927		9.359400	-1.733394	-2.016691	0.144405	-0.017915	-0.009665	-141.133653	-74.844656	-113.217081
60928		9.385479	-1.641061	-2.049320	0.148665	-0.018029	-0.008720	-141.075320	-74.842171	-113.191650
60929		9.422851	-1.504815	-2.003108	0.139769	-0.019508	-0.008305	-141.032671	-74.837520	-113.155655
60930		9.438145	-1.371752	-1.967564	0.118191	-0.022630	-0.010504	-141.000849	-74.833640	-113.120846
60931		9.480062	-1.305571	-1.906612	0.086686	-0.024733	-0.008315	-140.995642	-74.826699	-113.077574
60932		9.553309	-1.288311	-1.959060	0.060303	-0.028518	-0.003700	-140.993621	-74.817747	-113.046251
60933		9.573580	-1.297552	-2.004391	0.029092	-0.025486	-0.004211	-141.015774	-74.809051	-113.008831
60934		9.532316	-1.352016	-2.014563	-0.003642	-0.012235	-0.010605	-141.040063	-74.809836	-112.988208
60935		9.475262	-1.467731	-1.964377	-0.027940	-0.008516	-0.017454	-141.094258	-74.813511	-112.951458
60936		9.465207	-1.497019	-1.991926	-0.048174	-0.013544	-0.020243	-141.161650	-74.817168	-112.912611
60937		9.459818	-1.596937	-2.003627	-0.062094	-0.016853	-0.021832	-141.253738	-74.818698	-112.856880
60938		9.418987	-1.648377	-2.014483	-0.059251	-0.010296	-0.026361	-141.333327	-74.825969	-112.811972
60939		9.378298	-1.699666	-2.024973	-0.042959	-0.011364	-0.029348	-141.419636	-74.832604	-112.750872
60940		9.319649	-1.663977	-2.088614	-0.024953	-0.011086	-0.035439	-141.495749	-74.842729	-112.689208
60941		9.384528	-1.625190	-2.066252	-0.010667	-0.015717	-0.038488	-141.584495	-74.850602	-112.606414
60942		9.371213	-1.569730	-2.057181	-0.004236	-0.017583	-0.036880	-141.659844	-74.858274	-112.533250
60943		9.381489	-1.534307	-2.033019	-0.011843	-0.019168	-0.037267	-141.751914	-74.864089	-112.447716
60944		9.380045	-1.506724	-2.040507	-0.019511	-0.018957	-0.037858	-141.839595	-74.871432	-112.370848
60945		9.398977	-1.451641	-2.043703	-0.021284	-0.018503	-0.034959	-141.932511	-74.876665	-112.290046
60946		9.441496	-1.416619	-2.031938	-0.027943	-0.023554	-0.033659	-142.024154	-74.880387	-112.214083
60947		9.472194	-1.389458	-2.052191	-0.045753	-0.026420	-0.032807	-142.137985	-74.881234	-112.126147
60948		9.473793	-1.409070	-2.049879	-0.059502	-0.023932	-0.031630	-142.244872	-74.883998	-112.053124
60949		9.450012	-1.384832	-2.068206	-0.069764	-0.023426	-0.030592	-142.364993	-74.885363	-111.972931
60950		9.432690	-1.419461	-2.017120	-0.076192	-0.021600	-0.032190	-142.479433	-74.889306	-111.901992
60951		9.410707	-1.418494	-2.029870	-0.081384	-0.018135	-0.034800	-142.606615	-74.894484	-111.821390
60952		9.402184	-1.433319	-2.005659	-0.089170	-0.017229	-0.029926	-142.719145	-74.899553	-111.760134
60953		9.405684	-1.475989	-1.998111	-0.092333	-0.021426	-0.034634	-142.856722	-74.903110	-111.675270
