// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
60827		9.784817	-1.497689	-0.012371	0.231917	-0.076228	-0.033673	-68.264890	-85.186021	-109.507564
60828		9.699427	-1.321338	-0.166736	0.297858	-0.068098	-0.034841	-68.494771	-85.217839	-109.104783
60829		9.729746	-0.989839	-0.205329	0.311416	-0.068441	-0.032474	-68.704307	-85.247265	-108.714165
60830		9.780723	-0.682400	-0.296620	0.257540	-0.065111	-0.035247	-68.946431	-85.278379	-108.322330
60831		9.844143	-0.370881	-0.126922	0.203838	-0.060597	-0.047611	-69.136931	-85.314045	-108.012695
60832		9.841341	-0.176655	-0.034327	0.117034	-0.043041	-0.055205	-69.274304	-85.351198	-107.806781
60833		9.760070	-0.306139	0.063413	0.041796	-0.036895	-0.058527	-69.380609	-85.387794	-107.674795
60834		9.747411	-0.547853	0.137515	-0.001386	-0.030622	-0.057733	-69.502015	-85.423824	-107.552991
60835		9.699951	-0.830390	0.205600	-0.013920	-0.021566	-0.067823	-69.517219	-85.462301	-107.544433
60836		9.662989	-1.101625	0.155330	0.010184	-0.024166	-0.073873	-69.550281	-85.505700	-107.504609
60837		9.693844	-1.260411	-0.050053	0.090125	-0.036576	-0.078474	-69.582348	-85.552897	-107.419343
60838		9.704861	-1.131861	-0.141506	0.192487	-0.050703	-0.079878	-69.682502	-85.604748	-107.207472
60839		9.788062	-0.881861	-0.026798	0.222131	-0.063452	-0.065464	-69.865760	-85.650251	-106.894730
60840		9.839609	-0.642420	0.043009	0.219773	-0.057246	-0.056510	-70.066921	-85.690678	-106.565918
60841		9.778368	-0.350983	0.017357	0.206698	-0.043955	-0.061117	-70.139810	-85.729898	-106.372756
60842		9.733451	-0.157210	-0.025444	0.148856	-0.047426	-0.064881	-70.297591	-85.772858	-106.128224
60843		9.766867	-0.235903	-0.033981	0.044254	-0.049512	-0.064412	-70.502327	-85.814850	-105.896204
60844		9.810651	-0.432998	0.019580	0.010967	-0.039477	-0.058283	-70.706508	-85.852696	-105.684390
60845		9.774758	-0.706418	-0.028656	0.001976	-0.033071	-0.052407	-70.851720	-85.884978	-105.536359
60846		9.762589	-0.905002	-0.138939	0.031917	-0.034313	-0.048642	-71.037168	-85.916576	-105.331310
60847		9.719745	-0.766136	-0.225207	0.081906	-0.037653	-0.047824	-71.188399	-85.947161	-105.131346
60848		9.714560	-0.544770	-0.111947	0.113857	-0.043346	-0.040987	-71.423316	-85.976161	-104.829665
60849		9.760240	-0.464475	-0.016356	0.093468	-0.050117	-0.033876	-71.706849	-86.001309	-104.490446
60850		9.807192	-0.411099	0.057332	0.113527	-0.038532	-0.030416	-71.939700	-86.023535	-104.191048
60851		9.759665	-0.389284	0.002006	0.109588	-0.029680	-0.036551	-72.053170	-86.046342	-104.013061
60852		9.763123	-0.354250	-0.038201	0.080314	-0.031418	-0.046409	-72.213690	-86.075970	-103.805259
60853		9.774215	-0.478436	-0.209133	0.041812	-0.016894	-0.056626	-72.216324	-86.107446	-103.777302
60854		9.738088	-0.529894	-0.196830	0.010365	-0.003416	-0.061809	-72.156102	-86.140605	-103.830937
60855		9.696520	-0.516592	-0.099773	-0.043038	-0.005016	-0.059107	-72.104236	-86.171348	-103.906329
60856		9.747233	-0.582364	-0.091719	-0.103652	0.000277	-0.060456	-72.081840	-86.203152	-103.987526
60857		9.742574	-0.664555	-0.038640	-0.125308	0.010703	-0.071500	-71.911856	-86.237852	-104.228529
