// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
60827		-2.573477	9.175264	2.144974	0.047440	0.007756	-0.012434	75.850752	15.204932	115.636967
60828		-2.598749	9.226322	2.072814	0.038528	0.003355	-0.021337	75.874259	15.219003	115.635296
60829		-2.596298	9.212201	2.127896	0.022848	-0.002855	-0.026758	75.886472	15.234387	115.629258
60830		-2.603482	9.225982	2.068382	0.012544	-0.000131	-0.028312	75.894336	15.251853	115.624579
60831		-2.594399	9.173616	2.095540	0.000195	-0.010159	-0.026644	75.892463	15.266154	115.614354
60832		-2.599669	9.244829	2.123445	0.007285	-0.006635	-0.030878	75.896265	15.284144	115.605561
60833		-2.615116	9.189733	2.070129	-0.002895	-0.012324	-0.032123	75.892078	15.301188	115.593294
60834		-2.582563	9.187957	2.119161	-0.007158	-0.002477	-0.027661	75.888391	15.317976	115.587364
60835		-2.600435	9.204720	2.094451	-0.003406	-0.007732	-0.024672	75.884888	15.331519	115.578818
60836		-2.628665	9.225119	2.102066	-0.000523	-0.004854	-0.017139	75.885075	15.342129	115.573046
60837		-2.618456	9.172867	2.130053	-0.004562	-0.006574	-0.015717	75.881426	15.350858	115.566463
60838		-2.566968	9.183318	2.128803	0.000623	-0.011618	-0.030731	75.880747	15.368081	115.554825
60839		-2.646176	9.173462	2.123022	-0.004442	-0.007999	-0.034356	75.876229	15.386967	115.544717
60840		-2.611175	9.201261	2.096289	0.004347	-0.011624	-0.031393	75.877680	15.404560	115.532981
