// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
60827		-1.111171	-9.736148	0.542063	0.010690	-0.006780	0.031545	-86.809641	6.462455	167.657706
60828		-1.129610	-9.736170	0.512649	0.017507	-0.007223	0.030269	-86.794976	6.478594	167.661615
60829		-1.132379	-9.735756	0.514403	0.016726	-0.008380	0.027427	-86.781673	6.493270	167.666012
60830		-1.128365	-9.752339	0.532631	0.020897	-0.007705	0.024246	-86.765053	6.505946	167.670013
60831		-1.152325	-9.749832	0.545550	0.019184	-0.007724	0.021871	-86.750402	6.517466	167.673858
60832		-1.139287	-9.734631	0.520407	0.020670	-0.010317	0.024893	-86.733737	6.530425	167.679391
60833		-1.147452	-9.731696	0.564116	0.018068	-0.004812	0.014879	-86.719941	6.538043	167.681336
60834		-1.118285	-9.716135	0.569681	0.019332	-0.010019	0.018559	-86.704084	6.547386	167.686494
60835		-1.172431	-9.728944	0.578530	0.011958	-0.008114	0.016340	-86.693562	6.555730	167.690392
60836		-1.114809	-9.718293	0.530499	0.005617	-0.006307	0.007953	-86.685845	6.559127	167.693064
60837		-1.130862	-9.732971	0.558155	0.002096	-0.007388	0.008919	-86.681047	6.563254	167.696298
60838		-1.162406	-9.748104	0.554962	0.005616	-0.006307	0.007952	-86.673330	6.566649	167.698970
60839		-1.119768	-9.752320	0.533774	0.004961	-0.005894	0.010163	-86.666982	6.571540	167.701386
60840		-1.120676	-9.752180	0.534427	0.006824	-0.008173	0.009230	-86.658445	6.575603	167.705177
60841		-1.134314	-9.732421	0.560733	0.009689	-0.006680	0.010474	-86.649338	6.580643	167.708057
60842		-1.144515	-9.749650	0.547211	0.009312	-0.006993	0.014430	-86.639432	6.587720	167.711345
60843		-1.127490	-9.714629	0.577173	0.008202	-0.004086	0.007448	-86.631359	6.591117	167.712631
60844		-1.158858	-9.729762	0.574075	0.001539	-0.005932	0.005426	-86.626012	6.593078	167.715005
60845		-1.144003	-9.714932	0.547056	0.001261	-0.005206	0.003680	-86.621854	6.594285	167.716808
60846		-1.159373	-9.729681	0.574410	0.000205	-0.005639	-0.000899	-86.617315	6.592638	167.718799
60847		-1.124982	-9.751476	0.538216	0.000760	-0.007092	0.002591	-86.613323	6.593161	167.721650
60848		-1.140387	-9.766206	0.565811	0.005210	-0.007152	0.001156	-86.605808	6.592638	167.724582
60849		-1.138093	-9.731747	0.564750	0.007904	-0.011611	0.005457	-86.597415	6.594646	167.730133
60850		-1.134808	-9.768697	0.525761	0.009509	-0.004913	0.003020	-86.587577	6.595265	167.731839
60851		-1.138633	-9.731574	0.566649	0.008279	-0.011298	0.001499	-86.579009	6.595018	167.737074
60852		-1.191429	-9.744505	0.575048	0.011925	-0.008645	0.005575	-86.567530	6.596969	167.741017
60853		-1.145356	-9.728713	0.610515	0.007070	-0.009432	0.000220	-86.559783	6.596061	167.745134
60854		-1.138997	-9.731373	0.569368	0.002995	-0.009058	-0.002301	-86.553424	6.593492	167.749042
60855		-1.110652	-9.750518	0.575211	0.003775	-0.007898	0.000532	-86.547661	6.592815	167.752286
60856		-1.157091	-9.766169	0.541504	0.008555	-0.012023	0.003241	-86.537900	6.593313	167.758094
60857		-1.154154	-9.746006	0.598713	0.009102	-0.005760	-0.003775	-86.529247	6.590246	167.759957
60858		-1.117468	-9.719150	0.503448	0.009057	-0.010136	0.004328	-86.519318	6.591429	167.764716
60859		-1.160905	-9.728899	0.584456	0.011142	-0.009803	0.002735	-86.509206	6.591945	167.769133
60860		-1.142684	-9.693990	0.614281	0.004373	-0.004974	-0.004083	-86.502336	6.588497	167.770626
60861		-1.123009	-9.730614	0.605604	0.002437	-0.007607	-0.005792	-86.497388	6.584216	167.773478
60862		-1.175157	-9.729464	0.555016	-0.001135	-0.005348	-0.007222	-86.493662	6.578959	167.775075
60863		-1.115068	-9.747732	0.621839	-0.004932	-0.005702	-0.007996	-86.493072	6.573488	167.776752
60864		-1.167066	-9.746621	0.570991	0.000725	-0.007628	-0.008159	-86.488134	6.567616	167.779628
60865		-1.128939	-9.748432	0.590809	-0.004002	-0.006842	-0.008464	-86.486937	6.561839	167.781945
60866		-1.113111	-9.733768	0.563352	-0.001509	-0.005660	-0.003266	-86.483390	6.558834	167.783859
60867		-1.136905	-9.766002	0.576242	0.002436	-0.007606	-0.005795	-86.478444	6.554556	167.786710
60868		-1.134180	-9.731598	0.575109	0.010214	-0.008661	0.003198	-86.467956	6.555140	167.790580
60869		-1.125176	-9.714109	0.590296	0.002790	-0.003419	-0.001405	-86.463067	6.553522	167.791175
60870		-1.136696	-9.765934	0.577805	-0.000953	-0.007111	0.000224	-86.459092	6.552460	167.794048
60871		-1.146760	-9.711918	0.601363	-0.000728	-0.004499	-0.000432	-86.456143	6.551360	167.795299
60872		-1.149120	-9.746337	0.602989	-0.004804	-0.004127	-0.002950	-86.454583	6.548589	167.796341
60873		-1.126867	-9.748625	0.591582	-0.005865	-0.004563	-0.007528	-86.454602	6.543433	167.797375
60874		-1.104772	-9.750893	0.580145	-0.005905	-0.008938	0.000575	-86.453343	6.542507	167.801312
60875		-1.104676	-9.750899	0.580231	0.006084	-0.004951	-0.001722	-86.446466	6.540656	167.802777
60876		-1.104767	-9.750836	0.581114	0.010717	-0.006773	0.004284	-86.435810	6.541927	167.805600
60877		-1.126929	-9.748534	0.592960	0.006269	-0.006713	0.005725	-86.428684	6.544268	167.808346
60878		-1.118485	-9.730988	0.607974	0.003254	-0.005906	0.007786	-86.422346	6.547572	167.810797
60879		-1.119144	-9.730900	0.608171	-0.000318	-0.003649	0.006359	-86.419190	6.550384	167.811802
60880		-1.126185	-9.713916	0.591549	-0.006254	-0.000998	0.004780	-86.418635	6.552144	167.811319
60881		-1.151045	-9.746065	0.603715	-0.007130	-0.003195	0.007649	-86.419405	6.555711	167.812109
60882		-1.127297	-9.713878	0.590048	-0.011485	-0.002098	0.003388	-86.421780	6.556636	167.812210
60883		-1.108783	-9.750438	0.580150	-0.005418	-0.003174	0.010012	-86.421560	6.561557	167.813073
60884		-1.131368	-9.748164	0.590588	-0.005697	-0.002449	0.008267	-86.420576	6.565260	167.813551
60885		-1.132172	-9.748088	0.590295	-0.000970	-0.003235	0.008570	-86.417811	6.569353	167.814397
60886		-1.092416	-9.786764	0.570177	-0.001064	-0.004273	0.014270	-86.414028	6.576423	167.816142
60887		-1.125688	-9.730361	0.604698	-0.000281	-0.003112	0.017102	-86.410844	6.585397	167.817225
60888		-1.121137	-9.747083	0.621093	0.001058	-0.003403	0.023421	-86.405864	6.597730	167.818801
60889		-1.129862	-9.729879	0.604676	-0.003444	-0.000002	0.022462	-86.404672	6.609879	167.818288
60890		-1.160363	-9.710445	0.599056	-0.001733	0.000018	0.024824	-86.401511	6.623137	167.817947
60891		-1.128186	-9.746309	0.620478	-0.004048	-0.002924	0.027068	-86.400451	6.637817	167.819283
60892		-1.152841	-9.729520	0.573161	-0.000530	-0.001847	0.026093	-86.396470	6.651734	167.820063
60893		-1.135932	-9.780092	0.622322	0.004195	-0.002637	0.026393	-86.390709	6.666038	167.821211
60894		-1.151608	-9.745806	0.590389	0.009702	-0.002268	0.029523	-86.380823	6.681901	167.822361
60895		-1.145491	-9.727973	0.605928	0.011182	-0.004859	0.032536	-86.370880	6.699636	167.825016
60896		-1.166809	-9.762351	0.578334	0.015627	-0.004925	0.031090	-86.357412	6.716298	167.827759
