// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
53825		9.610018	-0.025317	-1.246368	-0.547317	0.069031	0.099516	173.584790	-82.380262	-174.448132
53826		9.599906	-0.098601	-1.222634	-0.493481	0.046878	0.101588	173.729974	-82.411818	-174.877976
53827		9.678170	-0.156727	-1.252680	-0.455096	0.024403	0.094330	173.879006	-82.430224	-175.289547
53828		9.748643	-0.251312	-1.367192	-0.428991	0.031290	0.090763	174.025637	-82.451958	-175.683529
53829		9.778472	-0.325003	-1.429950	-0.404472	0.024646	0.072478	174.112275	-82.468957	-176.002864
53830		9.767805	-0.552474	-1.673294	-0.367705	0.003662	0.052561	174.143764	-82.472544	-176.245250
53831		9.731719	-0.788382	-2.049955	-0.232084	-0.046740	0.044454	174.240008	-82.447138	-176.474644
53832		9.753222	-0.801387	-2.126927	-0.059851	-0.105176	0.047262	174.470018	-82.388217	-176.739368
53833		9.798883	-0.753279	-2.164935	0.081645	-0.115211	0.059277	174.831634	-82.324301	-177.055203
53834		9.810318	-0.731133	-2.174406	0.209813	-0.089072	0.067059	175.284811	-82.275086	-177.389261
53835		9.784089	-0.652657	-1.959338	0.321513	-0.047324	0.074981	175.816412	-82.249996	-177.738015
53836		9.664174	-0.494954	-1.752907	0.433995	-0.036768	0.070948	176.390536	-82.229987	-178.064528
53837		9.673501	-0.395480	-1.562715	0.577535	-0.048947	0.062358	177.010566	-82.202615	-178.354519
53838		9.745799	-0.228490	-1.373808	0.706242	-0.046141	0.049567	177.648210	-82.175719	-178.587728
53839		9.847369	-0.095738	-1.310388	0.771356	-0.060866	0.019750	178.197485	-82.139806	-178.694236
53840		9.969546	-0.089462	-1.364732	0.828264	-0.051939	-0.002772	178.683365	-82.108168	-178.703692
53841		9.905823	-0.029974	-1.308493	0.886241	-0.040193	-0.016675	179.141229	-82.083456	-178.651472
53842		9.818554	0.201192	-1.160386	0.898580	-0.088089	-0.042075	179.504264	-82.030832	-178.496216
53843		9.999442	0.355395	-1.009191	0.838944	-0.165466	-0.072685	179.709315	-81.934214	-178.216040
53844		10.183721	0.307224	-0.840874	0.767167	-0.187410	-0.093800	179.791681	-81.824737	-177.853270
53845		10.271110	0.470065	-0.560423	0.730671	-0.126633	-0.086457	179.883560	-81.750504	-177.521292
53846		10.077313	0.883209	-0.399634	0.597546	-0.096733	-0.062511	179.995906	-81.693215	-177.286900
53847		10.110565	1.149381	-0.648711	0.317083	-0.127452	-0.029607	-179.923598	-81.618658	-177.182810
53848		10.108584	1.073710	-0.839524	0.053506	-0.147821	-0.005914	-179.901592	-81.532190	-177.172148
53849		9.998213	0.894734	-0.695162	-0.173250	-0.196592	-0.011430	179.969521	-81.418011	-177.140366
53850		9.889675	0.531870	-0.514305	-0.396242	-0.248986	-0.037851	179.617823	-81.273548	-177.012371
53851		9.839056	0.200359	-0.536835	-0.484192	-0.238072	-0.069597	179.106749	-81.135187	-176.774108
53852		9.694323	-0.145178	-0.761790	-0.473658	-0.199320	-0.085939	178.550788	-81.018361	-176.484176
53853		9.656455	-0.609414	-1.149090	-0.387086	-0.138742	-0.082384	178.060766	-80.936022	-176.210747
53854		9.510522	-1.041403	-1.513583	-0.289195	-0.064882	-0.075200	177.648666	-80.895685	-175.959345
53855		9.197414	-1.437599	-1.673767	-0.201268	-0.029503	-0.062324	177.329689	-80.875776	-175.751250
53856		8.842225	-1.654912	-1.713443	-0.087634	-0.037950	-0.054586	177.106456	-80.850986	-175.574114
53857		8.643873	-1.583124	-1.735736	0.090295	-0.072091	-0.058639	176.977658	-80.806560	-175.389411
53858		8.634656	-1.228838	-1.669684	0.299907	-0.143089	-0.087641	176.883264	-80.720449	-175.117765
53859		8.637136	-0.539110	-1.605803	0.495992	-0.196778	-0.129549	176.768632	-80.602331	-174.711762
53860		8.695893	0.380256	-1.491375	0.580359	-0.214830	-0.187504	176.516124	-80.471610	-174.116720
53861		8.628496	1.207958	-1.551418	0.551662	-0.214199	-0.238885	176.084697	-80.338888	-173.356775
53862		8.534727	1.764335	-1.468651	0.484814	-0.209844	-0.282009	175.488718	-80.205585	-172.468338
53863		8.532362	2.121107	-1.341392	0.368335	-0.194941	-0.317286	174.725775	-80.077416	-171.477923
53864		8.543058	2.223139	-1.130378	0.188742	-0.155081	-0.342683	173.787992	-79.967889	-170.414032
53865		8.725589	1.977556	-1.038723	-0.034059	-0.090282	-0.351192	172.691078	-79.891523	-169.317939
53866		9.040581	1.689072	-1.027408	-0.226101	-0.056532	-0.343262	171.510570	-79.831035	-168.248438
53867		9.413189	1.273711	-1.120806	-0.393966	-0.047226	-0.331903	170.278465	-79.772999	-167.224069
53868		9.837557	0.892326	-1.260235	-0.508784	-0.037992	-0.303746	169.075362	-79.719131	-166.295843
53869		10.038907	0.748939	-1.439379	-0.587369	0.007849	-0.259147	167.946529	-79.692831	-165.488749
53870		10.168138	0.715550	-1.377985	-0.584835	0.017634	-0.203639	166.986972	-79.676209	-164.852194
53871		10.546781	0.537053	-1.347094	-0.601237	0.025771	-0.148950	166.182060	-79.669713	-164.382346
53872		10.629452	0.324669	-1.094944	-0.686695	0.101372	-0.085916	165.461438	-79.712887	-164.047991
53873		10.522020	0.023522	-1.106932	-0.805931	0.169749	0.008716	164.902897	-79.807185	-163.947810
53874		10.198941	-0.466279	-1.168658	-0.917417	0.187142	0.132902	164.644619	-79.929646	-164.217608
53875		9.920063	-1.194773	-1.616950	-1.050871	0.155914	0.257992	164.731252	-80.053860	-164.915150
53876		9.506884	-1.854948	-2.137644	-0.997324	0.123387	0.353865	165.192542	-80.173775	-165.961616
53877		9.138827	-2.022794	-2.138586	-0.739832	0.037721	0.398266	166.033530	-80.250392	-167.243345
53878		9.186320	-1.838970	-2.046998	-0.458854	-0.026350	0.362969	166.985384	-80.283198	-168.473984
53879		9.360284	-1.426609	-1.916951	-0.192967	-0.033336	0.283337	167.839830	-80.298846	-169.451179
53880		9.578909	-0.836137	-1.635914	-0.025297	-0.053826	0.184374	168.482541	-80.289235	-170.116033
53881		9.709057	-0.169443	-1.491081	0.039701	-0.084438	0.103036	168.912693	-80.252225	-170.527548
53882		9.714896	0.421539	-1.434594	0.071118	-0.100944	0.042688	169.172412	-80.198967	-170.747838
53883		9.742461	0.725079	-1.420241	0.084736	-0.131845	0.011850	169.354840	-80.124853	-170.881878
53884		9.947060	0.715890	-1.326183	0.084664	-0.133066	0.002931	169.508235	-80.049082	-170.986454
53885		10.139549	0.559174	-1.319063	0.049992	-0.049889	0.002530	169.588567	-80.020064	-171.037098
53886		10.109508	0.300320	-1.516411	-0.012112	0.063023	0.007419	169.583482	-80.055227	-171.037094
53887		9.887437	0.065328	-1.743073	-0.010391	0.107622	0.002616	169.536165	-80.114969	-170.993267
53888		9.829529	0.127125	-1.754086	0.044052	0.078465	-0.012032	169.490750	-80.156810	-170.919666
53889		9.774193	0.316335	-1.832559	0.089999	0.041294	-0.021720	169.461036	-80.176630	-170.835339
53890		9.660783	0.433052	-1.997540	0.122222	0.011750	-0.044391	169.395004	-80.177469	-170.695365
53891		9.612035	0.432793	-2.099041	0.128344	-0.015261	-0.062433	169.289260	-80.161097	-170.511578
53892		9.603769	0.348048	-2.054340	0.132623	-0.035147	-0.069277	169.177829	-80.132772	-170.319459
53893		9.694466	0.282888	-1.923294	0.140778	-0.047513	-0.075824	169.057379	-80.096682	-170.113483
53894		9.798276	0.234980	-1.722301	0.147939	-0.040347	-0.071867	168.951590	-80.065001	-169.918138
53895		9.867668	0.245062	-1.765939	0.155617	-0.026567	-0.059591	168.880532	-80.042352	-169.753638
53896		9.774809	0.286152	-1.759601	0.153405	0.006382	-0.041842	168.845802	-80.040179	-169.627233
53897		9.638426	0.368650	-1.642633	0.117393	0.021597	-0.026462	168.828832	-80.048239	-169.539878
53898		9.523750	0.453218	-1.665172	0.054479	0.032300	-0.019891	168.791177	-80.063054	-169.468053
53899		9.392484	0.426822	-1.793700	0.009999	0.017292	-0.013644	168.756302	-80.070108	-169.424996
53900		9.394102	0.425415	-1.836072	-0.008099	-0.022095	-0.021023	168.713717	-80.054207	-169.384569
53901		9.464646	0.401622	-1.778191	-0.003277	-0.052372	-0.027114	168.672776	-80.020598	-169.343070
53902		9.570786	0.379350	-1.763458	0.019076	-0.062848	-0.023579	168.663967	-79.981497	-169.321121
53903		9.618465	0.400123	-1.740643	-0.014690	-0.063604	-0.018244	168.652214	-79.942573	-169.315896
53904		9.680632	0.320251	-1.737152	-0.062301	-0.039393	-0.006061	168.637523	-79.918617	-169.335322
53905		9.704107	0.258708	-1.678579	-0.081312	-0.034481	0.008286	168.652955	-79.899045	-169.396480
53906		9.643003	0.190342	-1.679445	-0.068245	-0.037783	0.017471	168.707824	-79.878637	-169.490024
53907		9.630615	0.139728	-1.652721	-0.028914	-0.058587	0.019881	168.804293	-79.846793	-169.603014
53908		9.629693	0.152645	-1.729979	0.037232	-0.056224	0.018535	168.933437	-79.816085	-169.710635
53909		9.651377	0.120168	-1.774614	0.079557	-0.049072	0.007704	169.046798	-79.788179	-169.777664
53910		9.624068	0.068966	-1.847732	0.102616	-0.050868	0.004441	169.164968	-79.758879	-169.836083
53911		9.681276	0.038029	-1.933896	0.130633	-0.061053	-0.003008	169.280344	-79.723034	-169.875432
53912		9.678413	0.053399	-1.969720	0.185557	-0.065522	-0.013498	169.398004	-79.683533	-169.885039
53913		9.669624	0.081052	-1.837439	0.237812	-0.068740	-0.017430	169.533532	-79.641818	-169.882461
53914		9.650031	0.188560	-1.697740	0.255760	-0.064744	-0.013753	169.689166	-79.602716	-169.889775
53915		9.636664	0.268545	-1.654205	0.269491	-0.047724	-0.010288	169.851936	-79.573581	-169.896439
53916		9.587611	0.361263	-1.640482	0.261226	-0.040780	-0.010329	170.006944	-79.548340	-169.899936
53917		9.590688	0.452555	-1.611400	0.236762	-0.052817	-0.008109	170.159441	-79.516539	-169.915224
53918		9.669215	0.521199	-1.720426	0.234352	-0.052336	-0.005305	170.319619	-79.485264	-169.939642
53919		9.676322	0.600965	-1.817982	0.241209	-0.031541	-0.008437	170.461712	-79.465437	-169.941760
53920		9.632238	0.656145	-1.786679	0.227379	-0.030608	-0.016152	170.572945	-79.445395	-169.920464
53921		9.665787	0.658451	-1.790464	0.196017	-0.031857	-0.013483	170.673568	-79.424916	-169.906736
53922		9.599128	0.617850	-1.693007	0.145983	-0.017138	-0.019704	170.720366	-79.412170	-169.867338
53923		9.538775	0.536587	-1.618528	0.095032	-0.019589	-0.019254	170.739465	-79.398101	-169.829535
53924		9.543712	0.486478	-1.531091	0.070735	-0.029027	-0.019738	170.748863	-79.378639	-169.795952
53925		9.592754	0.386761	-1.593760	0.055276	-0.034003	-0.017768	170.756835	-79.356558	-169.769998
53926		9.612721	0.372747	-1.665718	0.053773	-0.027410	-0.010428	170.783741	-79.338878	-169.764122
53927		9.510839	0.354203	-1.712369	0.052128	-0.031010	-0.003699	170.830669	-79.319782	-169.779642
53928		9.583014	0.337593	-1.768404	0.054713	-0.029465	-0.001005	170.887190	-79.301804	-169.803358
53929		9.561499	0.363631	-1.774191	0.033785	-0.017954	0.007173	170.949659	-79.291073	-169.845393
53930		9.645801	0.382581	-1.789693	0.000864	-0.016238	0.011306	171.005593	-79.281676	-169.899915
53931		9.663028	0.387811	-1.847569	-0.036357	-0.006260	0.020926	171.063297	-79.278775	-169.978004
53932		9.658051	0.424308	-1.866282	-0.056310	-0.009156	0.025323	171.124870	-79.274609	-170.071610
53933		9.638021	0.445955	-1.912626	-0.057948	-0.015733	0.022758	171.179981	-79.266476	-170.159652
53934		9.571776	0.427155	-1.998956	-0.036462	-0.014069	0.017415	171.231374	-79.258795	-170.231328
53935		9.519953	0.415023	-1.944095	-0.016767	-0.019776	0.012826	171.282077	-79.247479	-170.290873
53936		9.562429	0.347420	-1.867405	-0.029099	-0.024774	0.010037	171.320325	-79.233063	-170.344878
53937		9.582756	0.311124	-1.751657	-0.044988	-0.013943	0.017648	171.366351	-79.225450	-170.416127
53938		9.579572	0.331309	-1.740667	-0.044411	-0.010152	0.016573	171.408466	-79.219862	-170.483002
53939		9.618897	0.426090	-1.749703	-0.055744	-0.008370	0.014952	171.437673	-79.215157	-170.543406
53940		9.613904	0.463937	-1.768272	-0.074598	-0.009061	0.010798	171.444704	-79.209686	-170.592179
53941		9.616084	0.456546	-1.852728	-0.101401	-0.005829	0.005802	171.419360	-79.205638	-170.623682
53942		9.575022	0.388823	-1.988970	-0.102156	-0.006988	-0.004481	171.364211	-79.200037	-170.625234
53943		9.562843	0.355779	-2.028630	-0.079607	-0.005494	-0.015484	171.288025	-79.194350	-170.592266
53944		9.552895	0.284117	-1.852317	-0.079138	-0.009491	-0.020083	171.200988	-79.185962	-170.547924
53945		9.509177	0.216885	-1.790574	-0.083175	-0.002052	-0.018312	171.112919	-79.181956	-170.504938
53946		9.509023	0.220082	-1.791000	-0.065590	-0.010311	-0.020917	171.031743	-79.173003	-170.458658
53947		9.575301	0.248825	-1.820920	-0.039310	-0.011984	-0.008450	171.002733	-79.164239	-170.450212
53948		9.595291	0.355693	-1.802607	-0.041219	-0.008394	-0.003334	170.986736	-79.157937	-170.456075
53949		9.601155	0.314882	-1.827736	-0.064691	-0.011899	0.000689	170.970180	-79.150041	-170.475116
53950		9.649439	0.348539	-1.872530	-0.064486	-0.005731	0.003800	170.960652	-79.145887	-170.501141
53951		9.631278	0.355677	-1.888071	-0.067989	-0.006289	0.003437	170.947678	-79.141415	-170.525753
53952		9.621064	0.304210	-1.898127	-0.081937	-0.006073	-0.000887	170.914464	-79.136644	-170.537842
53953		9.535648	0.299130	-1.956331	-0.085183	0.001963	-0.001012	170.874630	-79.136442	-170.545137
53954		9.535662	0.301474	-1.955906	-0.093045	0.001347	-0.011588	170.800020	-79.134890	-170.521552
53955		9.508308	0.244608	-1.908566	-0.090568	0.001555	-0.017772	170.707923	-79.132917	-170.478772
53956		9.560663	0.246224	-1.892050	-0.087720	0.011678	-0.014818	170.621879	-79.136887	-170.440435
53957		9.587893	0.299511	-1.823294	-0.084025	0.015477	-0.020650	170.518249	-79.142487	-170.382095
53958		9.655359	0.316208	-1.778551	-0.090664	0.011992	-0.025563	170.398604	-79.145586	-170.311263
53959		9.701685	0.360648	-1.736512	-0.101980	0.016158	-0.030064	170.256440	-79.150618	-170.224163
53960		9.696975	0.403893	-1.751345	-0.124452	0.028231	-0.033046	170.086915	-79.162089	-170.122260
53961		9.670454	0.360303	-1.815294	-0.148947	0.033192	-0.043805	169.868117	-79.175261	-169.984540
53962		9.585697	0.231594	-1.845416	-0.154347	0.038572	-0.041929	169.649026	-79.191521	-169.849625
53963		9.585502	0.123130	-1.889909	-0.137413	0.021687	-0.037809	169.459955	-79.198642	-169.735454
53964		9.600130	0.028552	-1.908303	-0.107107	0.013771	-0.038901	169.289867	-79.201084	-169.622874
53965		9.584824	0.008154	-1.821350	-0.099866	-0.001279	-0.028471	169.162502	-79.196156	-169.549622
53966		9.609795	-0.050344	-1.759717	-0.103482	-0.003891	-0.013787	169.078618	-79.191282	-169.522680
53967		9.583776	-0.111861	-1.755839	-0.080518	0.004098	-0.000897	169.040650	-79.192337	-169.529151
53968		9.599985	-0.100029	-1.769955	-0.055830	0.005260	0.013022	169.057994	-79.195528	-169.577465
53969		9.596925	-0.080308	-1.757034	-0.027146	0.003059	0.022682	169.120722	-79.198555	-169.655317
53970		9.573745	-0.037538	-1.789637	0.010600	-0.012477	0.023435	169.216987	-79.192872	-169.745221
53971		9.527136	0.049247	-1.856323	0.076086	-0.037404	0.020377	169.354582	-79.172824	-169.839082
53972		9.596634	0.166702	-1.852891	0.119680	-0.041206	0.019816	169.518119	-79.150503	-169.933851
53973		9.603247	0.247275	-1.947467	0.154302	-0.029657	0.013072	169.673964	-79.133969	-170.000675
53974		9.624607	0.330882	-1.900042	0.160685	-0.025919	0.009524	169.821761	-79.119118	-170.055500
53975		9.665256	0.405290	-1.879632	0.150724	-0.023843	0.007367	169.955162	-79.105227	-170.101563
53976		9.589228	0.437426	-1.816342	0.132008	-0.018477	0.006315	170.072778	-79.094206	-170.142391
53977		9.588766	0.434829	-1.819401	0.115349	-0.034079	0.000970	170.171989	-79.073872	-170.174281
53978		9.659367	0.421700	-1.835702	0.112814	-0.058404	-0.007363	170.258374	-79.038949	-170.194507
53979		9.659196	0.406510	-1.769846	0.118517	-0.056878	-0.009447	170.339916	-79.004715	-170.206555
53980		9.583922	0.308261	-1.726374	0.130355	-0.041458	-0.007328	170.427435	-78.979358	-170.217706
53981		9.495736	0.177896	-1.679862	0.152081	-0.049357	-0.008237	170.527447	-78.949481	-170.228982
53982		9.456774	0.076663	-1.719683	0.184224	-0.051587	-0.010529	170.640927	-78.918100	-170.235140
53983		9.519228	0.002943	-1.830417	0.189004	-0.058505	-0.014286	170.748337	-78.882482	-170.232399
53984		9.557137	-0.023020	-1.932865	0.174738	-0.075860	-0.010638	170.866748	-78.837363	-170.249120
53985		9.643157	0.083654	-1.765451	0.178695	-0.101131	0.003976	171.039100	-78.779275	-170.318600
53986		9.773350	0.247532	-1.591037	0.154972	-0.119788	0.013157	171.231957	-78.711374	-170.422778
53987		9.806944	0.364040	-1.555979	0.135294	-0.092982	0.022838	171.426653	-78.659443	-170.540435
53988		9.711059	0.414889	-1.585644	0.137073	-0.066835	0.029983	171.631165	-78.622850	-170.667006
53989		9.694032	0.527856	-1.603523	0.109722	-0.046235	0.031174	171.812978	-78.597955	-170.786497
53990		9.641164	0.524774	-1.622997	0.045083	-0.032868	0.034744	171.962779	-78.580874	-170.911057
