// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
53825		8.516076	-3.090886	0.774940	-0.540362	-0.096698	-0.128892	-88.231918	-78.023323	-50.319624
53826		8.606593	-3.215579	1.324449	-0.163048	-0.078366	-0.389079	-88.523231	-78.246804	-50.117919
53827		8.739712	-3.126216	1.560230	0.056764	-0.083206	-0.654490	-88.692937	-78.622574	-49.911915
53828		10.146922	-2.114821	1.265109	0.426240	-0.065295	-0.774291	-88.600030	-79.066253	-49.758211
53829		11.317770	-1.222789	1.986417	0.731023	0.042670	-0.671349	-88.007260	-79.449757	-49.935649
53830		10.804531	-0.298304	1.482128	0.423569	-0.022004	-0.464058	-87.795509	-79.715267	-49.904707
53831		10.108920	0.221007	-0.037554	-0.044153	-0.059139	-0.282244	-87.991618	-79.877879	-49.731566
53832		9.139571	0.845060	-0.348645	-0.347228	-0.075263	-0.233407	-88.425740	-80.012324	-49.493209
53833		9.105833	0.625734	-0.477783	-0.501230	-0.153841	-0.338190	-89.211648	-80.207588	-48.987377
53834		9.569501	-0.201152	-0.415405	-0.517276	-0.097155	-0.472581	-89.838356	-80.478308	-48.652756
53835		10.068776	-1.561864	-0.642675	-0.589096	-0.061111	-0.495406	-90.408556	-80.761733	-48.417344
53836		10.094198	-3.004597	-0.854053	-0.435027	-0.043512	-0.403986	-90.846320	-80.992402	-48.226863
53837		9.614945	-3.538964	-0.769068	-0.003877	-0.053442	-0.300931	-91.079866	-81.163899	-47.993118
53838		9.233975	-3.019928	0.011891	0.386087	-0.066206	-0.260524	-91.141941	-81.311777	-47.706952
53839		9.168196	-2.348800	0.877247	0.558977	-0.105620	-0.266504	-91.260730	-81.462774	-47.263296
53840		9.411350	-1.493326	1.103535	0.597244	-0.171503	-0.266973	-91.623525	-81.612509	-46.551027
53841		9.694902	-0.687024	0.669633	0.571350	-0.203783	-0.252276	-92.146001	-81.752708	-45.692571
53842		9.756219	0.246760	0.470280	0.423634	-0.178464	-0.237653	-92.672684	-81.883722	-44.915729
53843		9.674133	0.838180	0.326070	0.142943	-0.142304	-0.215973	-93.230676	-82.002624	-44.269869
53844		9.665347	0.652688	-0.176741	-0.185475	-0.113626	-0.205589	-93.874460	-82.115477	-43.727604
53845		9.964506	0.183419	-0.962851	-0.414060	-0.107525	-0.217777	-94.646341	-82.234791	-43.188349
53846		10.265677	-0.366773	-1.000450	-0.458750	-0.101163	-0.230101	-95.441885	-82.360369	-42.651230
53847		10.268470	-1.076839	-0.838016	-0.360924	-0.075459	-0.242020	-96.097760	-82.493375	-42.198609
53848		10.091811	-1.465230	-0.764376	-0.251319	-0.084792	-0.218656	-96.739236	-82.611752	-41.697316
53849		9.963107	-1.645800	-0.476025	-0.104916	-0.095415	-0.172483	-97.335562	-82.702463	-41.157080
53850		9.844130	-1.420798	-0.206412	0.085317	-0.103397	-0.120407	-97.840187	-82.762264	-40.599510
