// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
53825		9.196713	-2.705087	-0.927625	-0.551744	-0.210335	0.368149	-151.478216	-77.466284	71.302994
53826		9.296280	-2.652989	-0.615596	-0.583833	-0.127011	0.369500	-151.126674	-77.303411	70.597533
53827		9.412199	-2.702571	-0.860679	-0.592711	-0.061993	0.352851	-150.750075	-77.177229	69.860847
53828		9.745054	-2.875121	-1.342531	-0.433065	-0.012017	0.312025	-150.318964	-77.085879	69.161732
53829		10.293384	-2.740384	-1.531875	-0.153867	-0.026726	0.293865	-149.794423	-76.991588	68.530656
53830		10.569186	-2.549986	-1.619533	0.136262	-0.044035	0.292188	-149.136943	-76.887309	67.933530
53831		10.403112	-2.154856	-1.427094	0.412621	-0.032453	0.250145	-148.405388	-76.800047	67.422684
53832		10.084105	-1.634855	-1.316289	0.651325	-0.036077	0.163403	-147.727390	-76.735405	67.107257
53833		9.750059	-0.938518	-1.735451	0.868204	-0.076576	0.036245	-147.243461	-76.690115	67.118784
53834		9.394313	-0.364765	-2.403099	0.950753	-0.086895	-0.102645	-147.008075	-76.682610	67.434397
53835		9.193198	0.064724	-2.704960	0.836437	-0.168886	-0.191399	-147.127225	-76.663857	68.046989
53836		9.274448	0.002431	-2.689563	0.619140	-0.256057	-0.201329	-147.501339	-76.605077	68.793811
53837		9.366833	-0.256914	-2.464633	0.335327	-0.284702	-0.141098	-147.947726	-76.513211	69.447946
53838		9.346113	-0.679145	-2.272815	0.136117	-0.317859	-0.070741	-148.398478	-76.382308	69.989466
53839		9.442999	-0.948783	-2.291542	0.071143	-0.261282	-0.028656	-148.724640	-76.266078	70.364732
53840		9.556116	-1.011016	-1.998032	0.054929	-0.159495	-0.013097	-148.900357	-76.194286	70.575671
53841		9.885450	-0.890186	-1.716123	0.107165	-0.135385	-0.010174	-149.010363	-76.133790	70.749835
53842		10.066799	-0.283192	-1.688532	0.138086	-0.058775	-0.017166	-149.023625	-76.112513	70.842612
53843		9.866390	0.204585	-2.102433	0.092139	0.106554	-0.022577	-148.876829	-76.174445	70.743424
53844		9.540726	0.253079	-2.219964	0.061016	0.175445	-0.010466	-148.638315	-76.266059	70.531438
53845		9.366849	0.177533	-2.080419	0.035920	0.068526	0.020799	-148.480695	-76.296274	70.388010
53846		9.587273	0.121271	-2.089391	-0.021470	-0.023999	0.050925	-148.408893	-76.271859	70.299007
53847		9.813698	0.020427	-2.295076	-0.126252	-0.031331	0.086997	-148.334719	-76.233357	70.145810
53848		9.915236	-0.118026	-2.437205	-0.203319	0.003195	0.116287	-148.204846	-76.202462	69.889677
53849		9.994362	-0.169031	-2.590426	-0.244751	0.035021	0.120642	-148.051578	-76.185912	69.585081
53850		10.048942	-0.183614	-2.705341	-0.345829	0.068608	0.095839	-147.964377	-76.192746	69.288741
53851		9.928835	-0.303465	-2.537037	-0.454094	0.091243	0.051627	-147.997916	-76.224288	69.053010
53852		9.738664	-0.504540	-2.272631	-0.500292	0.109305	0.014263	-148.109840	-76.275704	68.870600
53853		9.559935	-0.634942	-2.264557	-0.497812	0.107964	-0.023222	-148.296100	-76.338202	68.766374
53854		9.436499	-0.913102	-2.267394	-0.497066	0.092731	-0.035627	-148.526989	-76.396781	68.708351
53855		9.333719	-1.248079	-2.591154	-0.409454	0.043696	-0.041551	-148.780210	-76.433487	68.725144
53856		9.325082	-1.369988	-2.777123	-0.308663	0.024148	-0.041186	-149.000457	-76.460165	68.767218
53857		9.335299	-1.436538	-2.818852	-0.206304	0.029452	-0.040972	-149.154739	-76.489668	68.801963
53858		9.396898	-1.460713	-2.714205	-0.103357	0.031058	-0.043823	-149.255163	-76.520426	68.841754
53859		9.439809	-1.485870	-2.557324	-0.005768	0.018417	-0.048617	-149.324365	-76.546701	68.907152
53860		9.461977	-1.522898	-2.487989	0.125705	0.014213	-0.057571	-149.342962	-76.573118	68.997731
53861		9.440671	-1.628975	-2.372691	0.262227	0.004018	-0.069183	-149.319091	-76.598296	69.125288
53862		9.372860	-1.715375	-2.308723	0.395327	-0.021780	-0.068192	-149.249571	-76.610082	69.284068
53863		9.366938	-1.730250	-2.166508	0.521885	-0.047381	-0.059716	-149.120677	-76.607264	69.456586
53864		9.328390	-1.581367	-1.996003	0.578476	-0.038482	-0.041953	-148.912466	-76.603251	69.580672
53865		9.309756	-1.370858	-1.717926	0.549496	-0.041410	-0.015245	-148.668785	-76.590432	69.651460
53866		9.479128	-1.210489	-1.663364	0.494606	-0.056514	0.007400	-148.429915	-76.563080	69.694647
53867		9.673469	-0.942541	-1.794236	0.449965	-0.032009	0.015953	-148.168040	-76.545592	69.688106
53868		9.687705	-0.613603	-1.877257	0.390687	0.020440	0.023580	-147.859143	-76.550836	69.598078
53869		9.682020	-0.297652	-2.047759	0.313760	0.040373	0.026518	-147.561957	-76.565158	69.474995
53870		9.653597	-0.048307	-2.257736	0.188178	0.047352	0.030725	-147.319617	-76.581008	69.334101
53871		9.534039	0.002166	-2.463842	0.010082	0.043718	0.034421	-147.175351	-76.594261	69.189366
53872		9.445047	0.043775	-2.636614	-0.208472	0.005638	0.042375	-147.190862	-76.586276	69.079890
53873		9.504528	-0.045882	-2.726707	-0.457138	-0.048573	0.046513	-147.409758	-76.551318	69.033294
53874		9.592407	-0.195086	-2.772137	-0.672978	-0.081190	0.050699	-147.786473	-76.498963	69.021492
53875		9.705255	-0.421771	-2.878346	-0.826174	-0.100097	0.041303	-148.290753	-76.440681	69.050928
53876		9.691051	-0.682161	-2.893630	-0.885372	-0.091473	0.014392	-148.872003	-76.394192	69.124310
53877		9.583236	-0.983158	-2.607754	-0.938734	-0.062265	-0.032421	-149.539678	-76.376028	69.255520
53878		9.545919	-1.294687	-2.219838	-0.951191	-0.048769	-0.067670	-150.271333	-76.373884	69.444850
53879		9.542204	-1.576279	-2.022818	-0.940695	-0.030634	-0.079589	-150.998687	-76.384002	69.636312
53880		9.590195	-1.874731	-1.880107	-0.916299	0.000493	-0.058765	-151.635862	-76.403068	69.748988
53881		9.545128	-2.082645	-1.818441	-0.841402	0.038147	-0.026587	-152.119999	-76.432648	69.748733
53882		9.396190	-2.328587	-1.816443	-0.738935	0.056064	-0.001063	-152.474334	-76.464077	69.675004
53883		9.202475	-2.499566	-1.703594	-0.677423	0.037890	0.012230	-152.784311	-76.483300	69.592253
53884		9.122460	-2.762653	-1.636010	-0.560046	-0.007377	0.023812	-153.053186	-76.476048	69.536090
53885		9.281681	-2.772447	-1.594639	-0.352553	-0.056685	0.027697	-153.246637	-76.443098	69.524935
53886		9.470461	-2.643695	-1.860119	-0.087225	-0.078045	0.032125	-153.302079	-76.397604	69.527933
53887		9.543042	-2.381424	-2.224068	0.244926	-0.039234	0.015835	-153.159528	-76.376645	69.523287
53888		9.387939	-2.003766	-2.310394	0.521884	-0.029017	-0.023713	-152.931539	-76.370668	69.593781
53889		9.384453	-1.718956	-2.333191	0.647265	-0.050914	-0.059624	-152.730267	-76.363490	69.765917
53890		9.374519	-1.554590	-2.236187	0.706643	-0.073954	-0.067594	-152.537070	-76.346295	69.981165
53891		9.480648	-1.371277	-2.205537	0.755114	-0.089414	-0.069961	-152.337364	-76.322581	70.218530
53892		9.450052	-1.057822	-2.203263	0.765742	-0.085036	-0.053112	-152.092016	-76.296259	70.415000
53893		9.368011	-0.835921	-2.164534	0.701521	-0.077619	-0.041180	-151.850264	-76.271218	70.577528
53894		9.319530	-0.621398	-2.163362	0.620310	-0.075600	-0.031455	-151.633223	-76.244167	70.717395
53895		9.324974	-0.407925	-2.076677	0.472196	-0.067543	-0.020129	-151.468487	-76.218740	70.823973
53896		9.439207	-0.298350	-2.101736	0.292611	-0.061894	0.004652	-151.350099	-76.188888	70.872106
53897		9.576481	-0.175302	-2.072649	0.141492	-0.033349	0.032388	-151.229379	-76.166305	70.828907
53898		9.473861	-0.107229	-1.914974	0.029060	0.005824	0.049253	-151.095667	-76.158187	70.705732
53899		9.094623	0.110290	-1.718825	-0.092281	-0.022384	0.064185	-151.032382	-76.132248	70.583727
53900		9.824976	0.039882	-2.652115	-0.343743	0.059084	0.074824	-151.000896	-76.143685	70.345807
