// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
53825		9.711530	-0.929850	0.265329	-0.274570	0.144696	-0.006706	-72.841930	-84.651433	75.999853
53826		9.612424	-0.830781	0.272714	-0.281792	0.144386	0.000295	-72.190108	-84.624018	75.184322
53827		9.598308	-0.799467	0.214779	-0.266159	0.135687	-0.011952	-71.559991	-84.604198	74.399489
53828		9.779191	-0.894100	0.094505	-0.257490	0.135638	-0.003937	-70.949677	-84.579018	73.639576
53829		9.959771	-1.196135	-0.285368	-0.229118	0.141013	-0.009190	-70.285448	-84.555097	72.841789
53830		10.132225	-1.475091	-0.325024	-0.167603	0.143028	-0.009759	-69.583141	-84.529954	72.041137
53831		10.136778	-1.530294	0.006780	-0.140569	0.155694	-0.001274	-68.817727	-84.496935	71.192596
53832		10.071551	-1.409632	0.185458	-0.110397	0.166194	0.009377	-68.013577	-84.454704	70.322467
53833		9.933637	-1.198295	0.240713	-0.035445	0.173633	0.010124	-67.138663	-84.409416	69.424313
53834		9.852980	-0.986691	0.363284	0.060675	0.162789	0.000299	-66.260412	-84.370245	68.578089
53835		9.857642	-0.942164	0.589164	0.105469	0.150658	-0.006442	-65.413898	-84.336372	67.789484
53836		9.807867	-1.028335	0.807040	0.143772	0.156090	-0.003060	-64.537850	-84.298098	66.993213
53837		9.669555	-1.195162	0.780521	0.206286	0.160213	0.010333	-63.647754	-84.250829	66.218756
53838		9.527988	-1.217332	0.615689	0.309315	0.151507	0.019819	-62.783149	-84.199632	65.529192
53839		9.598664	-1.077122	0.589364	0.369905	0.122727	0.032687	-62.071133	-84.148703	65.027839
53840		9.996590	-0.778759	0.506146	0.403740	0.128821	0.034325	-61.327430	-84.094533	64.514075
53841		10.242733	-0.499180	0.330468	0.414212	0.156077	0.006004	-60.380091	-84.046269	63.801564
53842		10.361294	-0.346387	0.052273	0.402309	0.160063	-0.030941	-59.334415	-84.013785	62.983271
53843		10.368890	-0.230394	-0.062887	0.330235	0.140451	-0.060828	-58.343598	-84.000398	62.178577
53844		10.345729	-0.103202	-0.121387	0.248100	0.096603	-0.063835	-57.599137	-84.000392	61.574272
53845		10.278821	0.198378	0.332707	0.143523	0.080042	-0.056516	-57.009803	-84.001433	61.065692
53846		9.956299	0.300669	0.650237	-0.036696	0.087650	-0.048543	-56.515334	-83.995578	60.548679
53847		9.656697	0.314249	0.738409	-0.129590	0.061209	-0.041128	-56.214444	-83.994437	60.172780
53848		9.512974	0.349279	1.037271	-0.246329	0.031996	-0.037970	-56.124767	-84.000744	59.942015
53849		9.625795	0.137751	1.328784	-0.359365	-0.000900	-0.038961	-56.242503	-84.018292	59.854673
53850		9.773435	-0.264914	1.468952	-0.431598	-0.003997	-0.032920	-56.437415	-84.033692	59.803334
53851		9.805810	-0.743980	1.421450	-0.384408	0.004015	-0.033405	-56.563719	-84.047087	59.710186
53852		9.704461	-1.015681	1.075659	-0.248980	0.001062	-0.028788	-56.643722	-84.058940	59.648517
53853		9.495548	-1.080734	0.703344	-0.035088	0.005166	-0.033991	-56.562363	-84.072244	59.547818
53854		9.166807	-0.822076	0.086841	0.175100	0.011796	-0.079880	-56.192550	-84.105042	59.278212
53855		8.623533	-0.068347	-0.677413	0.355347	-0.047596	-0.171325	-55.698950	-84.200344	58.988005
53856		8.434470	1.159886	-0.853942	0.289322	-0.178843	-0.272050	-55.529425	-84.385322	58.985552
