// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
53825		-2.659061	9.092780	2.305125	0.018539	0.004810	0.063541	75.870518	15.528553	-63.685779
53826		-2.612139	9.193174	2.292679	0.048942	0.001809	0.071519	75.902177	15.489983	-63.674882
53827		-2.643740	9.195617	2.244065	0.014974	0.005515	0.084984	75.915607	15.444463	-63.659615
53828		-2.608456	9.144535	2.310119	0.032522	0.007746	0.084171	75.939230	15.399682	-63.643499
53829		-2.645603	9.321289	2.200389	0.035505	0.007823	0.099242	75.965281	15.346548	-63.625015
53830		-2.636131	9.357401	2.225878	-0.025653	0.013785	0.115801	75.957656	15.285015	-63.600897
53831		-2.646644	9.252055	2.273551	-0.028264	0.025359	0.149382	75.951694	15.206453	-63.564793
53832		-2.591899	9.210994	2.241478	-0.026872	0.025892	0.178574	75.947495	15.111719	-63.524662
53833		-2.477582	9.214136	2.290295	-0.024035	0.031785	0.180120	75.945942	15.016968	-63.481147
53834		-2.443148	9.227952	2.302727	-0.061707	0.034339	0.152139	75.921930	14.938113	-63.439974
53835		-2.522014	9.166258	2.319996	-0.078050	0.044089	0.136614	75.889532	14.869281	-63.395382
53836		-2.500941	9.113085	2.303790	-0.056639	0.040822	0.138665	75.868793	14.798857	-63.352380
53837		-2.508727	9.138083	2.324024	-0.040793	0.055220	0.152235	75.859829	14.722929	-63.299905
53838		-2.504780	9.163297	2.320688	-0.024350	0.049753	0.164629	75.859730	14.639343	-63.248023
53839		-2.438642	9.209046	2.291142	-0.021261	0.063290	0.176439	75.863854	14.551111	-63.186403
53840		-2.457142	9.126994	2.331271	-0.013588	0.073406	0.182344	75.873796	14.460984	-63.118441
53841		-2.467940	9.219118	2.287943	0.003311	0.073434	0.190410	75.893710	14.366383	-63.049835
53842		-2.518129	9.335502	2.305360	-0.013872	0.082769	0.212675	75.905649	14.260672	-62.972243
53843		-2.497136	9.395149	2.305004	-0.036560	0.085862	0.239410	75.905929	14.140549	-62.889572
53844		-2.534517	9.402508	2.305826	-0.068177	0.083938	0.277877	75.888857	13.998772	-62.802005
53845		-2.422114	9.339404	2.327947	-0.080703	0.068213	0.308613	75.863385	13.837783	-62.719607
53846		-2.574105	9.538453	2.322536	-0.106701	0.061527	0.346667	75.823077	13.654730	-62.634918
