// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
53825		5.256486	-10.180236	2.257031	-0.096872	-0.399397	-0.421084	-84.883955	4.432676	-14.935371
53826		3.905458	-9.474759	1.064192	-0.015383	-0.462536	-0.508072	-84.870911	4.118551	-14.698020
53827		3.284509	-8.841606	1.014169	-0.179194	-0.049782	0.067486	-84.967176	4.153617	-14.667361
53828		-1.557834	-9.326108	2.029824	-0.275853	-0.033255	0.051044	-85.119578	4.180331	-14.647054
53829		-1.321298	-9.236758	1.568196	-0.486376	-0.076736	-0.009879	-85.390982	4.170123	-14.604846
53830		-0.785613	-10.501842	0.273217	-0.514361	-0.019431	-0.110360	-85.681098	4.105473	-14.599910
53831		-0.634723	-10.522893	0.198522	-0.418993	-0.023729	-0.041005	-85.916210	4.080103	-14.589287
53832		-0.518286	-10.162644	0.253069	-0.242983	-0.044222	0.010039	-86.049484	4.083308	-14.564792
53833		-0.741906	-9.961415	0.513049	-0.114721	-0.029129	0.010588	-86.109889	4.087270	-14.548923
53834		-0.782576	-9.778440	0.691120	-0.133408	-0.047630	-0.008732	-86.180312	4.079676	-14.523206
53835		-0.723425	-9.917088	0.548842	-0.114071	-0.037972	-0.013007	-86.240051	4.069851	-14.503174
53836		-0.702980	-9.824521	0.573176	-0.070894	-0.038261	-0.021374	-86.275081	4.055431	-14.483286
53837		-0.666400	-9.733921	0.687130	-0.055008	-0.037734	-0.022161	-86.301022	4.040407	-14.463718
53838		-0.696290	-9.668753	0.730044	-0.071059	-0.041334	-0.022528	-86.336034	4.025234	-14.442096
53839		-0.654835	-9.613290	0.757380	-0.106374	-0.045525	-0.019975	-86.391096	4.011203	-14.417964
53840		-0.716868	-9.769479	0.643872	-0.129098	-0.043246	-0.025679	-86.459295	3.994198	-14.395332
53841		-0.686310	-9.569737	0.769439	-0.138004	-0.037883	-0.039069	-86.532843	3.969571	-14.376219
53842		-0.665359	-9.526045	0.813606	-0.202292	-0.047175	-0.033013	-86.642849	3.948301	-14.351538
53843		-0.653368	-9.759937	0.597624	-0.249060	-0.061646	-0.033902	-86.779089	3.925920	-14.318539
53844		-0.631661	-10.007159	0.309012	-0.210819	-0.058311	-0.033365	-86.893549	3.904203	-14.287393
53845		-0.561292	-9.988737	0.239218	-0.128251	-0.052969	-0.020719	-86.960899	3.889755	-14.258881
53846		-0.678871	-9.968437	0.376678	-0.069031	-0.045149	-0.018137	-86.994630	3.877218	-14.234767
53847		-0.696815	-9.878615	0.468020	-0.043745	-0.039040	-0.022168	-87.014115	3.862397	-14.214268
53848		-0.634458	-9.859912	0.502219	-0.034480	-0.036592	-0.026625	-87.028414	3.845276	-14.195305
53849		-0.631554	-9.691612	0.649570	-0.044857	-0.030565	-0.022355	-87.048873	3.830611	-14.179663
53850		-0.575384	-9.745897	0.569628	-0.077217	-0.035737	-0.016653	-87.087676	3.819234	-14.160885
53851		-0.594691	-9.824904	0.507632	-0.082609	-0.025917	-0.002556	-87.129909	3.816052	-14.147318
53852		-0.555873	-9.769455	0.536048	-0.079584	-0.022565	0.011088	-87.170517	3.820947	-14.135285
53853		-0.627235	-9.827966	0.462995	-0.087205	-0.022426	0.018263	-87.215475	3.829796	-14.123131
53854		-0.624871	-9.861449	0.370706	-0.064256	-0.014504	0.024720	-87.247580	3.842728	-14.115350
53855		-0.671845	-9.816955	0.492723	-0.050117	-0.014424	0.020504	-87.271589	3.853094	-14.107734
53856		-0.691424	-9.861489	0.427250	-0.049535	-0.014560	0.024996	-87.295257	3.866187	-14.099925
53857		-0.666692	-9.830687	0.412326	-0.039113	-0.013434	0.020341	-87.312997	3.876491	-14.092889
53858		-0.607804	-9.878868	0.367797	-0.030007	-0.014939	0.024768	-87.325462	3.889448	-14.084876
53859		-0.665902	-9.811052	0.420781	-0.010879	-0.012149	0.021192	-87.327070	3.900278	-14.078558
53860		-0.647508	-9.847820	0.421372	-0.006659	-0.011259	0.025402	-87.326301	3.913694	-14.072641
53861		-0.692347	-9.822026	0.444390	0.006802	-0.007878	0.025203	-87.317937	3.926932	-14.068664
53862		-0.684110	-9.782751	0.472241	0.002261	-0.007675	0.018364	-87.312209	3.936414	-14.064989
53863		-0.677437	-9.844320	0.427058	0.006686	-0.004852	0.014475	-87.304049	3.943593	-14.063034
53864		-0.670200	-9.790794	0.435782	0.014497	-0.001973	0.008414	-87.291554	3.947532	-14.062897
53865		-0.655652	-9.731990	0.478436	0.018598	-0.006173	0.012228	-87.276520	3.953389	-14.060243
53866		-0.644263	-9.707029	0.526984	0.012030	-0.004352	0.008474	-87.265344	3.957296	-14.058736
53867		-0.635780	-9.715996	0.580291	-0.007797	-0.012090	0.007154	-87.265208	3.960086	-14.052825
53868		-0.655073	-9.813073	0.419686	-0.018480	-0.004973	0.008821	-87.271482	3.964171	-14.050954
53869		-0.647021	-9.822103	0.471277	-0.011533	-0.000744	0.014844	-87.273922	3.971672	-14.051341
53870		-0.642427	-9.869471	0.404623	-0.014796	0.004288	0.017410	-87.278438	3.980923	-14.054549
53871		-0.619777	-9.939376	0.320584	0.008216	0.010141	0.024655	-87.269978	3.994336	-14.060914
53872		-0.642154	-9.964653	0.366986	0.041577	0.019178	0.026515	-87.242781	4.009202	-14.072409
53873		-0.694913	-9.943773	0.362140	0.073572	0.027616	0.036674	-87.197556	4.029985	-14.088452
53874		-0.685155	-9.985431	0.338964	0.106256	0.031646	0.033583	-87.133803	4.049265	-14.106876
53875		-0.725425	-9.939405	0.387610	0.142157	0.032657	0.027137	-87.049513	4.064773	-14.126042
53876		-0.705073	-9.759074	0.529613	0.166553	0.041018	0.025144	-86.951627	4.079558	-14.150040
53877		-0.662084	-9.629487	0.692464	0.141733	0.030575	0.023161	-86.867510	4.092786	-14.168086
53878		-0.670698	-9.701454	0.592587	0.111282	0.027939	0.024241	-86.800760	4.106709	-14.184569
53879		-0.672105	-9.647182	0.701127	0.104671	0.031792	0.019689	-86.737943	4.118035	-14.203394
53880		-0.668451	-9.694432	0.644419	0.069154	0.027666	0.029467	-86.695306	4.134969	-14.219522
53881		-0.699362	-9.778031	0.563455	0.065258	0.025674	0.027878	-86.654807	4.150806	-14.234548
53882		-0.710168	-9.715263	0.614662	0.065998	0.029496	0.023492	-86.614073	4.164405	-14.251904
53883		-0.723268	-9.754057	0.593614	0.059146	0.022281	0.028227	-86.576939	4.180348	-14.264951
53884		-0.724728	-9.821368	0.521924	0.077687	0.017892	0.020448	-86.529036	4.191830	-14.275739
53885		-0.739244	-9.724280	0.659214	0.084812	0.016833	0.018672	-86.476996	4.202139	-14.285971
53886		-0.713936	-9.693084	0.656028	0.077124	0.008765	0.017054	-86.429043	4.211375	-14.291626
53887		-0.737405	-9.703306	0.687191	0.063173	0.001467	0.014346	-86.388767	4.218676	-14.293185
53888		-0.709809	-9.686322	0.701567	0.049671	-0.001822	0.014627	-86.356100	4.226148	-14.292848
53889		-0.704218	-9.680224	0.738571	0.026644	0.000727	0.016350	-86.336716	4.234569	-14.293903
53890		-0.723385	-9.725180	0.679933	0.003417	0.000255	0.016977	-86.330626	4.243459	-14.294664
53891		-0.706277	-9.748042	0.662228	0.000358	-0.001991	0.012585	-86.326198	4.249628	-14.294296
53892		-0.702391	-9.728240	0.675247	-0.007790	0.005504	0.014898	-86.326755	4.257522	-14.298143
53893		-0.739942	-9.750393	0.632016	-0.012816	0.002849	0.014335	-86.330077	4.264869	-14.300486
53894		-0.697161	-9.790617	0.628438	-0.009299	-0.001245	0.013668	-86.331213	4.271809	-14.300508
53895		-0.732712	-9.826740	0.605653	-0.000814	-0.000631	0.012804	-86.327514	4.278153	-14.300912
53896		-0.725245	-9.773171	0.612872	0.007612	0.002039	0.011181	-86.319110	4.283791	-14.302910
53897		-0.755016	-9.789511	0.604945	0.012858	0.006576	0.003649	-86.307911	4.285165	-14.307783
53898		-0.772144	-9.780410	0.644040	0.014149	0.001099	0.004945	-86.295739	4.287203	-14.309467
53899		-0.715850	-9.733372	0.643810	0.024879	0.001948	-0.007081	-86.277485	4.282274	-14.312084
53900		-0.715289	-9.733283	0.645766	0.015341	-0.001412	-0.004476	-86.264548	4.278831	-14.312685
53901		-0.731491	-9.724247	0.684585	0.005425	-0.001632	-0.005253	-86.257282	4.274814	-14.313183
53902		-0.717759	-9.766999	0.653572	-0.000517	-0.001946	-0.003728	-86.253404	4.271779	-14.313448
53903		-0.691844	-9.784284	0.669027	0.000914	-0.002338	-0.002086	-86.248683	4.269547	-14.313424
53904		-0.712022	-9.747316	0.666747	-0.006400	-0.004315	-0.001441	-86.248067	4.267728	-14.312246
53905		-0.695378	-9.756340	0.628557	-0.002166	-0.003436	0.002724	-86.245051	4.268205	-14.311411
53906		-0.716062	-9.781051	0.672552	-0.004848	0.001523	0.009742	-86.243763	4.272996	-14.313157
53907		-0.713119	-9.747322	0.665483	-0.006200	-0.001287	-0.000338	-86.243159	4.271802	-14.313670
53908		-0.720368	-9.753096	0.631317	-0.011824	-0.002684	0.003811	-86.245703	4.273043	-14.313229
53909		-0.723924	-9.786898	0.636614	-0.013572	-0.001210	-0.000456	-86.249326	4.271785	-14.313791
53910		-0.747363	-9.783735	0.639882	-0.011864	-0.001774	-0.006148	-86.251961	4.267365	-14.314245
53911		-0.712265	-9.747690	0.660993	-0.012440	-0.001664	-0.010637	-86.254945	4.260269	-14.314927
53912		-0.716495	-9.767561	0.646518	-0.009897	-0.001366	-0.009977	-86.256479	4.253674	-14.315763
53913		-0.737419	-9.778448	0.670033	-0.008724	-0.002732	-0.010200	-86.257286	4.246788	-14.315817
53914		-0.690628	-9.771097	0.640100	-0.012638	-0.004695	-0.011746	-86.260255	4.239057	-14.314804
53915		-0.713348	-9.767996	0.643425	-0.012319	-0.005779	-0.009123	-86.262990	4.232672	-14.313070
53916		-0.710632	-9.782132	0.662523	-0.004749	-0.002826	-0.007899	-86.261506	4.227208	-14.312989
53917		-0.676571	-9.800092	0.586767	0.001570	-0.005646	-0.006040	-86.256281	4.222591	-14.311216
53918		-0.714659	-9.801919	0.649454	0.006777	-0.009159	-0.003200	-86.247914	4.219573	-14.307325
