// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
58977		9.738975	-0.641915	-0.291723	0.160126	0.015660	-0.034726	-144.432090	-88.163761	140.289445
58978		9.766257	-0.719816	-0.266332	0.179115	0.035961	-0.037132	-144.561167	-88.187836	140.522200
58979		9.544425	-0.601398	-0.458959	0.223040	0.047600	-0.038742	-144.456518	-88.219718	140.546663
58980		9.525293	-0.634898	-0.561000	0.285463	0.023793	-0.035796	-144.639344	-88.237586	140.894162
58981		9.613690	-0.615974	-0.574274	0.334546	0.001710	-0.029012	-144.821553	-88.244779	141.269535
58982		9.736409	-0.498338	-0.696234	0.409361	-0.006886	-0.026748	-145.128913	-88.245081	141.812653
58983		9.914301	0.153933	-0.176652	0.394542	-0.001293	-0.030253	-145.331439	-88.251166	142.242743
58984		10.075238	0.828319	-0.194823	0.300284	0.032541	-0.045668	-145.578377	-88.276045	142.662884
58985		10.195228	1.101921	-0.097668	0.164834	0.035587	-0.055772	-145.931937	-88.307704	143.112393
58986		10.284453	0.834176	-0.193790	0.049902	0.034500	-0.052653	-146.444944	-88.335736	143.655172
58987		10.118076	0.230011	-0.278071	0.003171	0.064509	-0.053634	-146.569066	-88.380360	143.782469
58988		9.870152	-0.270958	-0.292339	-0.016967	0.080403	-0.050918	-146.609028	-88.429786	143.813664
58989		9.662703	-0.587026	-0.329048	-0.010261	0.077941	-0.054745	-146.614535	-88.481180	143.814599
58990		9.476020	-0.858599	-0.391605	0.041658	0.064330	-0.065872	-147.096662	-88.527546	144.321721
58991		9.325294	-1.094319	-0.625477	0.129312	0.045535	-0.067195	-147.681299	-88.567140	144.981968
58992		9.196868	-1.013284	-0.613633	0.321368	0.016663	-0.054384	-148.418497	-88.586426	145.904555
58993		9.422008	-0.333755	0.019717	0.368297	0.000476	-0.041740	-148.961996	-88.595992	146.660608
58994		9.718097	0.572124	0.149414	0.315023	0.017564	-0.055192	-149.739724	-88.615356	147.620103
58995		10.051717	1.121127	0.132055	0.159646	0.024594	-0.077054	-150.884833	-88.646420	148.858343
58996		10.228215	1.084554	0.056801	0.022711	0.021906	-0.082109	-152.436482	-88.674511	150.424415
58997		10.145841	0.537416	-0.000515	-0.056550	0.042516	-0.070437	-153.473066	-88.711600	151.430167
58998		9.905122	-0.171255	-0.177944	-0.067697	0.043742	-0.051868	-154.263251	-88.742012	152.182727
58999		9.697897	-0.754603	-0.369674	-0.013604	0.039717	-0.045415	-154.808721	-88.770840	152.721836
59000		9.593287	-0.972624	-0.411595	0.061244	0.029695	-0.047274	-155.634410	-88.792413	153.583799
59001		9.485806	-0.979400	-0.418921	0.123566	0.026123	-0.050569	-156.439276	-88.815008	154.460961
59002		9.388809	-1.079603	-1.091514	0.276575	0.005492	-0.052955	-157.601041	-88.824398	155.782480
59003		9.419990	-0.563142	-0.393126	0.452318	-0.027701	-0.027247	-158.225880	-88.812778	156.667973
59004		9.711750	0.407373	0.088297	0.394650	-0.011608	-0.021031	-158.666757	-88.805496	157.336131
59005		10.033418	1.191583	0.017332	0.256000	0.020131	-0.041690	-159.288145	-88.822090	158.105668
59006		10.267192	1.527618	-0.141155	0.094308	0.017280	-0.058080	-160.607342	-88.837398	159.480197
59007		10.305807	1.219626	-0.198627	-0.049155	0.035775	-0.058840	-161.779806	-88.865018	160.626034
59008		10.064681	0.568600	-0.172800	-0.123558	0.060597	-0.054634	-162.851368	-88.902323	161.627984
59009		9.766190	-0.094030	-0.325416	-0.123012	0.054237	-0.053468	-163.876966	-88.938307	162.584579
59010		9.632485	-0.520023	-0.390847	-0.084928	0.052715	-0.040822	-164.715341	-88.968459	163.375418
59011		9.489068	-0.726199	-0.484075	-0.020855	0.046804	-0.042460	-165.521412	-88.998139	164.170971
59012		9.367537	-0.702961	-0.495317	0.088420	0.030057	-0.039068	-166.471711	-89.014955	165.173088
59013		9.405159	-0.381755	-0.226729	0.175140	0.009234	-0.034055	-167.258254	-89.022132	166.061416
59014		9.540705	-0.095400	-0.126935	0.220459	0.005835	-0.032232	-168.120332	-89.023991	167.050969
59015		9.662009	0.189514	0.002728	0.214140	-0.000423	-0.036781	-169.056767	-89.025593	168.111558
59016		9.859128	0.527445	-0.020511	0.143551	0.011830	-0.050511	-170.543254	-89.032109	169.681541
59017		9.934908	0.584136	-0.171600	0.053507	0.021045	-0.056855	-172.159105	-89.046730	171.329587
