// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
07932		9.615998	-1.696882	0.018413	-0.027636	0.000929	0.054438	-87.240536	-81.694660	30.011221
07933		9.593214	-1.649297	0.000171	-0.019607	0.003807	0.050543	-87.265811	-81.665394	30.024985
07934		9.539303	-1.612405	-0.078600	-0.013122	-0.001114	0.046302	-87.304022	-81.638736	30.055603
07935		9.533262	-1.602850	-0.098317	-0.007321	-0.000976	0.042015	-87.338980	-81.614477	30.086271
07936		9.526969	-1.546027	-0.145760	0.008762	0.002386	0.036801	-87.349151	-81.593136	30.101221
07937		9.522861	-1.624374	-0.227954	0.000678	0.009073	0.030376	-87.338342	-81.575270	30.090260
07938		9.599009	-1.809967	-0.193670	0.021185	0.006699	0.019418	-87.321803	-81.563744	30.085402
07939		9.654453	-2.082045	-0.092531	0.069084	0.007303	0.002733	-87.273720	-81.561745	30.076381
07940		9.730707	-2.218356	-0.084236	0.128317	0.008342	-0.006030	-87.185047	-81.564678	30.060647
07941		9.714499	-2.178409	-0.078482	0.189046	0.011546	-0.017687	-87.047914	-81.574237	30.031087
07942		9.604132	-1.968069	0.102858	0.231893	0.011193	-0.033664	-86.883235	-81.592798	29.998502
07943		9.563858	-1.738695	0.184864	0.224581	0.006686	-0.041777	-86.738910	-81.616270	29.982257
07944		9.653949	-1.587014	0.114361	0.180505	0.003255	-0.046246	-86.630875	-81.642219	29.977166
07945		9.798169	-1.472520	0.002266	0.155983	0.005090	-0.047834	-86.529920	-81.669199	29.965032
07946		9.814142	-1.414996	0.007146	0.150087	0.016832	-0.056503	-86.382991	-81.700520	29.903020
07947		9.739604	-1.412404	0.090237	0.147635	0.024892	-0.060298	-86.204860	-81.733884	29.808065
07948		9.638877	-1.388223	0.103844	0.144990	0.019771	-0.069419	-86.044077	-81.772425	29.729114
07949		9.627883	-1.357495	0.187546	0.149089	0.011024	-0.064416	-85.916792	-81.808626	29.686390
07950		9.514184	-1.216638	0.222133	0.157093	0.009108	-0.063090	-85.791313	-81.843941	29.650126
07951		9.484747	-1.008597	0.218059	0.144787	0.000312	-0.058426	-85.709679	-81.877149	29.651036
07952		9.610482	-0.857231	0.223072	0.110627	-0.004798	-0.052102	-85.668797	-81.906800	29.673341
07953		9.741432	-0.672536	0.158116	0.064859	-0.003007	-0.045060	-85.650033	-81.932515	29.691496
07954		9.785381	-0.679452	0.078950	0.010908	0.004393	-0.035008	-85.634315	-81.952072	29.681514
07955		9.756359	-0.732824	-0.071181	-0.017464	0.009743	-0.034989	-85.614242	-81.971478	29.650711
07956		9.756577	-0.776957	0.018593	-0.028877	0.011468	-0.027575	-85.594870	-81.986555	29.614023
07957		9.815944	-0.873861	0.147968	-0.031371	0.011451	-0.014074	-85.582185	-81.993935	29.582636
07958		9.876413	-1.017358	0.247321	-0.008262	0.023963	0.001605	-85.509306	-81.991845	29.503850
07959		9.759623	-1.100446	0.346066	-0.001856	0.013286	0.012186	-85.480584	-81.984136	29.473346
07960		9.599761	-1.078081	0.285689	-0.021612	0.005053	0.019949	-85.497858	-81.972443	29.477881
07961		9.569594	-0.877703	0.219215	-0.060849	0.002779	0.031210	-85.551533	-81.954339	29.496452
07962		9.627994	-0.839359	0.140474	-0.124747	0.005113	0.036729	-85.632573	-81.933096	29.505713
07963		9.666075	-0.840305	0.040559	-0.189736	0.007747	0.036015	-85.741099	-81.912026	29.505100
07964		9.653192	-0.986005	-0.023353	-0.220779	0.013572	0.030162	-85.840668	-81.894233	29.477506
07965		9.546329	-1.216742	-0.120641	-0.234908	0.020485	0.026512	-85.920773	-81.878069	29.422041
07966		9.486433	-1.475199	-0.099820	-0.222825	0.008947	0.024407	-86.038230	-81.863793	29.411332
07967		9.535445	-1.595560	-0.045619	-0.182825	-0.003315	0.023616	-86.182536	-81.850241	29.450864
07968		9.609651	-1.644183	0.020271	-0.143832	-0.011972	0.022366	-86.337350	-81.837900	29.523610
07969		9.769603	-1.669290	0.018946	-0.101463	0.003588	0.014322	-86.404641	-81.829387	29.532434
07970		9.778341	-1.607080	0.059735	-0.076090	-0.000513	0.023328	-86.474892	-81.816024	29.558962
07971		9.818283	-1.485399	0.073737	-0.061707	0.009964	0.028666	-86.497430	-81.799081	29.545586
07972		9.687788	-1.360099	0.076537	-0.077800	0.008974	0.031276	-86.532776	-81.780820	29.535858
07973		9.607675	-1.398023	0.103016	-0.109487	-0.008825	0.028579	-86.656827	-81.764571	29.597389
07974		9.687893	-1.458742	0.129004	-0.117949	-0.014861	0.015274	-86.805283	-81.756247	29.678707
07975		9.683239	-1.539764	0.162983	-0.134297	-0.005858	0.006094	-86.926307	-81.752727	29.722818
07976		9.599632	-1.653003	0.165239	-0.149597	0.002773	0.003180	-87.020396	-81.750727	29.730880
07977		9.516957	-1.714723	0.019753	-0.134852	-0.003689	0.010132	-87.133867	-81.744810	29.767039
07978		9.507239	-1.732532	-0.053659	-0.097148	-0.012592	0.010582	-87.259859	-81.738966	29.837700
07979		9.570193	-1.659322	-0.082787	-0.062193	-0.022840	0.006203	-87.406230	-81.735784	29.949172
07980		9.666142	-1.712991	-0.027210	-0.031859	-0.024510	0.003514	-87.540416	-81.734202	30.065912
07981		9.666811	-1.710259	-0.088865	-0.020258	-0.005824	-0.006233	-87.593502	-81.737661	30.107400
07982		9.633529	-1.681073	0.000755	-0.011032	-0.010186	-0.014095	-87.656553	-81.745741	30.164311
07983		9.687493	-1.718618	0.018866	0.000943	-0.002811	-0.019023	-87.683658	-81.756441	30.191819
07984		9.617935	-1.685718	0.029118	-0.000943	-0.004085	-0.019054	-87.716284	-81.767175	30.223822
07985		9.591442	-1.664122	0.019103	0.026138	-0.012885	-0.023253	-87.768359	-81.780519	30.291143
07986		9.564553	-1.595213	-0.018664	0.047373	-0.009060	-0.027619	-87.791968	-81.796230	30.342001
07987		9.585017	-1.506652	-0.024709	0.054523	-0.006243	-0.036283	-87.799729	-81.816878	30.380977
07988		9.641993	-1.420101	0.049496	0.053798	-0.004395	-0.042164	-87.799189	-81.840793	30.411150
07989		9.626541	-1.374560	-0.008950	0.038704	-0.012209	-0.044977	-87.838838	-81.866547	30.473179
07990		9.574586	-1.375130	-0.060746	0.022029	-0.020652	-0.055875	-87.920188	-81.898651	30.567678
07991		9.617837	-1.383481	-0.023163	0.019449	-0.030470	-0.059896	-88.043363	-81.933291	30.702918
07992		9.608524	-1.446422	0.051571	0.042230	-0.023610	-0.058760	-88.126410	-81.967054	30.810804
07993		9.597432	-1.418397	0.130485	0.057520	-0.026633	-0.052583	-88.215052	-81.997373	30.933177
07994		9.612302	-1.264655	0.014926	0.037270	-0.026911	-0.055525	-88.316401	-82.029285	31.056657
07995		9.665488	-1.204595	-0.024435	0.012245	-0.022945	-0.053091	-88.417511	-82.059776	31.165408
07996		9.682170	-1.191735	-0.055729	0.004722	-0.016849	-0.046677	-88.498840	-82.086421	31.249829
07997		9.657771	-1.259017	-0.070172	0.017725	-0.015433	-0.048637	-88.567683	-82.114207	31.329158
07998		9.611903	-1.320681	-0.074171	0.038118	-0.013214	-0.046802	-88.615921	-82.140858	31.399479
07999		9.616703	-1.285332	-0.023795	0.063468	-0.015699	-0.048870	-88.660559	-82.168761	31.480821
08000		9.578829	-1.236742	-0.012960	0.067457	-0.012767	-0.038924	-88.691708	-82.190883	31.550850
08001		9.525268	-1.194375	-0.032484	0.066431	-0.017182	-0.040003	-88.742460	-82.213711	31.640068
08002		9.523930	-1.097377	-0.089632	0.053423	-0.013002	-0.034781	-88.783697	-82.233459	31.712156
08003		9.642047	-1.103098	-0.129873	0.029486	-0.015037	-0.029350	-88.848269	-82.250138	31.793949
08004		9.760631	-1.157891	-0.081881	0.026524	-0.004737	-0.029122	-88.871244	-82.266556	31.832048
08005		9.834387	-1.323173	-0.067079	0.022300	0.006376	-0.036614	-88.849342	-82.287143	31.822414
08006		9.753432	-1.479329	-0.032303	0.025313	0.010763	-0.042450	-88.806414	-82.311028	31.793307
08007		9.660214	-1.563347	-0.004807	0.027866	0.009369	-0.044950	-88.767598	-82.336352	31.769825
08008		9.635300	-1.584229	-0.044329	0.045137	0.008767	-0.048277	-88.720867	-82.363571	31.748341
08009		9.710125	-1.528680	-0.150219	0.049844	0.006672	-0.038283	-88.681202	-82.385107	31.736710
08010		9.808992	-1.403618	-0.183400	0.068979	0.012974	-0.038339	-88.603390	-82.406544	31.697650
08011		9.779455	-1.291683	-0.127613	0.088140	0.016896	-0.035807	-88.497577	-82.426509	31.641424
08012		9.744760	-1.164222	-0.150446	0.094539	0.027984	-0.038712	-88.339636	-82.447898	31.536306
08013		9.668495	-1.120582	-0.036222	0.087162	0.030384	-0.036675	-88.174845	-82.468087	31.420028
08014		9.719967	-1.066018	0.049343	0.079488	0.028939	-0.032411	-88.020935	-82.485788	31.310288
08015		9.757860	-1.061109	0.013560	0.067221	0.031309	-0.021330	-87.864590	-82.497088	31.191013
08016		9.811206	-1.050888	0.008186	0.063634	0.033909	-0.016669	-87.699700	-82.505610	31.061044
08017		9.821868	-1.028411	-0.037098	0.063197	0.031391	-0.007494	-87.547073	-82.508901	30.943198
08018		9.770538	-0.912004	-0.030211	0.057683	0.040709	-0.002225	-87.358331	-82.508913	30.785737
08019		9.694723	-0.868603	-0.035225	0.053294	0.041705	0.008654	-87.169732	-82.502583	30.625885
08020		9.681979	-0.798096	-0.038884	0.046479	0.042768	0.015089	-86.982603	-82.492534	30.463575
08021		9.760406	-0.766209	-0.002657	0.042971	0.043897	0.030741	-86.796421	-82.473364	30.300188
08022		9.820445	-0.819631	-0.018186	0.033203	0.052891	0.039935	-86.580711	-82.448678	30.101365
08023		9.758643	-0.896116	-0.045347	0.017616	0.051967	0.035949	-86.377703	-82.426093	29.906332
08024		9.782988	-0.875318	0.060296	-0.001016	0.049057	0.035211	-86.199315	-82.404116	29.725363
08025		9.781481	-1.049780	0.100976	-0.020900	0.059069	0.041594	-85.991961	-82.377855	29.503660
08026		9.723128	-1.095822	0.124193	-0.026254	0.050925	0.056591	-85.828944	-82.343461	29.323591
08027		9.740229	-1.186742	0.156816	-0.006041	0.048886	0.062212	-85.665865	-82.305675	29.155119
08028		9.733108	-1.181393	0.201580	-0.010974	0.048870	0.071256	-85.510699	-82.262874	28.991777
08029		9.708215	-1.091529	0.218105	-0.041752	0.047062	0.074594	-85.383145	-82.217982	28.838476
08030		9.700352	-1.040769	0.233440	-0.064325	0.045325	0.078120	-85.278835	-82.171345	28.695580
08031		9.669674	-1.059370	0.116634	-0.087420	0.045822	0.085635	-85.189452	-82.120131	28.554362
08032		9.628004	-1.099394	0.048803	-0.107822	0.049209	0.086958	-85.100019	-82.068225	28.401294
08033		9.676015	-1.084910	-0.035905	-0.127526	0.050790	0.094182	-85.019350	-82.011828	28.245636
08034		9.648561	-1.121364	-0.013574	-0.144019	0.056278	0.097052	-84.928899	-81.953768	28.070556
08035		9.665699	-1.214239	-0.042501	-0.137519	0.046577	0.098065	-84.875620	-81.895310	27.936735
08036		9.697943	-1.301581	-0.041354	-0.108284	0.049337	0.103544	-84.798359	-81.833865	27.795611
08037		9.649865	-1.377600	-0.040842	-0.081613	0.052638	0.103095	-84.693972	-81.772169	27.642477
08038		9.642098	-1.376123	0.003367	-0.063311	0.051586	0.106139	-84.586757	-81.709058	27.497077
08039		9.671114	-1.375252	0.068492	-0.055463	0.053359	0.111837	-84.471787	-81.642254	27.348340
08040		9.704976	-1.295410	0.097149	-0.040425	0.056358	0.119909	-84.342364	-81.570943	27.193695
08041		9.666454	-1.353815	0.109751	-0.050059	0.061656	0.124780	-84.202013	-81.496190	27.022374
08042		9.602425	-1.390610	0.052930	-0.055921	0.063892	0.126470	-84.060432	-81.420598	26.846397
08043		9.568851	-1.415911	0.057035	-0.055258	0.063589	0.121378	-83.919857	-81.347544	26.671768
08044		9.573466	-1.439175	0.022019	-0.058383	0.061581	0.124630	-83.793003	-81.273019	26.509195
08045		9.581540	-1.478791	0.066345	-0.057222	0.065493	0.127229	-83.654092	-81.196392	26.335042
08046		9.580696	-1.535500	0.040329	-0.053140	0.069464	0.127708	-83.501863	-81.119491	26.149758
08047		9.599822	-1.600551	0.064696	-0.030548	0.068630	0.126878	-83.341729	-81.042719	25.969521
08048		9.619326	-1.618844	0.061279	-0.025096	0.070469	0.128141	-83.175979	-80.965337	25.786732
08049		9.601057	-1.592205	0.068747	-0.020173	0.068914	0.130140	-83.016128	-80.886533	25.612724
08050		9.677836	-1.573514	0.108698	-0.019882	0.073556	0.136391	-82.846117	-80.804070	25.428567
08051		9.618249	-1.624060	0.072058	-0.020266	0.066485	0.132762	-82.701765	-80.723798	25.270127
08052		9.601891	-1.594905	0.019131	-0.004012	0.055694	0.125216	-82.585299	-80.648843	25.149357
