// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
07932		9.469772	-1.737492	-1.672466	-0.102350	0.021521	0.074053	-139.722337	-77.691783	163.430652
07933		9.443618	-1.765964	-1.637635	-0.087831	0.015948	0.068725	-139.592908	-77.675498	163.244315
07934		9.413595	-1.753058	-1.612883	-0.070898	0.006291	0.060257	-139.487290	-77.658359	163.092371
07935		9.467099	-1.751518	-1.672966	-0.061146	0.012032	0.049209	-139.388798	-77.647489	162.953333
07936		9.442421	-1.806139	-1.759260	-0.061459	0.017573	0.040315	-139.298545	-77.642556	162.822635
07937		9.453960	-1.975042	-1.793101	-0.058717	0.031626	0.025548	-139.212341	-77.648945	162.697597
07938		9.444930	-2.191801	-1.839861	-0.038734	0.030366	0.020653	-139.125978	-77.656789	162.584209
07939		9.463974	-2.397696	-1.789854	-0.016795	0.037679	0.004887	-139.045992	-77.673473	162.490133
07940		9.407807	-2.554159	-1.623890	0.006872	0.025196	0.000708	-138.981309	-77.686433	162.425680
07941		9.402260	-2.604772	-1.522341	0.067133	-0.010519	-0.000881	-138.947387	-77.684414	162.427980
07942		9.448087	-2.534254	-1.542894	0.148301	-0.037535	-0.003756	-138.918120	-77.671861	162.482721
07943		9.519612	-2.322618	-1.586587	0.229224	-0.048821	-0.003755	-138.862983	-77.654390	162.558371
07944		9.570504	-2.101430	-1.637931	0.310838	-0.054777	-0.007686	-138.777648	-77.635843	162.651059
07945		9.662546	-1.843710	-1.668904	0.378088	-0.060806	-0.006898	-138.664035	-77.614448	162.754175
07946		9.662404	-1.626254	-1.588490	0.420341	-0.053123	-0.010186	-138.517872	-77.597602	162.848831
07947		9.629959	-1.393934	-1.557287	0.431130	-0.053477	-0.016895	-138.380861	-77.583253	162.959121
07948		9.609208	-1.223442	-1.492695	0.418667	-0.061238	-0.025927	-138.280376	-77.569016	163.099562
07949		9.539277	-1.067515	-1.475611	0.380015	-0.058347	-0.035722	-138.217567	-77.559852	163.255857
07950		9.435748	-0.924590	-1.392162	0.306659	-0.059016	-0.041219	-138.206957	-77.552497	163.422660
07951		9.484672	-0.848506	-1.346750	0.243109	-0.080357	-0.034352	-138.257704	-77.533413	163.614929
07952		9.679483	-0.718114	-1.534995	0.215368	-0.079070	-0.017230	-138.287241	-77.508336	163.769279
07953		9.754524	-0.580033	-1.700085	0.187049	-0.031667	-0.011635	-138.241838	-77.501383	163.830195
07954		9.721845	-0.509403	-1.745222	0.145763	0.001483	-0.002040	-138.143350	-77.505005	163.812597
07955		9.647664	-0.444331	-1.688065	0.103863	0.010327	-0.007352	-138.064941	-77.514359	163.790888
07956		9.722172	-0.405625	-1.677772	0.058336	-0.001765	-0.013084	-138.043728	-77.520866	163.801120
07957		9.812942	-0.394911	-1.675542	0.001092	-0.011843	-0.022292	-138.091296	-77.526488	163.848127
07958		9.875102	-0.455834	-1.772829	-0.078353	-0.004505	-0.033934	-138.193789	-77.539861	163.904893
07959		9.751173	-0.578219	-1.773223	-0.175304	0.011747	-0.063616	-138.381982	-77.571288	163.992404
07960		9.536107	-0.733784	-1.660537	-0.243626	0.002988	-0.084549	-138.665991	-77.607034	164.137970
