// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
07932		9.834189	-0.114385	0.260064	-0.521444	0.097925	-0.067503	-42.345284	-86.522469	136.281541
07933		9.862876	-0.528500	-0.144095	-0.481825	0.100330	-0.079233	-41.470135	-86.510692	135.129482
07934		9.924288	-0.784989	-0.076845	-0.452998	0.100575	-0.102422	-40.438653	-86.504932	133.837317
07935		10.025555	-0.744298	-0.022801	-0.567887	0.118655	-0.128387	-39.162160	-86.500558	132.233762
07936		10.117218	-0.656910	-0.249762	-0.729007	0.150362	-0.147722	-37.678671	-86.485102	130.330284
07937		10.098671	-0.687538	-0.019470	-0.926459	0.155312	-0.170765	-36.104317	-86.473553	128.222451
07938		9.937635	-0.218080	0.494472	-1.155670	0.159537	-0.197981	-34.464570	-86.464093	125.917444
07939		9.674346	0.094358	0.566886	-1.365753	0.087631	-0.193985	-33.329238	-86.485390	123.997291
07940		9.565545	0.360398	0.263150	-1.369524	0.003484	-0.183765	-32.702428	-86.540860	122.584451
07941		9.072726	1.280614	0.225169	-1.280001	-0.054989	-0.189030	-32.222068	-86.626614	121.369880
07942		8.581448	2.155765	-0.237529	-1.364556	-0.177073	-0.164624	-32.625699	-86.762632	120.992315
07943		8.648425	2.210635	-0.827773	-1.568640	-0.266174	-0.088479	-34.315726	-86.918922	121.786121
07944		9.218853	2.063479	-0.232165	-1.830646	-0.243254	0.013268	-37.083105	-87.027290	123.508284
07945		9.975604	1.868795	1.101992	-2.088270	-0.144364	0.098251	-40.164225	-87.057897	125.396778
07946		10.461835	1.275281	2.130946	-2.172789	-0.030995	0.134155	-42.813629	-87.019541	126.804409
