// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
39282		9.367616	1.056305	-2.439846	0.066884	-0.011010	0.037384	156.353374	-74.451616	3.776411
39283		9.416406	1.048453	-2.417408	0.045240	-0.017172	0.033744	156.467679	-74.449745	3.687252
39284		9.441246	1.092796	-2.414671	0.035476	-0.024403	0.028547	156.571713	-74.442737	3.602139
39285		9.440624	1.065185	-2.419931	0.034393	-0.025246	0.024140	156.668050	-74.434336	3.524733
39286		9.465249	1.105487	-2.368794	0.018208	-0.021865	0.023455	156.750340	-74.427435	3.451916
39287		9.464455	1.057049	-2.400036	-0.000122	-0.016307	0.022776	156.817165	-74.423392	3.385531
39288		9.439663	1.031140	-2.403640	-0.001134	-0.006377	0.018933	156.867217	-74.423585	3.334674
39289		9.414927	1.002807	-2.382488	-0.001136	-0.006488	0.021072	156.921990	-74.424265	3.278964
39290		9.438666	0.949348	-2.363930	0.004258	-0.007617	0.021292	156.980595	-74.424308	3.222435
39291		9.438632	0.949652	-2.389396	0.006356	-0.016369	0.023097	157.051585	-74.420199	3.154806
39292		9.414018	0.947829	-2.391058	0.009593	-0.017256	0.018925	157.116452	-74.414592	3.094947
39293		9.389481	0.953603	-2.465637	0.011752	-0.017388	0.021171	157.187531	-74.409459	3.029931
39294		9.414017	0.969868	-2.416244	0.027979	-0.014428	0.024299	157.270772	-74.406497	2.961931
39295		9.438880	0.995645	-2.463466	0.032379	-0.003806	0.027203	157.354245	-74.409842	2.896382
39296		9.414638	0.987717	-2.415353	0.020518	-0.000562	0.028898	157.430974	-74.415175	2.830707
39297		9.414933	0.984776	-2.415402	0.001089	0.001795	0.028019	157.493817	-74.421631	2.768474
39298		9.414873	0.960447	-2.442068	0.000001	0.000839	0.025768	157.551838	-74.426979	2.710019
39299		9.415034	0.953261	-2.393497	-0.002174	-0.001074	0.021270	157.602326	-74.430400	2.658597
39300		9.390649	0.952185	-2.393972	-0.019544	-0.011444	0.015566	157.639418	-74.426988	2.610246
39301		9.390521	0.958623	-2.468067	0.000940	-0.016834	0.012051	157.686237	-74.419980	2.563062
39302		9.415877	1.027175	-2.437762	0.016100	-0.012688	0.013033	157.739851	-74.415338	2.518757
39303		9.391428	1.026112	-2.438509	0.010798	-0.000667	0.011230	157.778204	-74.416748	2.487112
39304		9.416432	1.048701	-2.435865	0.014104	0.006950	0.009641	157.808951	-74.421772	2.465359
39305		9.367551	1.023743	-2.437605	0.009815	0.010980	0.016054	157.847054	-74.430390	2.433771
39306		9.392380	1.026921	-2.485382	0.006550	0.008111	0.009313	157.871989	-74.435952	2.413559
39307		9.417386	1.042567	-2.409340	-0.012913	0.006173	0.008225	157.885869	-74.440324	2.393470
39308		9.391856	0.967633	-2.391880	-0.036716	0.002238	0.004666	157.881725	-74.441764	2.377712
39309		9.416449	0.967453	-2.391078	-0.037753	0.007418	0.009154	157.882199	-74.447020	2.357162
