// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
39282		9.531888	-1.130960	-2.005896	0.033861	-0.018543	-0.021861	-150.401737	-76.344924	156.405553
39283		9.492298	-1.174672	-2.005079	0.038802	-0.016422	-0.018027	-150.425489	-76.344736	156.450190
39284		9.524957	-1.149028	-1.996588	0.034389	-0.023187	-0.017247	-150.457437	-76.340994	156.500669
39285		9.498488	-1.152405	-2.020288	0.027945	-0.020616	-0.020032	-150.496378	-76.339270	156.554537
39286		9.544423	-1.085796	-2.035803	0.023330	-0.013493	-0.022946	-150.535093	-76.341954	156.605545
39287		9.494073	-1.078090	-2.005155	0.015235	-0.014633	-0.023573	-150.581654	-76.344194	156.659761
39288		9.496980	-1.064410	-1.985069	0.015535	-0.012614	-0.024118	-150.626273	-76.347637	156.712048
39289		9.479467	-1.031737	-1.944644	0.018103	-0.017606	-0.026236	-150.680141	-76.349119	156.775473
39290		9.453086	-1.034178	-1.968332	0.010649	-0.022247	-0.024813	-150.740174	-76.347909	156.841186
39291		9.509024	-1.014585	-1.959802	0.003853	-0.023171	-0.019881	-150.795539	-76.344800	156.897749
39292		9.525587	-1.039979	-1.949055	-0.004704	-0.019970	-0.020525	-150.852880	-76.343508	156.951413
39293		9.546520	-1.060108	-2.025871	-0.005460	-0.017630	-0.020001	-150.907432	-76.343180	157.001649
39294		9.550026	-1.049514	-2.060751	-0.008390	-0.014338	-0.021936	-150.963343	-76.345085	157.051521
