// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
45786		-0.540878	-9.777411	0.874739	-0.010781	0.001828	0.004814	-84.675431	3.030695	146.864525
45787		-0.521733	-9.722294	0.924208	-0.008086	-0.005546	0.001025	-84.675811	3.030035	146.866266
45788		-0.543881	-9.758577	0.924065	-0.010697	-0.002031	0.006494	-84.677754	3.032993	146.866664
45789		-0.543565	-9.759812	0.888595	-0.009433	-0.001860	0.002920	-84.679012	3.033609	146.866400
45790		-0.568244	-9.761678	0.887197	-0.009555	0.000990	0.004033	-84.680497	3.035299	146.866475
45791		-0.520707	-9.756973	0.921774	-0.008288	-0.001776	0.004090	-84.681099	3.036588	146.866226
45792		-0.546199	-9.742195	0.902763	-0.005880	-0.001520	0.001686	-84.680298	3.036773	146.865229
45793		-0.544634	-9.775502	0.937804	-0.008166	-0.004627	0.002978	-84.680746	3.037276	146.866550
45794		-0.519935	-9.774902	0.903094	-0.006040	0.000321	0.005591	-84.680215	3.039790	146.866972
45795		-0.547179	-9.742339	0.900618	-0.010535	-0.003876	0.002590	-84.682044	3.040112	146.867842
45796		-0.522428	-9.757239	0.917976	-0.009550	-0.001952	0.007666	-84.683373	3.043703	146.868523
45797		-0.546660	-9.760235	0.882021	-0.010736	-0.000107	0.005657	-84.685423	3.045975	146.867403
45798		-0.549568	-9.741386	0.932079	-0.011839	-0.002122	0.005327	-84.688243	3.048240	146.871009
45799		-0.546749	-9.777006	0.897799	-0.008286	-0.001780	0.004092	-84.688843	3.049530	146.870762
45800		-0.571477	-9.778848	0.896528	-0.008286	-0.001780	0.004092	-84.689482	3.050896	146.868495
45801		-0.548444	-9.760454	0.878481	-0.005876	-0.004462	0.005318	-84.688616	3.052742	146.869845
45802		-0.550386	-9.742714	0.894583	-0.005879	-0.001522	0.001687	-84.687869	3.053020	146.870914
45803		-0.524519	-9.758755	0.877703	-0.008289	0.001160	0.000462	-84.688571	3.052395	146.868795
45804		-0.550756	-9.742819	0.893213	-0.005876	-0.004463	0.005318	-84.687700	3.054480	146.870143
45805		-0.549505	-9.760634	0.875822	-0.009430	-0.001866	0.002923	-84.688957	3.055098	146.869883
45806		-0.523674	-9.792212	0.911051	-0.009430	-0.001867	0.002923	-84.690054	3.056014	146.867485
45807		-0.526484	-9.757848	0.909136	-0.005958	-0.000604	0.003641	-84.689357	3.057109	146.866542
45808		-0.576500	-9.744815	0.889555	-0.010733	-0.000113	0.005660	-84.691404	3.059713	146.866809
45809		-0.552754	-9.743082	0.889102	-0.008323	-0.002796	0.006885	-84.691986	3.062542	146.867290
45810		-0.552293	-9.759785	0.906142	-0.008205	-0.002703	0.002140	-84.692460	3.063049	146.868293
45811		-0.551934	-9.760942	0.870843	-0.008363	-0.000866	0.006047	-84.693127	3.065503	146.867628
45812		-0.553886	-9.758794	0.938922	-0.010652	-0.001034	0.003708	-84.694980	3.066862	146.864585
45813		-0.528235	-9.774851	0.921741	-0.009428	-0.001869	0.002925	-84.696235	3.067481	146.864327
45814		-0.552181	-9.777774	0.886035	-0.005915	-0.002537	0.004480	-84.695540	3.069233	146.866453
45815		-0.555085	-9.743384	0.884326	-0.005915	-0.002538	0.004480	-84.694757	3.070705	146.866659
45816		-0.529416	-9.774970	0.919804	-0.007180	0.000228	0.004426	-84.694866	3.072595	146.867087
45817		-0.530715	-9.758363	0.901121	-0.010610	-0.002967	0.004547	-84.696760	3.074082	146.867543
45818		-0.531083	-9.758427	0.900205	-0.008324	0.000144	0.003257	-84.697418	3.075327	146.866544
45819		-0.555896	-9.760257	0.898817	-0.010688	-0.002050	0.006501	-84.699380	3.077977	146.866579
45820		-0.553795	-9.794766	0.898732	-0.014203	0.001562	0.001318	-84.703553	3.078140	146.865704
45821		-0.532153	-9.758682	0.896807	-0.011753	-0.003053	0.003378	-84.706103	3.078956	146.866146
45822		-0.532438	-9.758760	0.895786	-0.009426	-0.001873	0.002926	-84.707308	3.079736	146.864115
45823		-0.581373	-9.762370	0.893899	-0.010529	-0.003888	0.002594	-84.709133	3.080060	146.864993
45824		-0.532203	-9.775590	0.911568	-0.011790	-0.004070	0.006170	-84.711516	3.082780	146.865942
45825		-0.534413	-9.757907	0.927300	-0.008319	-0.002807	0.006888	-84.712095	3.085611	146.866429
45826		-0.558574	-9.760772	0.891545	-0.008240	-0.003724	0.004934	-84.712672	3.087410	146.866955
45827		-0.583321	-9.762594	0.890174	-0.010648	-0.001042	0.003713	-84.714649	3.088523	146.866266
45828		-0.535984	-9.758065	0.924728	-0.007293	0.000123	0.009175	-84.714587	3.092992	146.861720
45829		-0.536772	-9.758104	0.923863	-0.010644	-0.003990	0.007341	-84.716461	3.096019	146.862907
45830		-0.535972	-9.760257	0.853763	-0.011948	0.000707	0.006453	-84.719314	3.099015	146.862254
45831		-0.560723	-9.777719	0.904625	-0.008239	-0.003727	0.004934	-84.719824	3.100684	146.863163
45832		-0.537595	-9.759327	0.886484	-0.008361	0.002070	0.002425	-84.720661	3.101349	146.859739
45833		-0.533284	-9.812568	0.835431	-0.010643	-0.003993	0.007342	-84.722534	3.104377	146.860927
45834		-0.540054	-9.741698	0.901593	-0.003549	-0.000348	0.001238	-84.720393	3.104207	146.856049
45835		-0.538046	-9.776128	0.902316	-0.003742	0.000466	0.007939	-84.718448	3.107810	146.854721
45836		-0.540334	-9.758408	0.918557	-0.005990	-0.001631	0.006437	-84.717689	3.110659	146.853531
45837		-0.564659	-9.761212	0.882852	-0.009498	-0.003913	0.008512	-84.718904	3.114359	146.854736
45838		-0.566262	-9.760210	0.916555	-0.007249	-0.001817	0.010014	-84.718950	3.119338	146.856522
45839		-0.543564	-9.741801	0.898364	-0.010682	-0.002064	0.006507	-84.720907	3.121991	146.856564
45840		-0.566976	-9.761320	0.880164	-0.010641	-0.003997	0.007343	-84.722846	3.125188	146.857560
45841		-0.543260	-9.759605	0.879936	-0.003663	-0.000452	0.005985	-84.720833	3.127628	146.856653
45842		-0.543642	-9.759636	0.879366	-0.008200	-0.002713	0.002144	-84.721527	3.128060	146.860033
45843		-0.544058	-9.759663	0.878803	-0.003622	-0.002386	0.006821	-84.719428	3.130876	146.860276
45844		-0.545405	-9.758640	0.913077	-0.001296	-0.001204	0.006369	-84.715951	3.133765	146.859090
45845		-0.547582	-9.740916	0.929523	-0.004726	-0.004401	0.006488	-84.714423	3.136284	146.860467
45846		-0.569443	-9.778107	0.894939	-0.009535	-0.001985	0.007678	-84.715732	3.139981	146.862649
45847		-0.570736	-9.777160	0.928473	-0.010603	-0.002981	0.004554	-84.717621	3.141471	146.863112
45848		-0.547758	-9.758763	0.910355	-0.005987	-0.001637	0.006439	-84.716961	3.144174	146.860759
45849		-0.548436	-9.758777	0.909794	-0.005907	-0.005504	0.008111	-84.716069	3.147560	146.862851
45850		-0.573346	-9.760513	0.908896	-0.003584	-0.001369	0.004031	-84.713931	3.148948	146.859564
45851		-0.572177	-9.778242	0.891712	-0.005910	-0.002552	0.004484	-84.713144	3.150421	146.859778
45852		-0.575854	-9.742843	0.924616	-0.005946	-0.003572	0.007275	-84.712365	3.153797	146.863293
45853		-0.573230	-9.778277	0.890650	-0.004688	-0.003385	0.003698	-84.710854	3.154778	146.863942
45854		-0.575208	-9.760596	0.906822	-0.007131	-0.001720	0.005271	-84.710698	3.156919	146.861723
45855		-0.550613	-9.759876	0.872330	-0.002282	-0.006071	0.004915	-84.707721	3.158453	146.863971
45856		-0.577574	-9.742913	0.922801	-0.004728	-0.001451	0.002862	-84.706352	3.159372	146.865472
45857		-0.551381	-9.759895	0.871633	-0.003463	-0.007173	0.006538	-84.704012	3.161773	146.868435
45858		-0.576814	-9.760657	0.905149	-0.008198	-0.002715	0.002147	-84.704321	3.162154	146.866098
45859		-0.554218	-9.741266	0.921896	-0.001141	-0.003036	0.002458	-84.700792	3.162446	146.866482
45860		-0.552365	-9.759951	0.870385	-0.004723	-0.004407	0.006490	-84.699165	3.165065	146.864527
45861		-0.576242	-9.778396	0.887392	-0.002246	-0.005051	0.002124	-84.696207	3.165060	146.866045
45862		-0.578769	-9.759728	0.938332	-0.004647	-0.005321	0.004534	-84.694759	3.166523	146.867368
45863		-0.553273	-9.775741	0.921540	-0.005908	-0.002555	0.004486	-84.693971	3.167997	146.867584
45864		-0.556030	-9.741330	0.920129	-0.002361	-0.002204	0.003245	-84.691279	3.168971	146.868128
45865		-0.576773	-9.795197	0.903454	-0.008273	-0.001803	0.004105	-84.691871	3.170267	146.867894
45866		-0.556007	-9.742372	0.884451	-0.005792	-0.005403	0.003365	-84.691137	3.171130	146.871166
45867		-0.554581	-9.775865	0.919436	-0.005792	-0.005403	0.003366	-84.690196	3.171814	146.872950
45868		-0.555665	-9.759161	0.901244	-0.003506	-0.002286	0.002077	-84.688213	3.172098	146.873895
45869		-0.554278	-9.776863	0.884347	0.000080	-0.003870	0.001670	-84.683961	3.171896	146.874713
45870		-0.556787	-9.742436	0.883247	-0.002285	-0.003118	0.001289	-84.680946	3.171485	146.869130
45871		-0.578925	-9.778591	0.883491	-0.004726	-0.001454	0.002864	-84.679521	3.172092	146.868631
