// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
41280		9.452741	-1.156587	-2.170665	0.006794	0.002248	-0.010730	-151.881313	-75.240690	85.674034
41281		9.455266	-1.164326	-2.243417	0.006249	-0.004692	-0.007234	-151.887852	-75.243146	85.682997
41282		9.472130	-1.173855	-2.192642	0.008928	-0.000489	-0.009703	-151.892026	-75.248333	85.689787
41283		9.476216	-1.153652	-2.178186	0.008474	0.002276	-0.010996	-151.895637	-75.254900	85.691068
41284		9.482762	-1.141865	-2.236401	0.005342	0.000837	-0.009820	-151.900739	-75.260787	85.696692
41285		9.459678	-1.141733	-2.228807	0.006745	-0.000504	-0.012813	-151.911987	-75.266998	85.713356
41286		9.453367	-1.125821	-2.247156	0.004926	-0.001218	-0.013912	-151.927318	-75.272951	85.729310
41287		9.470324	-1.134744	-2.196292	0.003247	-0.001246	-0.013648	-151.943630	-75.278813	85.746072
41288		9.456134	-1.157514	-2.243282	0.001429	-0.001960	-0.014747	-151.963360	-75.284613	85.764500
41289		9.447320	-1.132837	-2.189271	0.001607	-0.006094	-0.016182	-151.992054	-75.288631	85.791886
41290		9.483474	-1.134383	-2.237192	0.001202	-0.000578	-0.015394	-152.011777	-75.295299	85.810173
41291		9.463047	-1.167729	-2.225374	-0.001754	0.005618	-0.019727	-152.035231	-75.306068	85.828351
41292		9.416953	-1.167654	-2.209830	0.000431	0.005635	-0.016617	-152.051433	-75.316206	85.842539
41293		9.471548	-1.125601	-2.195718	-0.004697	0.007613	-0.015105	-152.065971	-75.326908	85.851939
41294		9.451162	-1.159063	-2.183732	-0.004289	0.002097	-0.015893	-152.087146	-75.335059	85.868471
41295		9.447483	-1.176890	-2.197851	-0.004288	0.002097	-0.015893	-152.109705	-75.343049	85.884210
41296		9.468331	-1.140114	-2.209525	-0.007605	-0.002782	-0.018164	-152.142220	-75.349333	85.910499
41297		9.471139	-1.172455	-2.205381	-0.006651	0.006213	-0.017569	-152.163741	-75.359930	85.926155
41298		9.461026	-1.175356	-2.237815	0.000935	-0.001947	-0.018124	-152.190483	-75.366620	85.951532
41299		9.503758	-1.191286	-2.267204	0.005609	-0.001160	-0.020929	-152.220167	-75.374190	85.979883
41300		9.484659	-1.171075	-2.245351	0.009382	0.000956	-0.017365	-152.237676	-75.382144	86.000717
41301		9.465612	-1.151044	-2.223153	0.008835	0.005786	-0.017941	-152.252829	-75.392571	86.017849
41302		9.446616	-1.131121	-2.200658	0.010790	0.007187	-0.015478	-152.259520	-75.403178	86.028337
41303		9.426294	-1.165081	-2.188384	0.009705	0.005078	-0.012555	-152.264297	-75.411667	86.033262
41304		9.447101	-1.129065	-2.199631	0.005214	0.000155	-0.011185	-152.273044	-75.417564	86.042571
41305		9.480784	-1.122460	-2.174599	0.003490	-0.002628	-0.013002	-152.289690	-75.422745	86.063234
41306		9.453776	-1.141654	-2.181588	-0.004774	-0.002098	-0.010314	-152.304787	-75.427266	86.073191
41307		9.470606	-1.124719	-2.207666	-0.012225	-0.000830	-0.013278	-152.329703	-75.433130	86.088394
41308		9.494009	-1.122403	-2.215093	-0.012501	0.005371	-0.011126	-152.343187	-75.441655	86.092110
41309		9.473715	-1.156034	-2.202983	-0.016547	0.009452	-0.012538	-152.358600	-75.452692	86.097641
41310		9.450799	-1.155422	-2.194983	-0.012636	0.004685	-0.012491	-152.375557	-75.461231	86.104865
41311		9.457537	-1.168723	-2.176353	-0.012635	0.004685	-0.012491	-152.393492	-75.469385	86.108534
41312		9.461564	-1.147901	-2.162082	-0.013534	-0.001559	-0.011005	-152.414477	-75.474357	86.119386
41313		9.506935	-1.198267	-2.187415	-0.014220	0.002586	-0.012945	-152.437142	-75.481558	86.126965
41314		9.483754	-1.172102	-2.256706	-0.009901	-0.000125	-0.008805	-152.450285	-75.486674	86.131866
41315		9.490367	-1.185858	-2.238416	0.003538	0.000131	-0.010920	-152.458428	-75.492449	86.139529
41316		9.464668	-1.151563	-2.234783	0.003080	0.002895	-0.012213	-152.467744	-75.500001	86.148159
41317		9.458498	-1.161483	-2.176053	0.001400	0.002862	-0.011949	-152.475429	-75.507392	86.152865
41318		9.435443	-1.161363	-2.168410	0.000179	0.000067	-0.010392	-152.485739	-75.513024	86.160805
41319		9.458802	-1.159437	-2.175821	0.001630	0.001481	-0.011303	-152.494715	-75.519340	86.164645
41320		9.445940	-1.129059	-2.212307	0.003810	0.001502	-0.008191	-152.497154	-75.525119	86.166604
41321		9.479645	-1.122751	-2.186921	0.006941	0.002948	-0.009366	-152.498464	-75.531820	86.168290
41322		9.492678	-1.125676	-2.226775	0.010260	0.000262	-0.011978	-152.505944	-75.537970	86.179272
41323		9.456706	-1.122051	-2.179058	0.012305	-0.000402	-0.010231	-152.510730	-75.543096	86.187283
41324		9.483881	-1.100773	-2.172182	0.016712	-0.000979	-0.015765	-152.523269	-75.549616	86.207306
41325		9.480204	-1.119132	-2.186349	0.013488	-0.000359	-0.013872	-152.533789	-75.555842	86.223157
41326		9.464810	-1.080213	-2.150051	0.006578	0.003643	-0.011379	-152.538762	-75.563551	86.229369
41327		9.497285	-1.101458	-2.211562	0.001403	0.002858	-0.011951	-152.548224	-75.570901	86.236118
41328		9.467889	-1.112322	-2.145342	-0.003503	0.003444	-0.009793	-152.556056	-75.578090	86.239318
41329		9.495142	-1.090876	-2.138139	-0.002282	0.006239	-0.011351	-152.562624	-75.586882	86.238785
41330		9.488823	-1.074966	-2.156191	-0.005221	0.000658	-0.011611	-152.577913	-75.593133	86.248667
41331		9.495465	-1.088596	-2.137867	-0.003176	-0.000005	-0.009864	-152.589884	-75.598112	86.251312
41332		9.515030	-1.105891	-2.159547	-0.010721	0.003319	-0.012112	-152.606604	-75.605847	86.259419
41333		9.495824	-1.086030	-2.137576	-0.009040	0.003352	-0.012377	-152.622497	-75.613474	86.265418
41334		9.508961	-1.088398	-2.177293	-0.009366	0.006800	-0.012306	-152.635273	-75.623030	86.270254
41335		9.469313	-1.103731	-2.143494	-0.007455	0.005453	-0.011923	-152.647184	-75.631669	86.273359
41336		9.446327	-1.103381	-2.135661	-0.005678	0.003420	-0.012905	-152.662535	-75.639663	86.283033
41337		9.485353	-1.138823	-2.179191	-0.010659	-0.001502	-0.014915	-152.688929	-75.645543	86.299521
41338		9.508713	-1.136286	-2.186874	-0.005484	-0.000714	-0.014342	-152.711306	-75.651807	86.316562
41339		9.488414	-1.170153	-2.175249	0.003087	0.002896	-0.012214	-152.719998	-75.659281	86.323316
41340		9.505365	-1.153246	-2.200551	0.004077	0.007074	-0.014418	-152.729078	-75.669529	86.332284
41341		9.459212	-1.153997	-2.184994	0.004538	0.004311	-0.013125	-152.738584	-75.677567	86.336897
41342		9.493024	-1.146970	-2.159340	0.003811	0.005702	-0.017148	-152.754701	-75.687832	86.352971
41343		9.473842	-1.127140	-2.137153	0.004637	0.002245	-0.013843	-152.768096	-75.695297	86.365401
41344		9.457326	-1.141583	-2.111278	0.003152	-0.001924	-0.015016	-152.788209	-75.701115	86.385207
41345		9.447172	-1.144982	-2.143919	0.006415	0.000213	-0.014825	-152.803410	-75.707771	86.399094
41346		9.491053	-1.107558	-2.162632	-0.000732	0.005586	-0.012981	-152.813987	-75.716882	86.406763
41347		9.431749	-1.079178	-2.183865	0.008760	0.003677	-0.008265	-152.810854	-75.723617	86.402871
41348		9.441224	-1.127249	-2.161239	0.005101	-0.000518	-0.012550	-152.823519	-75.729503	86.416141
41349		9.472025	-1.086491	-2.140319	0.001018	-0.003395	-0.007088	-152.831238	-75.732121	86.418994
41350		9.501618	-1.073896	-2.206499	0.002831	-0.002673	-0.005987	-152.834278	-75.735190	86.420990
41351		9.514586	-1.077075	-2.246624	0.012451	0.000301	-0.008864	-152.834654	-75.740114	86.420680
41352		9.511004	-1.096033	-2.260406	0.022106	0.006029	-0.009660	-152.825058	-75.748580	86.421034
41353		9.491870	-1.076863	-2.237602	0.019007	0.011523	-0.015362	-152.822399	-75.761131	86.423390
41354		9.470144	-1.048887	-2.142056	0.014297	0.007968	-0.014640	-152.825282	-75.771889	86.432001
41355		9.479783	-1.096860	-2.118813	0.008302	0.006437	-0.009561	-152.823399	-75.780108	86.427854
41356		9.526441	-1.093984	-2.133222	0.003227	0.003576	-0.010852	-152.829551	-75.787636	86.433294
41357		9.489392	-1.118319	-2.172214	0.003359	0.004263	-0.009487	-152.832080	-75.795035	86.434987
41358		9.484120	-1.074753	-2.103222	-0.000134	0.003504	-0.010325	-152.839181	-75.802387	86.439419
41359		9.487127	-1.107872	-2.098830	-0.000265	0.002817	-0.011689	-152.851363	-75.809285	86.447597
