// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
13917		9.505556	0.116270	-2.067548	-0.210695	-0.068891	-0.174608	177.516062	-77.733633	-0.954098
13918		9.516723	-0.033198	-1.923029	-0.241626	-0.047821	-0.144538	177.013385	-77.701020	-0.579663
13919		9.536699	-0.086238	-1.805167	-0.242864	-0.041757	-0.114477	176.588779	-77.674169	-0.285966
13920		9.572464	-0.132289	-1.776290	-0.212863	-0.032364	-0.087619	176.252775	-77.651262	-0.065198
13921		9.608053	-0.039687	-1.796221	-0.167597	-0.016658	-0.059578	176.012832	-77.640205	0.083656
13922		9.599459	0.010568	-1.821171	-0.157175	-0.023264	-0.045521	175.818246	-77.623801	0.192339
13923		9.489711	0.020068	-1.935615	-0.154622	-0.032341	-0.038550	175.644387	-77.604508	0.281166
13924		9.403545	0.209597	-2.037510	-0.109874	-0.037575	-0.036756	175.503332	-77.580178	0.362802
13925		9.364763	0.160131	-2.287225	-0.115942	-0.026179	-0.052128	175.316019	-77.563685	0.488115
13926		9.332085	0.265204	-2.203890	-0.100012	-0.052899	-0.075806	175.084014	-77.528620	0.668694
13927		9.442276	0.312353	-2.284693	-0.073925	-0.047998	-0.090328	174.828469	-77.497494	0.888576
13928		9.528999	0.426650	-2.234847	-0.093378	-0.064340	-0.104699	174.531261	-77.454015	1.139890
13929		9.626388	0.329236	-2.430537	-0.079907	-0.041784	-0.120173	174.196977	-77.424223	1.436987
13930		9.553518	0.377416	-2.341444	-0.058360	-0.035683	-0.122249	173.870951	-77.395417	1.738451
13931		9.605299	0.445508	-2.208964	-0.057221	-0.047489	-0.119337	173.556269	-77.361639	2.028844
13932		9.584475	0.455281	-2.156210	-0.051438	-0.036277	-0.101762	173.289213	-77.333141	2.274009
13933		9.664690	0.491890	-2.035821	-0.082135	-0.040924	-0.084046	173.050138	-77.304882	2.472330
13934		9.600059	0.435880	-2.032025	-0.158354	-0.046211	-0.058710	172.835655	-77.273316	2.600861
13935		9.627164	0.415097	-2.048431	-0.196813	-0.049678	-0.033212	172.663161	-77.243452	2.663592
13936		9.593405	0.471492	-2.050576	-0.209358	-0.044054	-0.012205	172.536773	-77.216375	2.671859
13937		9.582929	0.473705	-2.162830	-0.241240	-0.051506	0.007774	172.442680	-77.188490	2.628095
13938		9.544026	0.504098	-2.262703	-0.270258	-0.056510	0.023910	172.376053	-77.157066	2.539287
13939		9.547523	0.497751	-2.233893	-0.279818	-0.053587	0.026565	172.307298	-77.129439	2.446847
13940		9.551514	0.513765	-2.161333	-0.308276	-0.051404	0.026739	172.224135	-77.101182	2.352636
13941		9.534467	0.427432	-2.228034	-0.308062	-0.055401	0.016618	172.115016	-77.071795	2.284977
13942		9.517851	0.374696	-2.230450	-0.266510	-0.062120	0.012358	172.023936	-77.036392	2.223421
13943		9.468958	0.393734	-2.187404	-0.256935	-0.063923	0.007773	171.925353	-77.001494	2.174992
13944		9.510338	0.395257	-2.273237	-0.240985	-0.066702	0.003248	171.828324	-76.962801	2.134535
13945		9.542328	0.382607	-2.215737	-0.198940	-0.062213	-0.000536	171.742246	-76.928210	2.107364
13946		9.521117	0.350830	-2.230015	-0.156820	-0.060591	-0.009943	171.659389	-76.891919	2.101854
13947		9.515185	0.377080	-2.246046	-0.117451	-0.065039	-0.024159	171.563890	-76.853757	2.132290
13948		9.524525	0.461940	-2.263390	-0.115100	-0.059809	-0.036454	171.440936	-76.815669	2.192508
13949		9.498706	0.454116	-2.288015	-0.129904	-0.055953	-0.047950	171.278363	-76.780556	2.284517
13950		9.505888	0.407960	-2.293838	-0.112782	-0.056293	-0.056224	171.109051	-76.742651	2.393740
13951		9.552702	0.434248	-2.281200	-0.083304	-0.052754	-0.059448	170.945715	-76.708174	2.513989
13952		9.541233	0.383763	-2.230426	-0.075518	-0.052807	-0.062807	170.782192	-76.671499	2.639236
13953		9.517139	0.429954	-2.145197	-0.067282	-0.056959	-0.063670	170.621082	-76.634082	2.766665
13954		9.519932	0.404899	-2.161788	-0.061141	-0.053598	-0.058330	170.478291	-76.597224	2.879107
13955		9.485109	0.439786	-2.206663	-0.056800	-0.045692	-0.046113	170.361674	-76.567709	2.967002
13956		9.459415	0.419257	-2.251749	-0.049736	-0.031376	-0.027571	170.290245	-76.546262	3.012817
13957		9.497913	0.403894	-2.137793	-0.044830	-0.030084	-0.017005	170.243437	-76.528317	3.035998
13958		9.502224	0.395481	-2.108015	-0.066906	-0.028250	-0.013635	170.194022	-76.509972	3.049066
13959		9.550249	0.427303	-2.071067	-0.087110	-0.028915	-0.008180	170.143450	-76.493557	3.051206
