// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
13917		9.463448	0.063968	-2.726594	0.077680	0.051526	0.083330	-172.777580	-75.638062	-110.885984
13918		9.502365	-0.007506	-2.652063	0.044248	0.047403	0.082287	-172.557185	-75.659797	-111.090020
13919		9.543798	-0.156913	-2.624253	0.017854	0.033199	0.079746	-172.355192	-75.676373	-111.290314
13920		9.614970	-0.108785	-2.532096	0.026689	0.030175	0.082790	-172.148044	-75.687893	-111.491045
13921		9.600683	-0.067683	-2.408285	0.045054	0.035861	0.086793	-171.913075	-75.705051	-111.709261
13922		9.600548	0.030472	-2.291282	0.037244	0.044353	0.095356	-171.666700	-75.723186	-111.944219
13923		9.634228	0.085820	-2.280242	-0.003243	0.050044	0.103335	-171.416668	-75.746527	-112.206493
13924		9.639972	0.026291	-2.253479	-0.077432	0.060746	0.112857	-171.190283	-75.771980	-112.488592
13925		9.530274	-0.104901	-2.288888	-0.147560	0.074940	0.114746	-170.986957	-75.807890	-112.787919
13926		9.480346	-0.261931	-2.260691	-0.194947	0.078743	0.112942	-170.819491	-75.843076	-113.078632
13927		9.425348	-0.343535	-2.308380	-0.216716	0.087306	0.114658	-170.648989	-75.885531	-113.384873
13928		9.351913	-0.432060	-2.369950	-0.240829	0.094089	0.121159	-170.481140	-75.928228	-113.702989
13929		9.380317	-0.428404	-2.402003	-0.254701	0.094925	0.124345	-170.304709	-75.973615	-114.037661
13930		9.435132	-0.517777	-2.378406	-0.268952	0.091269	0.124134	-170.144355	-76.013972	-114.364538
13931		9.514381	-0.727790	-2.367435	-0.288703	0.095304	0.111492	-170.013347	-76.060395	-114.672354
13932		9.520836	-0.938118	-2.346447	-0.264167	0.094634	0.103627	-169.892605	-76.104328	-114.955466
13933		9.463861	-1.069256	-2.410360	-0.184081	0.080098	0.092311	-169.748884	-76.143783	-115.214513
13934		9.453510	-1.157288	-2.432106	-0.079931	0.076517	0.085957	-169.567606	-76.178953	-115.451132
13935		9.403885	-1.183193	-2.434471	0.002311	0.069908	0.081356	-169.344170	-76.213421	-115.682215
13936		9.355473	-1.157906	-2.423058	0.072910	0.059674	0.082696	-169.087366	-76.238977	-115.906330
13937		9.375630	-1.082773	-2.443756	0.122947	0.033114	0.081944	-168.807893	-76.252199	-116.123897
13938		9.405572	-0.978767	-2.451581	0.154255	0.030743	0.082689	-168.515771	-76.260934	-116.336331
13939		9.382986	-0.841759	-2.367151	0.180046	0.025839	0.091159	-168.185011	-76.268467	-116.572997
13940		9.441748	-0.702398	-2.347194	0.188589	0.036883	0.087051	-167.859175	-76.279518	-116.799852
13941		9.507493	-0.507356	-2.279658	0.165407	0.040728	0.088823	-167.533983	-76.295030	-117.039399
13942		9.583844	-0.412772	-2.258838	0.115413	0.044431	0.088077	-167.242749	-76.309567	-117.273764
13943		9.591210	-0.367542	-2.206413	0.058863	0.055072	0.085935	-166.976454	-76.332877	-117.515487
13944		9.579970	-0.352360	-2.113393	-0.014036	0.060628	0.080210	-166.767580	-76.356995	-117.741389
13945		9.550247	-0.473416	-2.094447	-0.074676	0.065205	0.069248	-166.609045	-76.387736	-117.950906
13946		9.497126	-0.602302	-2.124111	-0.078860	0.063837	0.058100	-166.485022	-76.416332	-118.127676
13947		9.400336	-0.668385	-2.170853	-0.075812	0.046274	0.051354	-166.377533	-76.438712	-118.285301
13948		9.418102	-0.692763	-2.220449	-0.070940	0.043508	0.055583	-166.265053	-76.456189	-118.445492
13949		9.470270	-0.628285	-2.316967	-0.044599	0.030919	0.055932	-166.137029	-76.469250	-118.605820
13950		9.553501	-0.603085	-2.309832	0.002227	0.043994	0.053665	-165.985992	-76.487086	-118.762525
