// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
17673		9.888762	-0.381596	-0.181671	-0.484731	-0.157088	-0.157152	-4.799082	-88.066604	150.618525
17674		9.515357	-0.183226	0.141207	-0.413628	-0.195345	-0.157483	-2.558300	-88.185011	148.140525
17675		9.902342	-0.074803	-0.101828	-0.490983	-0.177766	-0.154676	-0.128998	-88.290139	145.429353
17676		10.082612	-0.571004	-0.763675	-0.365286	-0.144914	-0.147754	2.568787	-88.372449	142.522120
17677		10.131105	-0.716139	-0.313123	-0.204916	-0.156209	-0.126248	5.181711	-88.458331	139.791469
17678		10.253535	-0.621069	-0.384998	-0.154680	-0.113105	-0.100305	7.463438	-88.517767	137.421311
17679		10.028523	-0.423353	-0.666251	-0.006640	-0.085435	-0.089861	9.640694	-88.560191	135.240266
17680		10.018093	-0.135838	-0.447010	0.099445	-0.095727	-0.087966	12.050240	-88.606177	132.887948
17681		10.102030	0.157342	-0.454315	0.150537	-0.082063	-0.069543	14.096137	-88.644834	130.928463
17682		10.123475	0.411946	-0.293390	0.191150	-0.067758	-0.047637	15.696951	-88.677139	129.437705
17683		10.073365	0.670089	-0.213928	0.206363	-0.044582	-0.041129	17.014410	-88.697015	128.238892
17684		9.985592	0.752990	-0.297706	0.206949	-0.020539	-0.030606	17.967874	-88.704883	127.404731
17685		9.932463	0.828238	-0.439774	0.212783	-0.015286	-0.019430	18.580538	-88.711787	126.914582
17686		9.906549	0.912316	-0.286253	0.189355	-0.016088	-0.012045	19.061523	-88.720280	126.542947
17687		9.745498	0.840359	-0.094622	0.145987	-0.020158	-0.006411	19.372364	-88.732093	126.316418
17688		9.933107	0.751040	-0.018256	0.077101	-0.010856	-0.003172	19.542572	-88.739378	126.191323
17689		9.913294	0.351533	-0.207547	0.040866	0.005181	-0.010781	19.684855	-88.736639	126.073150
17690		9.860740	0.121709	-0.011848	0.049531	0.005790	-0.010813	19.885316	-88.733474	125.901999
17691		9.830744	0.005280	0.024808	-0.022191	0.016105	-0.021408	20.150854	-88.722752	125.624403
17692		9.901739	-0.311877	-0.337897	-0.015518	0.035099	-0.035669	20.642980	-88.698870	125.124224
17693		9.788257	-0.264988	-0.205347	0.021568	0.020824	-0.049973	21.541368	-88.679621	124.238687
17694		9.714194	-0.189719	0.066712	-0.025104	0.015569	-0.060254	22.724069	-88.660551	123.042217
17695		9.820819	-0.230554	-0.184533	-0.086204	0.041420	-0.080131	23.968968	-88.622836	121.748288
17696		9.775810	-0.354887	-0.493613	-0.031933	0.051324	-0.093757	25.413979	-88.575965	120.285461
17697		9.795451	-0.233514	-0.168612	-0.031189	0.037947	-0.108873	27.153167	-88.531217	118.528568
17698		9.819288	-0.225193	-0.170354	-0.080403	0.052458	-0.112659	28.727525	-88.476844	116.908478
17699		9.814192	-0.089259	-0.140780	-0.081612	0.061113	-0.119178	30.171583	-88.415254	115.417837
17700		9.709469	-0.115597	-0.132479	-0.081360	0.056517	-0.132198	31.816963	-88.351015	113.726036
17701		9.735935	0.033206	0.216419	-0.109100	0.052228	-0.147133	33.562613	-88.282870	111.917820
17702		9.797178	-0.113468	0.033045	-0.140987	0.070042	-0.153177	35.095275	-88.202821	110.304479
17703		9.773891	-0.288852	0.124719	-0.087771	0.071649	-0.159879	36.562377	-88.118574	108.787031
17704		9.774649	-0.397813	0.083452	-0.063302	0.079105	-0.163044	37.914658	-88.028617	107.398538
17705		9.772569	-0.409471	-0.008458	0.019431	0.080397	-0.176656	39.314234	-87.932188	106.009957
17706		9.778383	-0.335468	0.198196	0.072713	0.068041	-0.179838	40.808068	-87.838788	104.557613
17707		9.799435	-0.146534	0.222717	0.113116	0.085576	-0.191631	42.128778	-87.732137	103.301501
17708		9.797513	0.057425	-0.048389	0.161713	0.099563	-0.198929	43.328051	-87.615719	102.194772
17709		9.807378	0.339000	-0.198615	0.241710	0.096962	-0.205448	44.523965	-87.496896	101.137111
17710		9.734008	0.504153	0.176055	0.230194	0.082151	-0.205929	45.772798	-87.382940	100.019846
17711		9.702649	0.690003	0.512251	0.156841	0.067761	-0.207568	46.997052	-87.272953	98.884946
17712		9.874230	0.649186	0.527841	0.053292	0.078437	-0.212580	48.041975	-87.155623	97.870165
17713		9.615224	0.631683	0.324835	0.005624	0.108900	-0.252010	48.987597	-87.009057	96.927269
17714		9.967745	0.167535	-0.115524	-0.074192	0.065170	-0.253446	50.182607	-86.877079	95.688815
17715		9.910757	0.022966	0.338452	-0.062997	0.077503	-0.265903	51.245545	-86.734007	94.588799
17716		9.933174	-0.390965	-0.147205	-0.142851	0.102658	-0.292707	52.159321	-86.568777	93.592288
17717		9.997128	-0.651420	-0.519856	-0.064330	0.117833	-0.318661	53.041908	-86.385717	92.671829
17718		10.061419	-0.799080	-0.619335	0.030344	0.089421	-0.328245	54.155328	-86.206958	91.574272
17719		10.113725	-0.777621	-0.293831	0.026385	0.110707	-0.354266	55.128437	-86.007724	90.614793
17720		10.164922	-1.178110	-0.703374	0.050673	0.160191	-0.393955	55.892877	-85.772972	89.878202
17721		9.950758	-1.488211	-0.570783	0.212351	0.155961	-0.426840	56.811760	-85.522901	89.079411
17722		9.904082	-1.567878	-0.109117	0.249215	0.127060	-0.455448	57.949215	-85.267477	88.082155
17723		9.917588	-1.557235	0.159493	0.260014	0.147517	-0.491901	58.978387	-84.986100	87.199497
17724		9.704058	-1.436022	0.403258	0.298229	0.172099	-0.554422	60.000632	-84.666314	86.345192
17725		9.547090	-1.606220	0.624346	0.278264	0.179183	-0.619662	61.042245	-84.309770	85.459647
17726		9.318553	-1.649003	0.831121	0.217733	0.190440	-0.668543	62.015318	-83.925299	84.607313
17727		9.341984	-1.713485	0.706183	0.093478	0.202583	-0.741940	62.917259	-83.497749	83.754531
17728		9.631373	-1.703828	0.518723	0.012603	0.221039	-0.825882	63.768402	-83.022641	82.905136
17729		9.649628	-1.620387	0.562786	-0.092120	0.212981	-0.879368	64.580108	-82.519023	82.034461
17730		9.811296	-1.354780	0.687418	-0.251532	0.212042	-0.932753	65.295341	-81.988460	81.167506
17731		9.798341	-0.724179	0.726536	-0.389711	0.218133	-0.981221	65.885959	-81.427928	80.345742
17732		10.015235	0.210480	1.224683	-0.547173	0.194469	-1.050879	66.480885	-80.837448	79.426561
17733		9.944842	1.360400	1.803183	-0.774471	0.221426	-1.104058	66.841645	-80.209429	78.611673
17734		10.181767	2.151680	1.776307	-0.995680	0.210578	-1.142088	67.086881	-79.565423	77.783318
17735		10.404264	2.714033	1.229186	-1.025082	0.250963	-1.139107	67.139156	-78.911291	77.133005
17736		10.741514	3.119743	1.497557	-1.025210	0.224851	-1.135857	67.216403	-78.266709	76.455241
17737		10.978455	2.925996	1.062742	-1.056241	0.284523	-1.113249	67.068949	-77.618701	75.987929
17738		10.618919	3.028397	0.738165	-0.912021	0.282678	-1.052825	66.933311	-77.005208	75.591678
17739		10.192904	3.375035	1.363602	-0.842763	0.263724	-0.962191	66.780839	-76.441966	75.252954
17740		9.483303	3.858428	1.941890	-0.884601	0.241878	-0.844820	66.538985	-75.947518	74.980494
17741		9.265356	4.822844	2.187970	-0.884431	0.269780	-0.728951	66.135487	-75.506015	74.874708
17742		8.989738	6.018286	2.242116	-0.869631	0.345041	-0.623540	65.509481	-75.103589	75.007279
17743		8.674062	6.020123	1.610609	-1.034563	0.371166	-0.548217	64.692247	-74.732221	75.240507
17744		8.555265	5.455829	0.980908	-1.050194	0.322508	-0.423432	63.870735	-74.437238	75.469194
17745		8.011611	4.991005	1.231495	-0.988410	0.275391	-0.238017	63.018652	-74.247785	75.766723
17746		7.877388	4.375676	1.311504	-0.790149	0.218946	0.005369	62.169449	-74.196049	76.179579
17747		7.875701	4.140206	1.272699	-0.554332	0.228705	0.249145	61.203570	-74.262639	76.853958
17748		7.867135	4.105840	0.692807	-0.341371	0.226942	0.469749	60.135643	-74.436502	77.760839
17749		7.878072	3.939955	0.365972	-0.166763	0.171273	0.668784	59.029521	-74.720331	78.809902
17750		7.873945	3.748839	0.700963	-0.046865	0.136867	0.843585	57.820177	-75.093728	80.035701
17751		7.977198	3.476303	0.834854	0.053278	0.118617	0.998782	56.446537	-75.540584	81.488003
17752		7.938324	3.187012	0.834953	0.270473	0.081334	1.139958	55.000098	-76.056561	83.141023
17753		8.144644	2.980987	1.213307	0.493494	-0.001778	1.263793	53.542920	-76.648061	84.932224
17754		8.446489	2.647010	1.312853	0.669830	-0.036580	1.390775	51.918046	-77.297308	86.995108
17755		8.658490	2.584095	1.487292	0.877993	-0.059533	1.460492	50.138343	-77.972447	89.332771
17756		9.001133	2.603274	1.567000	0.964265	-0.061312	1.469678	48.163894	-78.634783	91.914459
17757		9.183308	1.907383	1.488839	1.064597	-0.068577	1.467992	45.981193	-79.280517	94.760491
17758		9.221559	0.859624	1.503306	1.261510	-0.065306	1.466862	43.605741	-79.901619	97.911752
17759		9.494440	0.347871	1.857808	1.467112	-0.067011	1.470448	40.980688	-80.500058	101.429380
17760		9.954553	-0.102499	1.603829	1.602844	-0.010642	1.413918	38.084865	-81.023005	105.294805
17761		9.982006	-0.214228	1.157979	1.765863	0.023479	1.280381	35.216145	-81.453057	109.221795
17762		9.976545	-0.091375	0.294443	1.942369	-0.001545	1.102914	32.771835	-81.809775	112.818347
17763		10.326277	1.009648	-0.523326	2.183336	0.022653	0.881102	30.935055	-82.067819	115.937619
17764		10.693900	3.003465	0.062062	2.250359	0.023963	0.635159	29.896849	-82.243091	118.288210
17765		10.675722	3.946274	0.673359	1.883076	0.107551	0.362470	29.409090	-82.294776	119.869994
17766		9.130298	3.247363	0.802041	1.558098	0.135674	0.177907	29.368844	-82.279876	120.812652
17767		8.656811	3.570442	1.567374	1.386162	0.006768	0.095253	29.785482	-82.305925	121.194399
17768		8.765494	3.789939	1.451010	1.167056	-0.079408	0.067284	30.383979	-82.367197	121.266528
17769		9.301844	2.863774	0.973875	1.091447	-0.101057	0.100654	30.845618	-82.448912	121.432421
17770		9.810264	2.219770	0.680643	0.914304	-0.038494	0.177814	30.803932	-82.522389	122.004321
17771		10.123889	2.072231	0.133279	0.407529	-0.052132	0.242969	30.220944	-82.621317	122.828447
17772		9.905162	1.334999	0.542687	-0.085143	-0.132291	0.326678	29.210790	-82.782302	123.799184
17773		9.950394	0.396656	1.539932	-0.388158	-0.147938	0.364023	27.832642	-82.958825	124.964666
17774		9.839202	-0.196261	1.281572	-0.473282	-0.070074	0.316746	26.406365	-83.079703	126.129902
17775		9.626572	-0.112623	1.265973	-0.258885	-0.096711	0.200098	25.588627	-83.182127	126.804879
17776		9.813867	0.413834	1.971958	-0.184526	-0.117347	0.082880	25.378829	-83.265707	126.911135
17777		9.862049	-0.300892	1.579744	-0.119938	-0.084794	0.031965	25.330032	-83.319795	126.891805
17778		9.733759	-1.428958	1.450886	0.101275	-0.088828	0.063625	25.304181	-83.383751	126.977674
17779		9.854005	-2.123405	1.222720	0.291024	-0.092336	0.129170	25.068579	-83.465458	127.383414
