// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
17673		0.246201	-10.260343	0.148456	-0.093450	0.091030	0.351279	-84.769815	1.156823	160.556339
17674		0.798726	-10.746190	-0.233940	0.118159	0.085169	0.496940	-84.699494	1.443944	160.532601
17675		1.318950	-10.412375	-0.285771	0.464390	0.113427	0.695250	-84.430149	1.845697	160.504301
17676		0.793658	-10.448727	0.105113	0.659324	0.171844	0.950282	-84.051036	2.396250	160.459665
17677		1.160983	-11.129129	0.307216	0.907823	0.130850	1.234233	-83.526774	3.106428	160.460308
17678		1.105899	-9.937515	0.886995	1.142896	0.302898	1.445877	-82.873713	3.948349	160.384601
17679		-0.768941	-9.424258	0.787711	1.180626	0.408034	1.488468	-82.202559	4.823400	160.261836
17680		-1.122013	-7.462803	3.232311	0.725040	0.194323	1.561654	-81.783101	5.723636	160.274896
17681		-1.881792	-7.735935	2.194446	0.027607	0.009452	1.499440	-81.750674	6.573779	160.391867
17682		0.172357	-8.188625	-0.003531	-0.602839	-0.156494	1.363695	-82.068954	7.333520	160.590650
17683		1.202909	-10.446741	-1.116305	-1.084460	-0.268329	1.268246	-82.652829	8.032374	160.840504
17684		1.448147	-12.030529	-0.956085	-1.160043	-0.201897	0.950880	-83.288433	8.557456	161.022457
17685		2.459991	-13.515200	-1.396459	-1.195954	-0.090728	0.426841	-83.957761	8.793791	161.100840
17686		2.673186	-14.281987	-0.966095	-0.890697	0.048433	-0.081890	-84.470871	8.747873	161.066657
17687		2.485662	-13.365925	-0.359946	-0.351621	0.234056	-0.420876	-84.692185	8.519509	160.907253
17688		1.918437	-10.803951	-0.078358	0.063212	0.401514	-0.599012	-84.692333	8.196342	160.642188
17689		1.161817	-8.662049	-0.019069	0.168014	0.485533	-0.653763	-84.636121	7.848293	160.325956
17690		0.471781	-7.465431	-0.001425	0.048378	0.487072	-0.634455	-84.648581	7.509279	160.009912
17691		0.328866	-7.340964	0.245143	-0.185228	0.441959	-0.600754	-84.787407	7.188881	159.722395
17692		0.355510	-8.207828	0.381255	-0.325016	0.386970	-0.598250	-85.002778	6.863837	159.467757
17693		0.479859	-9.094028	0.527220	-0.285025	0.362579	-0.618840	-85.190017	6.527351	159.227515
17694		0.410213	-9.374201	0.565388	-0.147546	0.372042	-0.634582	-85.299731	6.179095	158.982082
17695		0.115290	-9.168058	0.612845	-0.008876	0.396831	-0.642367	-85.327872	5.829873	158.722673
17696		-0.278301	-8.997254	0.583871	0.070964	0.414466	-0.645318	-85.311771	5.476954	158.453190
17697		-0.698124	-8.930150	0.586720	0.079137	0.405581	-0.671103	-85.286852	5.111799	158.187637
17698		-1.065771	-8.956222	0.597664	0.018814	0.379753	-0.727913	-85.295759	4.710153	157.934327
17699		-1.354532	-8.913858	0.627647	-0.061843	0.335044	-0.764554	-85.345083	4.288239	157.705247
17700		-1.534831	-9.028677	0.690353	-0.117414	0.292034	-0.747953	-85.424791	3.870755	157.502205
17701		-1.741624	-9.149118	0.819098	-0.113758	0.239877	-0.676415	-85.496766	3.494310	157.332869
17702		-1.863149	-9.206940	0.837167	-0.081231	0.192371	-0.583803	-85.549254	3.165800	157.195403
17703		-1.937171	-9.199001	0.917025	-0.023835	0.147240	-0.464289	-85.564453	2.906134	157.089231
17704		-2.001933	-8.954470	0.942801	0.015825	0.103358	-0.334236	-85.556994	2.716362	157.014050
17705		-2.104725	-9.097951	1.046223	0.007473	0.059568	-0.211192	-85.550707	2.597386	156.969289
17706		-2.231780	-9.711541	1.257477	-0.023682	0.011610	-0.151704	-85.562788	2.508073	156.954684
17707		-2.295010	-10.099096	1.451072	-0.000077	-0.049498	-0.185760	-85.557950	2.398781	156.973432
17708		-2.366047	-9.788422	1.618713	0.024951	-0.118336	-0.240738	-85.539159	2.253129	157.029145
17709		-2.392079	-8.994090	1.741647	0.004421	-0.203824	-0.267773	-85.528633	2.090096	157.132394
17710		-2.510300	-8.339722	1.798306	-0.067489	-0.299940	-0.235130	-85.559300	1.939888	157.292133
17711		-2.819497	-7.721759	1.363868	-0.171113	-0.392781	-0.145777	-85.646114	1.838371	157.508927
17712		-3.643684	-6.595166	2.373258	-0.546275	-0.276640	0.539790	-85.950348	2.133052	157.688538
17713		-4.726555	-12.909412	2.819956	0.230579	-0.093646	0.953133	-85.810318	2.672901	157.780067
17714		-10.010318	-15.429084	4.070137	0.446420	-0.134466	1.224807	-85.544919	3.365335	157.908680
17715		-6.252984	-12.408949	5.143058	1.047297	-0.299521	0.886159	-84.927407	3.856084	158.120975
17716		-3.858906	-8.968245	0.674951	0.508325	-0.176527	-0.463886	-84.627847	3.581888	158.196334
17717		0.328793	-4.214319	5.616799	-1.188031	-0.153774	-0.244157	-85.299913	3.433833	158.270643
17718		-0.132719	-14.423321	-3.508787	-0.579420	-0.080939	-0.094212	-85.625632	3.376251	158.311354
17719		0.261219	-10.192196	-0.199010	-0.239950	-0.130678	0.026096	-85.754634	3.384548	158.385965
17720		-1.122938	-9.674265	0.861837	0.195277	-0.064747	0.018660	-85.637207	3.392183	158.422512
17721		-0.674184	-8.897709	1.642019	-0.106695	-0.099201	-0.038280	-85.691088	3.365031	158.476320
17722		-0.593091	-9.784064	0.661535	-0.329442	-0.133646	-0.016426	-85.872005	3.349827	158.550810
17723		-0.622143	-10.218682	0.237327	-0.143223	-0.090975	-0.041172	-85.947129	3.321588	158.599904
17724		-0.745763	-9.883159	0.587657	-0.094395	-0.091700	-0.052440	-85.994950	3.287737	158.648977
17725		-0.534216	-10.022881	0.585643	-0.115363	-0.094045	-0.037326	-86.054052	3.261673	158.700035
17726		-0.522901	-10.047894	0.365552	-0.042813	-0.094477	-0.008383	-86.072183	3.252986	158.752488
17727		-0.576481	-9.766258	0.722059	0.005307	-0.076244	0.005785	-86.062646	3.252302	158.795069
17728		-0.584601	-9.690493	0.748945	-0.026835	-0.091648	0.014635	-86.071686	3.256882	158.846810
17729		-0.693964	-9.894735	0.605142	-0.051233	-0.077230	-0.001377	-86.094527	3.252078	158.889675
17730		-0.574927	-9.788937	0.602802	-0.018608	-0.063605	-0.023593	-86.099852	3.235939	158.923864
17731		-0.565726	-9.713234	0.718955	-0.020390	-0.059121	-0.014927	-86.105653	3.224109	158.955833
17732		-0.548782	-9.701567	0.687465	-0.040452	-0.054438	-0.023217	-86.123801	3.208554	158.984792
17733		-0.590050	-9.760031	0.657431	-0.052185	-0.043570	-0.024410	-86.148353	3.191921	159.007497
17734		-0.579861	-9.774444	0.671171	-0.052980	-0.039404	-0.026440	-86.174175	3.175126	159.027737
17735		-0.598986	-9.800966	0.623354	-0.056881	-0.036492	-0.027051	-86.201660	3.157273	159.046302
17736		-0.595694	-9.891043	0.519383	-0.043387	-0.032810	-0.028732	-86.222207	3.139441	159.062695
17737		-0.578030	-9.885342	0.547287	-0.015359	-0.024652	-0.027452	-86.226284	3.121818	159.074477
17738		-0.531468	-9.833551	0.632205	0.003906	-0.025157	-0.021215	-86.219986	3.108581	159.086776
17739		-0.588292	-9.835960	0.622602	0.003299	-0.028541	-0.017496	-86.213237	3.096502	159.101158
17740		-0.542447	-9.839686	0.603124	0.015596	-0.016985	-0.014222	-86.200486	3.087570	159.109040
17741		-0.585424	-9.808140	0.677838	0.007955	-0.014478	-0.008392	-86.191489	3.081225	159.115713
17742		-0.577424	-9.788184	0.690340	0.000058	-0.014810	-0.004531	-86.187689	3.077918	159.122715
17743		-0.554948	-9.790098	0.679390	-0.015393	-0.012817	-0.001850	-86.192107	3.075375	159.128686
17744		-0.561989	-9.838027	0.612726	-0.020732	-0.009110	-0.000758	-86.200378	3.074447	159.132569
17745		-0.532521	-9.847844	0.559787	-0.015688	-0.005080	-0.000582	-86.205202	3.072924	159.134159
17746		-0.547113	-9.859951	0.588480	0.011471	-0.005242	0.001781	-86.195146	3.073596	159.135924
17747		-0.569902	-9.790237	0.586748	0.010321	-0.005842	0.004151	-86.185034	3.074749	159.138131
17748		-0.533566	-9.785946	0.608302	0.014214	-0.002412	0.006696	-86.173493	3.078341	159.138463
17749		-0.577941	-9.816050	0.636652	0.010050	-0.004451	0.003476	-86.163581	3.079161	159.139848
17750		-0.563977	-9.742142	0.655066	0.008636	-0.005776	0.004524	-86.155141	3.081385	159.142024
17751		-0.549384	-9.797802	0.639683	-0.002020	-0.004707	0.004768	-86.152133	3.082933	159.143605
17752		-0.535287	-9.785674	0.611146	0.008628	-0.003660	0.005171	-86.143761	3.085610	159.144595
17753		-0.565096	-9.775862	0.663068	0.005544	-0.009149	0.005298	-86.136281	3.087290	159.148740
17754		-0.558159	-9.845439	0.576350	0.004122	-0.008358	0.006994	-86.130343	3.090829	159.152490
17755		-0.573637	-9.823494	0.600033	0.022607	-0.013148	0.008601	-86.112956	3.094240	159.159053
17756		-0.589172	-9.767578	0.618409	0.030233	-0.011428	0.004060	-86.091982	3.095984	159.164448
17757		-0.552517	-9.797055	0.648360	0.030773	-0.012096	0.006057	-86.069953	3.097978	159.170311
17758		-0.552938	-9.768920	0.704237	0.028824	-0.012754	0.005108	-86.049746	3.100270	159.176506
17759		-0.597761	-9.758992	0.668064	0.025453	-0.012620	0.005856	-86.030749	3.102124	159.182663
17760		-0.531942	-9.798315	0.646062	0.020113	-0.008909	0.006949	-86.015642	3.105622	159.186731
17761		-0.584109	-9.752575	0.702479	0.010015	-0.014850	0.007257	-86.005418	3.108185	159.194222
17762		-0.570056	-9.774345	0.680939	0.004113	-0.004122	0.008289	-85.999623	3.112642	159.195604
17763		-0.570761	-9.774282	0.681253	0.001888	-0.003388	0.006667	-85.994412	3.115324	159.196510
17764		-0.549201	-9.782056	0.730431	-0.002635	-0.003848	0.009787	-85.992486	3.120652	159.197796
17765		-0.572317	-9.774253	0.680374	-0.014932	0.005575	0.005982	-85.997193	3.123302	159.193545
17766		-0.587638	-9.752477	0.700896	-0.020531	0.006446	0.005108	-86.005844	3.126369	159.188750
17767		-0.595413	-9.800504	0.633953	-0.021333	0.006386	0.001790	-86.014253	3.126654	159.183866
17768		-0.566176	-9.754635	0.686255	-0.024418	0.000898	0.001922	-86.024967	3.127686	159.182120
17769		-0.551757	-9.838377	0.615907	-0.011290	0.006161	0.006555	-86.027605	3.130684	159.177554
17770		-0.567517	-9.816518	0.637404	-0.004358	0.006797	0.013391	-86.026988	3.138506	159.172887
17771		-0.583692	-9.822515	0.606343	-0.004357	0.006797	0.013391	-86.025659	3.145437	159.168229
17772		-0.577640	-9.836337	0.625166	0.009926	0.010539	0.015009	-86.016984	3.154337	159.161484
17773		-0.608702	-9.792440	0.671051	0.017484	0.008205	0.016185	-86.003180	3.162922	159.156134
17774		-0.581052	-9.740300	0.667419	0.009935	0.008422	0.014362	-85.994441	3.171378	159.150578
17775		-0.574991	-9.754072	0.686928	0.009665	0.009813	0.013687	-85.985176	3.178601	159.144210
17776		-0.568991	-9.767868	0.706035	0.001509	0.006650	0.015585	-85.981205	3.187690	159.139719
17777		-0.563315	-9.741853	0.658568	0.000429	0.010100	0.012237	-85.977245	3.194097	159.133130
17778		-0.586508	-9.807643	0.681883	-0.003821	0.008249	0.016030	-85.976377	3.203506	159.127741
17779		-0.573231	-9.795570	0.652799	0.001309	0.012088	0.009191	-85.971986	3.208253	159.119892
17780		-0.611169	-9.771690	0.685564	0.004071	0.010684	0.012811	-85.966685	3.215924	159.112981
17781		-0.590447	-9.739622	0.669068	0.005497	0.007773	0.010470	-85.959754	3.221229	159.107653
17782		-0.576628	-9.733482	0.700258	0.007194	0.003471	0.008806	-85.952441	3.226328	159.104710
17783		-0.570148	-9.747340	0.718960	-0.004884	0.005352	0.010743	-85.951380	3.231692	159.100781
17784		-0.578626	-9.795218	0.653321	-0.010210	0.004837	0.010541	-85.954073	3.237839	159.097127
17785		-0.564881	-9.789177	0.683143	-0.005154	0.006743	0.010067	-85.953214	3.242873	159.092374
17786		-0.602812	-9.793244	0.662364	-0.003200	0.007397	0.011015	-85.951975	3.249394	159.087273
17787		-0.589067	-9.815083	0.639951	0.001323	0.007853	0.007899	-85.947447	3.253234	159.081797
17788		-0.612001	-9.751257	0.697019	0.010294	0.006835	0.008031	-85.938472	3.258032	159.076897
17789		-0.576038	-9.774978	0.665338	0.008338	0.008296	0.007728	-85.929940	3.261795	159.071161
