// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
20176		11.233160	-2.309147	-0.930274	-0.221150	-0.203266	-0.757680	-97.921387	-61.690115	-31.248976
20177		10.451760	-3.117594	-1.407499	-0.477214	-0.193009	-0.728217	-98.516383	-62.086545	-30.884477
20178		9.742993	-4.257253	-1.606064	-0.542253	-0.194270	-0.714802	-99.159266	-62.471601	-30.509079
20179		9.099286	-5.150090	-1.551182	-0.442598	-0.159669	-0.732841	-99.725954	-62.870020	-30.156724
20180		8.631900	-5.543777	-1.366594	-0.248087	-0.172864	-0.761654	-100.212381	-63.280124	-29.770514
20181		8.429635	-5.692154	-1.364103	-0.029481	-0.169998	-0.769138	-100.586106	-63.695174	-29.371825
20182		8.587980	-5.397263	-1.581136	0.160496	-0.151204	-0.754078	-100.835433	-64.100844	-28.991763
20183		8.920598	-4.822029	-1.515089	0.275023	-0.128174	-0.740452	-101.000180	-64.502666	-28.634137
20184		9.132661	-4.203526	-1.489812	0.302736	-0.107918	-0.741856	-101.131666	-64.905062	-28.296891
20185		9.260140	-3.814560	-1.392771	0.266705	-0.082100	-0.749870	-101.263848	-65.316541	-27.982797
20186		9.093780	-3.920860	-1.071063	0.214945	-0.069364	-0.769455	-101.421061	-65.738117	-27.674833
20187		8.838312	-4.010265	-0.921537	0.178502	-0.044002	-0.772207	-101.577728	-66.165787	-27.391358
20188		8.600411	-4.063684	-1.030459	0.151702	-0.031865	-0.769493	-101.739876	-66.591029	-27.119608
20189		8.446061	-4.093481	-1.056297	0.133471	-0.016300	-0.770249	-101.901868	-67.020197	-26.860249
20190		8.355605	-4.131734	-1.170323	0.155648	-0.015422	-0.779066	-102.058776	-67.452093	-26.593491
20191		8.408573	-3.864097	-1.242345	0.209988	-0.001452	-0.791194	-102.178574	-67.894244	-26.333996
20192		8.389905	-3.895804	-1.048322	0.250087	0.000535	-0.797000	-102.280337	-68.337593	-26.070066
20193		8.429134	-3.919414	-1.013482	0.269066	0.005772	-0.789408	-102.370461	-68.779269	-25.807689
20194		8.540343	-3.885382	-0.823144	0.310315	0.000581	-0.781792	-102.447766	-69.213731	-25.534607
20195		8.849427	-3.586658	-0.625307	0.350980	0.022928	-0.774289	-102.474562	-69.648841	-25.291272
20196		9.421508	-3.232084	-0.198520	0.343490	0.082965	-0.772463	-102.416744	-70.088147	-25.143423
20197		9.338277	-3.480932	-0.199974	0.301626	0.102092	-0.784808	-102.361201	-70.538982	-25.018941
20198		9.219765	-2.985703	-0.935984	0.197517	0.088322	-0.809532	-102.396833	-70.999784	-24.861511
20199		9.537575	-2.753802	-1.205361	0.122221	0.060571	-0.833779	-102.538342	-71.472822	-24.638176
20200		9.788022	-3.075222	-0.533252	0.159593	0.107799	-0.829627	-102.583187	-71.947168	-24.494827
20201		9.694488	-3.103524	-0.921903	0.230520	0.081147	-0.820478	-102.637376	-72.415162	-24.299249
20202		9.778321	-2.732259	-0.764679	0.242764	0.119857	-0.788695	-102.606052	-72.868104	-24.186534
20203		9.507959	-2.278472	-0.563547	0.288360	0.108415	-0.769222	-102.565902	-73.310866	-24.055885
20204		9.516260	-1.529523	-0.288579	0.269579	0.098469	-0.761679	-102.552815	-73.746146	-23.908666
20205		9.562109	-1.081297	-0.381698	0.142489	0.079255	-0.743438	-102.649319	-74.170836	-23.723377
20206		9.717334	-1.149092	-0.588405	0.026875	0.064125	-0.706200	-102.831836	-74.570853	-23.518045
20207		9.762953	-1.508508	-0.630706	-0.018421	0.060310	-0.682045	-103.049615	-74.958519	-23.303345
20208		9.666469	-1.869219	-0.726426	-0.019724	0.059748	-0.655242	-103.264955	-75.329310	-23.092422
20209		9.538464	-2.041935	-0.700090	0.055148	0.059474	-0.626704	-103.435901	-75.685601	-22.883294
20210		9.470345	-2.075196	-0.656879	0.168581	0.051947	-0.599966	-103.550777	-76.024305	-22.665392
20211		9.330882	-1.658429	-0.313210	0.248969	0.015261	-0.568802	-103.696233	-76.342134	-22.368774
20212		9.518184	-1.126595	-0.474899	0.311851	-0.032386	-0.531686	-103.903281	-76.631103	-21.972237
20213		9.713743	-0.671570	-0.683680	0.293249	0.010397	-0.509427	-104.021284	-76.914821	-21.678492
20214		9.700913	-0.422388	-0.676776	0.224794	0.039525	-0.495614	-104.106035	-77.193515	-21.459532
20215		9.671804	-0.266290	-0.720475	0.116630	0.057303	-0.478054	-104.207056	-77.466146	-21.287569
20216		9.660230	-0.361267	-0.739006	0.055497	0.061840	-0.457722	-104.322655	-77.727022	-21.136792
20217		9.687868	-0.504442	-0.485918	-0.005434	0.078866	-0.437958	-104.423772	-77.980322	-21.036616
20218		9.574655	-0.658608	-0.376659	-0.063042	0.083627	-0.415897	-104.532907	-78.221215	-20.962124
20219		9.527331	-0.537639	-0.445115	-0.145774	0.083589	-0.401733	-104.685627	-78.455023	-20.891540
20220		9.597225	-0.364153	-0.533926	-0.221662	0.088169	-0.375042	-104.853007	-78.674051	-20.850453
20221		9.686826	-0.140738	-0.510157	-0.292493	0.089615	-0.357239	-105.049651	-78.884030	-20.820901
20222		9.710802	-0.062467	-0.605465	-0.387850	0.088719	-0.332586	-105.287773	-79.079820	-20.804791
20223		9.712396	-0.156713	-0.466044	-0.436601	0.088047	-0.297535	-105.533868	-79.256530	-20.808994
20224		9.664792	-0.365446	-0.207265	-0.438551	0.075035	-0.261923	-105.793003	-79.411413	-20.801060
20225		9.718592	-0.549481	-0.500345	-0.482866	0.082677	-0.234497	-106.036444	-79.552546	-20.834919
20226		9.844072	-0.701746	-0.672619	-0.496570	0.084660	-0.213125	-106.265060	-79.682266	-20.891794
20227		10.055580	-0.584079	-0.926915	-0.537610	0.107069	-0.196474	-106.436920	-79.806472	-21.030242
20228		10.021483	-0.837235	-1.116471	-0.583500	0.131752	-0.175949	-106.540151	-79.923617	-21.265035
20229		9.963340	-1.170928	-1.128734	-0.565759	0.134060	-0.164923	-106.614586	-80.035005	-21.518695
20230		9.835002	-1.620126	-1.289549	-0.550486	0.158420	-0.144209	-106.582024	-80.139234	-21.871980
20231		9.793073	-1.897424	-1.139963	-0.459936	0.159481	-0.135576	-106.481453	-80.238613	-22.241549
20232		9.880489	-1.758654	-1.166294	-0.422056	0.183455	-0.131846	-106.274025	-80.339809	-22.697391
20233		9.978501	-1.445679	-0.982986	-0.414594	0.202242	-0.134421	-105.995430	-80.444922	-23.220944
20234		9.910621	-1.442546	-0.665638	-0.429304	0.228668	-0.147736	-105.642296	-80.561166	-23.828454
20235		9.846567	-1.604456	-0.487591	-0.443561	0.231233	-0.164838	-105.291123	-80.686480	-24.442035
20236		9.758694	-1.508576	-0.656899	-0.493280	0.255653	-0.172041	-104.879759	-80.818906	-25.145243
20237		9.596421	-1.598679	-0.574469	-0.530180	0.266930	-0.175926	-104.436162	-80.954119	-25.902236
20238		9.468318	-1.893812	-0.105712	-0.490299	0.254451	-0.188923	-104.008618	-81.094023	-26.619566
20239		9.438223	-2.372376	0.005182	-0.447086	0.242766	-0.217336	-103.603105	-81.247175	-27.289245
20240		9.488991	-2.875206	-0.165674	-0.407365	0.246897	-0.233916	-103.155634	-81.409412	-27.978077
20241		9.578228	-3.280187	-0.478529	-0.346621	0.250265	-0.245291	-102.646877	-81.577495	-28.693371
20242		9.589768	-3.520509	-0.632450	-0.232601	0.248467	-0.255812	-102.063737	-81.750071	-29.417542
20243		9.557442	-3.586232	-0.791831	-0.077369	0.232083	-0.279033	-101.445393	-81.932807	-30.087060
20244		9.507339	-3.499743	-0.711258	0.074798	0.227865	-0.311497	-100.752295	-82.131767	-30.743801
20245		9.608892	-3.322437	-0.716053	0.173355	0.225271	-0.343359	-100.000667	-82.347716	-31.402201
20246		9.914905	-3.158466	-0.541276	0.249206	0.227444	-0.378161	-99.180493	-82.581537	-32.085701
20247		10.140173	-3.009947	-0.346193	0.310244	0.248612	-0.416192	-98.204520	-82.838055	-32.890490
20248		10.132454	-2.706829	-0.211366	0.308310	0.283952	-0.465156	-97.028163	-83.122106	-33.897997
20249		9.903187	-2.242183	-0.356797	0.236737	0.303905	-0.491285	-95.713203	-83.420561	-35.085561
20250		9.552234	-1.742583	-0.228879	0.168246	0.258017	-0.512915	-94.569264	-83.724784	-36.140005
20251		9.724352	-1.052690	-0.254671	0.132209	0.185975	-0.516409	-93.727678	-84.027079	-36.910304
20252		9.822550	-0.113738	-0.023023	0.157457	0.185238	-0.482152	-92.782787	-84.307244	-37.769716
20253		9.636072	1.074045	0.408435	0.247672	0.122139	-0.388072	-92.049019	-84.531905	-38.364465
20254		9.561948	2.478682	0.566228	0.301225	0.022013	-0.235074	-91.822649	-84.665545	-38.418742
20255		9.800976	3.613172	0.849560	0.316397	-0.044221	-0.062073	-91.955280	-84.699837	-38.103541
20256		10.021608	4.244550	1.246279	0.287413	-0.011509	0.068108	-91.878311	-84.659778	-38.015612
20257		10.018808	3.987728	1.435061	0.077792	0.077182	0.151181	-91.367492	-84.574039	-38.483994
20258		9.654755	3.216047	1.399286	-0.255112	0.208883	0.249362	-90.276982	-84.432814	-39.726406
20259		8.972095	2.321057	0.491949	-0.810447	0.253476	0.403769	-89.317676	-84.200623	-41.157164
20260		8.485238	1.152061	-0.612726	-1.306643	0.165959	0.567365	-89.220248	-83.874855	-42.007761
20261		8.688697	-0.016500	-0.889958	-1.545679	0.042083	0.659438	-89.937786	-83.496552	-42.176930
20262		9.216218	-0.679791	-0.494742	-1.685932	0.032893	0.658439	-90.746589	-83.120066	-42.335074
20263		9.564348	-1.266510	-0.274851	-1.861225	0.092790	0.602286	-91.354237	-82.775638	-42.797398
20264		9.558675	-1.789582	0.187380	-1.938529	0.146699	0.536235	-91.771958	-82.471407	-43.496057
20265		9.299364	-2.292482	0.232835	-1.898211	0.158899	0.468979	-92.135318	-82.205540	-44.226886
20266		8.950282	-2.896744	-0.318544	-1.720178	0.126893	0.429169	-92.545092	-81.963265	-44.808150
20267		8.806936	-3.291147	-0.828347	-1.377184	0.057665	0.397170	-93.045215	-81.737125	-45.100114
20268		8.853811	-3.309550	-0.855675	-0.907495	-0.025265	0.342641	-93.604191	-81.540434	-45.060637
20269		9.023450	-3.203057	-0.398079	-0.413221	-0.066263	0.262484	-94.044552	-81.387335	-44.854825
20270		9.091340	-2.785393	0.429674	0.068797	-0.092832	0.153164	-94.329294	-81.295752	-44.526945
20271		9.112864	-2.203309	1.279397	0.513572	-0.117315	0.022111	-94.483614	-81.277419	-44.073203
20272		9.471281	-1.642155	2.098128	0.934763	-0.125883	-0.124850	-94.471901	-81.342771	-43.543264
20273		9.858469	-1.225733	2.681546	1.099181	-0.047428	-0.220980	-94.101905	-81.466466	-43.280596
20274		9.570151	-0.603346	2.649875	0.907987	0.044319	-0.179965	-93.472447	-81.570762	-43.390963
20275		9.162643	0.115799	1.261767	0.478019	-0.037424	-0.029292	-93.368218	-81.585745	-43.219528
20276		9.398513	0.209843	0.062749	0.154083	-0.179486	0.136590	-93.949905	-81.500996	-42.542055
20277		10.033894	0.119967	-0.261331	0.025853	-0.203102	0.170470	-94.675859	-81.394314	-41.793029
20278		10.308835	0.187561	-0.267503	-0.107978	-0.101556	0.083087	-95.106064	-81.342009	-41.420300
20279		10.147038	0.129790	-0.456451	-0.433461	-0.001053	-0.031344	-95.386890	-81.359261	-41.387526
20280		9.886424	-0.749750	-0.781302	-0.756612	-0.007965	-0.080365	-95.893769	-81.404915	-41.313117
20281		9.879811	-2.174038	-0.904293	-0.752170	-0.093485	-0.087607	-96.732282	-81.448290	-40.901031
20282		9.928172	-3.338582	-0.636346	-0.457988	-0.148814	-0.067278	-97.604557	-81.476098	-40.284155
20283		9.844157	-3.852648	-0.201510	-0.138391	-0.162423	-0.046624	-98.341779	-81.488941	-39.618958
20284		9.621413	-3.567234	0.153216	0.043675	-0.158448	-0.020016	-98.942247	-81.486486	-38.986375
20285		9.567980	-2.679707	0.265758	0.127253	-0.193860	-0.007416	-99.623263	-81.471998	-38.224105
20286		9.717457	-1.441907	0.014887	0.129658	-0.195858	-0.005041	-100.302250	-81.455006	-37.462289
20287		9.812973	-0.397726	-0.336852	0.058199	-0.162650	-0.021416	-100.910852	-81.449088	-36.813200
20288		9.841302	0.163891	-0.436446	-0.046294	-0.122729	-0.042482	-101.441406	-81.458942	-36.303400
20289		9.852635	-0.020536	-0.503586	-0.190341	-0.087170	-0.051974	-101.934119	-81.477112	-35.915521
20290		9.823113	-0.756679	-0.465849	-0.331194	-0.076609	-0.051105	-102.465873	-81.496214	-35.569585
20291		9.722690	-1.679212	-0.547044	-0.391214	-0.079972	-0.057141	-103.055099	-81.517101	-35.200529
20292		9.815658	-2.471176	-0.873810	-0.304327	-0.061791	-0.095880	-103.560417	-81.562142	-34.865810
20293		9.847459	-2.479994	-0.469385	-0.104295	-0.048634	-0.114869	-103.926484	-81.618486	-34.556240
20294		9.856159	-2.255364	-0.261411	0.057649	-0.070163	-0.099413	-104.267759	-81.663483	-34.177818
20295		9.822078	-1.947484	-0.253416	0.136850	-0.079380	-0.074595	-104.580827	-81.692549	-33.782245
20296		9.796562	-1.654925	-0.475770	0.120055	-0.081632	-0.052387	-104.888857	-81.709110	-33.401354
20297		9.605755	-1.383369	-0.741347	0.081173	-0.085931	-0.064526	-105.252668	-81.730982	-32.986783
20298		9.605277	-1.189246	-0.622122	0.119807	-0.095516	-0.084113	-105.650822	-81.762224	-32.515025
20299		9.657240	-1.318811	-0.377316	0.135646	-0.073529	-0.088351	-105.966802	-81.798395	-32.117310
