// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BAF3
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
11250		9.720410	-0.948739	-0.148623	0.101087	0.031474	-0.026091	-98.350217	-83.088326	-40.978376
11251		9.715392	-0.938556	-0.091114	0.081180	0.027722	-0.025425	-98.213070	-83.104350	-41.069732
11252		9.738365	-0.979694	-0.178934	0.051167	0.028428	-0.026651	-98.084662	-83.120391	-41.169641
11253		9.684434	-1.013574	-0.198094	0.028907	0.026455	-0.028406	-97.984400	-83.137957	-41.254005
11254		9.707138	-1.076111	-0.250097	0.027691	0.024176	-0.027819	-97.889396	-83.154309	-41.333810
11255		9.689494	-1.193574	-0.220840	0.038493	0.015996	-0.030134	-97.833419	-83.172006	-41.368034
11256		9.666927	-1.281587	-0.174694	0.046396	0.010723	-0.028320	-97.791343	-83.187581	-41.383737
11257		9.721078	-1.264000	-0.114234	0.054708	0.014027	-0.025233	-97.731845	-83.202336	-41.412148
11258		9.743905	-1.192494	-0.119917	0.062056	0.018773	-0.022828	-97.638529	-83.215398	-41.470414
11259		9.747487	-1.095116	-0.175605	0.057941	0.019402	-0.018116	-97.546494	-83.226508	-41.529725
11260		9.730644	-1.036025	-0.171660	0.054118	0.032595	-0.020658	-97.389613	-83.239348	-41.656579
11261		9.713363	-0.998346	-0.130923	0.032675	0.030340	-0.017913	-97.258797	-83.251108	-41.769516
11262		9.691544	-1.044556	-0.155825	0.020273	0.035100	-0.016100	-97.105588	-83.261487	-41.912192
11263		9.674785	-1.120447	-0.197735	0.018825	0.036552	-0.014042	-96.949616	-83.271413	-42.058446
11264		9.682037	-1.117514	-0.160234	0.037355	0.034269	-0.012853	-96.787956	-83.279809	-42.199774
11265		9.679767	-1.169364	-0.170736	0.062252	0.036773	-0.003767	-96.599386	-83.283803	-42.353793
11266		9.692946	-1.208332	-0.025829	0.088870	0.035482	-0.004381	-96.397088	-83.287354	-42.506321
11267		9.687935	-1.178362	-0.004471	0.113281	0.025913	-0.005262	-96.232246	-83.291395	-42.607005
11268		9.720304	-1.033102	0.002810	0.089070	0.032849	-0.002065	-96.040944	-83.293354	-42.748344
11269		9.732600	-0.904493	0.032518	0.059538	0.031010	-0.003705	-95.881107	-83.296739	-42.874992
11270		9.723766	-0.937546	-0.048853	0.019581	0.028535	0.000192	-95.749146	-83.297100	-42.996669
11271		9.667363	-1.026907	-0.082581	-0.008157	0.026402	-0.002428	-95.649646	-83.299426	-43.101619
11272		9.636152	-1.129228	-0.156519	-0.015258	0.023959	0.000058	-95.559885	-83.299583	-43.200906
11273		9.669981	-1.264866	-0.118450	-0.004113	0.026896	-0.003329	-95.455978	-83.302409	-43.307959
11274		9.688993	-1.290726	-0.065433	0.010283	0.025265	0.002597	-95.344067	-83.301144	-43.414780
11275		9.701575	-1.297493	-0.082684	0.037884	0.022524	0.002703	-95.234534	-83.300251	-43.503270
11276		9.703358	-1.266349	-0.028733	0.057367	0.028758	0.002405	-95.078861	-83.299209	-43.627012
11277		9.745884	-1.180958	-0.056507	0.055280	0.025368	0.004675	-94.944781	-83.297282	-43.730183
11278		9.772844	-1.163034	-0.042198	0.047488	0.028061	0.005172	-94.797121	-83.294550	-43.851593
11279		9.760765	-1.135985	-0.055565	0.036020	0.031405	0.007636	-94.643739	-83.291156	-43.985311
11280		9.719351	-1.179947	-0.094129	0.035190	0.031666	0.003129	-94.486644	-83.289685	-44.123301
11281		9.691102	-1.240871	-0.028623	0.039468	0.028427	0.000780	-94.348535	-83.289993	-44.239652
11282		9.612491	-1.243488	-0.044750	0.046550	0.023422	-0.001859	-94.226822	-83.290941	-44.335454
11283		9.605013	-1.266492	-0.039197	0.051672	0.019914	0.000297	-94.123216	-83.291113	-44.410023
11284		9.605659	-1.245554	-0.073237	0.055235	0.020424	0.002138	-94.009645	-83.289601	-44.492562
