// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
11250		9.566112	-1.010110	-2.008056	0.114309	0.001228	-0.054170	-152.130029	-77.045223	44.310362
11251		9.520518	-1.009066	-2.035845	0.129620	0.001387	-0.048668	-152.150858	-77.061822	44.405578
11252		9.537970	-1.017127	-2.020206	0.149985	-0.006521	-0.048755	-152.165989	-77.073698	44.507220
11253		9.504314	-0.995903	-2.048176	0.150889	-0.004422	-0.048024	-152.180225	-77.087169	44.608164
11254		9.515695	-0.916519	-2.007397	0.138012	-0.002435	-0.047300	-152.194529	-77.100727	44.701904
11255		9.537482	-0.926952	-1.957834	0.108416	-0.002275	-0.046569	-152.227627	-77.114883	44.797222
11256		9.566928	-0.913198	-1.942656	0.085584	-0.004523	-0.041085	-152.260982	-77.125689	44.879586
11257		9.575457	-0.915161	-1.996381	0.065703	-0.008973	-0.043487	-152.319777	-77.135597	44.976153
11258		9.576367	-0.940780	-2.015843	0.056741	0.001587	-0.039511	-152.359344	-77.149083	45.047980
11259		9.560350	-0.956432	-2.049481	0.048061	-0.000287	-0.045842	-152.423648	-77.163988	45.139820
11260		9.533466	-1.021793	-1.980751	0.044858	0.001796	-0.045845	-152.484297	-77.179215	45.226241
11261		9.530686	-1.044438	-1.912064	0.036777	-0.002120	-0.047440	-152.561133	-77.193564	45.324291
11262		9.505757	-1.026469	-1.872792	0.033210	-0.004211	-0.043501	-152.630520	-77.205080	45.412985
11263		9.539573	-1.013768	-1.824254	0.034229	-0.006773	-0.045098	-152.709308	-77.216389	45.511531
11264		9.563841	-0.967765	-1.824767	0.043978	-0.012150	-0.042765	-152.780347	-77.223627	45.608149
11265		9.596988	-0.955205	-1.898716	0.062664	-0.010717	-0.043595	-152.844277	-77.232478	45.708158
11266		9.563773	-0.961467	-1.947627	0.075982	-0.007672	-0.046004	-152.899348	-77.242814	45.807153
11267		9.550674	-0.922761	-1.908586	0.091857	-0.011027	-0.052394	-152.966988	-77.253754	45.928107
11268		9.562841	-0.898318	-1.909135	0.085848	-0.016128	-0.049255	-153.033789	-77.260588	46.044886
11269		9.583797	-0.878709	-1.841485	0.074174	-0.011104	-0.045292	-153.095867	-77.269584	46.149743
11270		9.566944	-0.866151	-1.856191	0.050501	-0.002827	-0.042071	-153.151728	-77.281312	46.234349
11271		9.525564	-0.867580	-1.850779	0.030542	0.002086	-0.039645	-153.211165	-77.295546	46.310862
11272		9.492420	-0.874157	-1.899146	0.018787	-0.000850	-0.031703	-153.259720	-77.305594	46.369468
11273		9.506902	-0.935681	-1.957651	0.019811	-0.003414	-0.033292	-153.317410	-77.315345	46.437880
11274		9.537675	-0.978398	-1.982394	0.033715	-0.008707	-0.030179	-153.363104	-77.320978	46.502530
11275		9.548158	-1.038110	-1.953672	0.046839	-0.015245	-0.025484	-153.401161	-77.322639	46.566689
11276		9.607796	-1.070100	-1.964348	0.054879	-0.011317	-0.023943	-153.423608	-77.325317	46.619780
11277		9.607868	-1.069101	-1.964539	0.058433	-0.005270	-0.020015	-153.431226	-77.330678	46.659547
11278		9.629634	-1.080007	-1.915252	0.051969	0.003598	-0.017633	-153.423969	-77.339368	46.680491
11279		9.558344	-1.067426	-1.904220	0.050157	0.004912	-0.014470	-153.412096	-77.348526	46.695419
11280		9.586752	-1.026854	-1.869486	0.050943	0.003801	-0.007356	-153.381725	-77.354675	46.691937
11281		9.515288	-1.015050	-1.858887	0.058860	-0.004215	-0.009762	-153.364546	-77.357951	46.706536
11282		9.527082	-0.994619	-1.859061	0.077172	-0.009260	0.002021	-153.312665	-77.355018	46.696439
11283		9.496267	-0.950750	-1.834966	0.079734	-0.009349	-0.002759	-153.273421	-77.353868	46.700683
11284		9.478099	-0.914306	-1.830642	0.082231	-0.013403	0.004343	-153.218105	-77.348243	46.690253
11285		9.448034	-0.899386	-1.826082	0.065056	-0.007665	0.004404	-153.169022	-77.346104	46.675793
11286		9.513318	-0.853814	-1.831986	0.048240	-0.006446	0.010028	-153.112342	-77.342569	46.643788
11287		9.567525	-0.858444	-1.856775	0.031692	-0.002696	0.014856	-153.052886	-77.340252	46.599104
11288		9.583040	-0.842622	-1.944684	0.017570	0.004068	0.020454	-152.977999	-77.339357	46.530553
11289		9.533836	-0.872655	-1.904372	0.012995	0.006908	0.017303	-152.912583	-77.341280	46.468782
11290		9.529359	-0.872375	-1.937881	0.005223	0.005501	0.014981	-152.855687	-77.342529	46.411102
11291		9.533775	-0.875677	-1.903291	-0.002036	0.002809	0.011870	-152.815960	-77.343757	46.366833
11292		9.570161	-0.841424	-1.923459	-0.010847	-0.002362	0.011944	-152.784338	-77.341800	46.325986
11293		9.580532	-0.903461	-1.893659	-0.016625	0.002144	0.008004	-152.762512	-77.343692	46.291497
11294		9.580512	-0.903870	-1.893567	-0.021281	0.003368	0.008026	-152.739106	-77.345662	46.253114
11295		9.586513	-0.963405	-1.897733	-0.024136	0.003262	0.004877	-152.727352	-77.348940	46.224538
11296		9.538126	-1.019921	-1.877287	-0.028281	0.003201	0.004108	-152.717108	-77.351863	46.195356
11297		9.513585	-1.033578	-1.857395	-0.026217	0.004398	0.000134	-152.715963	-77.356962	46.176431
11298		9.489780	-1.075676	-1.857071	-0.031846	-0.002860	0.000188	-152.723767	-77.357852	46.163485
11299		9.502332	-1.082680	-1.877450	-0.017448	-0.009438	0.002501	-152.728418	-77.355285	46.155649
11300		9.552889	-1.111833	-1.956485	-0.006320	-0.006878	-0.001526	-152.730138	-77.354586	46.151634
11301		9.544561	-1.106598	-1.903258	0.006555	-0.003267	0.002347	-152.714164	-77.355202	46.136756
11302		9.536228	-1.101750	-1.849853	0.015868	-0.005715	0.002302	-152.693133	-77.354078	46.122196
