// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
11250		-0.692690	-9.778908	0.648439	-0.010459	-0.003689	-0.005693	-86.256723	3.836107	-24.047248
11251		-0.688604	-9.761129	0.663579	-0.011798	-0.003881	-0.000753	-86.259032	3.835096	-24.046324
11252		-0.686946	-9.777750	0.680412	-0.009985	-0.003070	0.001089	-86.260638	3.834591	-24.045819
11253		-0.688677	-9.761253	0.661667	-0.008354	-0.003126	0.000963	-86.260997	3.834587	-24.045264
11254		-0.692469	-9.779179	0.644582	-0.009915	-0.001090	0.000212	-86.262641	3.833655	-24.045926
11255		-0.696205	-9.797085	0.627813	-0.001954	-0.004770	-0.000087	-86.259275	3.832987	-24.044468
11256		-0.712693	-9.759719	0.663819	-0.001687	0.000613	-0.001297	-86.256273	3.831256	-24.046162
11257		-0.664618	-9.763023	0.656080	-0.003475	-0.005829	0.002885	-86.253732	3.832248	-24.043985
11258		-0.692441	-9.779265	0.643307	-0.003571	-0.002178	-0.002261	-86.251706	3.829861	-24.044117
11259		-0.692477	-9.779283	0.642991	-0.003348	-0.004406	0.003430	-86.249147	3.831216	-24.042734
11260		-0.687274	-9.777986	0.676680	-0.004768	0.001589	0.000925	-86.247943	3.830791	-24.044905
11261		-0.692780	-9.779313	0.642209	-0.003334	-0.001869	0.001130	-86.245479	3.830924	-24.045062
11262		-0.689316	-9.761437	0.658282	0.000096	-0.003652	0.005145	-86.241277	3.832716	-24.044071
11263		-0.691852	-9.795822	0.660045	0.001799	-0.001727	0.004142	-86.235872	3.834576	-24.044196
11264		-0.695548	-9.762660	0.624585	0.003430	-0.001783	0.004015	-86.229834	3.835792	-24.044318
11265		-0.688956	-9.777843	0.677040	0.006678	-0.004431	0.006063	-86.221529	3.838646	-24.042820
11266		-0.689217	-9.777779	0.677703	0.006329	-0.003625	-0.000174	-86.213770	3.837398	-24.042045
11267		-0.691158	-9.761184	0.660099	-0.001282	-0.000750	0.006363	-86.210165	3.840561	-24.042645
11268		-0.667770	-9.762793	0.656304	0.000405	-0.001363	0.007660	-86.205866	3.843877	-24.042868
11269		-0.718725	-9.793856	0.665449	-0.001354	-0.002730	0.007241	-86.202225	3.847464	-24.042300
11270		-0.689445	-9.743192	0.676043	-0.002914	-0.000694	0.006490	-86.199857	3.850136	-24.042951
11271		-0.693880	-9.761033	0.659479	-0.004617	-0.002619	0.007494	-86.198090	3.853872	-24.042435
11272		-0.698398	-9.778851	0.643159	0.002162	0.000003	0.008078	-86.192836	3.857479	-24.043425
11273		-0.699100	-9.778792	0.643286	0.000151	-0.004209	0.006569	-86.188280	3.860625	-24.042033
11274		-0.722151	-9.793626	0.665120	0.003540	-0.002898	0.006861	-86.182128	3.863426	-24.041407
11275		-0.670978	-9.779028	0.674012	0.000531	0.000059	0.008205	-86.177518	3.867670	-24.042396
11276		-0.697454	-9.760741	0.660039	0.002035	-0.001419	0.007533	-86.172284	3.870911	-24.042590
11277		-0.716831	-9.757703	0.698005	0.000404	-0.001363	0.007660	-86.167694	3.874787	-24.042785
11278		-0.723125	-9.758946	0.663907	-0.000918	0.000981	0.010300	-86.164238	3.879702	-24.044248
11279		-0.674342	-9.778793	0.674069	-0.002677	-0.000385	0.009881	-86.161445	3.884887	-24.044917
11280		-0.699501	-9.777057	0.677580	-0.002368	0.001903	0.012395	-86.158849	3.891035	-24.046827
11281		-0.724863	-9.775305	0.681023	-0.003945	0.001402	0.013945	-86.156842	3.898608	-24.048363
11282		-0.698264	-9.759071	0.692987	-0.005886	-0.000829	0.011558	-86.156159	3.904173	-24.048740
11283		-0.728763	-9.758644	0.662182	-0.004437	-0.001751	0.009463	-86.154322	3.909063	-24.048641
11284		-0.700103	-9.759021	0.691822	-0.009114	0.004359	0.007211	-86.155702	3.912342	-24.052158
11285		-0.709869	-9.778182	0.640765	-0.006289	0.000535	0.003898	-86.155030	3.914139	-24.053583
11286		-0.710216	-9.778192	0.640226	-0.004785	-0.000944	0.003225	-86.153734	3.914936	-24.054215
11287		-0.699601	-9.775644	0.707748	-0.008231	-0.001696	0.001510	-86.154099	3.915282	-24.054453
11288		-0.705335	-9.776945	0.673132	-0.002971	-0.000137	0.005067	-86.151789	3.917163	-24.055476
11289		-0.725916	-9.757412	0.692652	-0.006599	-0.001753	0.001384	-86.151216	3.917432	-24.055686
11290		-0.726083	-9.757456	0.691862	-0.009735	-0.000216	0.002183	-86.152787	3.917661	-24.056775
11291		-0.709982	-9.794877	0.654801	-0.008067	-0.003369	0.005778	-86.152978	3.920382	-24.055890
11292		-0.708353	-9.760464	0.652484	-0.006435	-0.003426	0.005652	-86.152523	3.922471	-24.055006
11293		-0.699762	-9.741341	0.702183	-0.006253	-0.002561	0.007620	-86.151705	3.926275	-24.054512
11294		-0.706480	-9.793588	0.687076	-0.004494	-0.001196	0.008040	-86.150219	3.929815	-24.054813
11295		-0.732847	-9.775296	0.672556	-0.004676	-0.002061	0.006071	-86.148519	3.932751	-24.054666
11296		-0.729703	-9.757446	0.688182	-0.007684	0.000899	0.007417	-86.148945	3.936015	-24.056192
11297		-0.689282	-9.745523	0.628124	-0.004677	-0.002061	0.006071	-86.147246	3.938953	-24.056044
11298		-0.712083	-9.760416	0.649126	-0.008434	-0.005097	0.001841	-86.147880	3.938798	-24.054349
11299		-0.705439	-9.775763	0.700273	-0.007812	-0.000524	0.006871	-86.148041	3.942250	-24.055050
11300		-0.715313	-9.794834	0.649611	0.000145	-0.004213	0.006566	-86.143782	3.944832	-24.053679
11301		-0.706569	-9.775716	0.699790	-0.003228	-0.002982	0.003975	-86.141228	3.946532	-24.053083
11302		-0.686324	-9.744233	0.660049	-0.003064	-0.004657	0.008243	-86.138786	3.950055	-24.051393
11303		-0.728095	-9.756120	0.719242	-0.003119	-0.004099	0.006820	-86.136117	3.953336	-24.050046
11304		-0.686070	-9.760753	0.677426	-0.001359	-0.002734	0.007240	-86.132777	3.956359	-24.049497
11305		-0.734810	-9.757297	0.684857	-0.001414	-0.002176	0.005817	-86.129208	3.959139	-24.049291
11306		-0.683637	-9.742843	0.693350	-0.002882	-0.003793	0.010212	-86.126690	3.963820	-24.048019
11307		-0.710607	-9.775529	0.698303	-0.006364	-0.001444	0.004776	-86.125988	3.966031	-24.048273
11308		-0.707335	-9.757690	0.714092	-0.003120	-0.004099	0.006820	-86.123603	3.968761	-24.046957
11309		-0.718820	-9.760157	0.645587	-0.004678	-0.002060	0.006072	-86.121904	3.971688	-24.046809
