// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
15775		7.123044	4.002234	1.995572	-0.657792	-1.355072	1.726416	61.634788	-60.880538	-97.325037
15776		7.590391	3.662449	2.226426	-0.370151	-1.428728	1.894042	61.808471	-62.225707	-97.761611
15777		8.276073	3.787554	2.590729	-0.268313	-1.347938	2.010043	61.924975	-63.608544	-98.064303
15778		8.130052	3.586870	1.951204	-0.276340	-1.206938	2.137115	61.839156	-65.016018	-98.142778
15779		8.406330	4.065779	1.974674	-0.221366	-1.256719	2.212013	61.792642	-66.476288	-98.230080
15780		9.015506	4.389203	2.084480	-0.419405	-1.221477	2.220233	61.587614	-67.929682	-98.266471
15781		9.320059	4.312155	2.296131	-0.583087	-1.156506	2.213667	61.187960	-69.363513	-98.195318
15782		9.749240	3.585911	2.429517	-0.797789	-1.088409	2.168274	60.571186	-70.753691	-98.023684
15783		10.099662	2.832955	2.826384	-0.967996	-1.023182	2.123165	59.727540	-72.103632	-97.718068
15784		10.211023	1.966017	2.941731	-1.095458	-0.981093	2.093848	58.681770	-73.423293	-97.278646
15785		10.345678	0.856921	2.657253	-1.146526	-0.843369	2.014222	57.318448	-74.661124	-96.543242
15786		10.322604	-0.145299	2.587356	-0.910167	-0.824300	1.975321	55.934117	-75.867507	-95.649573
15787		10.774045	-0.862843	2.191125	-0.705326	-0.785359	1.890631	54.498204	-77.016964	-94.587533
15788		11.232941	-1.625181	2.005050	-0.349956	-0.692997	1.812914	52.967724	-78.091052	-93.224258
15789		11.736285	-2.175011	1.816148	0.003877	-0.596050	1.734678	51.279084	-79.088343	-91.498637
15790		11.906733	-2.433014	1.663932	0.270098	-0.459125	1.633545	49.293397	-79.978590	-89.320885
15791		11.974135	-2.580245	0.938040	0.520988	-0.373416	1.490686	47.174541	-80.761257	-86.868302
15792		12.879018	-2.814570	0.008282	0.810477	-0.309716	1.256711	45.278703	-81.406532	-84.478296
15793		13.074301	-2.736667	0.015364	1.032811	-0.132089	1.038652	43.323878	-81.879311	-81.903678
15794		12.070848	-2.137345	1.876849	1.033532	0.001772	0.872262	41.258842	-82.217885	-79.219917
15795		10.973001	-0.971586	2.333141	0.879822	0.208106	0.627447	39.157151	-82.361713	-76.589632
15796		9.593652	-0.108445	1.442712	1.022482	0.302357	0.367769	37.699644	-82.359968	-74.527322
15797		9.180106	0.859620	1.051611	1.215444	0.224018	0.150522	37.296714	-82.313340	-73.417358
15798		9.175457	1.369539	1.438876	1.045934	0.145002	0.051214	37.340945	-82.268035	-72.856599
15799		9.428162	1.870189	1.901781	0.761797	0.131363	0.036623	37.309682	-82.223607	-72.383813
15800		9.300109	2.209685	1.467416	0.585682	0.209921	0.038968	36.976312	-82.144039	-71.707904
15801		9.083017	2.447953	0.490881	0.566087	0.224876	0.055013	36.552578	-82.062372	-70.951936
15802		8.783804	2.511585	0.131163	0.596629	0.180901	0.099449	36.118061	-82.015317	-70.167257
15803		8.770302	2.644576	0.738935	0.507424	0.121144	0.160777	35.576412	-82.015664	-69.325997
15804		8.899738	2.517784	1.022503	0.265919	0.152892	0.219180	34.629411	-82.018780	-68.215034
15805		8.955005	2.305204	0.723290	0.108973	0.169019	0.259200	33.416180	-82.024224	-66.926169
15806		9.149470	2.086679	0.553044	0.063437	0.144203	0.273191	32.185921	-82.041980	-65.646298
15807		9.343066	1.651262	0.756980	0.034602	0.132246	0.284060	30.916396	-82.065114	-64.343719
15808		9.448033	0.939395	0.998066	0.015741	0.124052	0.293187	29.619175	-82.090731	-63.023921
15809		9.701547	-0.018201	1.100637	0.031739	0.134264	0.279075	28.348617	-82.103379	-61.722092
15810		9.794853	-0.752159	1.060194	0.243851	0.139613	0.243785	27.321740	-82.100180	-60.543364
15811		9.632025	-0.674210	0.909006	0.588995	0.119152	0.211490	26.644799	-82.096717	-59.518500
15812		9.380350	0.078636	0.881376	0.923660	0.052368	0.183786	26.389085	-82.119296	-58.725165
15813		9.335873	0.668911	0.971541	1.078958	-0.037458	0.159460	26.469697	-82.181556	-58.181766
15814		9.485086	0.639130	1.065408	1.049178	-0.098161	0.137443	26.730773	-82.269579	-57.837669
15815		9.723474	0.433147	1.258569	0.926626	-0.120365	0.137312	26.958495	-82.369027	-57.530998
15816		9.810998	0.287063	1.421170	0.786904	-0.099819	0.152771	27.009487	-82.462208	-57.126720
15817		9.699253	0.452575	1.609452	0.731837	-0.088273	0.157939	26.976367	-82.550742	-56.669662
15818		9.629632	0.347447	1.767902	0.736141	-0.094002	0.144660	27.008381	-82.638826	-56.275752
15819		9.702607	0.553827	1.936074	0.754437	-0.080176	0.135616	27.050167	-82.717454	-55.881340
15820		9.606445	0.414711	1.572189	0.647003	-0.047952	0.126056	27.003091	-82.777137	-55.459325
15821		9.549595	0.262163	0.860845	0.649486	-0.062774	0.113278	27.031888	-82.841057	-55.112544
15822		9.699292	0.366521	0.443405	0.694974	-0.056385	0.094940	27.149766	-82.896986	-54.829194
15823		9.597177	0.657382	0.323957	0.752096	-0.042398	0.082204	27.318306	-82.942542	-54.564070
15824		9.415384	0.862003	0.553664	0.654121	-0.074002	0.092920	27.457221	-83.007185	-54.325572
15825		9.393928	0.850784	0.771505	0.421511	-0.067988	0.102282	27.404767	-83.071166	-54.028699
15826		9.503818	0.693995	0.486979	0.260184	-0.061674	0.093797	27.283298	-83.129776	-53.755325
15827		9.722427	0.514366	0.193047	0.187109	-0.078249	0.092204	27.154431	-83.196210	-53.516833
15828		9.864206	0.336945	0.290862	0.186733	-0.101512	0.079030	27.135496	-83.271249	-53.389168
15829		10.033768	0.083525	0.490820	0.145329	-0.106471	0.080460	27.090278	-83.348957	-53.259075
15830		9.989982	-0.083776	0.679248	0.104472	-0.110848	0.076455	27.052733	-83.428185	-53.160184
15831		9.971561	-0.124028	0.982629	0.062227	-0.122932	0.062037	27.075743	-83.509477	-53.146731
15832		9.961903	0.095077	1.081293	0.041844	-0.110998	0.025662	27.229406	-83.575589	-53.276443
15833		9.763644	0.366488	1.106898	0.076612	-0.100151	-0.001738	27.500078	-83.628499	-53.503913
15834		9.704344	0.241487	1.336754	0.058182	-0.110289	-0.017948	27.867803	-83.682512	-53.839571
15835		9.648129	0.004594	1.274904	0.014133	-0.108110	-0.020800	28.219070	-83.734008	-54.184093
15836		9.575930	-0.304844	0.882172	0.045267	-0.095363	-0.017156	28.549317	-83.780234	-54.489445
15837		9.636798	-0.314406	0.685656	0.121384	-0.106596	-0.020440	28.967829	-83.830594	-54.839731
