// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
63556		9.527064	-1.439316	-1.493669	0.008869	-0.003552	0.071720	-144.951095	-78.676580	112.193696
63557		9.520432	-1.413244	-1.500978	0.012871	-0.003522	0.077275	-144.755592	-78.652010	111.999426
63558		9.571940	-1.398011	-1.517557	-0.004612	-0.004623	0.086043	-144.549587	-78.623887	111.784296
63559		9.595887	-1.383374	-1.513659	-0.023315	-0.008075	0.093482	-144.346689	-78.591526	111.561294
63560		9.624209	-1.331747	-1.589517	-0.039759	-0.003279	0.098287	-144.132571	-78.559628	111.317364
63561		9.575773	-1.313208	-1.595038	-0.053102	0.003038	0.094695	-143.927894	-78.531692	111.075085
63562		9.523329	-1.247889	-1.549180	-0.067084	0.000137	0.087695	-143.750180	-78.504620	110.852342
63563		9.512342	-1.259002	-1.478133	-0.099702	-0.007918	0.086291	-143.611543	-78.474185	110.650163
63564		9.546807	-1.190643	-1.405351	-0.118514	-0.009560	0.086580	-143.483751	-78.442766	110.448073
63565		9.601763	-1.184995	-1.391066	-0.138076	-0.006232	0.090784	-143.355970	-78.411389	110.234487
63566		9.611719	-1.175033	-1.407150	-0.146731	-0.003154	0.090625	-143.226355	-78.381369	110.014084
63567		9.628984	-1.220818	-1.441806	-0.147253	0.002025	0.081886	-143.111622	-78.356647	109.808406
63568		9.602576	-1.248869	-1.448371	-0.143482	0.000291	0.071356	-143.018742	-78.334679	109.627436
63569		9.590602	-1.269711	-1.436494	-0.139569	-0.004886	0.057149	-142.967066	-78.315199	109.490610
63570		9.585765	-1.345869	-1.444029	-0.125990	-0.005661	0.049910	-142.922197	-78.297849	109.368923
63571		9.625483	-1.354817	-1.507104	-0.108516	-0.010068	0.048233	-142.881600	-78.279039	109.261564
63572		9.596471	-1.404361	-1.631724	-0.075356	-0.014316	0.045718	-142.831891	-78.259131	109.164465
63573		9.590569	-1.373978	-1.640402	-0.047351	-0.010167	0.040041	-142.774892	-78.243075	109.076135
63574		9.549968	-1.405355	-1.665730	-0.031166	-0.009667	0.031842	-142.722930	-78.230060	109.002629
63575		9.514969	-1.351666	-1.626956	-0.024283	-0.015364	0.029008	-142.685834	-78.215435	108.948121
63576		9.506377	-1.381451	-1.582493	-0.020946	-0.019092	0.024040	-142.660888	-78.200808	108.908186
63577		9.518764	-1.389242	-1.624392	-0.017746	-0.019375	0.022764	-142.640523	-78.186516	108.874592
63578		9.474508	-1.374194	-1.598312	-0.024426	-0.018850	0.020055	-142.626054	-78.173371	108.843337
63579		9.435387	-1.392255	-1.565588	-0.042950	-0.014901	0.018528	-142.622015	-78.162586	108.811664
63580		9.474832	-1.364846	-1.544193	-0.058339	-0.022088	0.020906	-142.630448	-78.147665	108.783963
63581		9.495445	-1.416233	-1.547887	-0.076697	-0.021746	0.024600	-142.643974	-78.131654	108.750478
63582		9.541593	-1.445122	-1.546812	-0.082504	-0.022710	0.026864	-142.654437	-78.114362	108.710622
63583		9.557053	-1.463343	-1.557318	-0.083938	-0.019902	0.031045	-142.655204	-78.096952	108.659855
63584		9.559805	-1.510024	-1.612758	-0.081450	-0.022317	0.029990	-142.657757	-78.078736	108.612472
63585		9.553976	-1.478180	-1.622445	-0.072163	-0.021636	0.031673	-142.653430	-78.060318	108.563387
63586		9.530893	-1.513503	-1.597604	-0.057117	-0.012756	0.025899	-142.635196	-78.047884	108.509121
63587		9.528500	-1.492971	-1.573563	-0.046361	-0.015069	0.032307	-142.604115	-78.032230	108.447794
63588		9.527816	-1.495230	-1.575557	-0.030429	-0.014736	0.027791	-142.569932	-78.018218	108.392884
63589		9.547819	-1.441541	-1.578652	-0.021322	-0.015960	0.031305	-142.528357	-78.002491	108.335490
63590		9.547096	-1.444230	-1.580561	-0.009484	-0.019387	0.030112	-142.485039	-77.985528	108.283481
63591		9.596111	-1.413387	-1.630979	0.003595	-0.020483	0.030269	-142.439084	-77.968090	108.236198
63592		9.570987	-1.354940	-1.664328	0.015554	-0.020283	0.029110	-142.385243	-77.951035	108.188015
63593		9.588084	-1.397365	-1.699335	0.026860	-0.016863	0.030070	-142.320738	-77.935289	108.135387
63594		9.593682	-1.316027	-1.635914	0.029301	-0.019080	0.020113	-142.276386	-77.921928	108.105112
63595		9.593088	-1.318463	-1.637435	0.026694	-0.020312	0.021114	-142.236825	-77.907743	108.077891
63596		9.590871	-1.298482	-1.612690	0.030545	-0.016756	0.021453	-142.185298	-77.894937	108.040903
63597		9.562976	-1.300926	-1.592932	0.038120	-0.020335	0.018361	-142.145197	-77.881700	108.019823
63598		9.520553	-1.308951	-1.592209	0.039300	-0.023356	0.017819	-142.107325	-77.867164	108.001848
