// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
63556		9.771852	0.839783	0.231240	0.009697	-0.026544	-0.030019	63.697574	-84.155093	0.526712
63557		9.681972	0.963019	0.221729	0.005308	-0.031439	-0.022646	63.915950	-84.154700	0.310952
63558		9.699628	1.051931	0.394258	0.016209	-0.030532	-0.014989	64.115131	-84.157712	0.120786
63559		9.661245	1.178520	0.493042	-0.011108	-0.020848	-0.012538	64.246167	-84.159745	-0.016592
63560		9.690990	1.109216	0.336609	-0.027097	-0.016397	-0.008874	64.334611	-84.162308	-0.120383
63561		9.718329	1.090713	0.345375	-0.014937	-0.011071	0.004052	64.374076	-84.170427	-0.167937
63562		9.695034	1.076378	0.322934	-0.042787	-0.016677	0.008410	64.413304	-84.181971	-0.231290
63563		9.678827	1.007279	0.299345	-0.027326	-0.013647	0.017157	64.427305	-84.197489	-0.260366
63564		9.668873	1.101806	0.387512	-0.024102	-0.014788	0.011149	64.461356	-84.209976	-0.307752
63565		9.725263	1.042088	0.362071	-0.046129	-0.013711	0.015574	64.469079	-84.224679	-0.341363
63566		9.709057	0.972556	0.338597	-0.035150	-0.013818	0.018749	64.473549	-84.240853	-0.365377
63567		9.787342	0.946738	0.378859	-0.040155	-0.009330	0.019296	64.453312	-84.256393	-0.367439
63568		9.767902	0.879253	0.246995	-0.032898	-0.000585	0.014197	64.402214	-84.266944	-0.334307
63569		9.721215	0.870392	0.302868	-0.032622	-0.004706	0.016693	64.368733	-84.279991	-0.318742
63570		9.732971	0.771610	0.267815	-0.043619	-0.004406	0.021313	64.313259	-84.295160	-0.287387
63571		9.739293	0.726216	0.288733	-0.031383	0.000334	0.010857	64.268731	-84.303944	-0.260021
