// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
63556		-0.271756	9.712724	1.543669	0.047440	-0.009041	-0.077763	80.756505	1.486180	24.015257
63557		-0.262808	9.696973	1.575381	0.032141	-0.010240	-0.075222	80.775397	1.529321	24.002034
63558		-0.300063	9.643840	1.612387	0.028217	-0.007952	-0.070962	80.791954	1.569911	23.990568
63559		-0.312323	9.678097	1.560329	0.038531	-0.010156	-0.058431	80.814533	1.603572	23.978959
63560		-0.274012	9.656670	1.560469	0.036434	-0.010075	-0.052315	80.835798	1.633433	23.968025
63561		-0.302060	9.714495	1.526804	0.032019	-0.009806	-0.047465	80.854670	1.660931	23.957638
63562		-0.256767	9.659100	1.576925	0.020309	-0.005613	-0.047069	80.866775	1.688239	23.949723
63563		-0.341177	9.661442	1.562572	0.015369	-0.006789	-0.047330	80.876149	1.715939	23.941069
63564		-0.296513	9.644972	1.530828	0.022148	-0.007826	-0.045236	80.889268	1.742015	23.932078
63565		-0.332494	9.638230	1.540176	0.022325	-0.007347	-0.043538	80.902620	1.767523	23.923464
63566		-0.324461	9.723010	1.570250	0.028622	-0.010403	-0.040865	80.919409	1.790899	23.913423
63567		-0.329704	9.656509	1.522341	0.014668	-0.007183	-0.030330	80.928407	1.808954	23.906108
63568		-0.316172	9.640766	1.555908	0.027528	-0.006840	-0.030200	80.944658	1.826624	23.899057
63569		-0.327977	9.728864	1.530090	0.021275	-0.008699	-0.029945	80.957412	1.844327	23.890926
63570		-0.345265	9.698463	1.521763	0.006929	-0.005877	-0.028517	80.961879	1.861137	23.884579
63571		-0.331263	9.682559	1.556619	0.008633	-0.009136	-0.022675	80.967399	1.874689	23.876860
63572		-0.326223	9.641198	1.551152	-0.000462	-0.007934	-0.026044	80.967598	1.889917	23.869572
63573		-0.324855	9.692706	1.488743	0.002684	-0.005121	-0.021944	80.969782	1.903418	23.864193
63574		-0.346678	9.657008	1.515388	-0.000246	-0.008020	-0.018637	80.970124	1.914450	23.857521
63575		-0.339349	9.682313	1.556410	-0.006193	-0.008344	-0.020666	80.967163	1.926937	23.850432
63576		-0.335653	9.687220	1.523649	-0.012751	-0.011746	-0.018117	80.960268	1.937340	23.841698
63577		-0.342896	9.681784	1.558920	-0.018924	-0.003313	-0.022032	80.950102	1.951052	23.837331
63578		-0.344494	9.681490	1.560389	-0.011096	-0.005760	-0.012452	80.944285	1.958789	23.832493
63579		-0.328711	9.657664	1.543663	-0.025001	-0.004695	-0.020067	80.930614	1.971263	23.827516
63580		-0.383758	9.660965	1.555626	-0.022468	-0.004959	-0.011388	80.918300	1.978470	23.823224
63581		-0.353172	9.667582	1.546645	-0.029600	-0.000576	-0.014140	80.902092	1.987961	23.821110
63582		-0.337704	9.651222	1.584557	-0.018968	-0.005513	-0.006636	80.891785	1.992431	23.816934
63583		-0.359850	9.661628	1.584917	-0.026364	-0.003242	-0.001395	80.877418	1.994468	23.814464
63584		-0.359047	9.653739	1.533232	-0.022735	-0.002739	-0.000636	80.865025	1.995796	23.812401
63585		-0.347276	9.624671	1.551039	-0.031657	-0.001063	-0.002300	80.847665	1.998543	23.811081
63586		-0.344621	9.683415	1.545675	-0.025479	-0.009497	0.001605	80.833575	1.997987	23.805395
63587		-0.349356	9.670275	1.528256	-0.035152	-0.000511	-0.007061	80.814208	2.003477	23.803951
63588		-0.348167	9.623152	1.560235	-0.037286	-0.004186	-0.009397	80.793424	2.009629	23.800261
63589		-0.324674	9.671008	1.557251	-0.030376	-0.004143	-0.011295	80.776707	2.017179	23.796369
63590		-0.391434	9.597026	1.591586	-0.037422	-0.000917	-0.002637	80.755931	2.019807	23.795148
63591		-0.362066	9.650248	1.554356	-0.018485	-0.003490	-0.007234	80.746053	2.025118	23.791995
63592		-0.350852	9.621241	1.571377	-0.020983	0.000537	-0.007442	80.734710	2.030600	23.791153
63593		-0.336962	9.651425	1.580467	-0.020454	-0.002349	-0.005089	80.723734	2.034802	23.788841
63594		-0.363747	9.649245	1.560177	-0.018969	-0.001185	-0.003888	80.713521	2.038116	23.787345
63595		-0.362128	9.602386	1.590160	-0.014031	0.000003	-0.003632	80.706275	2.041712	23.786498
63596		-0.354425	9.666701	1.549546	-0.008087	0.000331	-0.001597	80.702337	2.043872	23.786077
63597		-0.360039	9.661240	1.584229	-0.012365	-0.002682	-0.003496	80.695992	2.047142	23.783723
63598		-0.353842	9.627060	1.634144	-0.011055	-0.001999	-0.004003	80.690300	2.050448	23.781761
63599		-0.365355	9.648227	1.566088	-0.012061	-0.001138	-0.005782	80.684153	2.055153	23.780067
63600		-0.353912	9.619318	1.582424	-0.013848	-0.003848	-0.004701	80.676819	2.058685	23.776987
63601		-0.362254	9.660423	1.588700	-0.005726	0.002382	-0.015732	80.674340	2.069342	23.776360
63602		-0.387658	9.611758	1.595914	-0.016347	0.000178	-0.004907	80.665656	2.073365	23.775535
63603		-0.363903	9.660049	1.590597	-0.000866	-0.002405	-0.008551	80.665887	2.079517	23.772865
63604		-0.347437	9.636538	1.572663	-0.013240	-0.000760	-0.009273	80.658949	2.085924	23.771111
63605		-0.387402	9.670441	1.590667	-0.010923	-0.000937	-0.008002	80.653450	2.091902	23.769322
63606		-0.371586	9.654184	1.627013	-0.007123	0.000050	-0.005527	80.650045	2.096268	23.768367
63607		-0.362381	9.671946	1.614585	-0.010262	-0.002761	-0.009646	80.644880	2.103005	23.765393
63608		-0.408223	9.626668	1.566570	-0.025515	-0.004617	-0.001366	80.630855	2.104585	23.762196
63609		-0.350299	9.635399	1.578992	-0.009926	0.002531	-0.003447	80.626014	2.108310	23.762791
63610		-0.367755	9.658580	1.598611	-0.010349	-0.004410	0.000054	80.620687	2.109109	23.759827
63611		-0.351083	9.642174	1.635905	-0.027495	0.000849	0.003559	80.605770	2.108717	23.760124
63612		-0.375211	9.593407	1.643794	-0.009699	-0.001904	0.001189	80.600872	2.109109	23.758680
63613		-0.367273	9.657866	1.603031	-0.006603	0.001492	-0.000396	80.597924	2.111013	23.758971
63614		-0.349985	9.634418	1.585038	-0.007079	-0.000535	0.000177	80.594551	2.112106	23.758230
