// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
02305		9.181381	1.314403	-2.718777	0.241349	0.022945	-0.154023	161.911440	-73.645628	-87.090757
02306		9.181385	1.363917	-2.870464	0.242782	0.022162	-0.152656	161.771154	-73.634596	-86.796841
02307		9.186342	1.402498	-2.743612	0.248663	0.037558	-0.153231	161.615635	-73.626700	-86.484560
02308		9.432684	1.379612	-2.503674	0.199293	0.049749	-0.144417	161.448649	-73.631655	-86.188820
02309		9.479213	1.347696	-2.384756	0.155642	0.069159	-0.140422	161.243835	-73.642728	-85.880719
02310		9.475491	1.312680	-2.317147	0.134899	0.070216	-0.133376	161.046496	-73.660286	-85.591885
02311		9.447542	1.285640	-2.282705	0.105637	0.071041	-0.128317	160.833365	-73.674027	-85.305021
02312		9.410427	1.202423	-2.448694	0.070840	0.066631	-0.115736	160.632849	-73.692447	-85.051215
02313		9.502505	1.162872	-2.537893	0.051516	0.066141	-0.092343	160.457451	-73.709849	-84.836021
02314		9.544704	1.107424	-2.611362	0.023854	0.067467	-0.075033	160.303455	-73.736131	-84.658809
02315		9.519535	1.116957	-2.727410	-0.003015	0.053011	-0.053714	160.176072	-73.753615	-84.526223
02316		9.494211	1.115241	-2.776386	-0.026333	0.037054	-0.043368	160.071313	-73.769443	-84.430298
02317		9.423561	1.152302	-2.820407	-0.075146	0.025091	-0.031464	159.962089	-73.776105	-84.359686
02318		9.297024	1.105490	-2.738444	-0.117329	0.009369	-0.019633	159.867463	-73.781561	-84.328639
02319		9.300246	1.133629	-2.663609	-0.123647	-0.009491	-0.012177	159.789488	-73.773370	-84.319514
02320		9.395295	1.097857	-2.581749	-0.139201	-0.008092	-0.003172	159.724549	-73.772639	-84.332449
02321		9.436841	1.023261	-2.557955	-0.145915	-0.000999	0.007179	159.663820	-73.772853	-84.354574
02322		9.403904	0.929852	-2.484574	-0.127210	-0.001288	0.012515	159.630034	-73.778907	-84.392808
02323		9.379833	0.938788	-2.517175	-0.094616	0.003143	0.023937	159.626813	-73.784695	-84.444213
02324		9.331535	0.948788	-2.549703	-0.046710	0.000090	0.021518	159.654902	-73.793301	-84.498849
02325		9.286731	1.008574	-2.679548	-0.047024	-0.004037	0.026267	159.688229	-73.795685	-84.559914
02326		9.307745	0.982126	-2.753467	-0.067825	-0.005780	0.031868	159.727477	-73.803161	-84.638766
