// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
20639		9.573726	-0.399861	-2.046725	-0.042258	0.014896	0.037442	-166.253191	-78.103386	-12.668050
20640		9.596753	-0.427769	-2.040403	-0.060146	0.006297	0.041368	-166.166708	-78.105016	-12.794304
20641		9.616318	-0.473658	-2.100845	-0.074208	0.014950	0.050463	-166.056876	-78.109757	-12.953170
20642		9.634641	-0.461183	-2.104637	-0.095034	0.018833	0.048909	-165.962088	-78.117221	-13.108334
20643		9.615134	-0.488090	-2.130553	-0.104654	0.041473	0.050146	-165.852791	-78.136621	-13.286075
20644		9.539907	-0.503342	-2.084050	-0.110824	0.046040	0.056350	-165.728544	-78.158029	-13.480566
20645		9.586162	-0.556968	-2.070328	-0.121772	0.026507	0.059209	-165.614137	-78.167683	-13.671901
20646		9.452920	-0.569358	-1.987129	-0.119663	0.042621	0.054867	-165.500304	-78.187242	-13.860903
20647		9.568355	-0.700812	-2.083201	-0.112602	0.003281	0.055378	-165.406068	-78.184438	-14.024054
20648		9.629424	-0.867307	-2.008031	-0.074965	0.017692	0.029679	-165.350170	-78.193698	-14.127697
20649		9.605141	-0.674406	-2.090286	-0.040269	0.038921	0.044961	-165.217063	-78.212019	-14.289369
20650		9.330442	-0.784589	-1.868683	-0.029202	0.009691	0.029464	-165.140756	-78.216805	-14.387066
20651		9.588626	-0.742596	-1.982834	-0.002266	-0.023199	0.026288	-165.078839	-78.203403	-14.453233
20652		9.598610	-0.707122	-2.065413	0.039617	0.005811	0.042252	-164.931987	-78.204086	-14.582720
20653		9.618614	-0.454705	-2.148873	0.099384	0.018960	0.055825	-164.703729	-78.209439	-14.761737
20654		9.532900	-0.223307	-2.201930	0.078757	0.059901	0.067068	-164.428925	-78.236009	-14.999010
20655		9.443047	-0.185166	-2.149567	-0.005911	0.065829	0.072630	-164.180615	-78.264315	-15.258233
20656		9.445708	-0.238951	-2.042705	-0.053355	0.052256	0.076603	-163.959833	-78.284753	-15.517596
20657		9.406965	-0.225707	-2.006012	-0.102378	0.033575	0.071050	-163.793910	-78.295106	-15.749608
20658		9.493364	-0.356475	-2.082204	-0.151216	0.025962	0.055371	-163.704842	-78.304189	-15.931699
20659		9.572582	-0.394908	-2.146145	-0.204895	0.025033	0.049766	-163.660531	-78.313138	-16.099810
20660		9.701498	-0.523676	-2.189565	-0.227648	0.028867	0.044853	-163.640574	-78.325451	-16.256034
20661		9.615482	-0.688912	-2.053657	-0.220258	0.026515	0.042517	-163.622724	-78.336323	-16.404840
20662		9.612136	-0.752108	-1.895195	-0.208461	0.006626	0.028210	-163.653233	-78.339088	-16.498299
20663		9.581025	-0.813939	-1.844242	-0.183397	-0.009286	0.014630	-163.716507	-78.334781	-16.543479
20664		9.624461	-0.871141	-1.869712	-0.128298	-0.009406	0.002869	-163.781103	-78.332827	-16.555234
20665		9.628564	-0.910257	-1.861657	-0.076353	-0.005746	-0.001094	-163.822228	-78.333011	-16.561337
20666		9.620619	-0.941507	-1.872110	-0.017392	-0.002224	-0.000563	-163.826863	-78.335560	-16.569433
20667		9.550742	-0.929704	-1.853490	0.033748	0.006337	-0.006505	-163.809620	-78.343268	-16.568226
20668		9.505151	-0.935822	-1.795901	0.082009	-0.004153	-0.010189	-163.784457	-78.346294	-16.548595
20669		9.527051	-0.847873	-1.800857	0.119647	-0.019997	-0.015590	-163.762701	-78.340968	-16.503300
20670		9.591350	-0.762268	-1.773148	0.136243	-0.032528	-0.013176	-163.736431	-78.328868	-16.453069
20671		9.658537	-0.669388	-1.836918	0.135970	-0.026124	-0.010098	-163.695233	-78.319328	-16.416676
20672		9.696229	-0.461678	-1.891467	0.128688	-0.011829	0.000347	-163.621214	-78.316445	-16.419622
20673		9.750831	-0.248059	-1.983584	0.105838	-0.001048	0.016696	-163.506579	-78.316374	-16.476267
20674		9.511253	-0.166178	-2.008254	0.048113	0.049466	0.014735	-163.392074	-78.344805	-16.567694
20675		9.404685	-0.243231	-1.910459	0.013529	0.003134	0.006408	-163.354408	-78.348668	-16.600473
