// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
27607		9.378671	1.597191	-2.209383	-0.006257	0.002145	-0.005657	144.755806	-73.947402	-159.773936
27608		9.404231	1.580062	-2.237646	-0.003034	0.001630	-0.007485	144.748181	-73.945505	-159.767474
27609		9.352936	1.616629	-2.180183	-0.009910	0.005415	-0.008120	144.732423	-73.945099	-159.755262
27610		9.404211	1.558860	-2.201023	-0.016136	0.007148	-0.008262	144.709958	-73.945494	-159.736441
27611		9.365785	1.598314	-2.175019	-0.016136	0.007148	-0.008261	144.688411	-73.945850	-159.721918
27612		9.371795	1.571015	-2.192790	-0.023161	0.004242	-0.007177	144.667017	-73.945309	-159.712917
27613		9.364941	1.564132	-2.214249	-0.013459	0.002290	-0.007147	144.654407	-73.943761	-159.706098
27614		9.377756	1.544361	-2.210362	-0.012703	0.003171	-0.001998	144.648397	-73.944366	-159.705260
27615		9.377804	1.544770	-2.209874	-0.016652	0.002390	0.000197	144.645768	-73.945298	-159.710730
27616		9.383892	1.493369	-2.192729	-0.011549	0.001707	0.001927	144.648553	-73.946572	-159.721176
27617		9.404471	1.563283	-2.196773	-0.002794	0.007082	0.007345	144.660071	-73.952067	-159.733105
27618		9.411539	1.570387	-2.174208	0.008534	0.004667	0.009216	144.683155	-73.957130	-159.748330
27619		9.418588	1.600503	-2.187203	0.014583	0.005986	0.006784	144.705001	-73.961924	-159.760645
27620		9.406011	1.619912	-2.190383	0.017585	0.004766	0.008754	144.732405	-73.966857	-159.774064
27621		9.393408	1.616229	-2.158242	0.001982	0.002763	0.008216	144.753096	-73.970614	-159.792688
27622		9.386792	1.607620	-2.179950	-0.004494	0.004203	0.006358	144.764344	-73.974503	-159.806263
27623		9.380184	1.599283	-2.201434	-0.017020	0.004325	0.006933	144.770271	-73.978564	-159.820854
27624		9.387250	1.606665	-2.178684	-0.024415	0.003351	0.014754	144.784646	-73.984802	-159.849326
27625		9.380685	1.598127	-2.200137	-0.027993	0.000640	0.010211	144.793888	-73.988220	-159.873907
27626		9.368091	1.594865	-2.167606	-0.028613	0.002276	0.015237	144.808250	-73.994169	-159.905306
27627		9.368354	1.594062	-2.167063	-0.034262	-0.001385	0.016448	144.826438	-73.998694	-159.942927
27628		9.388213	1.580665	-2.141112	-0.031435	0.000445	0.015848	144.842191	-74.003907	-159.973766
27629		9.381597	1.572072	-2.162825	-0.032013	-0.003485	0.013272	144.858924	-74.006395	-160.008531
27630		9.394522	1.550928	-2.159326	-0.022963	-0.003392	0.012808	144.878794	-74.008809	-160.041008
27631		9.387829	1.542171	-2.181481	-0.016488	-0.004837	0.014663	144.908269	-74.011114	-160.079775
27632		9.362378	1.582057	-2.188516	-0.011387	-0.005526	0.016392	144.943097	-74.013753	-160.124382
27633		9.414565	1.558206	-2.169866	-0.007187	-0.004454	0.015914	144.979531	-74.016637	-160.164844
27634		9.389070	1.574764	-2.141703	-0.014464	-0.007647	0.015281	145.013418	-74.017877	-160.206935
27635		9.414843	1.555395	-2.170676	-0.006903	-0.004584	0.023151	145.062057	-74.023061	-160.259922
27636		9.434892	1.587046	-2.215938	-0.007441	0.000393	0.027327	145.110525	-74.032040	-160.315076
