// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
27607		-0.712568	-9.764451	0.791327	-0.005170	-0.001340	0.001146	-85.266263	4.092682	-31.567955
27608		-0.718709	-9.759126	0.813858	-0.005710	-0.004037	0.001599	-85.265455	4.092329	-31.567029
27609		-0.705329	-9.766298	0.844420	-0.004110	-0.001211	-0.001296	-85.263508	4.090875	-31.568492
27610		-0.750191	-9.736011	0.850895	-0.008703	-0.001805	0.002240	-85.264504	4.090993	-31.568813
27611		-0.724980	-9.753902	0.835129	-0.005970	-0.002753	0.002593	-85.263546	4.091682	-31.568465
27612		-0.719183	-9.759292	0.811444	-0.007607	-0.003628	0.002643	-85.263839	4.091944	-31.567724
27613		-0.719226	-9.759354	0.810660	-0.009021	-0.003834	-0.001145	-85.264597	4.090456	-31.566914
27614		-0.725225	-9.754083	0.832803	-0.010081	-0.003964	0.001296	-85.266298	4.089933	-31.566044
27615		-0.719232	-9.759499	0.808911	-0.007644	-0.001676	-0.000201	-85.266355	4.089088	-31.565981
27616		-0.744702	-9.741700	0.823437	-0.004074	-0.003163	0.001547	-85.264646	4.088746	-31.565558
27617		-0.712034	-9.761377	0.861985	-0.005171	-0.001341	0.001145	-85.263297	4.088681	-31.565774
27618		-0.719600	-9.787040	0.839622	-0.004911	-0.002624	0.000151	-85.262095	4.087567	-31.565725
27619		-0.717932	-9.728679	0.851918	-0.004911	-0.002624	0.000151	-85.260551	4.086842	-31.566357
27620		-0.705978	-9.766848	0.837493	-0.005748	-0.002085	-0.001246	-85.259855	4.084956	-31.566683
27621		-0.750846	-9.736562	0.843987	-0.007609	-0.003630	0.002641	-85.259803	4.085627	-31.566975
27622		-0.706144	-9.766935	0.836332	-0.003815	-0.004447	0.000552	-85.257897	4.084657	-31.565864
27623		-0.745164	-9.769417	0.852089	-0.006809	-0.002216	0.001195	-85.257451	4.084565	-31.565468
27624		-0.725717	-9.754502	0.827443	-0.002438	-0.002289	0.001497	-85.254840	4.084235	-31.565548
27625		-0.712288	-9.734243	0.825925	-0.005172	-0.001341	0.001144	-85.253491	4.084162	-31.565467
27626		-0.719966	-9.759903	0.803367	-0.008706	-0.001808	0.002239	-85.254489	4.084279	-31.565787
27627		-0.725973	-9.754622	0.825806	-0.004393	-0.005191	-0.001839	-85.252552	4.082300	-31.565186
27628		-0.719802	-9.760001	0.802328	-0.005194	-0.006606	-0.000393	-85.251351	4.080686	-31.562885
27629		-0.712289	-9.734423	0.823808	-0.004076	-0.003164	0.001546	-85.249304	4.080752	-31.563220
27630		-0.751251	-9.736911	0.839592	-0.006291	-0.004783	-0.000795	-85.248807	4.078995	-31.561981
27631		-0.725719	-9.754795	0.823985	-0.004654	-0.003908	-0.000845	-85.247069	4.077668	-31.561107
27632		-0.725710	-9.754847	0.823372	-0.008448	-0.003092	0.001244	-85.247870	4.077156	-31.560740
27633		-0.712292	-9.762093	0.853623	-0.007388	-0.002961	-0.001197	-85.247739	4.075673	-31.561257
27634		-0.731741	-9.749639	0.845047	-0.005973	-0.002757	0.002590	-85.247132	4.075945	-31.561017
27635		-0.712156	-9.734745	0.820105	-0.009322	-0.000599	-0.002995	-85.248210	4.073552	-31.561770
27636		-0.725413	-9.755119	0.820411	-0.008226	-0.002421	-0.002594	-85.248925	4.070880	-31.561969
27637		-0.711915	-9.762388	0.850556	-0.009545	-0.001270	0.000842	-85.250097	4.070621	-31.561805
27638		-0.717732	-9.729678	0.840600	-0.008486	-0.001139	-0.001599	-85.251009	4.068578	-31.562691
27639		-0.731172	-9.750041	0.840893	-0.009287	-0.002554	-0.000154	-85.251983	4.067691	-31.561718
27640		-0.719341	-9.788214	0.826051	-0.008991	-0.005792	0.001692	-85.252984	4.067307	-31.559783
27641		-0.711914	-9.762671	0.847302	-0.005174	-0.001343	0.001143	-85.251643	4.067250	-31.560148
27642		-0.731117	-9.750221	0.838857	-0.005530	-0.001414	-0.005085	-85.250861	4.063204	-31.561041
27643		-0.717552	-9.757494	0.869184	-0.008168	0.000886	0.001787	-85.251326	4.063603	-31.562900
27644		-0.730959	-9.750372	0.837226	-0.011764	-0.002890	-0.001502	-85.254045	4.061533	-31.562779
27645		-0.730660	-9.750486	0.836168	-0.010163	-0.000059	-0.004393	-85.255637	4.058330	-31.564709
27646		-0.716808	-9.730321	0.833915	-0.012862	-0.001068	-0.001903	-85.259060	4.056117	-31.565649
27647		-0.710693	-9.763234	0.841823	-0.010965	-0.001475	-0.002948	-85.261047	4.053692	-31.565732
27648		-0.729909	-9.750830	0.832804	-0.011484	0.001089	-0.000957	-85.263764	4.052122	-31.567862
27649		-0.710384	-9.763443	0.839659	-0.010669	-0.004714	-0.001104	-85.265442	4.050617	-31.567827
