// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4F
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
08218		-0.398199	9.645184	1.697304	-0.000265	0.001503	0.003521	79.876359	2.514920	-74.441394
08219		-0.382415	9.642676	1.715961	-0.002726	0.001337	-0.001586	79.875609	2.517307	-74.441282
08220		-0.398005	9.645078	1.697950	-0.007936	0.002366	0.004819	79.872284	2.515752	-74.439649
08221		-0.395275	9.642458	1.664346	-0.008032	0.001392	0.007434	79.868535	2.513057	-74.438596
08222		-0.384241	9.616113	1.684927	-0.006005	0.001252	0.008196	79.866266	2.509500	-74.437220
08223		-0.385452	9.618572	1.719780	-0.004243	0.002615	0.012478	79.864740	2.504083	-74.434967
08224		-0.379076	9.642311	1.718747	-0.003518	0.005845	0.008977	79.864044	2.500540	-74.431502
08225		-0.393643	9.644745	1.700857	-0.009648	-0.002588	0.015339	79.859306	2.492985	-74.431898
08226		-0.405357	9.599635	1.738763	-0.006268	0.002756	0.011714	79.856972	2.487587	-74.430356
08227		-0.396869	9.620949	1.702933	0.007507	0.005896	0.008380	79.862240	2.484813	-74.426665
08228		-0.411533	9.623582	1.683947	0.001837	0.002195	0.014761	79.864525	2.477646	-74.424369
08229		-0.378931	9.618655	1.720762	0.002563	0.005425	0.011260	79.866961	2.473200	-74.420653
08230		-0.393778	9.621277	1.701800	0.006181	0.004839	0.008440	79.871770	2.469863	-74.416688
08231		-0.377159	9.618917	1.719684	0.006783	0.002667	0.011878	79.876559	2.464789	-74.414467
08232		-0.386101	9.645309	1.699385	0.001043	0.002421	0.016549	79.878391	2.456643	-74.412093
08233		-0.384320	9.645374	1.699423	-0.002207	0.006767	0.021999	79.878171	2.446273	-74.406539
08234		-0.395121	9.600453	1.736601	0.001121	0.003257	0.027021	79.880125	2.432296	-74.401891
08235		-0.418721	9.629409	1.697833	0.005369	0.004924	0.023314	79.884205	2.420999	-74.397245
08236		-0.371805	9.669481	1.697611	-0.003026	0.002570	0.028105	79.883768	2.406342	-74.392665
08237		-0.397818	9.627045	1.716684	-0.006640	0.003161	0.030918	79.880955	2.390578	-74.388249
08238		-0.389362	9.650772	1.716126	-0.010787	0.002473	0.032003	79.876058	2.373730	-74.384702
08239		-0.396434	9.676961	1.697518	-0.016426	0.003209	0.034052	79.867650	2.356204	-74.379940
08240		-0.366023	9.571617	1.726048	-0.021172	0.004696	0.031699	79.856880	2.339732	-74.372509
08241		-0.338813	9.663998	1.687435	-0.005235	0.000768	0.032547	79.854819	2.322810	-74.369272
08242		-0.385634	9.600319	1.689942	-0.017210	0.003442	0.035824	79.846282	2.303904	-74.364689
