// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BA83
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
46052		9.415422	0.918775	-2.336550	-0.013154	-0.008651	0.007298	161.576787	-75.306649	-84.419593
46053		9.431665	0.903356	-2.310835	-0.023610	-0.009685	0.009743	161.597247	-75.302353	-84.452244
46054		9.417372	0.875857	-2.295839	-0.026947	-0.012017	0.007626	161.616399	-75.296379	-84.486214
46055		9.444190	0.827129	-2.318902	-0.015774	-0.015589	0.005675	161.636939	-75.288188	-84.514291
46056		9.407702	0.867845	-2.319836	-0.001615	-0.018866	0.003024	161.665724	-75.277653	-84.543217
46057		9.439374	0.838652	-2.380842	0.006037	-0.021448	0.000115	161.690968	-75.265208	-84.565167
46058		9.431510	0.861217	-2.388045	0.006276	-0.022983	0.000280	161.721327	-75.251933	-84.591050
46059		9.411193	0.815185	-2.448886	0.014872	-0.015457	0.000501	161.748451	-75.242805	-84.608268
46060		9.444805	0.888020	-2.407224	0.022470	-0.012251	-0.006398	161.766912	-75.234166	-84.612254
46061		9.444533	0.888058	-2.408278	0.015835	-0.006451	-0.004167	161.778678	-75.229099	-84.614370
46062		9.464818	0.861238	-2.324037	0.004607	-0.004664	-0.003535	161.787642	-75.225102	-84.619118
46063		9.417746	0.864459	-2.361426	-0.006678	-0.004662	-0.004228	161.785191	-75.220993	-84.619359
46064		9.434032	0.849983	-2.335349	-0.011397	-0.003570	-0.003342	161.784639	-75.217625	-84.623749
46065		9.451968	0.794248	-2.378649	-0.013313	0.001139	-0.001996	161.779081	-75.217085	-84.624247
46066		9.451911	0.794545	-2.378776	-0.002565	-0.005151	-0.000295	161.790944	-75.213402	-84.636243
46067		9.469875	0.810025	-2.336818	0.005325	-0.009269	-0.003042	161.800934	-75.206974	-84.642321
46068		9.436914	0.839883	-2.390142	0.007635	-0.001479	0.004886	161.826820	-75.206216	-84.662777
46069		9.444264	0.816516	-2.385289	0.003154	-0.001923	0.005938	161.849134	-75.205412	-84.682737
46070		9.440899	0.826901	-2.332347	-0.005976	-0.008165	0.004066	161.870037	-75.200862	-84.706106
46071		9.441253	0.754132	-2.307399	-0.013612	-0.014260	0.001843	161.882768	-75.192575	-84.724828
46072		9.447678	0.804341	-2.329522	-0.018388	-0.014953	0.001405	161.895620	-75.183852	-84.747227
46073		9.401944	0.766311	-2.437251	-0.014386	-0.011440	0.000024	161.902104	-75.176848	-84.761464
46074		9.441290	0.786446	-2.406321	-0.003637	-0.010156	-0.000942	161.915321	-75.170319	-84.775499
46075		9.433694	0.809347	-2.412288	0.002337	-0.009565	-0.002345	161.925347	-75.163939	-84.782739
46076		9.436730	0.798729	-2.466473	0.007831	-0.005902	-0.004077	161.935816	-75.159168	-84.787134
46077		9.462099	0.791448	-2.419392	0.018581	-0.004618	-0.005044	161.946310	-75.154932	-84.785242
46078		9.434891	0.840060	-2.398053	0.017327	-0.006302	-0.004528	161.961548	-75.149862	-84.788943
46079		9.446171	0.805528	-2.335219	0.015298	-0.005165	-0.005832	161.968815	-75.145170	-84.786649
46080		9.469194	0.840519	-2.330330	0.014398	-0.004812	-0.002502	161.985532	-75.141271	-84.793617
46081		9.406319	0.785596	-2.368001	0.016666	0.000089	-0.003698	161.994516	-75.139833	-84.791473
46082		9.435018	0.767236	-2.374118	0.028374	-0.004769	-0.004008	162.016108	-75.135690	-84.795200
46083		9.409537	0.845947	-2.336737	0.031840	-0.007545	-0.004382	162.037557	-75.129980	-84.796748
46084		9.443016	0.847173	-2.380781	0.022471	-0.012255	-0.006411	162.055799	-75.121331	-84.800509
46085		9.403070	0.827232	-2.413857	0.021035	-0.010617	-0.004736	162.072464	-75.113913	-84.802174
46086		9.416909	0.854460	-2.430616	0.015596	-0.004918	-0.004344	162.086120	-75.109628	-84.805264
46087		9.415074	0.824178	-2.447145	0.009860	0.000529	-0.005441	162.087573	-75.108145	-84.797504
46088		9.424178	0.832197	-2.425734	0.003407	0.003010	-0.004365	162.088945	-75.108179	-84.795109
46089		9.408683	0.846646	-2.339921	0.000181	0.004251	-0.003827	162.085352	-75.108984	-84.791372
46090		9.432492	0.809242	-2.308415	0.001380	-0.003426	-0.002999	162.092627	-75.105750	-84.796289
46091		9.466102	0.810806	-2.351785	0.004847	-0.006202	-0.003371	162.099789	-75.100953	-84.798714
46092		9.433032	0.840687	-2.405136	0.014993	-0.004311	0.000476	162.122562	-75.097848	-84.811596
46093		9.445264	0.836999	-2.437749	0.022757	-0.003322	0.000206	162.145285	-75.095232	-84.820939
46094		9.434599	0.870242	-2.389915	0.014457	-0.003028	-0.001180	162.163499	-75.092533	-84.829422
46095		9.422162	0.873360	-2.358328	0.011117	-0.005362	-0.003288	162.173715	-75.088207	-84.832713
46096		9.436094	0.900662	-2.374690	0.009144	-0.002439	-0.003269	162.184209	-75.085462	-84.836358
46097		9.412862	0.866274	-2.380156	-0.002557	0.001306	-0.010757	162.166972	-75.083435	-84.818736
46098		9.432524	0.841300	-2.406913	-0.014151	0.002166	-0.005129	162.157280	-75.082876	-84.815304
46099		9.432505	0.842503	-2.406569	-0.014380	0.002588	-0.013093	162.127852	-75.081114	-84.789201
46100		9.444814	0.840587	-2.438255	-0.011700	0.003743	-0.007488	162.113696	-75.080998	-84.779696
46101		9.468705	0.803816	-2.406308	-0.006924	0.004438	-0.007055	162.099245	-75.081355	-84.769421
46102		9.456424	0.807758	-2.373800	-0.004894	0.003303	-0.005751	162.092834	-75.081304	-84.763895
46103		9.442387	0.781236	-2.357646	-0.009429	0.001072	-0.006019	162.081483	-75.079886	-84.756803
46104		9.447318	0.801474	-2.394644	-0.009133	0.001323	-0.004530	162.076452	-75.078971	-84.755218
46105		9.439977	0.824773	-2.399373	-0.004838	0.005090	-0.004428	162.068466	-75.080221	-84.747442
46106		9.432727	0.847956	-2.403779	0.002444	0.009152	-0.005028	162.063865	-75.083486	-84.739438
46107		9.425532	0.870849	-2.408068	0.002080	0.008224	-0.000043	162.066783	-75.087110	-84.738542
46108		9.453019	0.894252	-2.343225	-0.011477	0.010890	-0.002196	162.058848	-75.091822	-84.735342
46109		9.442506	0.856680	-2.379404	-0.019961	0.014502	-0.002425	162.040103	-75.098415	-84.724957
46110		9.461009	0.873003	-2.335130	-0.035967	0.015586	-0.002223	162.014947	-75.105681	-84.718457
46111		9.464656	0.863213	-2.386596	-0.043913	0.017913	-0.000799	161.983526	-75.114443	-84.709140
46112		9.439553	0.871897	-2.432105	-0.051253	0.019633	-0.004196	161.942827	-75.123561	-84.695620
46113		9.456543	0.858183	-2.403159	-0.059454	0.024596	0.004861	161.909398	-75.136951	-84.694946
46114		9.414251	0.850286	-2.378925	-0.057405	0.022353	-0.001638	161.868532	-75.148002	-84.684902
46115		9.389317	0.858991	-2.423930	-0.058251	0.024484	0.003016	161.832192	-75.161017	-84.679179
46116		9.436817	0.857485	-2.384268	-0.049933	0.023093	-0.003393	161.791428	-75.172154	-84.664813
46117		9.406774	0.846878	-2.392517	-0.051293	0.017836	-0.005536	161.745864	-75.179990	-84.645599
46118		9.420183	0.772770	-2.396979	-0.049078	0.013377	-0.005398	161.707986	-75.185475	-84.633712
