// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB4D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
46052		9.480301	-1.152249	-2.163429	-0.000272	-0.002862	-0.009509	-153.830238	-75.973225	93.011988
46053		9.480311	-1.151232	-2.163927	0.005441	-0.008276	-0.013127	-153.852432	-75.975195	93.035278
46054		9.468916	-1.141696	-2.184480	0.005637	-0.007371	-0.011886	-153.869076	-75.976811	93.053065
46055		9.459187	-1.148406	-2.153033	0.006343	-0.010881	-0.011554	-153.890153	-75.977041	93.075735
46056		9.485034	-1.125287	-2.159490	0.002551	-0.011726	-0.011816	-153.912813	-75.976399	93.098206
46057		9.507645	-1.141138	-2.120949	-0.000791	-0.013872	-0.011290	-153.940450	-75.975018	93.123425
46058		9.470450	-1.115552	-2.090117	-0.004709	-0.003314	-0.011798	-153.958772	-75.978690	93.137122
46059		9.507766	-1.100857	-2.076311	-0.006504	-0.008460	-0.007672	-153.976773	-75.979182	93.149035
46060		9.496286	-1.091468	-2.097099	-0.006698	-0.009366	-0.008913	-153.996424	-75.978998	93.162661
46061		9.491342	-1.113347	-2.104696	-0.000464	-0.003770	-0.010751	-154.012601	-75.982677	93.176262
46062		9.489848	-1.058064	-2.110913	-0.004769	-0.000200	-0.010103	-154.024336	-75.987519	93.182801
46063		9.512504	-1.111846	-2.117669	-0.006444	-0.006398	-0.013004	-154.051250	-75.990407	93.203936
46064		9.522146	-1.102700	-2.150632	-0.004838	-0.007335	-0.014736	-154.079800	-75.992757	93.228435
46065		9.500984	-1.138492	-2.184976	-0.009143	-0.003766	-0.014088	-154.107878	-75.997268	93.249175
46066		9.486498	-1.167654	-2.160235	0.006604	-0.007909	-0.015651	-154.132229	-75.999544	93.275620
46067		9.480043	-1.135009	-2.173647	0.002492	-0.003434	-0.013761	-154.152657	-76.004139	93.295346
46068		9.481878	-1.149995	-2.121915	0.010593	-0.006156	-0.014150	-154.169964	-76.006932	93.317290
46069		9.488424	-1.180287	-2.109410	0.008988	-0.005220	-0.012418	-154.185701	-76.010269	93.336016
46070		9.488666	-1.141379	-2.063394	0.008860	0.001008	-0.009027	-154.186063	-76.015460	93.338524
46071		9.479124	-1.148527	-2.031104	0.013815	-0.002954	-0.007648	-154.186898	-76.018774	93.344742
46072		9.487140	-1.086325	-2.069357	0.016196	-0.000264	-0.004416	-154.174851	-76.022169	93.339327
46073		9.475763	-1.077691	-2.089178	0.012210	-0.002019	-0.005917	-154.172079	-76.025534	93.340881
46074		9.496774	-1.078276	-2.101709	0.011509	-0.003685	-0.002611	-154.162328	-76.026729	93.334990
46075		9.506328	-1.070197	-2.134425	0.017548	-0.009245	-0.012020	-154.176398	-76.027891	93.357051
46076		9.488367	-1.029677	-2.167693	0.012980	-0.003470	-0.010918	-154.182834	-76.031265	93.368594
46077		9.516071	-1.022763	-2.121487	0.015106	-0.008824	-0.013558	-154.201077	-76.033026	93.393514
46078		9.504612	-1.013214	-2.142078	0.012469	-0.009309	-0.016336	-154.224957	-76.034740	93.422859
46079		9.509341	-1.027138	-2.181846	0.009959	-0.005771	-0.016179	-154.248546	-76.038724	93.450247
46080		9.522682	-1.050200	-2.110134	0.003201	-0.001782	-0.017067	-154.271777	-76.044525	93.474110
46081		9.490367	-1.039390	-2.117846	-0.000784	-0.003540	-0.018567	-154.304285	-76.050248	93.504345
46082		9.471293	-1.053266	-2.053556	-0.003160	-0.001152	-0.011834	-154.319599	-76.055066	93.515557
46083		9.503809	-1.060953	-2.046517	-0.005469	-0.006963	-0.016760	-154.354495	-76.058567	93.545485
46084		9.529566	-1.075525	-2.098754	-0.005593	-0.005905	-0.009731	-154.371621	-76.060394	93.556682
46085		9.503747	-1.096570	-2.093603	-0.009012	0.000233	-0.011148	-154.389703	-76.066217	93.567194
46086		9.476148	-1.101569	-2.140258	-0.002773	0.000663	-0.009353	-154.397805	-76.071366	93.570962
46087		9.492505	-1.086163	-2.113637	0.007395	-0.004288	-0.010689	-154.410062	-76.074739	93.585157
46088		9.497212	-1.100579	-2.153327	0.013964	-0.009182	-0.011043	-154.422014	-76.075214	93.603047
46089		9.513378	-1.123435	-2.173044	0.020192	-0.003578	-0.012890	-154.430828	-76.079496	93.621249
46090		9.518298	-1.099782	-2.166197	0.025788	-0.002756	-0.013125	-154.433931	-76.083815	93.637393
46091		9.520272	-1.115040	-2.114009	0.026946	-0.002393	-0.015645	-154.443457	-76.089390	93.660316
46092		9.483246	-1.089870	-2.081991	0.028418	0.002903	-0.013992	-154.441166	-76.096830	93.671781
46093		9.499727	-1.074740	-2.054623	0.031060	0.003391	-0.011216	-154.433328	-76.104300	93.679241
46094		9.467376	-1.065287	-2.061775	0.030695	-0.003599	-0.010053	-154.428095	-76.107418	93.689645
46095		9.516149	-1.059597	-2.027506	0.027478	-0.001726	-0.006590	-154.417757	-76.111099	93.692415
46096		9.520956	-1.036662	-2.020752	0.028652	-0.006535	-0.005465	-154.407101	-76.111578	93.696292
46097		9.502658	-1.035487	-2.100176	0.024611	-0.010348	-0.001624	-154.396656	-76.109576	93.697261
46098		9.476679	-1.057974	-2.095094	0.013977	-0.004099	-0.001079	-154.382570	-76.110236	93.688002
46099		9.509004	-1.067255	-2.088152	0.022621	-0.011231	-0.002373	-154.375716	-76.107963	93.691495
46100		9.502168	-1.074671	-2.147449	0.016093	0.000811	0.002597	-154.347920	-76.110276	93.670461
46101		9.518371	-1.098938	-2.166305	0.021238	0.002933	0.001571	-154.319414	-76.114339	93.650834
46102		9.497497	-1.060743	-2.107356	0.025875	0.004305	0.005093	-154.277279	-76.117841	93.621341
46103		9.486072	-1.053335	-2.126661	0.023691	0.002513	0.003106	-154.244553	-76.121300	93.598815
46104		9.507177	-1.016558	-2.092788	0.018547	0.000391	0.004133	-154.212455	-76.122955	93.573262
46105		9.469842	-1.031369	-2.106807	0.009917	0.002359	0.009073	-154.175294	-76.124840	93.538039
46106		9.495546	-1.010340	-2.112484	0.008201	-0.005898	0.011527	-154.140171	-76.121444	93.504713
46107		9.511607	-0.997009	-2.086182	0.002530	-0.003599	0.013454	-154.104132	-76.119151	93.466285
46108		9.516208	-1.013716	-2.125213	-0.008180	0.005776	0.015684	-154.057854	-76.120684	93.410415
46109		9.453147	-1.012730	-2.087476	-0.010436	0.007105	0.015387	-154.014354	-76.123406	93.356651
46110		9.475866	-1.068807	-2.093270	-0.019570	0.003224	0.014920	-153.978880	-76.123792	93.305269
46111		9.501604	-1.047506	-2.098980	-0.025099	-0.000717	0.013469	-153.955722	-76.122954	93.263804
46112		9.483325	-1.046913	-2.178038	-0.024009	0.002761	0.012637	-153.927945	-76.123691	93.218124
46113		9.491650	-1.094653	-2.113095	-0.014404	-0.004928	0.007585	-153.915212	-76.122160	93.193710
46114		9.512490	-1.095734	-2.126112	-0.001981	-0.006048	0.002901	-153.904204	-76.120814	93.178741
46115		9.512375	-1.095866	-2.126557	0.004319	-0.003569	-0.000646	-153.896504	-76.122055	93.170560
46116		9.535203	-1.112290	-2.087184	0.004897	-0.005938	-0.006884	-153.901779	-76.123185	93.175004
46117		9.519005	-1.088038	-2.068446	0.008502	-0.005999	-0.007869	-153.909206	-76.124996	93.184875
46118		9.518837	-1.125855	-2.114740	0.016097	-0.004299	-0.007360	-153.907348	-76.127174	93.190783
46119		9.502585	-1.140176	-2.141377	0.024780	0.000879	-0.007684	-153.898046	-76.132477	93.193028
46120		9.493128	-1.147751	-2.108600	0.033025	0.002188	-0.005148	-153.875094	-76.137442	93.186597
46121		9.495057	-1.163715	-2.056169	0.033622	-0.005352	-0.007736	-153.867196	-76.139553	93.195506
46122		9.514274	-1.110282	-2.075067	0.034081	-0.006653	-0.006948	-153.856469	-76.140386	93.201765
46123		9.493204	-1.109560	-2.062909	0.034085	-0.006655	-0.006949	-153.847995	-76.141629	93.210355
46124		9.496100	-1.070937	-2.108494	0.025002	-0.003383	-0.002798	-153.830360	-76.143115	93.204038
46125		9.484568	-1.062992	-2.128567	0.025914	-0.005981	-0.001219	-153.813932	-76.143258	93.199613
46126		9.515158	-1.018213	-2.127760	0.018054	-0.005471	-0.001276	-153.799364	-76.143258	93.192242
46127		9.493947	-1.055927	-2.161423	0.009282	-0.002364	-0.002913	-153.792287	-76.145688	93.187632
46128		9.510249	-1.041201	-2.134789	0.007216	-0.000123	-0.001972	-153.779922	-76.148648	93.177148
46129		9.500523	-1.087059	-2.148492	-0.001279	-0.004389	-0.000402	-153.775735	-76.149401	93.169284
46130		9.486060	-1.117409	-2.123303	-0.001734	-0.003091	-0.001193	-153.770308	-76.150616	93.161618
46131		9.502347	-1.102430	-2.096879	-0.015918	0.000109	-0.001350	-153.771863	-76.153920	93.151028
46132		9.518533	-1.125811	-2.116130	-0.013729	0.001901	0.000633	-153.763934	-76.157259	93.132491
46133		9.513705	-1.148505	-2.122958	-0.009858	-0.000371	-0.000801	-153.761358	-76.160178	93.121224
46134		9.492755	-1.147399	-2.110473	0.000246	0.002954	-0.004102	-153.754406	-76.165194	93.111055
46135		9.483296	-1.154654	-2.077901	0.010367	0.001115	-0.003749	-153.744855	-76.169622	93.104539
46136		9.488209	-1.131421	-2.070963	0.017198	-0.000831	-0.008198	-153.740463	-76.173769	93.107812
46137		9.499763	-1.139310	-2.050847	0.028216	-0.000104	-0.009919	-153.734818	-76.179135	93.115850
46138		9.504651	-1.116072	-2.044020	0.038869	-0.006365	-0.010462	-153.728100	-76.180984	93.127072
46139		9.504650	-1.115774	-2.044185	0.036423	-0.005950	-0.011999	-153.728124	-76.183875	93.145790
46140		9.525690	-1.116105	-2.056687	0.039582	-0.004716	-0.013778	-153.726807	-76.187434	93.166277
46141		9.549603	-1.077825	-2.114783	0.048176	-0.008737	-0.013380	-153.725866	-76.189243	93.190937
46142		9.519111	-1.084100	-2.070023	0.053775	-0.002762	-0.017286	-153.721480	-76.194677	93.214756
46143		9.502967	-1.098275	-2.096248	0.056942	-0.001531	-0.019068	-153.719990	-76.201632	93.244021
46144		9.519454	-1.082841	-2.069105	0.054693	-0.000208	-0.019370	-153.716907	-76.208969	93.271522
46145		9.498664	-1.081247	-2.056123	0.048637	0.000265	-0.019920	-153.720132	-76.217062	93.300739
46146		9.492194	-1.049238	-2.068919	0.045489	-0.000972	-0.018141	-153.720309	-76.223725	93.325989
46147		9.519981	-1.080697	-2.067800	0.051322	-0.004396	-0.013487	-153.713364	-76.227792	93.346317
46148		9.524843	-1.057398	-2.061049	0.041646	-0.003859	-0.013047	-153.708151	-76.231659	93.363395
46149		9.529591	-1.072806	-2.100032	0.046374	-0.005603	-0.011214	-153.700534	-76.234531	93.380113
46150		9.578323	-1.105243	-2.111530	0.050510	-0.004942	-0.016759	-153.699180	-76.238761	93.405597
46151		9.545996	-1.095714	-2.118631	0.052690	0.002004	-0.018458	-153.695262	-76.247380	93.429848
46152		9.534785	-1.086810	-2.137745	0.051595	0.003675	-0.021285	-153.693917	-76.257170	93.455545
46153		9.511379	-1.123716	-2.078091	0.054729	0.015203	-0.016813	-153.671688	-76.272150	93.462146
46154		9.479298	-1.114774	-2.083777	0.063489	0.010082	-0.009824	-153.632892	-76.282306	93.456676
46155		9.468082	-1.107148	-2.102283	0.070118	0.005175	-0.010159	-153.598253	-76.290447	93.459578
46156		9.512298	-1.124965	-2.073199	0.071278	0.010675	-0.002759	-153.539402	-76.299108	93.437995
46157		9.505876	-1.095152	-2.084663	0.065328	0.015193	-0.000405	-153.476416	-76.309895	93.408896
46158		9.494762	-1.049540	-2.056947	0.057372	0.018828	0.001209	-153.408404	-76.321786	93.371615
46159		9.497007	-1.065978	-2.002489	0.052751	0.012288	0.001383	-153.351780	-76.330610	93.341649
46160		9.511539	-0.997930	-1.981421	0.043318	0.010617	0.001388	-153.299972	-76.338196	93.311752
46161		9.490753	-0.997768	-1.967571	0.034130	0.011874	-0.002728	-153.263015	-76.347855	93.291049
46162		9.521449	-0.953059	-1.966087	0.023620	0.001596	0.001826	-153.231183	-76.350743	93.270850
46163		9.531129	-0.985212	-2.043101	0.018415	0.009762	-0.004503	-153.209155	-76.359775	93.256245
46164		9.489314	-1.022357	-2.062735	0.024390	0.005231	-0.006854	-153.191369	-76.366761	93.250905
46165		9.521966	-0.991976	-2.009042	0.016492	0.005743	-0.006908	-153.179761	-76.374358	93.245888
46166		9.517357	-1.014710	-2.014923	0.009507	0.003669	-0.005364	-153.168987	-76.380131	93.237992
46167		9.522306	-1.030338	-2.053203	0.003342	0.007279	-0.004247	-153.157638	-76.387824	93.225490
46168		9.501489	-1.028965	-2.040122	0.002505	0.006731	-0.007510	-153.151760	-76.395734	93.217144
46169		9.475878	-1.050393	-2.033781	0.002850	0.001385	-0.009608	-153.158305	-76.401800	93.222765
46170		9.497037	-1.089579	-2.091404	0.002142	-0.000245	-0.006283	-153.157970	-76.405840	93.221725
46171		9.487517	-1.057002	-2.013654	0.003308	0.000092	-0.008809	-153.163953	-76.411038	93.227037
46172		9.498959	-1.064434	-1.994033	0.008136	-0.009911	-0.004940	-153.167716	-76.409731	93.232312
46173		9.540876	-1.065948	-2.019520	0.006245	-0.006743	-0.002781	-153.166584	-76.409876	93.232035
46174		9.561873	-1.066744	-2.032058	0.006987	0.002074	-0.001545	-153.150638	-76.413881	93.216689
46175		9.557253	-1.089751	-2.037907	0.005535	0.009085	-0.002279	-153.131890	-76.421986	93.197869
46176		9.494433	-1.086881	-1.999739	0.008058	0.010680	-0.006099	-153.115691	-76.431594	93.183367
46177		9.506098	-1.094554	-1.978921	0.002444	0.004728	-0.002155	-153.103090	-76.437439	93.169051
46178		9.548186	-1.057079	-1.958002	-0.010442	0.004050	0.000072	-153.092049	-76.442055	93.150481
46179		9.510996	-1.071188	-1.971928	-0.005899	0.001396	0.000683	-153.081779	-76.445460	93.133646
46180		9.506311	-1.094022	-1.978194	-0.011089	0.004422	-0.001959	-153.074871	-76.450747	93.117357
46181		9.504516	-1.078686	-2.030260	-0.001183	0.004798	-0.001166	-153.062139	-76.456368	93.100770
46182		9.506480	-1.093734	-1.977540	0.003817	0.000851	0.000244	-153.045904	-76.459288	93.084621
46183		9.506501	-1.093750	-1.977429	0.010883	-0.000207	-0.002964	-153.035451	-76.462818	93.077489
46184		9.516081	-1.086682	-2.009736	0.015158	-0.000649	-0.001921	-153.018800	-76.465545	93.067308
46185		9.548576	-1.095705	-2.001952	0.024877	-0.001194	-0.002361	-153.000103	-76.468413	93.059945
46186		9.518949	-1.048806	-2.055499	0.017952	-0.001269	-0.006174	-152.991249	-76.471936	93.058507
46187		9.483666	-1.077771	-2.017084	0.011863	-0.000793	-0.006723	-152.988824	-76.476143	93.060211
46188		9.488447	-1.054013	-2.010838	0.007288	-0.005330	-0.011893	-153.002952	-76.479089	93.077255
46189		9.472199	-1.028843	-1.992496	0.000362	-0.005405	-0.015706	-153.031189	-76.483277	93.103716
46190		9.514255	-1.029138	-2.017959	-0.006167	-0.008772	-0.013360	-153.059573	-76.484890	93.127733
46191		9.488407	-1.050079	-2.013084	-0.004792	-0.012649	-0.010960	-153.088521	-76.484140	93.151888
46192		9.553262	-1.066618	-1.999024	-0.010045	-0.011625	-0.008245	-153.111909	-76.482905	93.168355
46193		9.532240	-1.103866	-2.032805	-0.005409	-0.005088	-0.008433	-153.127687	-76.485360	93.178602
46194		9.527509	-1.126068	-2.039716	0.000222	-0.004269	-0.008686	-153.137952	-76.488003	93.186898
46195		9.518024	-1.132237	-2.007567	0.002934	-0.001754	-0.011275	-153.151412	-76.492896	93.199677
46196		9.506628	-1.123428	-2.027664	0.011028	-0.001339	-0.009990	-153.154650	-76.497409	93.206890
46197		9.522898	-1.107692	-2.001255	0.017578	-0.003104	-0.008643	-153.155584	-76.500931	93.215415
46198		9.534376	-1.115256	-1.981468	0.026214	-0.007116	-0.008223	-153.152780	-76.502002	93.225099
