// General information: 
//  MT Manager version: 2022.2.0 
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information: 
//  DeviceId: 00B4BB52
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
46052		-0.593747	-9.791279	0.832157	-0.006460	0.000469	0.001051	-85.245111	3.350814	60.089000
46053		-0.600974	-9.767971	0.832648	-0.000830	-0.002865	0.000992	-85.241091	3.350732	60.088930
46054		-0.589638	-9.789156	0.807770	-0.001205	-0.001641	-0.000245	-85.237543	3.349520	60.088408
46055		-0.601090	-9.767980	0.832457	-0.001128	-0.001337	0.002493	-85.233716	3.350350	60.088104
46056		-0.578297	-9.761117	0.837088	0.000374	-0.001224	0.001237	-85.229274	3.350003	60.087414
46057		-0.608341	-9.744657	0.833108	-0.003989	-0.003698	-0.001970	-85.227008	3.348180	60.088160
46058		-0.601049	-9.768033	0.831870	-0.004128	0.003446	-0.001197	-85.225307	3.346666	60.084682
46059		-0.608049	-9.744738	0.832373	-0.002784	-0.002057	-0.001726	-85.222434	3.345057	60.084312
46060		-0.612190	-9.746935	0.855909	-0.005630	0.003333	0.000060	-85.221587	3.344256	60.080959
46061		-0.600771	-9.768166	0.830509	-0.006538	0.000165	-0.001686	-85.220950	3.342758	60.079812
46062		-0.616527	-9.798401	0.824490	-0.003754	0.002222	0.000040	-85.218991	3.341893	60.077093
46063		-0.577791	-9.761382	0.834345	-0.002707	-0.001754	0.001012	-85.216070	3.341857	60.076849
46064		-0.605080	-9.770417	0.853337	-0.003379	0.000997	0.001277	-85.213852	3.341640	60.074890
46065		-0.596773	-9.766106	0.805197	-0.001502	-0.000113	0.001257	-85.210281	3.341833	60.073453
46066		-0.605324	-9.770427	0.853045	0.000374	-0.001224	0.001236	-85.205838	3.341487	60.072763
46067		-0.593772	-9.742419	0.882294	-0.005117	-0.005036	0.000523	-85.204174	3.341024	60.074125
46068		-0.605435	-9.770479	0.852375	-0.004584	-0.000643	0.001032	-85.202592	3.340589	60.073093
46069		-0.605395	-9.770520	0.851928	-0.004662	-0.000946	-0.001705	-85.200818	3.339039	60.072213
46070		-0.624091	-9.775262	0.822721	-0.007667	-0.001174	0.000808	-85.200985	3.338450	60.071473
46071		-0.601190	-9.768460	0.826736	-0.005790	-0.002285	0.000788	-85.199825	3.338260	60.071283
46072		-0.601235	-9.768517	0.826035	-0.008872	-0.002815	0.000564	-85.200629	3.337453	60.071471
46073		-0.575341	-9.787218	0.853205	-0.002923	0.005087	-0.000950	-85.198062	3.336610	60.067538
46074		-0.639870	-9.756455	0.869158	-0.005041	-0.004735	0.003261	-85.196600	3.337251	60.068952
46075		-0.571312	-9.785103	0.828461	-0.003457	0.000694	-0.001460	-85.194187	3.335916	60.067206
46076		-0.597129	-9.766467	0.800539	0.000000	0.000000	0.000000	-85.190003	3.334923	60.065756
46077		-0.589765	-9.740632	0.853930	-0.000831	-0.002866	0.000991	-85.185967	3.334822	60.065890
46078		-0.605752	-9.770820	0.848227	-0.003005	-0.000228	0.002514	-85.183490	3.335253	60.064692
46079		-0.590146	-9.740654	0.853407	-0.004211	-0.001869	0.002269	-85.181414	3.335930	60.064340
46080		-0.610493	-9.773037	0.871325	-0.006545	-0.004850	0.004518	-85.180806	3.337282	60.065881
46081		-0.583562	-9.764044	0.851511	-0.004585	-0.000645	0.001034	-85.178986	3.337311	60.064729
46082		-0.602295	-9.768749	0.822507	-0.003457	0.000694	-0.001460	-85.176810	3.335518	60.062811
46083		-0.613736	-9.747627	0.846880	-0.005714	-0.001984	0.003527	-85.175602	3.336892	60.062806
46084		-0.606759	-9.770995	0.845495	-0.004960	0.000580	-0.000202	-85.174280	3.335811	60.061014
46085		-0.588120	-9.766356	0.873716	-0.003006	-0.000229	0.002515	-85.171575	3.336697	60.059792
46086		-0.614156	-9.747715	0.845554	-0.005792	-0.002286	0.000789	-85.170632	3.336045	60.059687
