idx,YOLO_pred,LSTM_pred
10,6,2
15,6,2
20,6,2
25,6,2
30,6,2
35,6,2
40,6,2
45,6,2
50,6,2
55,6,2
60,6,2
65,6,2
70,6,2
75,6,2
80,6,2
85,6,2
90,6,2
95,6,2
100,6,2
105,6,2
110,6,2
115,6,2
120,6,2
125,6,2
130,6,2
135,6,2
140,6,2
145,6,2
150,6,2
155,6,2
160,6,2
165,6,2
170,6,2
175,6,2
180,6,2
185,6,2
190,6,2
195,6,2
200,6,2
205,6,2
210,6,2
215,6,2
220,6,2
225,6,2
230,6,2
235,6,2
240,6,2
245,6,2
250,6,2
255,6,2
260,6,2
265,6,2
270,6,2
275,6,2
280,6,2
285,6,2
290,6,2
295,6,2
300,6,2
305,3,2
310,3,1
315,3,1
320,3,1
325,3,1
330,3,1
335,3,1
340,3,1
345,3,1
350,3,1
355,3,1
360,3,1
365,3,1
370,3,1
375,3,1
380,3,1
385,3,1
390,3,1
395,3,1
400,3,1
405,3,1
410,3,1
415,3,1
420,3,1
425,3,1
430,3,1
435,3,1
440,3,1
445,3,1
450,3,1
455,3,1
460,3,1
465,3,1
470,3,1
475,4,1
480,4,1
485,4,1
490,4,1
495,4,1
500,4,1
505,4,1
510,4,1
515,4,1
520,4,1
525,6,1
530,6,2
535,6,2
540,6,2
545,6,2
550,6,2
555,6,2
560,6,2
565,6,2
570,6,2
575,6,2
580,6,2
585,6,2
590,6,2
595,6,2
600,6,2
605,6,2
610,6,2
615,6,2
620,6,2
625,6,2
630,6,2
635,6,2
640,6,2
645,6,2
650,6,2
655,6,2
660,6,2
665,6,2
670,6,2
675,6,2
680,6,2
685,6,2
690,6,2
695,1,2
700,1,0
705,1,0
710,6,0
715,6,2
720,0,2
725,0,0
730,0,0
735,0,0
740,0,0
745,0,0
750,0,0
755,0,0
760,0,0
765,0,0
770,0,0
775,0,0
780,0,0
785,0,0
790,0,0
795,0,0
800,0,0
805,0,0
810,0,0
815,0,0
820,0,0
825,0,0
830,0,0
835,0,0
840,0,0
845,0,0
850,0,0
855,0,0
860,0,0
865,0,0
870,0,0
875,0,0
880,0,0
885,0,0
890,0,0
895,0,0
900,1,0
905,1,0
910,1,0
915,1,0
920,1,0
925,1,0
930,1,0
935,1,0
940,6,0
945,6,0
950,6,2
955,6,2
960,6,2
965,6,2
970,6,2
975,6,2
980,6,2
985,6,2
990,6,2
995,6,2
1000,6,2
1005,6,2
1010,6,2
1015,6,2
1020,6,2
1025,6,2
1030,6,2
1035,6,2
1040,6,2
1045,6,2
1050,6,2
1055,6,2
1060,6,2
1065,4,2
1070,6,1
1075,6,1
1080,6,2
1085,6,2
1090,4,2
1095,4,2
1100,4,1
1105,6,1
1110,6,2
1115,6,2
1120,6,2
1125,6,2
1130,6,2
1135,6,2
1140,6,2
1145,6,2
1150,6,2
1155,6,2
1160,6,1
1165,6,2
1170,6,2
1175,4,2
1180,4,1
1185,6,1
1190,6,2
1195,6,2
1200,6,2
1205,6,2
1210,6,2
1215,0,2
1220,6,2
