// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
19027	9.634317	-0.947645	0.634833	-0.086933	-0.041890	-0.089264	-56.192630	-83.220103	-170.677774
19028	9.654928	-0.912514	0.510220	-0.111978	-0.038419	-0.080284	-60.771704	-83.794449	-166.031170
19029	9.663868	-0.958644	0.420867	-0.136236	-0.018244	-0.065098	-58.371041	-83.521596	-168.583324
19030	9.682237	-0.948255	0.403550	-0.155395	0.013471	-0.045596	-58.281173	-83.539776	-168.763374
19031	9.646762	-0.957427	0.435563	-0.165724	0.031460	-0.013081	-58.207028	-83.536809	-168.933545
19032	9.623832	-1.015488	0.505940	-0.172940	0.063685	0.013325	-58.068605	-83.511063	-169.172580
19033	9.639431	-1.064762	0.512896	-0.167937	0.082590	0.036201	-57.912854	-83.468433	-169.426230
19034	9.649702	-1.167218	0.573765	-0.160874	0.113794	0.042692	-57.638776	-83.412974	-169.794896
19035	9.641705	-1.275997	0.652027	-0.150028	0.124164	0.044814	-57.335359	-83.352510	-170.187003
19036	9.644613	-1.275383	0.783837	-0.144720	0.120992	0.034976	-57.013317	-83.298091	-170.594727
19037	9.608642	-1.314077	0.893564	-0.130851	0.107467	0.021259	-56.721113	-83.251401	-170.964639
19038	9.583352	-1.247573	0.899257	-0.117344	0.088884	0.009465	-56.455150	-83.218831	-171.300171
19039	9.537586	-1.214329	0.865988	-0.111077	0.062641	0.002205	-56.284143	-83.191457	-171.536629
19040	9.512892	-1.146268	0.867979	-0.112936	0.049214	-0.000804	-56.150633	-83.176161	-171.736257
19041	9.517230	-1.067049	0.905843	-0.113599	0.019859	0.001741	-56.146132	-83.159341	-171.806414
19042	9.495639	-0.971895	0.956164	-0.117156	-0.003984	0.022666	-56.289215	-83.149816	-171.729910
19043	9.552209	-0.930376	0.959807	-0.119731	-0.028981	0.045179	-56.575303	-83.125365	-171.510619
19044	9.562572	-0.935321	0.853356	-0.129792	-0.018334	0.059287	-56.876716	-83.102729	-171.281921
19045	9.621477	-0.972463	0.908250	-0.143009	-0.015364	0.071356	-57.159307	-83.059891	-171.079153
19046	9.649428	-0.973500	0.787296	-0.140317	-0.008023	0.077981	-57.469126	-83.024769	-170.848027
