// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
19027	7.478357	5.182396	-3.346963	-0.025573	0.006248	0.021246	122.860860	-50.473179	-68.181381
19028	7.510013	5.150434	-3.378251	-0.028130	0.004240	0.024925	123.266024	-50.635692	-68.464486
19029	7.534308	5.144964	-3.369266	-0.031992	0.001753	0.026296	123.059025	-50.561795	-68.350361
19030	7.520308	5.121937	-3.415059	-0.032835	-0.000420	0.030236	123.051949	-50.576184	-68.365557
19031	7.506016	5.034279	-3.418804	-0.027285	-0.005023	0.028826	123.052295	-50.588912	-68.384801
19032	7.534323	5.061470	-3.402215	-0.020822	-0.001582	0.032070	123.053488	-50.603819	-68.401785
19033	7.539893	5.092807	-3.393205	-0.014249	-0.006436	0.034278	123.062612	-50.618465	-68.423906
19034	7.537611	5.122194	-3.443604	-0.018844	-0.004482	0.030867	123.066195	-50.631885	-68.442508
19035	7.516557	5.171637	-3.421539	-0.024709	-0.007523	0.033289	123.070187	-50.645866	-68.465431
19036	7.551955	5.107608	-3.403052	-0.028149	-0.007185	0.032766	123.070762	-50.659352	-68.487030
19037	7.541926	5.135398	-3.512207	-0.028850	-0.007266	0.036125	123.073901	-50.674815	-68.511614
19038	7.532176	5.126898	-3.479378	-0.027271	-0.006064	0.037119	123.076003	-50.690741	-68.534527
19039	7.511446	5.176097	-3.457104	-0.021842	-0.005843	0.036591	123.084263	-50.706638	-68.559628
19040	7.535634	5.123051	-3.477558	-0.023250	0.001979	0.035325	123.083287	-50.724216	-68.575577
19041	7.530071	5.147700	-3.436165	-0.019289	-0.003832	0.032914	123.091920	-50.738557	-68.598498
19042	7.512398	5.137448	-3.462683	-0.024447	-0.003320	0.032130	123.092164	-50.752942	-68.616902
19043	7.529625	5.157462	-3.414195	-0.021713	-0.003743	0.036011	123.101997	-50.768391	-68.642417
19044	7.508513	5.160164	-3.420551	-0.025871	-0.006945	0.038692	123.106091	-50.784788	-68.666836
19045	7.556030	5.130473	-3.334489	-0.024159	-0.007114	0.038953	123.118431	-50.800101	-68.696988
19046	7.515203	5.078027	-3.397053	-0.024863	-0.007195	0.042312	123.124668	-50.818152	-68.723416
19047	7.521252	5.108811	-3.388029	-0.021454	-0.010999	0.042677	123.142748	-50.834418	-68.758740
19048	7.549578	5.088112	-3.401014	-0.017158	-0.013692	0.047395	123.159219	-50.852863	-68.792659
19049	7.562901	5.092018	-3.432891	-0.018162	-0.009970	0.043933	123.180329	-50.870239	-68.828840
19050	7.553493	5.100608	-3.471800	-0.011685	-0.006556	0.047180	123.195695	-50.890806	-68.857277
19051	7.570701	5.090997	-3.523662	-0.015544	-0.005564	0.048706	123.219578	-50.911750	-68.894044
19052	7.576551	5.074865	-3.543184	-0.023988	-0.002597	0.046828	123.225469	-50.933379	-68.919338
19053	7.597349	5.034356	-3.543403	-0.028865	-0.001344	0.044736	123.242164	-50.953261	-68.954510
19054	7.598871	4.967369	-3.499670	-0.030122	0.005116	0.042748	123.238435	-50.975353	-68.971934
19055	7.608272	4.939010	-3.537908	-0.030518	0.013754	0.036826	123.248205	-50.997093	-68.996224
19056	7.591845	4.938614	-3.392429	-0.016230	0.014872	0.027997	123.240964	-51.015181	-68.998877
19057	7.620871	4.983846	-3.445618	-0.017536	0.014408	0.025689	123.257791	-51.033460	-69.020615
19058	7.581117	5.007259	-3.378399	-0.019571	0.014930	0.018451	123.244904	-51.046995	-69.018470
19059	7.582393	5.006721	-3.376333	-0.022336	0.011907	0.014410	123.259030	-51.060030	-69.039483
19060	7.586973	4.993331	-3.394564	-0.025518	0.009526	0.012416	123.243601	-51.068984	-69.038468
19061	7.580747	5.019645	-3.352192	-0.021379	0.009258	0.009579	123.255425	-51.079843	-69.056879
19062	7.604297	5.014810	-3.343329	-0.023129	0.005973	0.009156	123.242196	-51.086119	-69.056943
19063	7.581977	5.019813	-3.349157	-0.017010	0.002792	0.005106	123.258716	-51.095366	-69.076953
19064	7.586656	5.053083	-3.339594	-0.013444	0.001070	0.004891	123.252255	-51.098044	-69.078581
19065	7.567597	5.044985	-3.366239	-0.014746	0.000607	0.002582	123.270006	-51.105970	-69.098479
19066	7.559957	5.043698	-3.424840	-0.011596	-0.000475	0.004414	123.265335	-51.107929	-69.101033
19067	7.594257	5.027159	-3.378351	-0.005893	-0.003016	0.002412	123.298602	-51.114796	-69.132093
19068	7.579300	5.052144	-3.397024	-0.007195	-0.003479	0.000103	123.296530	-51.113745	-69.134781
19069	7.548313	5.037329	-3.392742	-0.003082	-0.007209	-0.002898	123.327068	-51.116918	-69.161339
19070	7.552269	5.070768	-3.384538	-0.003241	-0.009304	-0.002325	123.329775	-51.112870	-69.167253
19071	7.566781	5.046070	-3.366447	-0.000090	-0.010386	-0.000493	123.356513	-51.115052	-69.189272
19072	7.559261	5.091105	-3.397633	-0.003143	-0.014133	-0.003226	123.361814	-51.109048	-69.198403
19073	7.569962	5.079711	-3.359686	-0.003462	-0.018322	-0.002080	123.401116	-51.106977	-69.238608
19074	7.564878	5.046773	-3.369666	-0.000024	-0.018677	-0.001559	123.411541	-51.100346	-69.252078
19075	7.567602	5.033820	-3.391434	0.004405	-0.018218	-0.005708	123.444527	-51.097096	-69.279715
19076	7.543908	5.038829	-3.400304	0.015326	-0.014366	-0.006606	123.459178	-51.089398	-69.287322
19077	7.570173	5.067029	-3.386681	0.020868	-0.019000	-0.008038	123.499839	-51.083098	-69.315730
19078	7.604345	5.133549	-3.455725	0.020194	-0.015624	-0.004516	123.518800	-51.075996	-69.325334
19079	7.555137	5.202387	-3.423305	0.025893	-0.018163	-0.006522	123.558584	-51.070374	-69.349156
19080	7.641248	5.366332	-3.340611	0.000703	-0.019665	0.003378	123.571781	-51.065737	-69.365741
19081	7.582920	5.124866	-3.488288	-0.034831	-0.019029	0.003437	123.582025	-51.064649	-69.393242
19082	7.522727	4.971310	-3.486450	-0.023243	-0.018551	-0.000989	123.579118	-51.058265	-69.406733
19083	7.549369	4.981659	-3.400378	-0.013215	-0.020341	0.001875	123.600268	-51.053220	-69.436910
19084	7.584062	5.029793	-3.397280	0.000031	-0.016291	0.006894	123.612412	-51.051308	-69.452644
19085	7.583841	5.029236	-3.398597	0.003756	-0.015918	0.006101	123.642102	-51.050326	-69.481594
19086	7.583480	5.047322	-3.470655	-0.003123	-0.015208	0.005067	123.651079	-51.047884	-69.495601
19087	7.518298	5.029935	-3.442412	-0.005576	-0.018578	0.008004	123.680514	-51.048422	-69.527791
19088	7.522404	5.062637	-3.435017	-0.009783	-0.025231	0.010519	123.693690	-51.045377	-69.552115
19089	7.566981	5.006043	-3.450986	-0.012171	-0.021679	0.013785	123.727171	-51.047122	-69.596002
19090	7.559950	5.031710	-3.411573	-0.010327	-0.023223	0.013305	123.740017	-51.046062	-69.620312
19091	7.548182	5.042896	-3.451886	-0.011672	-0.027144	0.010835	123.766041	-51.043003	-69.659110
19092	7.523982	5.001124	-3.489313	-0.009507	-0.024501	0.009208	123.778382	-51.039556	-69.682254
19093	7.562356	5.017246	-3.436102	-0.007664	-0.026045	0.008727	123.811805	-51.037599	-69.720209
19094	7.576672	5.010661	-3.489647	-0.008777	-0.020951	0.006013	123.821191	-51.033743	-69.739008
19095	7.580740	5.043527	-3.482139	-0.007470	-0.020489	0.008319	123.850860	-51.033545	-69.769943
19096	7.556537	5.001901	-3.519274	-0.010787	-0.021499	0.007068	123.859827	-51.029995	-69.789644
19097	7.583409	5.030109	-3.504478	-0.011775	-0.017772	0.003617	123.879106	-51.027531	-69.807307
19098	7.568034	5.055018	-3.523930	-0.004572	-0.014298	0.003496	123.885931	-51.024531	-69.819592
19099	7.582737	5.030075	-3.505982	-0.008137	-0.012574	0.003723	123.897444	-51.021069	-69.836200
19100	7.548365	5.028160	-3.481575	-0.007976	-0.010480	0.003150	123.899750	-51.019073	-69.845260
19101	7.567666	5.036351	-3.454610	-0.008387	-0.009841	0.005200	123.934320	-51.022332	-69.874487
19102	7.548126	5.027995	-3.482331	-0.004661	-0.009471	0.004400	123.938552	-51.021265	-69.883468
19103	7.570942	5.022902	-3.475661	-0.004623	-0.006011	0.004566	123.951605	-51.020730	-69.899862
19104	7.555864	5.047676	-3.494652	-0.002369	-0.008195	0.002034	123.955309	-51.018911	-69.906564
19105	7.540710	5.072579	-3.513618	-0.009823	-0.008934	0.003634	123.968934	-51.017452	-69.925764
19106	7.555620	5.047821	-3.494970	-0.011219	-0.004568	0.002234	123.965347	-51.016850	-69.929704
19107	7.517024	5.012939	-3.478542	-0.013513	-0.005843	0.004601	123.974453	-51.016185	-69.940182
19108	7.559085	5.034930	-3.514798	-0.011916	-0.004656	0.005595	123.971731	-51.017105	-69.945745
19109	7.543446	4.994916	-3.491456	-0.006183	-0.003739	0.003739	123.994042	-51.018649	-69.965218
19110	7.560382	5.081011	-3.485511	-0.006430	-0.001006	0.005217	123.992205	-51.020559	-69.967840
19111	7.533324	5.052569	-3.501016	-0.007003	-0.002461	0.007838	124.004420	-51.022111	-69.978986
19112	7.553135	5.060466	-3.473377	-0.010568	-0.000736	0.008067	124.001121	-51.025433	-69.982763
19113	7.571728	5.040623	-3.545429	-0.006064	0.002096	0.012361	124.019185	-51.032112	-70.009418
19114	7.562252	5.079172	-3.484135	-0.002623	0.001737	0.012871	124.020871	-51.038529	-70.013857
19115	7.625630	5.154516	-3.463929	-0.003157	0.003742	0.015660	124.037142	-51.045971	-70.028671
19116	7.560611	5.090388	-3.462795	-0.012048	0.003914	0.015695	124.033207	-51.054407	-70.032847
