// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
19027	9.123904	-3.154886	0.662846	-0.089330	-0.021165	0.008503	-78.090858	-70.541194	-59.970096
19028	9.108048	-3.174644	0.654800	-0.091249	-0.025070	0.008181	-78.298414	-70.410668	-59.856789
19029	9.131272	-3.192626	0.630324	-0.093885	-0.025191	0.006723	-78.246989	-70.476303	-59.939273
19030	9.136646	-3.194571	0.601022	-0.093371	-0.030085	0.008980	-78.351031	-70.474761	-59.885645
19031	9.166803	-3.227327	0.628188	-0.092823	-0.027901	0.006806	-78.449418	-70.474997	-59.838521
19032	9.168838	-3.263012	0.623818	-0.095956	-0.030219	0.007547	-78.554672	-70.474210	-59.785178
19033	9.158379	-3.283379	0.591387	-0.093473	-0.021953	0.010428	-78.646665	-70.470696	-59.744436
19034	9.189746	-3.247975	0.592590	-0.092685	-0.023300	0.007015	-78.738897	-70.469373	-59.702920
19035	9.158093	-3.286017	0.581076	-0.092165	-0.023565	0.009406	-78.833222	-70.466280	-59.659013
19036	9.170284	-3.303139	0.604140	-0.092866	-0.022244	0.012865	-78.925681	-70.461506	-59.617364
19037	9.209026	-3.302995	0.583033	-0.089404	-0.018846	0.011071	-79.012538	-70.456307	-59.579834
19038	9.192997	-3.322851	0.575391	-0.087167	-0.013859	0.010347	-79.087612	-70.451996	-59.553165
19039	9.143318	-3.345026	0.560290	-0.081795	-0.018296	0.013158	-79.171394	-70.444762	-59.514458
19040	9.176708	-3.344066	0.563741	-0.086827	-0.010309	0.004732	-79.238905	-70.443205	-59.495607
19041	9.184055	-3.379862	0.537138	-0.079021	-0.013281	0.005545	-79.313082	-70.438390	-59.465676
19042	9.150428	-3.382718	0.525895	-0.078477	-0.008612	-0.001186	-79.371339	-70.439971	-59.451569
19043	9.134784	-3.401248	0.519066	-0.079898	-0.010306	-0.003716	-79.442105	-70.438272	-59.426215
19044	9.140445	-3.401416	0.491659	-0.078634	-0.009424	-0.009332	-79.499352	-70.444515	-59.413275
19045	9.169152	-3.398075	0.519516	-0.078095	-0.009382	-0.016220	-79.568743	-70.447504	-59.388852
19046	9.178032	-3.343992	0.542211	-0.079527	-0.008915	-0.014034	-79.624369	-70.456335	-59.378177
19047	9.174554	-3.273792	0.536965	-0.085279	-0.006386	-0.023870	-79.694460	-70.461412	-59.357788
19048	9.175266	-3.272342	0.533624	-0.077754	-0.008303	-0.017267	-79.747228	-70.471995	-59.349067
19049	9.158040	-3.255025	0.526026	-0.092253	-0.005088	-0.018782	-79.821977	-70.473629	-59.328131
19050	9.192308	-3.251552	0.529918	-0.096085	-0.008258	-0.019316	-79.884661	-70.485358	-59.320033
19051	9.189667	-3.284605	0.550880	-0.091448	-0.004271	-0.017464	-79.961735	-70.485493	-59.296571
19052	9.156622	-3.285751	0.540225	-0.082702	-0.000649	-0.016323	-80.005568	-70.494764	-59.300337
19053	9.167460	-3.266345	0.565099	-0.070591	0.003917	-0.012449	-80.059227	-70.490298	-59.289026
19054	9.116350	-3.251689	0.551800	-0.055820	0.006444	-0.011839	-80.077645	-70.496336	-59.303407
19055	9.098742	-3.235066	0.546380	-0.053169	0.004050	-0.005826	-80.118565	-70.488585	-59.294714
19056	9.096861	-3.200197	0.544119	-0.056281	-0.000419	-0.009828	-80.148747	-70.494167	-59.296891
19057	9.120353	-3.216043	0.522570	-0.059184	0.000506	-0.005470	-80.201925	-70.485522	-59.278935
19058	9.140645	-3.266150	0.525069	-0.059864	-0.007111	-0.011646	-80.244340	-70.492782	-59.270305
19059	9.156839	-3.246959	0.525961	-0.060320	-0.006842	-0.013999	-80.303485	-70.489477	-59.245915
19060	9.118359	-3.248134	0.539401	-0.060299	-0.011482	-0.014178	-80.352380	-70.498594	-59.230652
19061	9.159620	-3.260985	0.595773	-0.059318	-0.009538	-0.013981	-80.421843	-70.494546	-59.195506
19062	9.201270	-3.292333	0.577146	-0.056403	-0.012964	-0.013790	-80.471020	-70.503570	-59.177565
19063	9.207128	-3.291439	0.550698	-0.048677	-0.006640	-0.012661	-80.524115	-70.499930	-59.154078
19064	9.186509	-3.308820	0.568709	-0.043594	-0.009686	-0.013378	-80.560982	-70.508376	-59.141416
19065	9.236283	-3.287338	0.578221	-0.031064	0.001754	-0.011502	-80.593416	-70.500645	-59.128208
19066	9.151416	-3.275106	0.558173	-0.019997	-0.002755	-0.003499	-80.608363	-70.502842	-59.124456
19067	9.154741	-3.240391	0.533243	-0.017828	0.002258	-0.004206	-80.610039	-70.492303	-59.133352
19068	9.093011	-3.244507	0.493810	-0.020716	0.001043	-0.004577	-80.618924	-70.494755	-59.136409
19069	9.147838	-3.223673	0.480487	-0.019030	-0.000807	-0.003307	-80.639427	-70.484852	-59.128395
19070	9.146874	-3.292546	0.504464	-0.024586	0.000005	-0.000408	-80.653307	-70.485035	-59.128501
19071	9.144722	-3.258185	0.503100	-0.017831	-0.004885	0.000134	-80.699346	-70.471233	-59.093825
19072	9.136606	-3.310879	0.475184	-0.019986	-0.002757	-0.003494	-80.714308	-70.473402	-59.090018
19073	9.168102	-3.274201	0.481403	-0.019040	-0.003316	0.001229	-80.736756	-70.458723	-59.076997
19074	9.144951	-3.257965	0.500364	-0.016354	-0.002834	-0.006574	-80.748781	-70.462658	-59.074045
19075	9.127220	-3.241523	0.495469	-0.020225	-0.003874	-0.002406	-80.788534	-70.449122	-59.046993
19076	9.163080	-3.273713	0.502482	-0.015651	-0.004508	-0.000766	-80.804421	-70.449881	-59.039487
19077	9.152758	-3.291998	0.474264	-0.016617	-0.001823	-0.000757	-80.829887	-70.436578	-59.022711
19078	9.178888	-3.255363	0.504588	-0.012517	-0.002178	-0.001478	-80.839980	-70.437535	-59.019415
19079	9.173939	-3.273482	0.452870	-0.019265	0.002710	-0.002013	-80.865697	-70.422815	-59.005540
19080	9.189683	-3.255130	0.456117	-0.008912	-0.000128	0.000169	-80.870930	-70.422601	-59.005151
19081	9.171766	-3.239082	0.452043	-0.003138	0.002304	0.000913	-80.892170	-70.411367	-58.989422
19082	9.138024	-3.241605	0.444788	-0.004128	0.007112	0.005653	-80.884699	-70.407363	-58.999627
