// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
19027	9.778237	-0.153527	0.265117	0.004722	-0.003131	-0.000880	-30.068738	-88.204552	-144.295753
19028	9.807672	-0.162412	0.280490	0.003642	-0.003671	0.000159	-30.056010	-88.106325	-144.133680
19029	9.756220	-0.174560	0.293887	0.001614	-0.000987	0.000603	-30.073553	-88.154776	-144.201350
19030	9.786533	-0.163024	0.243603	0.000000	0.000000	0.000000	-30.073553	-88.154776	-144.201350
19031	9.756213	-0.174768	0.293997	-0.004603	0.003299	0.003568	-30.084560	-88.151653	-144.193897
19032	9.764482	-0.184354	0.273421	0.000132	0.003765	-0.001635	-30.025912	-88.150255	-144.252501
19033	9.764923	-0.173918	0.240759	-0.002147	0.002515	-0.002245	-29.971591	-88.149593	-144.308081
19034	9.764477	-0.184088	0.273800	0.001614	-0.000987	0.000603	-29.988683	-88.149911	-144.290055
19035	9.799375	-0.152975	0.301887	0.000414	-0.001696	-0.001047	-29.992577	-88.151012	-144.285927
19036	9.777794	-0.163673	0.298072	0.000414	-0.001696	-0.001047	-29.991300	-88.152154	-144.286968
19037	9.786076	-0.173106	0.277183	0.000666	0.002237	0.000008	-29.973526	-88.150846	-144.304372
19038	9.786524	-0.162781	0.244113	0.002443	-0.004380	-0.001490	-29.988073	-88.153447	-144.288417
19039	9.786084	-0.173057	0.276924	-0.001495	0.001156	0.002086	-30.017137	-88.152137	-144.260201
19040	9.786081	-0.173109	0.277007	0.001080	0.000541	-0.001039	-29.995738	-88.152167	-144.280993
19041	9.764492	-0.183911	0.273358	-0.001080	-0.000541	0.001039	-30.027051	-88.151890	-144.250293
19042	9.791551	-0.133063	0.289500	0.003774	0.000094	-0.001475	-30.001374	-88.152266	-144.273820
19043	9.793916	-0.192791	0.289130	-0.000414	0.001696	0.001047	-30.010967	-88.150794	-144.264469
19044	9.756652	-0.164075	0.261514	0.002160	0.001081	-0.002078	-29.968196	-88.150853	-144.306024
19045	9.777798	-0.163205	0.298185	0.003655	-0.000075	-0.004164	-29.917879	-88.151601	-144.354288
19046	9.799382	-0.152139	0.302080	0.002412	0.005014	-0.001024	-29.856410	-88.149402	-144.414406
19047	9.764497	-0.183027	0.273801	0.005551	-0.006523	-0.002972	-29.873997	-88.152697	-144.393628
19048	9.778692	-0.142120	0.232460	-0.000697	0.007157	0.000458	-29.818241	-88.149009	-144.449812
19049	9.769953	-0.142741	0.286775	0.003240	0.001622	-0.003117	-29.768436	-88.148497	-144.497828
19050	9.743341	-0.183302	0.237958	0.001450	0.004643	0.002704	-29.768269	-88.145416	-144.497165
19051	9.756182	-0.173299	0.295903	0.000132	0.003765	-0.001635	-29.733825	-88.143726	-144.531465
19052	9.786494	-0.161713	0.246047	0.000251	0.003934	0.001054	-29.715459	-88.141471	-144.549693
19053	9.772736	-0.192274	0.254736	0.003359	0.001791	-0.000428	-29.719177	-88.140373	-144.544002
19054	9.756161	-0.173244	0.296632	0.002694	-0.000447	-0.000436	-29.715019	-88.140724	-144.546610
19055	9.764895	-0.172601	0.242848	0.000784	0.002406	0.002696	-29.769593	-88.138137	-144.491831
19056	9.756157	-0.173220	0.296765	0.004070	-0.001771	-0.005210	-29.703090	-88.140503	-144.556036
19057	9.778203	-0.152023	0.267241	0.002147	-0.002515	0.002246	-29.802000	-88.140408	-144.455737
19058	9.777763	-0.162212	0.299886	0.006217	-0.004286	-0.002964	-29.790714	-88.143385	-144.463461
