// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
19027	9.420175	1.526260	2.081977	-0.008399	-0.002049	-0.002101	36.243846	-74.674859	8.213141
19028	9.417010	1.537527	2.041373	-0.010742	-0.000858	-0.000544	36.988509	-74.816474	7.628942
19029	9.437336	1.529309	2.052195	-0.008399	-0.002049	-0.002101	36.614939	-74.746054	7.913935
19030	9.412708	1.552136	2.060433	-0.009228	-0.001717	-0.003537	36.617769	-74.745635	7.905522
19031	9.450182	1.547250	2.041325	-0.008923	-0.003772	-0.001664	36.618586	-74.747268	7.900180
19032	9.417061	1.537602	2.041081	-0.008399	-0.002050	-0.002100	36.619885	-74.747494	7.893845
19033	9.433041	1.544022	2.071149	-0.009695	0.002583	-0.001415	36.613706	-74.745859	7.894508
19034	9.416989	1.537481	2.041502	-0.008219	-0.000066	-0.000321	36.609621	-74.745780	7.893861
19035	9.454414	1.532576	2.022635	-0.008705	0.000003	-0.003973	36.611735	-74.744461	7.886529
19036	9.412553	1.552376	2.060962	-0.009010	0.002057	-0.005845	36.613852	-74.741517	7.878985
19037	9.416791	1.538081	2.041963	-0.010580	-0.003109	-0.004536	36.620260	-74.741528	7.866125
19038	9.429545	1.556045	2.031498	-0.010001	0.004635	-0.003286	36.614263	-74.738273	7.866402
19039	9.407984	1.567587	2.080769	-0.012057	-0.000461	-0.005629	36.619218	-74.736800	7.854236
19040	9.416564	1.538604	2.042616	-0.005875	-0.001258	-0.001878	36.620592	-74.736736	7.849322
19041	9.404765	1.579181	2.040185	-0.008399	-0.002053	-0.002099	36.624309	-74.737067	7.840655
19042	9.428328	1.559470	2.091440	-0.008436	-0.003846	0.001989	36.620942	-74.739515	7.839135
19043	9.424208	1.512179	2.063754	-0.007913	-0.002124	0.001553	36.620044	-74.740840	7.835625
19044	9.412510	1.552370	2.061163	-0.006436	-0.004774	0.002646	36.617877	-74.743939	7.834049
19045	9.412635	1.552047	2.060836	-0.007265	-0.004441	0.001210	36.620704	-74.746214	7.827055
19046	9.399960	1.533967	2.071026	-0.007139	-0.008480	0.001302	36.625048	-74.750559	7.818313
19047	9.437608	1.528641	2.051440	-0.010654	-0.006698	0.003641	36.624889	-74.754515	7.812416
19048	9.425982	1.568838	2.048542	-0.005445	-0.007353	0.000087	36.630846	-74.757926	7.803008
19049	9.400518	1.532857	2.069316	-0.008653	-0.007626	0.004298	36.632909	-74.762623	7.796056
19050	9.429536	1.556647	2.088092	-0.007264	-0.004443	0.001211	36.632278	-74.765082	7.792395
19051	9.413621	1.549985	2.057881	-0.007264	-0.004443	0.001211	36.636229	-74.766730	7.784315
19052	9.418055	1.535074	2.038395	-0.011482	-0.006368	0.002208	36.633921	-74.770410	7.779889
19053	9.434257	1.540977	2.067872	-0.008130	-0.005906	0.003864	36.635616	-74.773770	7.773534
19054	9.414128	1.548456	2.056713	-0.009643	-0.005052	0.006860	36.624857	-74.778436	7.778953
19055	9.418537	1.533304	2.037498	-0.008560	0.000189	0.001901	36.622038	-74.778298	7.777175
19056	9.414286	1.547492	2.056716	-0.006560	-0.000738	0.002557	36.614891	-74.779516	7.780680
19057	9.414334	1.546936	2.056914	-0.008721	0.002432	0.005898	36.603284	-74.779617	7.788020
19058	9.414367	1.546391	2.057171	-0.008560	0.000189	0.001902	36.594933	-74.780184	7.791586
19059	9.405855	1.513669	2.048863	-0.008560	0.000189	0.001902	36.593533	-74.780371	7.788053
19060	9.439012	1.523032	2.049154	-0.006866	0.001318	0.000686	36.586800	-74.780023	7.790935
19061	9.438981	1.522886	2.049405	-0.007695	0.001651	-0.000749	36.588334	-74.778203	7.785165
19062	9.414348	1.545528	2.057906	-0.009571	-0.001461	-0.001314	36.586929	-74.778443	7.780917
19063	9.414259	1.545618	2.058247	-0.008307	0.005764	-0.004490	36.589680	-74.772905	7.773824
19064	9.438822	1.522902	2.050125	-0.009265	-0.003519	0.000557	36.587867	-74.774710	7.770191
19065	9.414244	1.545431	2.058455	-0.008218	-0.000073	-0.000313	36.590234	-74.773769	7.763907
19066	9.414212	1.545458	2.058582	-0.008705	0.000001	-0.003965	36.591948	-74.772401	7.756965
19067	9.418472	1.530951	2.039568	-0.008218	-0.000074	-0.000313	36.595580	-74.772286	7.747682
19068	9.414197	1.545319	2.058752	-0.008741	-0.001797	0.000122	36.592651	-74.773165	7.745504
