// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
18087	9.578911	1.625232	0.668270	0.000521	0.009138	-0.000299	67.661162	-79.605698	-14.516176
18088	9.590710	1.632967	0.648925	-0.001663	0.002771	-0.001522	68.331229	-79.618290	-15.257191
18089	9.564042	1.644842	0.667802	-0.001663	0.002771	-0.001522	68.001918	-79.611828	-14.894520
18090	9.578766	1.625650	0.669335	-0.001686	0.000680	-0.002895	68.002369	-79.610145	-14.895960
18091	9.575807	1.652895	0.648182	-0.001116	0.001150	-0.001472	67.999975	-79.608987	-14.894161
18092	9.605952	1.646343	0.663697	-0.001116	0.001150	-0.001472	67.997727	-79.607958	-14.892525
18093	9.590510	1.633772	0.649861	-0.001663	0.002771	-0.001522	67.990667	-79.606506	-14.886311
18094	9.589848	1.601770	0.637361	-0.002458	0.000867	-0.000735	67.987608	-79.605929	-14.884633
18095	9.590478	1.633854	0.650128	-0.001342	-0.000283	0.000737	67.987183	-79.606421	-14.884970
18096	9.577958	1.594263	0.657449	-0.002802	0.001831	-0.004367	67.985390	-79.603708	-14.884779
18097	9.559594	1.608739	0.622431	-0.000523	0.003710	0.001324	67.973132	-79.603764	-14.872610
18098	9.587439	1.661318	0.629604	0.002362	0.003620	-0.003732	67.968378	-79.601004	-14.866401
18099	9.563669	1.646272	0.669622	-0.006280	-0.000639	-0.002107	67.971007	-79.600221	-14.872669
18100	9.586104	1.597465	0.604519	-0.004346	0.002204	-0.000048	67.962196	-79.599722	-14.866242
18101	9.578413	1.626937	0.671264	0.000000	0.000000	0.000000	67.965091	-79.600069	-14.869089
18102	9.598547	1.637316	0.597683	-0.000867	0.004674	-0.002308	67.953774	-79.597838	-14.858089
18103	9.590162	1.635089	0.651675	0.001521	-0.002463	-0.005692	67.972867	-79.595788	-14.876469
18104	9.586557	1.630362	0.617822	-0.000298	0.005144	-0.000885	67.958856	-79.594212	-14.862397
18105	9.589426	1.603474	0.639421	0.003478	0.002470	-0.002260	67.962442	-79.593027	-14.863814
18106	9.589372	1.603701	0.639661	-0.000321	0.003054	-0.002259	67.956074	-79.591171	-14.857526
18107	9.589316	1.603902	0.640003	0.004843	0.004843	-0.001623	67.953331	-79.590286	-14.851700
18108	9.559706	1.642929	0.637521	0.005366	0.001133	-0.002947	67.956581	-79.588478	-14.851878
18109	9.616467	1.624799	0.634360	0.004025	0.000850	-0.002210	67.966942	-79.588400	-14.859861
18110	9.601645	1.644501	0.632872	0.007801	-0.001824	-0.003584	67.980871	-79.586889	-14.869482
18111	9.628244	1.633033	0.614195	0.007847	0.002356	-0.000839	67.989132	-79.587175	-14.873084
18112	9.589078	1.605273	0.640132	0.006162	0.003036	-0.003734	67.988235	-79.584536	-14.868589
18113	9.574262	1.624816	0.638942	0.007075	0.002543	0.001321	67.995330	-79.586495	-14.871193
18114	9.571296	1.652090	0.617752	0.009392	0.001981	-0.005158	68.001002	-79.583327	-14.871491
18115	9.567667	1.647535	0.583896	0.007504	0.003318	-0.004471	68.015709	-79.582143	-14.881229
18116	9.574662	1.658002	0.652041	0.005389	0.003222	-0.001575	68.011344	-79.580616	-14.873641
18117	9.568156	1.680188	0.597014	0.006731	0.003505	-0.002312	68.026421	-79.580374	-14.884145
18118	9.571646	1.685326	0.631423	0.007346	0.008157	0.001855	68.004932	-79.579608	-14.857999
18119	9.560358	1.709813	0.664467	0.005390	0.003222	-0.001575	68.024548	-79.579050	-14.873502
18120	9.586356	1.666076	0.633519	0.002159	0.004276	-0.000152	68.013684	-79.578060	-14.861166
18121	9.575083	1.690487	0.666493	-0.000524	0.003710	0.001322	68.026254	-79.577861	-14.873341
18122	9.601770	1.678328	0.648410	-0.005300	0.005140	0.007064	68.000213	-79.580521	-14.849915
18123	9.586455	1.665000	0.634844	-0.003981	0.003333	0.004955	68.009105	-79.581582	-14.859764
18124	9.604811	1.650215	0.670559	-0.014855	0.001374	0.003634	67.992520	-79.583239	-14.851500
18125	9.588842	1.605041	0.644231	-0.017881	0.001769	0.001474	68.000439	-79.582346	-14.869204
18126	9.576989	1.597105	0.664624	-0.015970	0.002522	0.002160	67.981609	-79.582967	-14.859308
18127	9.588271	1.572257	0.632623	-0.014036	0.005364	0.004218	67.975703	-79.584625	-14.862335
18128	9.570028	1.586095	0.597772	-0.003434	0.001710	0.005005	67.962998	-79.586946	-14.851410
18129	9.604325	1.616383	0.660289	-0.002755	0.006009	-0.001623	67.971529	-79.586647	-14.860547
18130	9.588923	1.603559	0.646710	-0.004549	0.002860	0.003532	67.956583	-79.587954	-14.848003
18131	9.584820	1.566111	0.600423	0.003298	0.005216	0.002696	67.962712	-79.590168	-14.851589
18132	9.588936	1.603138	0.647563	0.007324	0.006065	0.000487	67.948880	-79.589187	-14.833265
