// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
18087	9.751274	0.163550	0.350429	-0.013437	-0.000127	-0.003632	24.998758	-87.729362	-155.852250
18088	9.751269	0.163682	0.350514	-0.014212	0.001396	-0.000082	25.039387	-87.728548	-155.887572
18089	9.745090	0.116647	0.360759	-0.012665	-0.001651	-0.007181	25.095591	-87.728477	-155.957892
18090	9.761404	0.087952	0.352369	-0.008786	0.006291	-0.003404	25.096538	-87.724386	-155.963877
18091	9.730575	0.115105	0.341983	-0.007653	0.003879	-0.003565	25.111784	-87.721887	-155.983673
18092	9.719169	0.136779	0.317620	-0.006521	0.001467	-0.003726	25.147639	-87.720219	-156.023297
18093	9.725612	0.123656	0.375683	-0.000225	0.001910	-0.004662	25.194284	-87.718194	-156.070111
18094	9.770597	0.160434	0.338176	-0.002116	0.002147	-0.004069	25.232842	-87.716088	-156.109913
18095	9.734829	0.195477	0.360807	0.000399	0.003063	-0.003820	25.258938	-87.713688	-156.135810
18096	9.728361	0.209348	0.303181	-0.004006	0.002383	-0.003477	25.287141	-87.711603	-156.166333
18097	9.725264	0.185983	0.308614	0.001023	0.004217	-0.002978	25.302733	-87.708821	-156.181346
18098	9.725249	0.186190	0.308943	-0.003515	0.002516	-0.001361	25.302944	-87.707185	-156.183573
18099	9.751098	0.167491	0.353455	-0.005632	0.004662	-0.005430	25.351470	-87.703831	-156.235350
18100	9.747994	0.144216	0.359074	-0.002626	0.005711	-0.003066	25.354602	-87.700122	-156.239990
18101	9.728545	0.150087	0.373410	-0.000603	0.006495	-0.004931	25.384914	-87.695954	-156.270660
18102	9.730390	0.119041	0.345897	-0.002494	0.006732	-0.004338	25.398177	-87.691404	-156.285363
18103	9.730359	0.119484	0.346617	-0.004252	0.007990	-0.005019	25.408392	-87.686535	-156.298030
18104	9.733403	0.143668	0.342209	0.001287	0.006259	-0.005523	25.441729	-87.681938	-156.330655
