// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
18087	9.475347	-0.003962	2.235511	-0.009145	-0.002605	-0.001213	-0.100393	-76.724241	31.580331
18088	9.505044	-0.031743	2.223171	-0.009384	-0.000492	0.001464	-0.813531	-76.834097	31.964363
18089	9.527221	-0.017982	2.245713	-0.009505	0.001858	-0.002169	-0.454950	-76.777681	31.762727
18090	9.503159	-0.022181	2.245575	-0.007711	-0.000983	-0.001526	-0.455664	-76.778251	31.758922
18091	9.499472	-0.002773	2.290039	-0.006096	-0.002024	0.000296	-0.459660	-76.779287	31.759567
18092	9.482959	-0.048589	2.254886	-0.009024	-0.004093	-0.000896	-0.462726	-76.781636	31.757405
18093	9.501505	-0.012839	2.267010	-0.005855	-0.005000	0.000932	-0.468547	-76.784379	31.759933
18094	9.501582	-0.013122	2.266684	-0.007709	-0.001846	0.001788	-0.477364	-76.785428	31.764452
18095	9.527521	-0.018945	2.244432	-0.007770	-0.000670	-0.000028	-0.481731	-76.785531	31.764367
18096	9.473806	0.004270	2.256475	-0.007890	0.000818	-0.000346	-0.485390	-76.785065	31.763482
18097	9.507232	-0.045448	2.254112	-0.007650	-0.002158	0.000290	-0.490150	-76.785896	31.763889
18098	9.503500	-0.023556	2.244116	-0.007831	0.000505	-0.001844	-0.490126	-76.785616	31.759256
18099	9.503537	-0.023687	2.243958	-0.009083	-0.003780	0.000602	-0.497095	-76.787237	31.761057
18100	9.499871	-0.001953	2.233686	-0.009083	-0.003780	0.000602	-0.503848	-76.789400	31.762648
18101	9.503688	-0.024178	2.243312	-0.007649	-0.002158	0.000290	-0.508896	-76.790025	31.763335
18102	9.501895	-0.014729	2.265363	-0.007588	-0.003334	0.002105	-0.518456	-76.791924	31.768689
18103	9.505714	-0.036958	2.274984	-0.009144	-0.002604	-0.001214	-0.520671	-76.792551	31.765590
18104	9.524149	0.001301	2.232901	-0.006275	-0.000224	0.001476	-0.527874	-76.792672	31.769295
18105	9.507615	-0.047048	2.252465	-0.009264	-0.001116	-0.001532	-0.529197	-76.792201	31.765218
18106	9.527981	-0.021081	2.242460	-0.005914	-0.004688	0.002428	-0.538620	-76.794874	31.771416
18107	9.498397	0.006110	2.254393	-0.007708	-0.001846	0.001788	-0.548010	-76.794632	31.776493
18108	9.500295	-0.003796	2.231877	-0.006036	-0.002336	-0.001203	-0.548583	-76.795976	31.773529
18109	9.531920	-0.043741	2.251555	-0.007529	-0.003646	0.000607	-0.553563	-76.796645	31.774227
18110	9.498577	0.005695	2.253633	-0.004482	-0.002202	-0.001198	-0.553263	-76.797915	31.771279
18111	9.502323	-0.013925	2.208795	-0.009262	-0.001981	0.001782	-0.561441	-76.797169	31.774255
18112	9.528262	-0.022296	2.241251	-0.011237	0.003526	-0.000990	-0.565367	-76.795152	31.771670
18113	9.500468	-0.007055	2.285895	-0.007771	0.000195	-0.003341	-0.560401	-76.793621	31.762191
18114	9.478262	-0.020809	2.263416	-0.007770	0.000195	-0.003341	-0.556680	-76.793524	31.753797
18115	9.524489	-0.000108	2.231449	-0.007589	-0.002470	-0.001209	-0.556291	-76.792784	31.749455
18116	9.502347	-0.013998	2.208694	-0.009083	-0.002915	-0.002713	-0.554940	-76.794465	31.742738
18117	9.526477	-0.012434	2.263304	-0.006335	0.000952	-0.000339	-0.554573	-76.792007	31.739083
18118	9.500515	-0.004562	2.230940	-0.010935	-0.000627	0.001459	-0.564427	-76.792356	31.742793
18119	9.504296	-0.026916	2.240704	-0.006154	-0.001713	0.001793	-0.569348	-76.791652	31.744641
18120	9.528461	-0.025662	2.295173	-0.006033	-0.003202	0.002109	-0.578060	-76.793477	31.750072
18121	9.497024	0.013886	2.274725	-0.004059	-0.007843	0.001566	-0.580910	-76.795252	31.750483
18122	9.476826	-0.009939	2.229216	-0.005733	-0.006489	0.001244	-0.587397	-76.798958	31.753795
18123	9.500983	-0.006121	2.228942	-0.006092	-0.002891	0.003608	-0.595696	-76.798162	31.759253
18124	9.502917	-0.016200	2.206224	-0.008961	-0.005269	0.000916	-0.603213	-76.801171	31.761732
18125	9.503105	-0.019108	2.260251	-0.008961	-0.005269	0.000916	-0.603778	-76.801423	31.758217
18126	9.527285	-0.015359	2.259882	-0.007405	-0.006001	0.004235	-0.618524	-76.804824	31.769057
18127	9.503362	-0.019896	2.259162	-0.008901	-0.005579	-0.000582	-0.616906	-76.805239	31.761452
18128	9.527481	-0.015931	2.259051	-0.006273	-0.000225	0.001477	-0.624135	-76.805359	31.765210
18129	9.501581	-0.008118	2.226385	-0.005792	-0.006178	0.002741	-0.630282	-76.806680	31.769239
18130	9.479541	-0.024937	2.258009	-0.009201	-0.002292	0.000284	-0.636467	-76.808035	31.770216
18131	9.525775	-0.004538	2.225951	-0.007706	-0.001847	0.001788	-0.640923	-76.806481	31.769845
18132	9.501863	-0.011706	2.280071	-0.006032	-0.003202	0.002109	-0.649805	-76.808358	31.775442
18133	9.505575	-0.031432	2.235214	-0.010934	-0.000627	0.001461	-0.656055	-76.806694	31.776010
18134	9.509322	-0.053877	2.245093	-0.009559	0.001306	0.002649	-0.668254	-76.806017	31.782942
18135	9.501823	-0.010077	2.225343	-0.006035	-0.002334	-0.001204	-0.660669	-76.802960	31.771765
18136	9.503799	-0.022354	2.257299	-0.004423	-0.002510	-0.002697	-0.656908	-76.804487	31.765322
18137	9.505656	-0.032236	2.234858	-0.006390	0.000395	0.004474	-0.669612	-76.802447	31.776602
18138	9.527886	-0.018719	2.257321	-0.010816	-0.001247	-0.001536	-0.672366	-76.803250	31.773124
18139	9.501880	-0.010619	2.225097	-0.006575	0.003930	-0.000968	-0.672338	-76.799393	31.773955
18140	9.505631	-0.035580	2.289845	-0.011353	0.004148	0.002013	-0.684017	-76.797098	31.779411
18141	9.501729	-0.011322	2.225738	-0.009559	0.001305	0.002649	-0.693688	-76.793879	31.781433
18142	9.529528	-0.029475	2.235779	-0.006214	-0.000535	-0.000022	-0.697602	-76.794295	31.781894
18143	9.501823	-0.014688	2.280220	-0.006270	-0.001094	0.004789	-0.707352	-76.791574	31.789749
18144	9.501774	-0.012384	2.225540	-0.007647	-0.002157	0.000288	-0.712906	-76.792918	31.791069
18145	9.505643	-0.037395	2.289768	-0.009379	-0.000493	0.001466	-0.714697	-76.789353	31.787610
18146	9.524061	0.000779	2.247774	-0.004537	-0.002759	0.003611	-0.726546	-76.791000	31.797222
18147	9.475989	-0.007963	2.247281	-0.009379	-0.000493	0.001466	-0.729952	-76.787817	31.799489
18148	9.505667	-0.035928	2.234753	-0.009197	-0.003160	0.003595	-0.744418	-76.789670	31.809113
18149	9.526118	-0.012805	2.279372	-0.006093	-0.002023	0.000293	-0.745128	-76.788252	31.809221
18150	9.476140	-0.008895	2.246641	-0.009141	-0.002600	-0.001216	-0.747848	-76.789826	31.806852
18151	9.505806	-0.036684	2.234153	-0.007884	-0.000050	0.002970	-0.753742	-76.786451	31.810062
18152	9.500260	-0.005396	2.246528	-0.006031	-0.003203	0.002106	-0.762817	-76.788343	31.816069
18153	9.502197	-0.015441	2.223717	-0.008897	-0.006447	0.002725	-0.759311	-76.785097	31.806166
18154	9.506035	-0.037931	2.233158	-0.006210	-0.001405	0.003291	-0.771108	-76.785884	31.814839
18155	9.502429	-0.019108	2.277659	-0.006090	-0.002893	0.003605	-0.771569	-76.782180	31.813241
18156	9.502418	-0.016812	2.222763	-0.009018	-0.004958	0.002410	-0.782795	-76.784956	31.819692
18157	9.532186	-0.044749	2.209782	-0.005671	-0.007668	0.003050	-0.789200	-76.787039	31.821244
18158	9.499083	0.001539	2.266153	-0.007282	-0.007493	0.004543	-0.804764	-76.791268	31.833137
18159	9.503005	-0.021009	2.275240	-0.005670	-0.007668	0.003049	-0.811958	-76.793714	31.840175
18160	9.499359	0.000579	2.264996	-0.007762	-0.001538	0.003286	-0.824558	-76.794542	31.848777
